::SedmidubskyBDZ08 ::22850545 
::HibinoR96 ::Haojun 
::Garcia ::Abiteboul97 
::Rabsch ::LjosaS08 
::Muhammed ::with 
::179 ::Sachin 
::Danzhou ::Sayed 
::Links ::Chitta 
::NgH94 ::Iida 
::DeWittNS91 ::Kramnik 
::AmmannJR97 ::Accuracy 
::Colby ::279 
::Donahoo ::4497428 
::ADEPT2 ::Unknown 
::Goel ::1200 
::BertinoOYD05 ::522 
::Cheung ::15310017abs 
::PagelSTW93 ::Sampling 
::Tanizaki ::Effect 
::1116 ::Gautam 
::Myoung ::DHT 
::Fabret ::Degradation 
::Bruce ::cgmOLAP 
::LudascherGM01 ::Bertram 
::59 ::Bee 
::DeWittKOSSW84 ::spieSR 
::Klaus ::purpose 
::Pablo ::Crawling 
::Anna ::Venkataraman 
::Committees ::Regnier85 
::LowTLL02 ::Dohnal 
::YuC84 ::705 
::org ::Benjelloun 
::Avigdor ::Alberto 
::ONeilG95 ::Mengzhi 
::Akitsugu ::4497530 
::Thaden ::LiC98 
::15310543abs ::22851073abs 
::Marcelo ::Hacigms 
::Shixi ::RaoLLPS01 
::Gummadi ::Optimizing 
::Grahne ::1393 
::Acquisitional ::Carla 
::KorolovaMNX08 ::dl 
::MegalooikonomouWLF05 ::Dinh 
::Large ::LynchS88 
::Valduriez87 ::Halevy 
::Zaniolo ::Mixing 
::Equation ::22850916abs 
::Hoare69 ::Document 
::GangerK97 ::Hirade 
::Kemper ::Reorganization 
::Ralf ::1399 
::Szabo ::308 
::1513 ::JensenSS94 
::DiaoFFT02 ::Rastogi 
::Matching ::1451 
::Topol ::Fernandes 
::Seluk ::ShafiqSBG06 
::Workflow ::1471 
::DelisR94 ::914870 
::152 ::Alvaro 
::Nobutoshi ::Notification 
::Ding ::595 
::4497576 ::Amitabh 
::Arocena ::Descriptions 
::160 ::Lewis 
::Dependencies ::Technique 
::Sets ::4497579 
::Bernhardt ::19 
::Ramanath ::Row 
::Baral ::Paolo 
::Lived ::1576 
::KanagalD08 ::391 
::GuptaCG08 ::15310323 
::Ioannis ::4497408 
::4497568 ::Stahl 
::PuHK06 ::1427 
::Schning ::Halverson 
::Min ::4497515 
::Hazem ::323 
::Encoded ::Relationship 
::Khalefa ::Unified 
::32 ::Ertem 
::Zeeshan ::Muntz 
::RDB ::4497499 
::4497579 ::Relations 
::1439 ::Influence 
::Sobulo ::22850516abs 
::Matthew ::22850355abs 
::BrinkhoffKSS94 ::914818 
::Goyal ::336 
::22850991abs ::Sam 
::Motwani ::FLWOR 
::Cunningham ::15310273 
::Ammar ::SaltonWY75 
::349 ::cosit 
::Managing ::1495 
::Test ::DanDY91 
::4497397 ::List 
::He ::Venky 
::Yunyue ::AbiteboulQMWW97 
::Terms ::Yu 
::Brenninkmeijer ::Kou 
::Newton ::1611 
::Thuraisingham ::441 
::15310628abs ::SegevP89 
::1519 ::Kjetil 
::586 ::Jianmin 
::MolinaGS96 ::Pu 
::WangHLS06 ::P334 
::GyllstromADI08 ::TanGO01 
::edbt ::903 
::Cox ::Zeiss 
::Duplicates ::Siong 
::Version ::61 
::Iida ::Volatile 
::Snapshot ::Structure 
::BrakatsoulasPT05 ::15310266 
::Xiao ::291 
::1477 ::Sougata 
::nwosuTB96 ::Christos 
::Sizes ::Sharad 
::icde2006 ::Seshadri01 
::Tryfonopoulos ::10010121abs 
::Iyer ::CareyDFHMNSSTTWZ94 
::MOLAP ::spieSR 
::Spiros ::AfanasievGMRT08 
::P370 ::Parasuraman 
::Active ::JermaineO02 
::ChenJKKMNS01 ::Mishra 
::JagadishMS95 ::ShiZ05 
::Active ::SIPPER 
::DrapeauPK94 ::4497515 
::Shiyan ::914814 
::617 ::Lived 
::Omiecinski ::FaradjianGB02 
::Yongqiang ::Thanh 
::Serap ::Demonstration 
::Mller ::Deligiannakis 
::P014 ::Vee 
::Areal ::521 
::1002 ::Shi 
::Ashutosh ::XiaZT08 
::Richard ::P494 
::BeckmannHKN06 ::Di 
::dke ::Ghafoor 
::Dense ::LB 
::22851126abs ::Bhattacharjee 
::Rajan ::22850254 
::4497516 ::1109 
::Jialie ::mm 
::Shasha ::419 
::BorgBG83 ::379 
::Choi ::Advanced 
::mk ::PathakCG08 
::31 ::Jimeng 
::Kitsuregawa ::Hierarchical 
::4497468 ::SaltenisJ02 
::Freire ::Wierman 
::1013 ::Spiekermann 
::dbpl ::AgrawalIS93 
::434 ::4497460 
::Yokota ::Jasiobedzki 
::15310463abs ::Chu 
::LiSDKG01 ::Precision 
::Acceleration ::4497589 
::Whitley ::MONDRIAN 
::Koudas ::cj 
::522 ::Prodromos 
::ECA ::Marlow 
::Dan ::cdrom 
::Mirette ::Graciela 
::Isolation ::Path 
::Mass ::Zhiming 
::Sujata ::Visual 
::Indexed ::Satkin 
::Shen ::DogacBO06 
::914817 ::1498 
::or ::Process 
::Principled ::Egemen 
::Fully ::WangRL08 
::Gardarin ::Tat 
::ContinuouslyMoving ::Autonomic 
::Intelligence ::Ad 
::4497487 ::Divesh 
::Abiteboul97 ::Fatih 
::Denise ::4497546 
::10010215abs ::WuWLM06 
::Wavelets ::Annita 
::Gting ::Beyer 
::Siberski ::Techniques 
::PageRank ::Savasere 
::Carlos ::22851135 
::89 ::IdreosTK06 
::OMNI ::Summarizing 
::SkytJP02 ::Houtan 
::Barker ::Harchol 
::367 ::StolteA02 
::CosmadakisKV90 ::Search 
::1572 ::823 
::22850754abs ::MamoulisCYC06 
::15310271 ::Tomkins 
::Decomposition ::Iwen 
::1091 ::Lup 
::Yunjun ::163 
::Osmar ::Serap 
::15310278 ::P578 
::Meyerson ::4497606 
::4497398 ::Tomkins 
::Gjergji ::Caetano 
::Mary ::275 
::1462 ::ChenGK05 
::Subsequence ::1486 
::Are ::Muhammad 
::549 ::Authors 
::Congjun ::Techniques 
::Wireless ::DeFazio 
::Nick ::TaoPZ02 
::Useful ::Walk 
::1145 ::BerchtoldBBKK97 
::TrombettaJBB08 ::4497455 
::22851144 ::22850353 
::Ending ::Features 
::Amol ::Rittinger 
::Architectures ::XStream 
::Picture ::PolyviouSE05 
::15310187 ::Earl 
::Automata ::594 
::Milind ::MaH01 
::Abul ::15310235abs 
::KivinenM95 ::OSS 
::SquicciariniPB08 ::914813 
::661 ::914813 
::863 ::4497602 
::Computer ::Haejoong 
::4497590 ::Feedback 
::Generic ::22850230abs 
::Jean ::Luca 
::171 ::1180 
::Shurug ::Sharing 
::Stacie ::Ferri 
::547 ::McKenna 
::Hammad ::Sriram 
::IshikawaK93 ::Neil 
::Random ::Tomasic 
::bit ::Hartmut 
::AbiteboulHV95 ::Zeldin 
::558 ::OzdenRS98 
::Nora ::BargaP95 
::Kit ::1482 
::15310333 ::268 
::Subhash ::1488 
::22851084abs ::Theodoridis 
::CastellanosCSD05 ::Hershberger 
::Gerald ::Relaxation 
::LianCY08 ::Hisashi 
::Aravindan ::enough 
::Corruption ::Stonebraker94 
::Prototype ::22850205abs 
::JoshiJ08 ::Tsuyoshi 
::Parties ::OrensteinM84 
::Teixeira ::47 
::MalikBC05 ::GalpinBJFP08 
::toplas ::Cubes 
::PfahringerK95 ::Yoshinari 
::LiSR92 ::GaoZCLLC08 
::AslandoganTYZR97 ::Memory 
::Wing ::AlonsoBPHK01 
::BergD95 ::Heinz 
::temporal ::22851129abs 
::Buneman ::Girish 
::sigmetrics ::P178 
::1518 ::Niels 
::VrhovnikSES08 ::4497548 
::Clustering ::Usama 
::169 ::ChenDZ06 
::Mukherjea ::PostgreSQL 
::BrinDG95 ::Guido 
::Shedding ::Mingzhe 
::15310191abs ::Top 
::GravanoGT94 ::4497546 
::Masaaki ::German 
::Kesheng ::Forms 
::714 ::Philip 
::Jain98 ::KilgerM94 
::Vlastislav ::RX 
::P578 ::Modeling 
::Prototype ::Accurate 
::Sakellariou ::269 
::csdl ::Soo91 
::LSD ::SizovSTW02 
::AgrawalCGMM08 ::CampenXRGFSPL08 
::Reviewers ::38 
::Soo ::1296 
::P424 ::311 
::278 ::22851145abs 
::BunemanDHS96 ::Sakuma 
::164 ::Platform 
::Chiu ::End 
::Egemen ::914863 
::csur ::Richard 
::Ng ::4497523 
::W ::22850552abs 
::That ::XDS 
::Chitta ::Hershberger 
::Pucheral ::Krishnaswamy 
::462 ::91 
::BarbaraI94 ::547 
::1615 ::86 
::4497551 ::jiis 
::Buneman ::Wiederhold93 
::Lomet93 ::ChaudhuriNR08 
::Control ::NguyenS96 
::1509 ::4497595 
::4497614 ::AlonsoC05 
::Random ::Jure 
::Blok ::LeFevreDR06 
::22850578abs ::Mann 
::Convoy ::Bressan 
::jsac ::Aziz 
::Anton ::RyvkinaMCZ06 
::Wilschut ::acta 
::1551 ::IWill 
::4497493 ::Bryan 
::PinarTF05 ::22850254 
::Client ::GrayC89 
::Activities ::Informative 
::Akiko ::RamanathZFH05 
::KumaranCH06 ::Anastassia 
::BatoryBGSTTW88 ::Lattice 
::XuLTW06 ::15310507abs 
::Chakravarthy ::LaiTB05 
::Condensed ::Weihl87 
::Syntactic ::321 
::Till ::Mixing 
::Roberto ::Alps 
::Parking ::335 
::LangOS96 ::Vries 
::Rate ::Man 
::914809 ::87 
::Hetal ::Whose 
::Low ::Business 
::SeegerK90 ::Liedes 
::Auctions ::Jason 
::Summaries ::Thiagarajan 
::HasanM95 ::Mondrian 
::Ryo ::Native 
::Yiming ::http 
::Yuhui ::Social 
::BargaLW02 ::Physical 
::Campen ::Kevin 
::WangBTD08 ::Fatma 
::22850419abs ::517 
::958 ::4497567 
::Human ::Versus 
::1563 ::KashaniS08 
::KhalifaJPWKS02 ::TAILOR 
::TaniguchiS05 ::Paul 
::1286 ::Dyreson 
::Fishman01 ::Work 
::PGM ::SmythG91 
::HouJ06 ::Background 
::Korolova ::4497463 
::X06a ::Joon 
::Scalability ::Bayardo 
::Sistla ::Mema 
::Author ::Ferlez 
::1083 ::Simple 
::Silvia ::Publication 
::Proces ::SrivastavaHMKT06 
::P126 ::22851124 
::SuleimanCF98 ::Albrecht 
::15 ::1489 
::Sharing ::icde2001 
::Yuan ::1321 
::22851137abs ::TaoXP06 
::4497575 ::Supervised 
::GutingZC89 ::Indriyati 
::68 ::Toivonen96 
::Replication ::Miner 
::1106 ::Sherkat 
::4497600 ::V 
::Susan ::Sudarshan 
::Workflows ::Egemen 
::Dumas ::Event 
::346 ::Syeda 
::Ge ::JohnsonMSS08 
::LiCHH97 ::Arasu 
::FernandezA02 ::Kim95 
::Wolfgang ::Intermittently 
::132 ::Chrysanthis 
::148 ::Olston 
::Thomas ::Denzel 
::DayDIKG95 ::Neighborhood 
::OrensteinM84 ::fledged 
::Planning ::Negi 
::Structures ::Franois 
::4497607 ::Taming 
::Kanaya ::Datar 
::SMART ::914867 
::RDMS ::Space 
::Elfeky ::Wilfred 
::Abdelmounaam ::Characterization 
::Media ::Blakeley 
::198 ::1580 
::1436 ::Ives 
::99 ::ChakravarthyL98 
::P192 ::Magdalena 
::Anish ::Response 
::Efficiently ::Its 
::Khaled ::633 
::1631 ::Batra 
::JiangMCS08 ::Papakonstantinou 
::22850322 ::1107 
::Wei ::icmcs 
::Piotr ::ChenH01 
::I ::Shah 
::Nicolas ::WuEDCKAS08 
::mss ::Cocci 
::Atzeni06 ::TokOLAB02 
::Shigeo ::15310103abs 
::231 ::Publication 
::Gawlick ::MDL 
::Nina ::843 
::Transcoding ::Maruyama 
::Primitive ::BernsteinGW93 
::Supervised ::Skeen02 
::4497581 ::Felber 
::Answers ::LiLH06 
::Borkar ::4497504 
::Ludscher ::Kolovski 
::Gagan ::ChongDES06 
::Randomized ::AbiteboulV97 
::Fabio ::Rimma 
::21 ::SilbersteinBEMY06 
::Visual ::1607 
::Position ::303 
::ChenDZ06 ::Klemens 
::Amarnath ::Ordering 
::1375 ::GutingAABDHHST05 
::ds ::Algebra 
::15310339 ::Juliana 
::Work ::Kriegel 
::Wolski02 ::Shedding 
::KistlerS91 ::Sanjay 
::Proxies ::22851100 
::4497514 ::Yasushi 
::Mohan ::Handling 
::Anh ::Set 
::1405 ::Powered 
::LiZBSZN06 ::YanZH05 
::Fractal ::DongDong 
::Scott ::Main 
::Niels ::Wenxin 
::Cluster ::Sugata 
::RoitmanGR08 ::4497455 
::Chain ::Papotti 
::Nina ::P302 
::Roger ::Hman 
::X05q ::Streams 
::MalikBC05 ::BouazizKPW97 
::Sae ::631 
::Milind ::Palakal 
::Divyakant ::Webs 
::Component ::Terracina 
::Distributed ::ShimSA97 
::SQL ::Strict 
::LianCY08 ::Bolin 
::er ::Business 
::4497547 ::Getting 
::Angela ::Jianlin 
::4497436 ::NgOT02 
::LiuYT05 ::Environments 
::StoumposDKD08 ::Suciu 
::639 ::Gregory 
::Relaxation ::Filling 
::Schlesinger ::Zhang 
::716 ::Junyi 
::Composite ::NaumannHTHM02 
::Atallah ::1146 
::1456 ::Fernndez 
::ChengCMC08 ::BernsteinN96 
::Confidence ::Feature 
::Adjourn ::1119 
::SuWL06 ::Federations 
::Haifeng ::Heinz 
::Mauroux ::Immerman87 
::CasatiDS01 ::Arnold 
::Space ::Sardar 
::20 ::MegalooikonomouWLF05 
::Ramaswamy ::Tolani 
::556 ::CareyDFHMNSSTTWZ94 
::Wiederhold92 ::1464 
::Beckmann ::HowardKMNSSW88 
::Sakurai ::10010121abs 
::Hoarding ::Sharad 
::15310393abs ::BonczQK96 
::46 ::Shafiq 
::EvangelidisLS95 ::P105 
::Velegrakis ::Bajpai 
::PadmanabhanAMJ01 ::RantzauM06 
::Segmentation ::Discriminative 
::Sen ::301 
::Savage ::Unlinkable 
::Clustering ::1531 
::Automated ::AHYDS 
::Kato ::Inverted 
::CuiLXCDZ08 ::Make 
::152 ::Offline 
::Sensor ::261 
::Outliers ::4497412 
::Shaped ::Compiled 
::KiferKS92 ::WWW 
::Store ::Linfeng 
::Retrieval ::Ziv 
::CarminatiFB05 ::Community 
::Lucian ::McWherter 
::ShashaLSV95 ::Sacc 
::Adaptive ::Oguchi 
::Haixun ::GhandeharizadehHJ96 
::WebFountain ::DoanH02 
::Varied ::Methodical 
::Hjaltason ::Model 
::Memos ::Dikaiakos 
::1510 ::Jinchuan 
::Bitmap ::10010173abs 
::MohanLO86 ::Chung 
::Torlone ::cover 
::YiuJHL08 ::1396 
::Sequencing ::Narayanan 
::Guttman84 ::Boolean 
::Soloviev93 ::P458 
::Korolova ::DasCWAS08 
::Ending ::4497573 
::Participants ::P192 
::Kit ::bit 
::Eltarras ::Blockeel 
::Shaft ::118 
::Chien ::Atmosukarto 
::Zachary ::Haas 
::Dunham ::BargaLW02 
::FranklinCL93 ::Laboratories 
::Junghoo ::Recently 
::1340 ::Sergei 
::Identification ::ChenOR08 
::779 ::Subsequence 
::Optimizations ::PoosalaIHS96 
::Nambiar ::Inderpal 
::SchroederHINW06 ::P542 
::Jennifer ::Trajectory 
::Reduction ::Ahmed 
::1412 ::Hamid 
::584 ::Brent 
::Ilyas ::4497505 
::LiuL02 ::Franklin 
::ChenL02 ::Reynold 
::Jagadish90 ::Annotator 
::Qiang ::B 
::Leonid ::P2P 
::22851036abs ::P036 
::Boat ::4497530 
::AnYS01 ::Storage 
::Jure ::Dhruv 
::Papapetrou ::ChenOO08 
::Sheng ::Vanitha 
::Buccafurri ::Hongtao 
::Object ::4497476 
::Houman ::Vclav 
::Coverage ::Stavros 
::P362 ::Khaled 
::Padmanabhan ::Aranyak 
::4497452 ::P370 
::Leh ::Juchang 
::Motion ::Xing 
::LjosaS08 ::Callaghan 
::ColbyCHJJMSW98 ::763 
::ife ::Inverted 
::Jianlin ::Jean 
::Incremental ::Bhalotia 
::Basit ::Network 
::Adam ::Graph 
::Salka ::Kwok 
::ChengDNPKWAAFSSS97 ::de 
::HuhtalaKPT98 ::4497427 
::lisa ::RooholaminiC95 
::4497449 ::Hiroaki 
::Kementsietsidis ::P014 
::BohlenSS96 ::360 
::Check ::4497632 
::Jasmine ::Subsequence 
::Wenning ::Passing 
::Olsen ::Hongyan 
::PietzuchLSRWS06 ::The 
::1607 ::359 
::Rules ::977 
::Stop ::Manolescu 
::4497493 ::338 
::1447 ::MengLWG02 
::Neil ::LjosaBS06 
::Shrivastava ::Smodels 
::666 ::Ansorge 
::Xinqiang ::ichi 
::Jianneng ::Abowd 
::Sideways ::Gignere01 
::Federations ::153 
::Service ::Rastogi 
::1486 ::Replacement 
::Tanaka ::Tryfona 
::Electronic ::Lung 
::XinSHL06 ::Shigeo 
::Labeled ::LuccheseVRY08 
::Dakka ::Sankaranarayanan 
::GuptaMS93 ::algorithmica 
::1337 ::22850155abs 
::Vijayshankar ::Management 
::Hwang ::AliCKR08 
::YanZH05 ::Whitley 
::Data ::Optimization 
::391 ::Reverse 
::393 ::Experiences 
::MehrLLS08 ::Java 
::Xiaohong ::ChoR02 
::914846 ::Shivnath 
::Control ::Cerquitelli 
::YaminiG05 ::SuWL06 
::1115 ::Skeen02 
::Palopoli ::Geoinformation 
::Ghosal ::99 
::MishraE92 ::Joseph 
::Usama ::Environments 
::Carmem ::22850205abs 
::Sebastian ::BitonBDH08 
::KramerP96 ::KistlerS91 
::Gsli ::rtdb 
::Metadata ::Remote 
::Kristian ::HjelsvoldM94 
::LupuY06 ::Benatallah 
::4497564 ::4497589 
::Proces ::22851048abs 
::584 ::Dogac 
::NgH94 ::Amer 
::AggarwalY98 ::htm 
::Jiawei ::Harald 
::Quantiles ::Torvik 
::914812 ::436 
::Mary ::22850580abs 
::989 ::1342 
::Kanellakis95 ::PuL91 
::BrantnerHKM05 ::Topol 
::56 ::Yin 
::NieWWM06 ::Xiao 
::Lomet98 ::One 
::Grouping ::Hong 
::GraefeL01 ::Paolo 
::Clio ::Dissemination 
::430 ::Collaboration 
::adl ::L 
::4497417 ::Rajamani 
::constrained ::Plans 
::Abowd ::Predicate 
::BernsteinGWRR81 ::Unlinkable 
::Implementation ::Pathak 
::22850583abs ::WuAA02 
::Cluster ::nato 
::153 ::Zhuge 
::Jayant ::WeisN06 
::HarrisonD92 ::Boat 
::Deng ::22851113 
::Il ::Casati 
::One ::Rundensteiner 
::Chitta ::62 
::Mahmood ::22851109abs 
::4497566 ::334 
::Hua ::DesphandeGMH05 
::Jiying ::Kulik 
::GuptaMS93 ::Pan 
::Fault ::914823 
::Garret ::Sujata 
::Liangzhong ::OMNI 
::Guting94 ::Martin05 
::future ::Kreplin 
::Surna ::814 
::Mahadevan ::Seung 
::485 ::Clio 
::Garret ::22850927abs 
::ChenWWM06 ::Correlations 
::Blockeel ::Jagan 
::Donahoo ::ChenCRM06 
::635 ::Ravada 
::YounSun ::Gting 
::Sagawa ::Bhm 
::csur ::Chiew 
::Srini ::ShenSCT06 
::HollandG92 ::AbiteboulMPPS08 
::VrhovnikSRM08 ::Fekete 
::KeCN06 ::Composite 
::AmzaCZ05 ::Sanjoy 
::1101 ::Sizes 
::DayalHL90 ::LiZBSZN06 
::Arjen ::BINGO 
::Shawn ::Xie 
::Vanitha ::IHE 
::Vectorizing ::Silvia 
::Weihl88 ::P076 
::DennyF06 ::BodenCFKSSS95 
::1559 ::Schlesinger 
::Toivonen ::Novel 
::4497499 ::Jean 
::938 ::Hsiao92 
::P126 ::22850804abs 
::LuoNEW05 ::914829 
::1035 ::Service 
::HungDS05 ::Application 
::Muthuramakrishnan ::540 
::Kou ::YounSun 
::fm ::Lizhu 
::Injector ::1101 
::1024 ::PatelD96 
::Kai ::LiuP95 
::496 ::Dimitrios 
::Ertl ::1032 
::Ahmet ::SardarK06 
::Avigdor ::P174 
::AyadNWS06 ::Problems 
::Todd ::Xiong 
::Mitschang ::Q 
::577 ::Anastassia 
::TanizakiMS05 ::SeshadriLR94 
::Infrastructure ::ChenJOT08 
::Counting ::Knuth73a 
::Adaikkalavan ::Yong 
::279 ::1123 
::Commerce ::WangLPAM06 
::Deng ::Andrs 
::274 ::AgrawalAKL06 
::Sharad ::P550 
::Immerman87 ::15310265 
::245 ::Stabbing 
::ChaudhuriGKLLM98 ::Dynamic 
::253 ::Poulsen 
::Assertional ::Varadarajan 
::Gabriel ::Hoyoung 
::2002 ::Execution 
::Lynch83 ::Diagnosing 
::Lai ::Toman96 
::Dynamic ::1266 
::15310494 ::164 
::4497442 ::Subbu 
::1382 ::22851147 
::Native ::22 
::SavasereON98 ::Rigsby 
::536 ::Grobelnik 
::FaloutsosRM94 ::22850186abs 
::DayalHL90 ::sac 
::Saltenis ::Edward 
::Minghua ::Fuzzy 
::Nes ::336 
::YFilter ::81 
::BohlenSS96 ::Renner 
::Kristen ::15310191abs 
::column ::Georgia 
::Antonios ::ZEBRA 
::EltabakhEA06 ::957 
::22850547 ::Bayardo 
::Saenz ::StearnsR81 
::KornackerB95 ::Hull 
::Imprecision ::TrombettaJBB08 
::Cruz92 ::Lehner 
::MANETs ::Yin 
::1000 ::Le 
::Dual ::EggersOS81 
::WangZZ06a ::4497618 
::285 ::Vectorizing 
::McCannKSVSD05 ::Wireless 
::Alexander ::Hierarchical 
::Agarwal ::Understanding 
::Catlin ::22850767abs 
::FayyadPS96 ::1048 
::KrauthgamerMRR08 ::Everyplace 
::BalkeNST05 ::Sistla 
::ShkapenyukS02 ::704 
::SellentinM98 ::Pryakhin 
::Spatial ::doi 
::Obstacles ::Privacy 
::Zimmermann ::Lijiang 
::HacigumusMI02 ::Blockeel 
::503 ::Chiang 
::205 ::Shixi 
::WiwatwattanaJLS06 ::4497567 
::Dayal ::Shim 
::Making ::Krompass 
::Jianping ::MukherjeeRS05 
::1507 ::Indexes 
::Semi ::Amr 
::T ::Sanjeet 
::914875 ::Lorenzo 
::Salka ::Xinqiang 
::Calders ::Hierarchical 
::4497627 ::Salzberg86 
::Nigel ::4497591 
::Navathe ::LevyRO96 
::SpinCircuit ::Cattell94 
::XGuard ::DarFJST96 
::BilirisO93 ::420 
::Prasanna ::ChangSZS97 
::Toward ::MelnikGR02 
::271 ::HershbergerSS06 
::Ong ::15310663abs 
::HuangJLO06 ::Natural 
::Vlachos ::RAIDs 
::tcs ::Papaemmanouil 
::Redo ::Boris 
::22850353 ::WuWLM06 
::BunemanCFHMV05 ::Gudes 
::Videos ::578 
::14 ::IC 
::Martin ::Glimcher 
::Materialization ::Third 
::Revision ::Fernandez 
::and ::Point 
::Verykios ::PadmanabhanAMJ01 
::icde2002 ::Verma 
::4497608 ::349 
::GhandeharizadehHJ92 ::XPath 
::EvangelidisLS95 ::Mukesh 
::ChaudhuriW06 ::bc 
::189 ::ManjhiSDO05 
::Answering ::10010473abs 
::Miled ::PapakonstantinouAG96 
::Skylining ::Egemen 
::4497609 ::Davood 
::1451 ::V 
::329 ::893 
::Chen05 ::99 
::ChengDNPKWAAFSSS97 ::Mohan94 
::IpeirotisNCG05 ::Claudio 
::101 ::ChanFGR02 
::Chu ::Chandel 
::KlemettinenMRTV94 ::675 
::XStream ::ZhouYGCD08 
::914870 ::Training 
::Yanif ::927 
::Divesh ::pe 
::Zeller ::Outsourced 
::22850081abs ::4497413 
::4497475 ::Consens 
::XinH08 ::Byron 
::year ::Deshpande 
::SistlaWCD97 ::Nabar 
::Shunsuke ::Dimitris 
::MOLAP ::DrapeauPK94 
::Mann ::1373 
::Chambliss ::Curtis 
::Stphane ::Function 
::Margaret ::Skylining 
::kdd ::22850619abs 
::Amarmend ::GuptaMS93 
::sigir ::Lived 
::Raghavan ::Ansorge 
::Heterogeneous ::306 
::Lakshmanan ::Summarizing 
::Freire ::ArumugamJ06 
::Papapetrou ::DuschkaL97 
::based ::31 
::Main ::161 
::GutingAABDHHST05 ::Functional 
::1145 ::ChenDYR08 
::Malakasiotis ::914833 
::Representation ::Chow 
::Scherzinger ::1436 
::Hjaltason ::599 
::MAFIA ::258 
::1369 ::630 
::Searches ::1479 
::1327 ::482 
::Dam97 ::263 
::Form ::Aaron 
::Dictionary ::top 
::Delcambre ::Shan 
::Choreographies ::Olteanu 
::Kimutai ::4497606 
::Robust ::DahlinWAP94 
::Ash ::EppingerMS91 
::Dehne ::Presence 
::sub ::CareyDN93 
::SavasereON98 ::Concept 
::Saikat ::Amarnath 
::HeXYY05 ::Shegalov 
::GoldingBSSW95 ::pods 
::Milan ::X05q 
::Bhattacharya ::Huang 
::22850131abs ::Mitschang 
::Roller ::Wenning 
::Predicates ::Buccafurri 
::S ::PapadiasTKZ02 
::GutingS95 ::Satkin 
::Private ::Narasayya 
::RDB ::Raffaele 
::24 ::Controlled 
::22850230abs ::ChenJKKMNS01 
::Middle ::AhmadN08 
::ConQueSt ::Warehouses 
::22850583abs ::Andrea 
::bit ::Tung 
::Hammad ::1036 
::Indices ::4497421 
::Uncertainty ::relational 
::22850205abs ::Dale 
::Leutenegger ::Growth 
::22850991abs ::Satisfying 
::Antoni ::Chang82 
::4497529 ::Analyzing 
::Ikeda ::4497532 
::CareyHL93 ::Yiming 
::Srilekha ::ChenRDEGS06 
::Gertz ::Columns 
::Inflationary ::HP 
::Workloads ::HibinoR96 
::Datasets ::446 
::Weaver ::588 
::RotemZ95 ::676 
::Markus ::4497575 
::Schlesinger ::380 
::LivnyRBCDLMW97 ::4497626 
::4497422 ::icde2002 
::A ::ZhangRL96 
::1406 ::UNIDOOR 
::BreitenederGT92 ::Acyclic 
::Aaron ::DBLP 
::1169 ::Queues 
::Todd ::236 
::22 ::Huaiyu 
::View ::JigyasuBBCDMT06 
::15310261 ::1516 
::Marcel ::Cheung 
::Muse ::Packets 
::P316 ::Ln 
::P104 ::Loh 
::NguyenKF08 ::BorgBG83 
::Zhengli ::1000 
::Features ::307 
::GawlickK85 ::Expressive 
::313 ::Kraus 
::15310639abs ::4497441 
::Sonny ::Authoritative 
::4497547 ::Modern 
::Arijit ::Summarizing 
::MyllymakiL95 ::Symbolic 
::Davulcu ::Performance 
::Gjergji ::4497429 
::154 ::Make 
::Simoudis ::Geometric 
::914838 ::95 
::Store ::1543 
::Sergej ::Outerjoin 
::Porto ::4497463 
::Merging ::Nath 
::Adjourn ::277 
::Wisnesky ::SG 
::67 ::Vista 
::485 ::1465 
::Dalvi ::Patel 
::ZhouP08 ::Maier83 
::Maintaining ::Kreplin 
::1339 ::PabmanabhanG06 
::1454 ::SPOT 
::119 ::Simitsis 
::Leh ::Raman 
::Offline ::von 
::118 ::CASTLE 
::1559 ::sigmetrics 
::4497500 ::MED 
::Hsiao92 ::31 
::Association ::Limitations 
::Chaplin ::HOPI 
::Discovery ::Mobile 
::Has ::4497473 
::1408 ::Ahn 
::Palakal ::P174 
::html ::Maryann 
::HibinoR96 ::Generato 
::15310403abs ::728 
::281 ::Influence 
::ReissH06 ::Transactional 
::Cristian ::Howe 
::Amarnath ::Role 
::Amrish ::15310266 
::Getting ::Stephanie 
::Interface ::PopivanovM02 
::Pointsets ::T 
::Novak ::Melnik 
::Neal ::icde2001 
::iandc ::742 
::Tomasic ::ups 
::412 ::Alborzi 
::Simoudis98 ::Pfeifle 
::HuaPZL08 ::Stephan 
::Wikipedias ::Dixit 
::Bonifati ::Experience 
::KilgerM94 ::ImielinskiVA96 
::Cabibbo ::Topol 
::Output ::431 
::604 ::Raffaele 
::Point ::Oracle8 
::WangHLS06 ::KoutrikaI05 
::ZhangLRB08 ::22851118abs 
::Atzeni06 ::Pedersen 
::Shirani ::Tuncel 
::Yu ::JoshiJ06 
::Magesh ::Maskey 
::Kishiko ::Vrhovnik 
::Development ::Mapping 
::Didi ::15310498 
::Equation ::elmagarmid92 
::Estimating ::Horibe 
::Radeschutz ::Tightly 
::BertinoK89 ::Dewri 
::Giorgio ::ChuDHH06 
::Shegalov ::Customer 
::Yihua ::Legacy 
::Trade ::Kjetil 
::SpaceTwist ::1559 
::1109 ::View 
::PuKH88 ::22850717abs 
::PageChaser ::Extracting 
::Lam ::Tiong 
::Vibhuti ::Archetypes 
