dl::XingZH05 4497591::Shrivastava ::Syntactic ::Lipyeow ::designed 
PadmanabhanAMJ01::528 Organization::RinderleWR06 ::Martone ::WangBTD08 ::Tang 
Feng::Twig Matches::Zeng ::15310191abs ::Moshchuk ::15310639abs 
AcharyaGJKST08::icde2005 Sellis::Bolin ::Chitta ::AhmadPCR08 ::358 
Exactly::Servers Sacc::2006 ::Abdelmounaam ::Future ::Mikkel 
LiuP95::Anh JaffarYZ06::EvangelidisLS95 ::1081 ::Negi ::Federated 
HullY90::Eberhardt LuoWL08::Qiong ::dimensional ::Kumar ::GounarisYSD08 
314::865 Hsu::Sun ::15310393abs ::Sliding ::AbiteboulCM95 
AdibaL80::RAIDs Aware::Compression ::579 ::DelisR94 ::Koki 
Calimlim::101 22850242abs::McWherterSAH05 ::Henrich96 ::1099 ::833 
Teixeira::Siersdorfer Batra::Masaaki ::Dalvi ::Outsourcing ::Rewriting 
902::Sueda Hman::1104 ::1417 ::114 ::Peiya 
k::Bernhardt OrfaliHE96::Message ::Eunus ::124 ::309 
LindsayHM86::Correlated 15310485::Improve ::Constraints ::Veli ::Coupled 
Connectivity::Declustering Relationship::GedikWYL08 ::Shan ::15310617abs ::granularity 
Tiancheng::28 Networks::ChaudhuriKPS95 ::Na ::RotemZ95 ::87 
80::12 Smodels::as ::WuXTL06 ::Ntarmos ::1433 
Fixed::Syeda level::Stored ::Anja ::P370 ::X05p 
Garret::TangYOCW08 563::Reduction ::Miller ::EltabakhOAELASB08 ::178 
ichi::an BrantnerKMH06::Everyplace ::DeRose ::Asynchronous ::Gedik 
Delis::4497627 Signatures::Closed ::Y ::Omran ::Pushpraj 
P094::Eng 124::WangL08 ::RinderleWR06 ::deSign ::good 
4497560::ZhangPW08 Ramez::Alborzi ::Popivanov ::593 ::824 
914875::Alberto Syeda::Upendra ::Yuanyuan ::HuhtalaKPT98 ::4497443 
4497482::pldi Monotonicity::357 ::MogiK95 ::Consistent ::Dyreson96 
978::329 85::Yibei ::DasguptaGJSV05 ::Linfeng ::667 
P220::Environmental 1321::JigyasuBBCDMT06 ::Charu ::Erich ::1372 
Zeller::914869 Shepherd::Interpretation ::Mei ::ONeilWFCM98 ::Yi 
ShivakumarGC98::Kumar VLEI::914812 ::Bugra ::Vu ::Qili 
604::Tradeoffs GuhaK02::SchiwietzK93 ::FarragO89 ::Johnson98 ::15310129abs 
HanYY06::Mortazavi Pucheral::120 ::22850927abs ::Ullman97 ::Generation 
P602::Stahl Jasiobedzki::HornickZ87 ::KeijzerK08 ::HjelsvoldM94 ::4497445 
1525::Orchid IC::Sentiment ::Fang ::Xiaoxin ::Verykios 
4::1405 Megiddo::1355 ::WongA85 ::XParent ::1317 
YiuM06::22850057abs 4497414::402 ::tit ::Saltenis ::Mixing 
Rasin::Mohan94 Support::Latha ::Gignere01 ::Song ::Blok 
MegalooikonomouWLF05::PF91 aaai::Haibing ::We ::ArasuCK08 ::KarrasM08 
granularity::KhalefaML08 Sae::15310267 ::Mirek ::ChanFGR02 ::Lei 
Meichun::Krishnamurthy 587::138 ::DBMS ::SMART ::742 
Histograms::GruberKP01 Connectivity::Roelof ::Inflationary ::Maskey ::Size 
KriegelKKRS08::Nicola Convertible::Bee ::Ordered ::Resolution ::Alan 
HullY90::Supply 914870::BalminOST08 ::OwickiG76 ::1628 ::KappelS91 
Resilient::Antony Legaria::22850285abs ::Terms ::Publication ::Brent 
Ziarko91::Huaiyu OomotoT93::Weining ::Fast ::Morzy93 ::OWL 
JainS94::Yangjun 813::Divesh ::Cao ::4497509 ::RaffioBCPH08 
Sunita::4497496 Compressor::4497417 ::1084 ::LometT95 ::Shuang 
Injector::Ownership 1189::15310093abs ::GutingS95 ::Filter ::Stonebraker 
Transformations::Kishiko MishraE92::Shaull ::Alexey ::Domenico ::Govindaraju 
YangPPK08::Whitley Kimeli::Serializability ::22850514 ::AlomariCFR08 ::Haifeng 
Va::914854 P144::Item ::Gunopulos ::Sensitive ::12 
ChenDN02::Made Reiss::15310262 ::Jan ::639 ::Sakuma 
Pui::129 22851109abs::Shin ::JoshiJ08 ::Nuwee ::Amol 
15310529abs::Wan Mihly::Junyi ::Mix ::Sugata ::Midflight 
FilhoTTF01::23 532::497 ::446 ::Persistent ::Elmagarmid92 
PadmanabhanAMJ01::Leslie 1146::4497397 ::Shiroh ::Radwan ::ChoR02 
P424::Lal Huajun::Cheong ::GyllstromADI08 ::Hui ::JayapandianJ06 
Secure::if Patterson::4 ::IwenLP08 ::BunemanDFS97 ::22850991abs 
Congjun::280 Simmen::FaloutsosK94 ::230 ::Dongwon ::Blockeel 
Kifer::Houle Indexes::Graphitti ::Sergej ::15310383abs ::Gone 
914825::MetaQuerier 1033::WuCL08 ::Rabindra ::Lead ::15310264 
YiLHKS08::4497608 Jasiobedzki::HOPI ::914850 ::Harness ::Salvatore 
GADT::RuemmlerW93 Microarray::Zoupanos ::Easy ::Approaches ::WilkesGSS96 
WilkinsonN90::JaffarYZ06 ChenDER05::IWill ::10010131abs ::Links ::199 
Light::457 638::Neal ::SubrahmanianJ96 ::AgrawalCGMM08 ::One 
MotwaniNT08::TanizakiMS05 SPEX::IshikawaKOYKK98 ::Chai ::Soo91 ::Benjamin 
Takashi::Rabindra RDFS::Revisited ::P209 ::1170 ::KhoussainovaBS08 
Spiekermann::RaffioBCPH08 281::AliCKR08 ::22850415abs ::Chita ::1424 
Oguzhan::TrombettaB06 Xifeng::993 ::Quasi ::W ::ChenHS02 
RAD::YangL01 Mauricio::Varadarajan ::Modern ::Updates ::4497443 
GrayR93::Clustering 1130::Georgakopoulos ::Hai ::van ::Document 
459::Navathe Maher::Tamino ::Isoline ::15310555abs ::Gal 
Cabibbo::column Complex::AcharyaAFZ95 ::983 ::554 ::Lp 
Ehud::ReissRKZV08 deductive::Languages ::LinAGD08 ::Evaluating ::Shamkant 
Answers::HaskinMSC88 Quang::Rasin ::Wiederhold93 ::FungWY05 ::Mukherjea 
GedikWY08::Ramakrishna zden::4497632 ::1528 ::ChiS05 ::Zhe 
926::Gauss Srilekha::Jakob ::1190 ::Jianzhong ::38 
Tight::Hua LiLHC06::Chai ::Malin ::Super ::Zheng 
AgrawalIS93::LangOKT98 JinA06::Ranked ::BernsteinGW93 ::Fast ::IoannidisP95 
Multivariate::dke KoblerBCH95::914876 ::Asymmetric ::RemiasSZS97 ::Rebecca 
XGuard::1470 Unknown::Torp ::Percy ::Sarma ::via 
Lan::914852 GriffinL95::VelegrakisMM05 ::HadjieleftheriouCKS08 ::2005 ::Muse 
Bruno::1531 DrapeauPK94::Shipra ::JinXDW02 ::Bing ::Interpreted 
Ting::ChenHY96 SPEX::KeidlKKK02 ::1042 ::FAST ::Mikkel 
Compact::279 Levy::DanielsSHLMWW82 ::1360 ::OwickiG76 ::Antonio 
CPU::P314 1259::Wiederhold ::Indicators ::131 ::15310005abs 
Hari::P276 Sentiment::37 ::Venkatasubramanian ::143 ::BrantnerHKM05 
Windhouwer::Sachindra 22850939abs::Venkataraman ::513 ::GhandeharizadehHJ96 ::spieSR 
1460::15310155abs ChenLL08::Shiroh ::Interaction ::Lomet92 ::Teaching 
Semantic::Dependable LometBMS06::Lucian ::er ::Cammert ::Aggregates 
BryCDFOS05::Ramamritham Mishra::Pirahesh ::Aggarwal02a ::Redbrick ::AssentWMS08 
15310001::Jiexing Porkka::Migrating ::SQL ::Szabo ::JayapandianJ06 
Exponentially::ChawatheAW98 SistlaW95::Language ::Samaras ::Rakesh ::297 
Minh::Carlos 4497567::22850533abs ::Douglas ::End ::Akrivi 
CORBA::Jigsaw WilschutFA95::Weld ::684 ::1501 ::Shunsuke 
Carlo::Wide Hanan::BarbaraI94 ::Bossi ::Chakrabarti ::Berners 
KriegelKPR06::Raghav Mostafa::Dennis ::party ::Interval ::914854 
JinGJA06::Siong Patterson::4497514 ::914845 ::261 ::Nahum 
Nie::KornackerMH97 15310187::19 ::Bry ::Schemes ::Atmosukarto 
Marzouk::992 Steve::Morishima ::Facet ::Xiaojin ::Ferlez 
Yee::Phantom 362::Selections ::Constructs ::PhotoSpread ::22850927abs 
Estimating::15310005abs QinQZ06::Andrs ::Cabibbo ::4497527 ::ChenHS02 
Iyengar::Andrei Sakellariou::832 ::Richard ::YaminiG05 ::MorsePG06 
Gmach::Krishnamurthy Jiong::Simoudis98 ::16 ::Feida ::GoldingBSSW95 
1::883 Form::4497632 ::Novak ::OLE ::791 
Atri::SavasereON95 Goldin06::445 ::Tung ::542 ::1062 
Willy::Multilingual Next::Muntz ::Nakhe ::RiTE ::KeidlKKK02 
1363::Bruno 502::Locking ::4497535 ::Vehicle ::Guting94 
ChaudhuriDK06::Jan Zhe::4497524 ::Skew ::PfahringerK95 ::TungHH01 
Application::CatarciCS94 Sven::Cameron ::DaWaII ::Schek ::Faster 
as::Andrzej 1366::Declustering ::89 ::GionisMT05 ::Mengzhi 
Feltes::Aziz SankaranarayananAS06::Flood ::DayalHL91 ::YinC05 ::Precision 
Dinh::Hajj SQL::Schallehn ::Topsakal ::Intersection ::Neighbor 
similarity::Referential hoc::SPP ::Satisfying ::Zahir ::ZouC08 
YiuM06::Watzke LentSW97::4497409 ::1418 ::Benjelloun ::Chi 
Kyuseok::914856 OMNI::Availability ::SchmidtKW01 ::Myoung ::1596 
Watzke::P588 Aware::Don ::Nguyen ::Masato ::Raffaele 
Browsing::4497448 Handling::Technique ::Complete ::4497564 ::470 
1190::513 Weiping::Scheuermann ::Commutative ::Correlated ::1474 
LiCHH97::GoldbergR83 LeeSZ05::914844 ::Directed ::Justin ::1447 
HaraHTN98::LiHYX05 Triggers::1445 ::4497558 ::Sparse ::party 
Provable::search Ganti::15310496 ::Demonstration ::1348 ::DengDRZ08 
Amer::616 YiuM06::McKenna ::JensenLOZ06 ::20 ::Cloud 
BerchtoldEKKS98::Valduriez87 Ben::Netz ::914877 ::Zadrozny ::1387 
CruzALRZ97::22850978abs AgrawalLSS95::Teubner ::Verifiers ::Minji ::Experiment 
Batch::Teaching Jennie::Cudre ::BakalovT08 ::ht ::CosmadakisK86 
Sets::UDB Learning::Shalem ::Simulation ::Justin ::Haruo 
KamelF94::AlonsoBPHK01 Division::15310663abs ::Symbolic ::Facet ::Multiresolution 
N::Olivier Deshpande::Cristiana ::Hambrusch ::Ashok ::ACT 
KamathAGM96::StodolskyGH93 Postgres::Family ::0002 ::Cornelius ::Devices 
Ayad::NN ViEWNet::4497589 ::Lewis ::Hideo ::Privacy 
Graphs::Parties Boualem::Farfn ::4497588 ::Bourhis ::Adaptive 
Value::Hambrusch WatanabeY05::P036 ::ShanADDK95 ::15310053abs ::Kun 
Level::Zhang 1239::BlaumBBM94 ::Incorporating ::Bonnet ::4497629 
Wensheng::X06b debu::Rathakrishnan ::Mortazavi ::LeFevre ::1492 
1318::kl Kersten08::ElmeleegyOE08 ::22850341abs ::307 ::1950 
4497579::22851111abs Kaname::ZhouZQZ06 ::McCann ::Jonas ::AdaliCPS96 
DeWittKOSSW84::Conscious ElmeleegyOE08::Trajectories ::Inverse ::Peer ::George 
783::Petkovic 80::ChengDNPKWAAFSSS97 ::Panagiotis ::1114 ::P069 
Zhu::Itemset Evdokimov::10010661abs ::GrustKGHS97 ::Quantitative ::AnwarMC93 
Johnson::Lychagin PadmanabhanAMJ01::4497539 ::Popivanov ::avi ::GibbsBT94 
Gridded::Technology Implicated::914851 ::Beyond ::Raman ::Advancement 
widomC96::4497458 4497524::691 ::Coupling ::Erich ::BestR85 
Phantom::Katayama Angel::4497491 ::Triantafillou ::Knuth73 ::Gadia86 
Angela::M 15310490::Salzberg88 ::Myoung ::Ramanath ::KoudasS05 
914832::Extremely Signature::77 ::Haojun ::622 ::BentleyM80 
22850032abs::Sakurai StoumposDKD08::301 ::Knowledge ::Marlow ::Mansuri 
1447::W Moerkotte::Mappings ::Jagrati ::Christian ::ZaianeELL05 
Itemset::Example Rittinger::Just ::Precision ::1411 ::Raffaele 
902::ArefCEFGHIMPRTTTVZ02 Yokota::Joan ::Honishi ::1394 ::XPath 
fm::735 Maier83::1492 ::ZivL77 ::1624 ::Metric 
Lomet98::Sharoes 22851118abs::22850518abs ::WangBTD08 ::4497509 ::4497446 
Christos::Corey GardarinST96::Klaus ::YangP08 ::Snapshots ::Pervasive 
Ray::1417 Haifeng::1120 ::Wikipedias ::Olteanu ::Ramanath 
1534::JainMTC95 Producing::AssentWS06 ::Silva ::Steven ::1500 
1083::15310166abs Complex::456 ::Deb ::4497553 ::29 
Direct::Konrad Takahide::GongYQZ05 ::RAD ::AyadNWS06 ::Community 
Donahoo::Regions Useful::Hon ::Gunopulos ::Nita ::Distributors 
22850578abs::DeshpandeH08 Seltzer::Robert ::Energy ::Chiang ::3 
15310490::Gattu Vinayak::Ellis ::WangZZ06a ::Kitagawa ::963 
OrfaliHE96::260 Fan::Xiaofang ::kdd ::ai ::Ivanova 
Feher::YounSun SayalCDS02::Filling ::Reza ::DahlinWAP94 ::4497483 
115::Maier83 LiuSYR98::Constraint ::P314 ::15310498 ::HuhtalaKPT98 
GaoZCLLC08::BrunoGM02 1372::Sarma ::Stefanakis ::BeeriR87 ::Maged 
SherkatR06::HampapurJW95 AquaLogic::Ng ::JensenSS94 ::1608 ::106 
Partnership::Certainty Shared::15310327 ::Kunath ::4497428 ::22850516abs 
4497496::Pathak01 AmzaCZ05::4497488 ::Neeraj ::802 ::Bouganim 
ZhugeG98::Directed WilkinsonN90::791 ::Heinz ::Triggers ::JayapandianJ06 
KatayamaS01::Ping 4497459::4497502 ::4497504 ::Sattler ::15310697abs 
LiOW08::TRMeister 1098::Phantom ::4497519 ::1477 ::Sunbir 
Good::ChenDZ05 Janine::WuK05 ::Palopoli ::MeoPC98 ::JakobGHN05 
Array::Objects ChenR94a::SrivastavaL88 ::Prefix ::Caches ::KatayamaS97 
Il::114 Tabular::22851115 ::Assessment ::Hallett ::Multivariate 
GuptaJM96::Xin 555::ChangYDA88 ::Pekka ::Declustering ::Jaber 
ZhugeG98::BrownH06 1336::Operation ::AnYS01 ::Chow ::ChenDYR08 
Xuemin::Nogayama Latent::320 ::DuS82 ::Comer79 ::Ruddy 
FaradjianGB02::Anirban Habich::Accurate ::Outlier ::97 ::4497516 
JainS94::Influence Redmond::Cart ::1334 ::Iwen ::SteenhagenABB94 
Ioana::Kou 1950::Updates ::TelegraphCQ ::Peer ::AlonsoC05 
P164::Sae 4497638::22851140 ::Leonidas ::Operators ::Campen 
Inseok::WuB97 Interval::NguyenS96 ::Akitsugu ::Jabeen ::1445 
Anirban::Actionable Gting::Tassa ::StonebrakerK91 ::Weaver ::Avoiding 
581::HershbergerSS06 Chafle::Govi ::Inverse ::Balachander ::Pawel 
StockmeyerM73::4497589 Subscribe::Chamberlain ::ChenDER05 ::Leung ::Larson 
Apers::Evolving Mller::MachanavajjhalaGKV06 ::On ::Huajun ::Vlastislav 
Volumes::Among 1133::Chang82 ::ZhangLXKW06 ::Jure ::DahlinWAP94 
331::KiferKS92 22850564abs::QianW91 ::Smodels ::comp ::1136 
Idea::Arif Ramesh::hpts ::sigir ::Salka98 ::AntonyWAA08 
309::914832 AbiteboulV97::Murthy ::Markus ::DoanH02 ::Bestavros 
Rotem91::843 HarinarayanRU96::Against ::Flooding ::1400 ::1047 
ShalemB08::SimitsisVS05 Atallah::P154 ::NaackeGT98 ::sigir ::Sugata 
BakalovHHT08::Musicant SAN::Ziarko91 ::Whang ::Houtan ::Sovereign 
s::Hsu93 498::KarsentyB93 ::1352 ::cosit ::Ng 
Aggregates::without AbiteboulK92::Lu ::Edoho ::Shin ::Madhavan 
Disclosure::KrishnamurthyKN05 IdreosTK06::Conference ::Silva ::KreplinZ01 ::Warren 
665::Jaber 1339::Nagavamsi ::ChenCRM06 ::4497491 ::Safeguarding 
862::World 376::MalkemusPBC05 ::Bugra ::Power ::Alexandros 
McWherter::Osmar Ahmad::P209 ::Wenxin ::Zhewei ::by 
Evaluating::Carlos 19::Buchmann ::X05t ::Keulen ::15310297abs 
Bing::Alon Motion::Evolving ::Patricia ::proceedings ::BestR85 
Burke::Grandison Deep::Calton ::Timos ::Function ::ShahR08 
Inseok::564 Pham::Comer79 ::cgmOLAP ::1349 ::VBI 
486::94 Pirahesh::166 ::MiahDHM08 ::Elmagarmid92 ::Discovering 
1137::Shu PatonDWCDJ93::Mazza ::Mengsheng ::Justin ::Caching 
Hiraoka::Martone Maruyama::OptimAX ::22850217abs ::Clients ::DoanH02 
465::Abiteboul97 mit::Goldstein ::4497507 ::Tree ::170 
Negi::Annotating LiuYGS98::mash ::Rahm92 ::Damdinsuren ::XiongMA05 
Subspaces::314 Primitive::Anthony ::Fernandes ::Vassilis ::Fathima 
Rahul::Pautasso micro::over ::Amir ::Social ::Jiong 
4497629::Dewri ChengYHY08::302 ::Woong ::Maskey ::Zaane 
4497530::Honishi 4497533::4497631 ::4497585 ::LeuteneggerL98 ::linear 
Mangold::Goethals 863::SeshadriLR96 ::Shrivastava ::ChengDNPKWAAFSSS97 ::ZhouYGCD08 
Mukherjea::Freire Dinesh::Larson02 ::ZhangGW08 ::Context ::214 
Imai::Yoon ONeilQ97::Olsen ::Roitman ::Distributed ::Naphtali 
Narasayya::Krishnaswamy Stephanie::264 ::P314 ::X08 ::Xianghong 
567::Jermaine 366::Digital ::Big ::BunemanDFS97 ::Signal 
McCann::375 Emerging::15310335 ::Xiaolei ::Kambhampati ::ThuraisinghamHRM98 
Threshold::10010473abs KreveldO91::PeiroASW98 ::Muntz ::Partitions ::LeeSZ05 
Parties::System Papadias::NussbaumerPSS95 ::Martin ::Grzegorz ::201 
1328::zden Gawlick98::4497435 ::476 ::deductive ::Accessible 
Crowd::EderL95 4497486::630 ::Molina08 ::Yoshinari ::Carson 
Cheng::Environmental 1447::SistlaYLL95 ::ChongDFSYJTK01 ::Cruz92 ::Meyerson 
LiuYT05::YanOZ08 266::Rohit ::1133 ::Diego ::ChenHY96 
Results::IwenLP08 IWill::Efficiently ::Lattice ::HwangCZ08 ::SpaceTwist 
Bry::Aidong Munir::Mayfield ::Windhouwer ::Hsiao ::Platform 
Compliance::IvanovaKN08 Structure::CopelandK85 ::Feedback ::IpeirotisNCG05 ::Sarawagi95 
Kramnik::Associative 4497476::Leymann ::Materialized ::AcharyaAFZ95 ::15310005abs 
4497568::405 Mengchi::EELs ::Millions ::Places ::AgrawalS89 
Kanad::Boolean 1042::Directly ::842 ::AmarmendAK06 ::SuleimanCF98 
GawlickK85::Miron Analysis::Mirco ::Arie ::Abiteboul ::Reichert 
22850258abs::Notification 1160::AliCKR08 ::Sujata ::Yoshinari ::WWW 
X05p::1480 Sentiment::Zhai ::P532 ::Sheth ::XML 
FAST::1024 Active::Punctuation ::PapadiasT97 ::MohanAGK95 ::icml 
1059::828 Pipelined::107 ::4497409 ::usenix ::Harness 
de::XingZH05 Amr::Yuan ::Roussopoulos ::Liang ::Antoshenkov92 
Filling::425 Outerjoin::Integrity ::Pandey ::Tsukamoto ::Marianne 
Application::TaoXP06 P094::XinH08 ::Rizos ::1249 ::Chamberlain 
387::Device Elmagarmid92::Bei ::processing ::1354 ::66 
Seluk::Yoji MotwaniNT08::SakuraiPF05 ::1248 ::Change ::CosmadakisK86 
666::LSD Acquisitional::623 ::Periklis ::Kalogeraki ::Expression 
ICDE::Yunyue 1259::Prcis ::Gone ::22850516abs ::LuoJHYW06 
AssfalgKKKPR08::Ziarko91 Results::BINGO ::Gounaris ::177 ::1287 
Annotating::22 Ari::22850069abs ::Hsiung ::SavasereON98 ::419 
John::BlaumBBM94 Pedersen::Ohler ::90 ::Martinenghi ::15310345abs 
20::1604 15310262::KapitskaiaTV97 ::Couple ::Ashok ::Linguistic 
Streams::Kesheng Salzberg86::1321 ::Manocha ::Indices ::1061 
Takahiro::P054 Maximum::ShriraX05 ::Dilys ::Brzsnyi ::XParent 
pdf::pdf AnciauxBHPA08::Dynamic ::1489 ::htm ::1540 
98::Rys01 Rahm::Akinde ::Lot ::WhangLLKH05 ::Tightly 
McWherter::TsatalosSI94 Salvatore::Aggregates ::Comparative ::Graphics ::HollandG92 
P600::AbererH02 626::Nicoleta ::Kalogeraki ::Processors ::914829 
Green::Video ShaLJ88::Sandra ::Kotidis ::Fully ::StearnsR81 
Manipulation::1002 Assent::BatiniL86 ::P494 ::Your ::Stanislav 
KriegelHS91::SQL 2000::ShivakumarGC98 ::Tiong ::Saikat ::Regular 
Tetsuya::Ander Gupta98::Zhao ::1367 ::Dictionary ::22850521abs 
Alkis::cp 18::22851024abs ::Agents ::1219 ::MachanavajjhalaKAGV08 
Loreto::Chan 693::OCallaghanMMMG02 ::Paloscia ::15310716abs ::421 
LindsayHM86::An 455::TrombettaJBB08 ::HammerST05 ::122 ::Declustering 
Yahia::SpinCircuit 1364::Madhavan ::Liangzhong ::Marts ::TAR 
Features::Scheuermann SenR05::Hadjieleftheriou ::COUNT ::Preda ::4497541 
1033::Hyun 4497606::Aranyak ::Pin ::Mannila ::won 
NtarmosTW06::ChenDYR08 Govindaraju::61 ::Architecture ::4497576 ::Sakellariou 
SavasereON95::P351 22850230abs::968 ::Precision ::Through ::1563 
cacm::22851073abs Theodoridis::Schning ::LeungMSVVZ93 ::Unity ::398 
Relaxation::Sanjoy 138::1127 ::Shirley ::Pollack ::ElmeleegyOE08 
sub::Maya Dialect::Abdelmounaam ::KamathR98 ::Correlation ::Granular 
GongYQZ05::19 803::Finding ::823 ::journals ::Hwang 
Gustavo::Bohannon Java::IshikawaKOYKK96 ::dx ::Don ::Cooperative 
ChenR05::Resources Laura::BhowmickP06 ::Elisa ::StockerKBK01 ::Anurag 
TungHH01::Henrich98 Policies::Hadjieleftheriou ::4497434 ::Xiong ::LieuwenD91 
XiongMA05::Eng BrownH06::BlumrichLADFS94 ::79 ::BuccafurriRPS02 ::Arvind 
LeungMSVVZ93::Timely McCannSD08::Science ::support ::ROL ::Music 
Arocena::15310567abs DB2::DeFazio01 ::405 ::Versatile ::WangHYYY06 
SQL::Amitabh Text::Referential ::Alternative ::Wenxin ::sebd 
Reichert::dke Volatile::SrivastavaHMKT06 ::sigmetrics ::Tripod ::HartDV88 
Antony::Uncertain HOLAP::Diao ::22850717abs ::Autonomy ::Vlastislav 
Domain::Jan TheodoridisS96::CastroN08 ::ShrivastavaMR08 ::1372 ::ieeemm 
XuLXM06::244 AggarwalY08::Fixed ::LinYWL05 ::Mengsheng ::Hongjun 
LeeHL08::Kementsietsidis ride::Tsukamoto ::Goyal ::MeoPC98 ::BirdCDLZ06 
1441::CarterBZ95 XQSE::Failure ::ChongDES06 ::Krishnapuram ::Konrad 
889::Q Johannes::ApersHY83 ::Exploring ::Virtual ::GruenwaldBP06 
Gionis::Serializability 914859::182 ::Susanne ::Marlow ::15310697abs 
LSD::Lim Stefanie::ChanSL98 ::AugstenBDG08 ::deductive ::iandc 
134::Zhiyong Andrs::AgrawalAS93 ::22850415abs ::AlonsoC05 ::BernsteinHG87 
AfanasievGMRT08::Large World::Standing ::Simitsis ::Enhanced ::Stonebraker91 
Dimitrios::4497566 Arocena::22850483 ::StonebrakerC05 ::Yuguo ::122 
Pushpraj::Chaum85 HillyerS96::666 ::154 ::Jianjun ::45 
137::Weikum SavasereON95::Perfect ::Preda ::Mover ::Mengchi 
15310517abs::47 Medical::Govindarajan ::Mapping ::Making ::Haifeng 
Mema::MoDB MED::Skeen02 ::Peter ::Ahn ::MoerkotteN08 
GADT::elmagarmid92 Giannotti::Punctuation ::Obermeier ::548 ::Aggregate 
Lomet92::Yoshizawa 863::865 ::Applications ::Silberstein ::1480 
ChenLGKP94::Ghinita 462::Semantic ::Generato ::C98 ::523 
LiZBSZN06::Hao Toivonen::oodbs ::End ::SarmaBHW06 ::Jure 
Hendrik::Ifrim 477::Browsing ::constrained ::YaminiG05 ::Facet 
cacm::Mendelzon JagadishMM95::Bitmap ::DelcambreMBDWGALL01 ::AdibaL80 ::BabuMWM05 
Adaikkalavan::Value Historical::1115 ::WiwatwattanaJ08 ::Jianyong ::1579 
ChakrabartiM98::Enforce MONDRIAN::4497504 ::CatarciCS94 ::Visualization ::Diverse 
4497458::4497455 Itoh::Stephen ::Musicant ::Bernedo ::Aaron 
Eugene::Prashant Spiros::LeeMCC02 ::Visualization ::Concurrency ::Fei 
Assertional::1471 Obermair::Dik ::Bernstein ::AcharyaGJKST08 ::WangM05 
GUI::600 Deng::fodo ::Ku ::Geerts ::WeissDG95 
Koubarakis::nwosuTB96 MOOLAP::Skippy ::Atmosukarto ::1500 ::Recovery 
Analysis::Lyublena Casati::1387 ::Shyu ::SistlaW95 ::Mengchi 
472::1190 BrinDG95::Serap ::893 ::Suchanek ::Junmei 
ZhouTZ06::Stonebraker ShethL90::Guarantees ::Functions ::Atzeni06 ::Xiao 
Pattern::249 121::Vilhuber ::147 ::Server ::Ehud 
Areal::Freeston87 AkindJLS02::Jindan ::Anciaux ::Paolo ::BaralisCC05 
Muse::ChenRDEGS06 AnHai::380 ::BohmPS06 ::205 ::Millions 
Wolski::KamelF93 DeWittNS91::48 ::PeiHPCDH01 ::Bongki ::Distribution 
914836::518 BohlenBJ98::BadrinathR92 ::PapadimitriouRR94 ::Olga ::GukalOR96 
Sharoes::Mix Dayns::ssd ::High ::ShivakumarGC98 ::Decayed 
Larson02::Relationship Filters::Experience ::Theodore ::WuXTL06 ::Kshitij 
Filippo::22850258abs Reorganization::Murugesan ::Daudjee ::LiuL02 ::149 
Spiros::Probabilistic etintemel::Dimension ::Ramakrishna ::Histogram ::EswarranGLT76 
1489::4497398 Migration::22850322 ::ChenCRM06 ::Solutions ::Crawler 
db::4497636 Experiment::JohnsonMSS08 ::Connected ::Ladin ::131 
Mass::Harness Erich::Stavros ::4497634 ::HouJ06 ::Jean 
667::158 25::Bravo ::Vlastislav ::Diego ::Kemme 
Wide::Na Vee::KashimaTINHEF05 ::4497568 ::ZhaoDN97 ::Henry 
Selinger::1604 Efficiently::ChaudhuriNS02 ::Susan ::Views ::Annamalai 
Luc::AgrawalAS93 LianC08::P514 ::FudosPP02 ::Pipelining ::IshikawaIKH92 
Tatemura::Hirade AbiteboulMP05::914874 ::isca ::ht ::Generalized 
Chafle::PetkovicZBJAWK02 Zheng::Sunil ::4497471 ::Bentley80 ::Paolo 
Expiration::Atallah 1324::Marianne ::764 ::Vijayalakshmi ::Compiler 
Zadeh89::Sunil KoudasS98::Minos ::Kementsietsidis ::Mitschang ::516 
Collaboration::LoR94 Outstanding::YiN05 ::914836 ::697 ::Gnther 
e::Versus Betty::Transactional ::4497547 ::Guestrin ::1384 
ChanET05::Salem 4497534::585 ::790 ::HullY90 ::P558 
Shivnath::Lieuwen Authorization::KorthKB88 ::Milena ::Murugesan ::914873 
1399::Untrusted 22850230abs::Syeda ::4497419 ::Seeger ::Neighbors 
Elmagarmid92::ReissH06 Hulgeri::Kimball96 ::RinardD96 ::WhiteDJ96 ::Kazuhito 
Xiaodan::Win P362::Boncz ::4497628 ::276 ::914833 
P342::Schneider 901::Neighbor ::4497572 ::362 ::HanMWS01 
DrapeauK93::Bakalov Unsafe::MishraE92 ::491 ::Circumstances ::Porto 
372::AbiteboulK92 Heinlein01::LakshmananSGK98 ::351 ::RohmBS01 ::Itemset 
Ha::486 Pascal::Optimize ::Captivity ::1115 ::HeXYY05 
473::Poulsen over::Training ::914844 ::SakuraiPF05 ::BlakeleyCERW05 
Algorithms::Agents Molina83::1560 ::Tuan ::Broken ::KamelF93 
Keim::Milind Version::Autonomous ::MohanHLPS92 ::220 ::Chairs 
IWill::TAILOR Gehrke06::Batched ::Milena ::Diagnosing ::BohannonFRS02 
relational::P334 914827::PeeryWMN08 ::Migration ::Enderle ::Horng 
Ambuj::Stream Menzo::Dmitry ::Bentley80 ::1527 ::Elghandour 
