::Kitagawa ::Taube 
::An ::Query 
::Open ::519 
::Birgitta ::Artur 
::88 ::Vossen 
::Allan ::Merz 
::Cook ::Semantic 
::124 ::Cai 
::DOODLE ::Ho 
::Lineare ::Aberer 
::Residues ::Keulen 
::Paepcke ::BUCKY 
::Residues ::Schnhoff 
::Selinger ::Medeiros 
::Minute ::231 
::Y ::Versioning 
::Kulkarni ::Katz 
::3 ::Daz 
::Assurance ::Miron 
::Miguel ::Third 
::Sistla ::Redundant 
::Files ::Clifford 
::Tokens ::Deppe 
::Sampaio ::Nural 
::Ahn ::42 
::Hierarchical ::Statement 
::Experiments ::538 
::133 ::Buffers 
::Laks ::549 
::Cevdet ::67 
::Parallelism ::Winslett 
::Ramana ::VMS 
::Hash ::Machines 
::Papoulis ::Per 
::yiu ::Agrawal 
::227 ::issues 
::Graphs ::480 
::Martin ::Restrictions 
::Aiken ::Year 
::Arie ::Pozzi 
::Progress ::Jonas 
::Access ::Mohammed 
::Rulebase ::567 
::Karl ::Abraham 
::Fetches ::Educational 
::Out ::Yang 
::30 ::Non 
::Eric ::technology 
::Software ::Kulkarni 
::Rishiyur ::Compensation 
::Luis ::467 
::Wilhelm ::Shapiro 
::Differential ::Fred 
::Vervaet ::Local 
::Birgitta ::36 
::Reconstructed ::Component 
::253 ::323 
::Marti ::Koudas 
::Radek ::177 
::Bryan ::Multiprocessor 
::Ray ::Stanford 
::Ait ::Cooperation 
::323 ::337 
::Laver ::BCNF 
::Graphs ::Jochen 
::data ::Therber 
::Asuman ::Wm 
::130 ::Beng 
::71 ::Alejandro 
::Remotely ::Bushy 
::Garbage ::Yates 
::Willie ::Sema 
::Kaplan ::Haran 
::Component ::Cai 
::371 ::NASA 
::Semantics ::Riccardo 
::EFDBS ::Selectivity 
::Radek ::Chaudhary 
::Lothar ::Expected 
::172 ::287 
::Perform ::221 
::Cocktail ::Berson 
::Beyer ::468 
::Rafiei ::Impact 
::47 ::Eisenberg 
::Evrendilek ::SPARC 
::Imielinski ::Bressan 
::Bressan ::POSTGRES 
::Lon ::Tschernko 
::Dimitra ::Han 
::Takeshi ::Outerjoins 
::Utilization ::Schema 
::219 ::HG 
::Answering ::Referential 
::Bergamaschi ::Segev 
::Deshpande ::Partial 
::Gonzalo ::250 
::Autonomous ::Kspert 
::Cheap ::Loading 
::Konstantinos ::Perry 
::Peter ::Acitivities 
::Plaisant ::Souder 
::1993 ::Helal 
::Sampling ::Left 
::Automation ::6 
::Classroom ::Form 
::Fagin ::6 
::Rajiv ::Vincent 
::Umesh ::551 
::Sensed ::McIver 
::Deshpande ::Yihong 
::Documents ::Initial 
::Christian ::Servers 
::Availability ::Extended 
::Qualitative ::314 
::Hide ::Dong 
::Kamel ::Lanzelotte 
::Predicting ::Skeen 
::Guidelines ::DataBlade 
::184 ::Flexible 
::Correctness ::Active 
::Structured ::Extracting 
::Read ::Roger 
::Treasurer ::Quasi 
::4th ::Synthetic 
::Selection ::Valduriez 
::Generalizing ::Optimized 
::556 ::Video 
::Security ::Arthur 
::Johann ::Lu 
::253 ::Zat 
::Mauricio ::Observing 
::Selection ::He 
::PREDATOR ::Rashid 
::Meets ::Lynn 
::structured ::81 
::Altinel ::There 
::Georgakopoulos ::Adaptive 
::WWW ::GeoMiner 
::How ::Mohamed 
::Project ::217 
::Generalized ::Cube 
::zden ::ETH 
::267 ::Dependencies 
::125 ::Can 
::Nado ::Burrows 
::Sengupta ::AMS 
::Walters ::Kurt 
::Adya ::Solution 
::Capability ::Harald 
::Sergey ::Ada 
::Kyoji ::546 
::VideoAnywhere ::IM 
::Ghandeharizadeh ::Handling 
::113 ::Inc 
::Mike ::Haim 
::Silvio ::Luis 
::491 ::Narain 
::issue ::David 
::Objectives ::Chopping 
::Levy ::Tei 
::158 ::Juergen 
::Actions ::Technical 
::Weinberger ::R 
::SEQUOIA ::572 
::Alfonso ::Obrst 
::23 ::Kwei 
::High ::114 
::Sripada ::Schnhoff 
::Join ::Algorithm 
::Ghosh ::550 
::Goyal ::Brodsky 
::Tokuyama ::Optimizer 
::Xiangyu ::160 
::Numeric ::Gnauer 
::Flat ::Number 
::Going ::Publication 
::Key ::Component 
::DeeDS ::Wilms 
::DeeDS ::Linkage 
::Moshe ::Remotely 
::Fast ::Paraboschi 
::Brodie ::Query 
::Laura ::Daz 
::Zorn ::Efficient 
::Jefferson ::Universal 
::DOODLE ::Cooperation 
::Jan ::Tien 
::Machlin ::Gawlick 
::Konstantinos ::Helen 
::292 ::Breaking 
::Extraction ::Barbara 
::Large ::language 
::Erik ::Louis 
::Nestorov ::Pons 
::Marr ::P 
::Han ::Sean 
::Trade ::Domains 
::Gelder ::321 
::Gingras ::Structural 
::Databases ::Diagram 
::Connell ::based 
::Kim ::Dogac 
::McKenzie ::Flix 
::T ::Connection 
::7 ::Badia 
::89 ::tolerant 
::Infinite ::Project 
::Has ::Bhm 
::HG ::185 
::59 ::Record 
::Chaudhary ::Stole 
::255 ::Based 
::225 ::Improving 
::Niki ::Deductive 
::Jumping ::Resnick 
::Jignesh ::Mark 
::Don ::Isabel 
::Principles ::Kucera 
::Fixing ::276 
::Loops ::Kocharekar 
::Record ::Ken 
::Segev ::Sleepers 
::Testbed ::474 
::152 ::Publication 
::Executions ::Shekar 
::Materialized ::Baeza 
::Wilson ::Kotidis 
::Shutdown ::Christoph 
::Klas ::Experiencing 
::461 ::170 
::AMS ::the 
::Morishita ::Take 
::Ebru ::Plateau 
::Framework ::in 
::Bressan ::Ju 
::Stole ::Multiple 
::Swami ::Cowley 
::Expected ::Bernhard 
::Mult ::Manish 
::Testbed ::ADBMS 
::Shutdown ::Freeman 
::zden ::325 
::Lorie ::Yue 
::James ::Hierarchy 
::150 ::Hughes 
::Roland ::Language 
::Progress ::Yue 
::Inverted ::Testbed 
::Tagg ::Bry 
::Printezis ::Nimrod 
::Thatte ::Semi 
::Jenkins ::zsoyoglu 
::Stephan ::Kifer 
::Some ::Invitational 
::Grasnickel ::Advanced 
::Singh ::Seluk 
::Errors ::Disambiguation 
::340 ::Decompositions 
::313 ::Lipeck 
::Jukic ::Step 
::Sockut ::Qualitative 
::Pletch ::Baden 
::Lon ::Opportunities 
::Willie ::Engine 
::Catarci ::Association 
::Incorporating ::Goldfine 
::Document ::Houtsma 
::Katz ::219 
::STRUDEL ::Takashi 
::SBBD ::Brachman 
::Department ::Experimental 
::Problems ::178 
::Chim ::Jhingran 
::DBS ::Schuh 
::Displays ::Luef 
::3D ::Roland 
::Suciu ::336 
::Eben ::MOSAICO 
::Babis ::Declustering 
::Replicated ::Hugo 
::337 ::Stephen 
::Lougenia ::Skowronek 
::Transition ::Karypis 
::321 ::Yurek 
::Luo ::Source 
::Helal ::Wilhelm 
::86 ::112 
::158 ::Illustra 
::COSS ::Distribution 
::RISC ::Trobe 
::DOODLE ::Laver 
::Locking ::Impact 
::Andersen ::Theodoridou 
::or ::Compensation 
::Radzyminski ::Client 
::Victor ::Lothar 
::Nick ::Extensions 
::Babis ::AlphaSort 
::Cluet ::Madnick 
::Frew ::347 
::Scacchi ::Lifestreams 
::228 ::Maheshwari 
::Saying ::In 
::Resistant ::Brachman 
::Connection ::Into 
::Bennet ::Fugini 
::Grammar ::STanford 
::Au ::Results 
::Strssler ::262 
::STRIP ::Levy 
::Tamer ::Kam 
::Delobel ::Christine 
::Are ::Through 
::Goyal ::Thinksheet 
::Antonia ::Piero 
::Lorie ::Nothing 
::Fragments ::Meral 
::Segev ::366 
::84 ::564 
::Shiri ::Indexes 
::Taosong ::Stamos 
::Budget ::Graefe 
::F ::Building 
::DBSim ::Lipeck 
::Evolving ::Karypis 
::File ::Gregory 
::Extended ::Real 
::352 ::Record 
::Inderpal ::Influencing 
::42 ::Mendona 
::Hussein ::Jack 
::82 ::Hbel 
::Jint ::Atri 
::Complexity ::Architecture 
::Mult ::Repository 
::Subramanian ::Chuan 
::Activities ::Upon 
::of ::366 
::218 ::Budet 
::Execution ::560 
::Myllymaki ::1 
::Transaction ::Harry 
::Goh ::Bernard 
::Willie ::Cichocki 
::Mohammed ::Visualizing 
::It ::96 
::Fragments ::Bltzingsloewen 
::Diagram ::Advances 
::572 ::153 
::Miguel ::Bauzer 
::Results ::Gregory 
::Morpain ::Morishita 
::Revisited ::Urban 
::Deppe ::Chopping 
::Disco ::Buchmann 
::UDK ::Confluence 
::Preliminary ::Massively 
::250 ::Vossen 
::Elmasri ::Horizontal 
::Consistent ::Flaws 
::485 ::489 
::Down ::435 
::Flat ::Shutdown 
::Centre ::Antonia 
::FaceKit ::Sandeep 
::Natarajan ::Wiest 
::Tsuei ::Mohammed 
::Joosten ::Right 
::volume ::Relihan 
::Optimization ::Enterprise 
::General ::Batory 
::206 ::there 
::tolerant ::Observing 
::Unpacking ::Akira 
::Skeen ::Updating 
::Tannen ::Requirements 
::Semantic ::Mayer 
::Optimal ::Safe 
::218 ::Thuraisingham 
::Earl ::tolerant 
::146 ::Arturo 
::Tompa ::Erik 
::Jensen ::Shoring 
::Narain ::Erik 
::Guarantee ::Willis 
::108 ::Justin 
::79 ::Bernstein 
::Lawrence ::Marc 
::355 ::ADBMS 
::Security ::Hide 
::Reduction ::Determinism 
::Size ::Querying 
::Konrad ::Donko 
::Norrie ::Concepts 
::Hasanat ::Ahmed 
::Philippe ::Tien 
::Function ::Mlle 
::Devolution ::zsu 
::Reformulated ::Free 
::Lo ::Transactions 
::Kriegel ::Manolis 
::386 ::Don 
::Samet ::NTHU 
::Dean ::Yossi 
::T ::Hayes 
::Marron ::Erich 
::Ghassan ::Tarantino 
::Usability ::Expressions 
::Variant ::Called 
::Sandeep ::Hui 
::Mick ::Publication 
::Agents ::Tolga 
::DataBlade ::Universal 
::Shoshani ::SMP 
::Ohori ::OOPSLA 
::450 ::Ralf 
::Hirata ::326 
::Versus ::Baden 
::Therber ::Erratum 
::Dao ::459 
::Bombay ::Ins 
::Forte ::Orientation 
::Alphanumeric ::Geo 
::72 ::Goldner 
::Winfried ::Jeffrey 
::Saxton ::Growing 
::Contextualizing ::Held 
::369 ::DBMiner 
::Nag ::Fundamental 
::Denotational ::Kaizhong 
::470 ::Directions 
::title ::Log 
::Queries ::Initial 
::Normal ::28 
::Internal ::T 
::Maurice ::Latha 
::Aggregate ::Functional 
::129 ::Kolodner 
::Ghemawat ::Margulies 
::Dependence ::Maurizio 
::Keith ::Effectiveness 
::129 ::Interoperable 
::3 ::Out 
::Apparatus ::Neuhold 
::Inge ::Constructing 
::Zhao ::Icons 
::Myers ::Egemen 
::Third ::Sequences 
::SE ::Zoerntlein 
::System ::Keller 
::ARIADNE ::19 
::SONAR ::Gibbs 
::553 ::Limsoon 
::Wimmers ::Strssler 
::Fritz ::Tarantino 
::Gultekin ::Mohammed 
::Lakshmanan ::323 
::Transient ::Guido 
::Keller ::Min 
::Tansel ::Catriel 
::Spatial ::Restrictions 
::Read ::63 
::Saying ::Wasserman 
::Security ::Jakobisiak 
::a ::Zhou 
::driven ::Improving 
::Wenger ::Providing 
::Weienfels ::361 
::Vassilis ::Warkentyne 
::Ferri ::Jumping 
::Jian ::Gibbs 
::Beyer ::Similarity 
::Nandit ::Abraham 
::Adya ::Haas 
::an ::Pessimistic 
::Steinbrunn ::Yangarber 
::93 ::Linda 
::Klauser ::Wiest 
::RAID5 ::Creation 
::Generation ::Machines 
::Elmagarmid ::Activities 
::Kuck ::Heiler 
::33 ::Bruns 
::Raymond ::Cubes 
::Christophe ::Answer 
::Press ::Pernul 
::Shmueli ::Rona 
::Simulation ::Turau 
::Zorn ::Role 
::TSIMMIS ::Framework 
::Locally ::412 
::Blott ::113 
::Gemis ::Stochastic 
::427 ::Knowledge 
::Baldeo ::Outs 
::External ::Dengi 
::Trueblood ::Intelligent 
::Shian ::Phatak 
::Support ::MENTOR 
::1951 ::Salzberg 
::Cruz ::Partitioning 
::Observable ::Sibel 
::Rafanelli ::Change 
::Anonymous ::Bussche 
::Silvana ::Fynn 
::non ::Theory 
::28 ::Solving 
::329 ::Bocca 
::HweeHwa ::It 
::Implementing ::Mayford 
::Who ::Vander 
::Rulebase ::Jun 
::79 ::Braham 
::Ray ::Kao 
::Smith ::99 
::Pixel ::Indian 
::Predicates ::Dusseau 
::Juergen ::Firm 
::Vardi ::Chaudhuri 
::Polymorphic ::339 
::Combinatorial ::Changing 
::Bohrer ::504 
::Impact ::Luef 
::Beng ::Industrial 
::Benson ::Generalizing 
::Wimmers ::219 
::Curry ::Srikant 
::Fabio ::External 
::Qualitative ::Shmueli 
::Overview ::Association 
::Heytens ::Burns 
::Optimistic ::Himanshu 
::Traversal ::Fynn 
::Auwera ::Chris 
::0 ::Interval 
::Qaimari ::Knox 
::James ::ITRI 
::Ahlberg ::Completeness 
::Write ::Griffin 
::their ::Kspert 
::Windows ::Darling 
::AMS ::Highly 
::Samet ::Machine 
::Alessandro ::Relaxed 
::MEDUSA ::Christos 
::Made ::14 
::Karlapalem ::Richard 
::Interaction ::193 
::ONTOS ::Querying 
::549 ::Torlone 
::Sciore ::EDUCE 
::Jeanine ::adaptive 
::Antonia ::Burrows 
::Eisenberg ::Is 
::Uz ::Initial 
::Development ::Scacchi 
::544 ::Neptune 
::Types ::Time 
::Behavior ::Avoid 
::Cartesian ::Presentation 
::Xiangyu ::Grammar 
::Hashing ::Value 
::as ::On 
::Seshadri ::265 
::DOODLE ::QuickStore 
::Yun ::Valduriez 
::Asuman ::Trueblood 
::Lamersdorf ::Hung 
::Novak ::Christophides 
::326 ::Jarke 
::Apparatus ::Badrinath 
::Products ::Ahn 
::Pirotte ::Page 
::GESTALT ::128 
::The ::Beat 
::14 ::84 
::Wilcox ::383 
::Disambiguation ::Grasnickel 
::Vassalos ::Atomic 
::Third ::Write 
::Christopher ::Commitment 
::51 ::90 
::Sun ::Brian 
::Bhargava ::Chairman 
::Constraint ::Leonard 
::Multisafe ::Bhargava 
::Seluk ::Classroom 
::What ::Protocol 
::Mitschang ::Morimoto 
::Selinger ::Unix 
::Pletch ::DARPA 
::DART ::Scale 
::Carey ::Sakahara 
::Computing ::Knig 
::Timothy ::Shasha 
::417 ::Jessie 
::Nematollaah ::480 
::158 ::Libkin 
::Sergey ::Deleting 
::Compiling ::Lum 
::Jordan ::Ozkan 
::Cyclic ::Marti 
::Shum ::Dusseau 
::271 ::Roger 
::Dallan ::Melvin 
::order ::OODBMS 
::Fynn ::Vander 
::Capability ::Back 
::Esther ::Complex 
::Miller ::Without 
::Triggers ::Tompa 
::Rational ::386 
::Burns ::Symmetric 
::Soloviev ::Unnikrishnan 
::Fishman ::Lists 
::277 ::Designers 
::Min ::Scientific 
::Prashant ::Commitment 
::Solution ::Klemens 
::Enhancement ::von 
::Konstantinos ::Seeded 
::Krishnamurthy ::Mandy 
::Modify ::Hawthorn 
::Compression ::312 
::Stankovic ::44 
::Base ::Time 
::Workaholics ::Optimizing 
::Snodgrass ::Sinha 
::Evolution ::206 
::Usability ::4 
::Philippe ::Jan 
::Zaharioudakis ::Datta 
::Wiest ::Polyzois 
::Ieong ::Chawathe 
::Hull ::Implementing 
::Hadzilacos ::Going 
::5 ::Lo 
::Starburst ::Actual 
::Kornacker ::Brinkhoff 
::Krll ::Terms 
::Merge ::405 
::Section ::Haas 
::Valduriez ::331 
::Lam ::Borgida 
::Relational ::Rundensteiner 
::Maryland ::153 
::Predicate ::Frew 
::Algorithm ::75 
::Baden ::85 
::Left ::Flexible 
::Missing ::Solving 
::Good ::Knox 
::57 ::Treasurer 
::Skew ::Consensus 
::Conjuction ::Histograms 
::Jenny ::Introduction 
::Li ::Ion 
::Mohammad ::Mohamed 
::Models ::McHugh 
::Jerry ::Tolga 
::Order ::Hussein 
::Zaniolo ::Ries 
::Agrawal ::Ohori 
::Sinha ::242 
::Integrating ::Krll 
::226 ::Brad 
::Avoid ::Shoshani 
::Jukic ::Kenn 
::Picture ::Schwartz 
::Jones ::Agrawal 
::Siegel ::Bussche 
::Main ::E 
::Engine ::Distributor 
::Function ::401 
::Multimedia ::Mahboob 
::Optimal ::Valery 
::319 ::Security 
::Breaking ::Ramakrishnan 
::Gerlinde ::Engine 
::Recursive ::251 
::Semantics ::Yerneni 
::initPage ::Chakravarthy 
::Architecture ::Transition 
::Array ::zgr 
::Kramer ::Memory 
::Fll ::Relations 
::Rabinovich ::101 
::Current ::Jennifer 
::L ::Carter 
::Cammarata ::Daz 
::Determinism ::122 
::Disjunction ::Woelk 
::Klauser ::Cox 
::Optimizers ::Multiple 
::Must ::Gallagher 
::Acharya ::Kam 
::sets ::Decompositions 
::Ramez ::Masses 
::CoopWARE ::Feedback 
::97 ::Calculus 
::Report ::58 
::Borgida ::Motakis 
::Syntax ::Desktop 
::Tsuei ::Markus 
::O2 ::Carlo 
::Conversion ::Illustra 
::Shan ::Jan 
::meet ::Madhu 
::Jrgen ::252 
::Gravano ::The 
::Lodge ::Andrea 
::Earth ::Schnhoff 
::Pramanik ::Firm 
::Faloutsos ::260 
::automatic ::Recurrent 
::Cache ::Special 
::Correctness ::Sivasankaran 
::Wen ::Concurrency 
::Imielinski ::NET 
::How ::353 
::Multidatabases ::Subsequence 
::532 ::State 
::Bry ::Phil 
::Specifications ::Dennis 
::Margulies ::zden 
::Joseph ::Cetin 
::Minute ::Lin 
::Usage ::Language 
::Providing ::O2 
::Heterogeneous ::Indexing 
::2000 ::Features 
::Leung ::Lodge 
::Joosten ::Marian 
::Donjerkovic ::Closing 
::Current ::Panagos 
::Colin ::Ariel 
::Third ::209 
::Venky ::Ohori 
::Seligman ::Stephan 
::Webb ::Rosana 
::ACM ::Strssler 
::Miranda ::Lim 
::Mogi ::419 
::they ::Fernandez 
::Deferred ::Vienna 
::HG ::Doo 
::Evolving ::Terrance 
::Woelk ::Of 
::wide ::Sudhir 
::Phil ::Mehdi 
::Database ::407 
::Rasikan ::Kazuhiko 
::Profiles ::Ptool 
::Atzeni ::Evolving 
::Kooi ::Wendy 
::215 ::Keun 
::Enhancement ::Replication 
::Roantree ::Ganapathi 
::Starburst ::Robertson 
::COSS ::Study 
::Postgres ::3D 
::Garlic ::Lore 
::Yannis ::Bamford 
::Knox ::Soo 
::r ::Chou 
::Sites ::446 
::Andrew ::Ghassan 
::Duri ::Observable 
::TODS ::Rosneblatt 
::Implementing ::Stuart 
::Klonk ::Upgrade 
::Metric ::Susanne 
::Svetlozar ::Walt 
::Chi ::Future 
::Assisted ::Discovery 
::Woolf ::Space 
::Extendeing ::Miller 
::John ::Vincini 
::RISC ::434 
::LRU ::Pull 
::Join ::Workbench 
::Fraternali ::Warehouses 
::325 ::Accociation 
::Liskov ::Step 
::Wright ::105 
::Lorentzos ::Stavros 
::Retrieval ::meet 
::Files ::Reconciliation 
::vendor ::Distance 
::340 ::482 
::Jamison ::289 
::Tailoring ::Ellis 
::33 ::Hawthorn 
::Dale ::Can 
::Firm ::MMDBS 
::Badrinath ::Approach 
::Meta ::Lothar 
::NET ::GeoMiner 
::Values ::465 
::Ohori ::Souder 
::61 ::Written 
::Illustra ::Server 
::Wars ::Connection 
::Energy ::Oracle 
::Annie ::146 
::Vander ::Daniela 
::Wars ::Roberto 
::Pires ::76 
::277 ::Kuntz 
::Pernul ::Cammarata 
::Codes ::Levy 
::Ishwar ::Architecture 
::Juergen ::Cubetree 
::Kooi ::Brin 
::Web ::Selection 
::261 ::Agenda 
::Schmidt ::Condition 
::Chomicki ::Schwartz 
::Tyler ::W 
::Asserting ::Area 
::Claire ::Glossary 
::Eui ::13th 
::Wayne ::Lim 
::Educational ::Expected 
::382 ::issues 
::Designers ::Erhard 
::Dogac ::137 
::Approach ::Anupam 
::Cheng ::SMP 
::Stored ::Locking 
::Stuart ::Problem 
::378 ::Joakim 
::WORM ::NF2 
::543 ::Amateur 
::336 ::New 
::Wrttemberg ::15 
::Hard ::428 
::Mariano ::S3 
::Mohammed ::Hare 
::Franklin ::Theo 
::Medeiros ::Alan 
::Characteristics ::Bob 
::191 ::Stephanie 
::Resistant ::Handling 
::Markowitz ::DIRECT 
::87 ::Shinichi 
::Diagram ::Gottfried 
::Locally ::Visualization 
::Tryfona ::Unstructured 
::Jukic ::Keng 
::Storage ::David 
::Orthogonally ::Shiri 
::Colby ::Lorentzos 
::Unstructured ::Note 
::Supporting ::483 
::Flix ::166 
::292 ::6 
::Breunig ::Oliver 
::Fixing ::Arne 
::Souza ::Referential 
::127 ::Languages 
::Genesereth ::Santucci 
::Resistant ::Yannis 
::Multidatabase ::Unifying 
::Pedersen ::339 
::Approaches ::Brad 
::Review ::108 
::Mixed ::Towards 
::176 ::Composite 
::Cost ::143 
::George ::139 
::321 ::Reconciliation 
::Letter ::Hyuk 
::528 ::Component 
::Bltzingsloewen ::Divesh 
::Goel ::Robert 
::Gregory ::Perspectives 
::466 ::Cubes 
::language ::tolerant 
::Laura ::Hoc 
::Zat ::Lists 
::Zaniolo ::Stphane 
::Other ::Availability 
::Codes ::Tian 
::Interaction ::Systems 
::Knig ::ARPA 
::Applications ::268 
::Roantree ::Lip 
::Willie ::Skowronek 
::Type ::DBMS 
::Workbench ::Genesereth 
::Sagonas ::Domains 
::any ::formerly 
::Jukic ::Buffers 
::Limsoon ::Johann 
::401 ::SG 
::2001 ::Widmayer 
::Tim ::Hughes 
::Been ::Oki 
::OODBMS ::Ada 
::Subrahmanian ::Ray 
::Hall ::Ozkan 
::262 ::Roy 
::Upon ::240 
::559 ::Documents 
::Schning ::Wayne 
::Riccardo ::Web 
::Maintenance ::Walters 
::Deadlock ::Practice 
::Workshop ::Morishita 
::Walter ::Area 
::Pletch ::218 
::Consensus ::555 
::Stored ::Gehani 
::Studies ::Maintenance 
::Educational ::Sudhir 
::Mendona ::STRUDEL 
::Massively ::Penalty 
::Scalar ::Loops 
::Wrttemberg ::Yezdi 
::Klug ::For 
::Luef ::DBLearn 
::Assessment ::GEM 
::Wrapper ::Thuraisingham 
::Bombay ::Processing 
::Hanan ::Jhingran 
::Kn ::Ahn 
::205 ::Cruz 
::Darwen ::Standard 
::NASA ::Vipin 
::Convent ::authors 
::Colette ::Anant 
::Selectivity ::Static 
::Reuter ::Towsley 
::Towards ::Viswanathan 
::13th ::Nested 
::MultiView ::Extension 
::Mandy ::Bing 
::Marek ::Katz 
::Arjan ::Infinite 
::Environments ::Disc 
::Support ::139 
::Takanari ::Rapid 
::Achievements ::Lineare 
::Doppelhammer ::Alperin 
::OLE ::Karthikeyan 
::Telecommunications ::Vitter 
::Forouzan ::Challenges 
::Red ::Luis 
::Ray ::Arturo 
::Announcement ::Xiong 
::Architectures ::Frasson 
::wide ::Good 
::Scaleable ::Complex 
::Browsing ::Cai 
::Harris ::Raymond 
::McIver ::Bulk 
::Experiencing ::Candan 
::Roantree ::Brachman 
::Young ::They 
::Coterie ::Claude 
::Walter ::Retention 
::Gerd ::Cost 
::Much ::Schema 
::Validation ::Yu 
::Prasad ::Yongdong 
::their ::Module 
::Tsur ::Mediator 
::Bushy ::Luc 
::Stuart ::446 
::an ::Achyutuni 
::Hasan ::QuickStore 
::Maxine ::Dewan 
::Xiaoyang ::467 
::Dyson ::database 
::273 ::Kfer 
::218 ::Aided 
::30 ::Davood 
::Trees ::Tim 
::Chi ::Brin 
::Haim ::Konrad 
::Transfers ::Magic 
::6 ::Optimizer 
::Brick ::540 
::Kuntz ::Modeling 
::Inge ::Pletch 
::Rowe ::Brigitte 
::Limsoon ::re 
::Optimized ::Berchtold 
::Wilcox ::Agents 
::Gucht ::Matias 
::US ::Eaglestone 
::Achitecture ::Shane 
::Tarantino ::Architecture 
::Nenad ::ASSET 
::Dirk ::Papoulis 
::It ::Yehoshua 
::Jamison ::Kenn 
::Bhm ::194 
::Datenbases ::Sequential 
::264 ::Yates 
::Sudarshan ::First 
::Persistence ::tolerant 
::Michele ::Manolis 
::Maintaining ::Naughton 
::Tova ::Catriel 
::288 ::Amy 
::74 ::Special 
::Sylvia ::State 
::Hong ::Sistla 
::1988 ::Ouri 
::Kiyoki ::SigmodRecord 
::Triggers ::Expert 
::Kanellakis ::Urban 
::Industry ::Decision 
::Lee ::Pernul 
::Convent ::Recursive 
::International ::Writes 
::Timothy ::Deshpande 
::DIPS ::Yuping 
::Marcus ::Jie 
::Navin ::Tomasic 
::133 ::Funkhouser 
::Tschernko ::144 
::Transfers ::Correctness 
::Polyzois ::Rundensteiner 
::Dependence ::506 
::Updating ::Cercone 
::Decision ::Curry 
::Fugini ::Inegration 
::Revisiting ::Mok 
::Announcement ::Jefferson 
::183 ::Zaniolo 
::Claire ::MMDBS 
::DBA ::Nikolai 
::28 ::Activity 
::Rulebase ::Tailoring 
::Programs ::Queensland 
::532 ::112 
::Cetin ::Multisafe 
::Office ::Weinberger 
::Omiecinski ::Assurance 
::Eick ::266 
::Pons ::Flaws 
::Berson ::268 
::261 ::line 
::218 ::Goldner 
::Budak ::Lashkari 
::Other ::Takashi 
::Manolis ::Connection 
::Linda ::Ghandeharizadeh 
::Ulusoy ::Efficiently 
::Kazuhiko ::Distribution 
::Sparsely ::Linkage 
::Interaction ::Frasson 
::388 ::Sibel 
::Penalty ::Merrett 
::Features ::Continuous 
::Executions ::Machine 
::400 ::Must 
::Inserting ::Auwera 
::Smith ::Aloysius 
::Sudhir ::Margaret 
::Tufte ::184 
::Hugo ::Three 
::Aziz ::Chaudhary 
::tree ::Timeliness 
::F ::Taylor 
::Applications ::Webb 
::Masaru ::Interoperable 
::Avoid ::Umesh 
::Fritz ::Earth 
::Decompositions ::Interfacing 
::215 ::Relihan 
::relations ::Kasi 
::Server ::POSTGRES 
::McGuinness ::Tsatalos 
::Lineare ::Barbar 
::519 ::Semantic 
::Tschernko ::Dong 
::Gebhardt ::Previews 
::Multidatabases ::Achievements 
::Milt ::Nick 
::Knowledgeable ::Vervaet 
::583 ::Deductive 
::Locally ::Broadcast 
::Tanin ::Downing 
::Seeger ::Robertson 
::253 ::Mannino 
::Types ::Derived 
::Called ::Rashid 
::Recent ::Burrows 
::Lamersdorf ::Pons 
::Zaniolo ::Subramanian 
::Alonso ::Chim 
::281 ::Eich 
::Masatoshi ::413 
::Alejandro ::Deferred 
::over ::Ross 
::67 ::O2 
::AlphaSort ::Document 
::Design ::55 
::Miguel ::Weikum 
::Rakow ::Assisted 
::Sivasankaran ::CLASSIC 
::Study ::115 
::Adali ::Querying 
::James ::347 
::Toolbox ::Sarda 
::Integrity ::Nandlal 
::Potamianos ::Qiming 
::ACT ::Camps 
::Wright ::Arizona 
::Executive ::474 
::View ::What 
::COntext ::Karl 
::Environmental ::Haritsa 
::Rafiei ::Moerkotte 
::Models ::105 
::Prototype ::Merrett 
::DBMSs ::Doppelhammer 
::Surajit ::Stochastic 
::Atkinson ::Hasselbring 
::Shian ::Cheng 
::Day ::Closure 
::Super ::Supporting 
::Connection ::Visualization 
::Adding ::Evaluating 
::568 ::Desktop 
::Gerald ::Arya 
::12 ::138 
::Seshadri ::153 
::STARTS ::Range 
::Dietterich ::Walker 
::Marek ::125 
::UDK ::Kolodner 
::Street ::Viswanathan 
::Bandwagon ::Stuart 
::Into ::Skeen 
::Lifestreams ::Kabiria 
::East ::Yoshinori 
::536 ::Lukas 
::Azer ::STRIP 
::Zloof ::Cooperation 
::Shapiro ::Moffat 
::Time ::Ron 
::Willis ::Bandwagon 
::Hubert ::Reformulated 
::2000 ::Rosneblatt 
::93 ::Table 
::Activities ::Concerning 
::Gook ::Breitbart 
::Pixel ::Visualizing 
::Sensed ::Emperiment 
::Alex ::403 
::Of ::Hsiao 
::Module ::CITRI 
::Nita ::Miller 
::42 ::Sibley 
::ISS ::PREDATOR 
::Shane ::initPage 
::DBLearn ::A 
::Quickly ::Celentano 
::83 ::J 
::Modules ::Ross 
::Box ::Ghassan 
::Ramanathan ::Andrew 
::Norio ::171 
