::Neel ::412 
::Rahm92 ::4497473 
::95 ::Airoldi 
::Fernando ::LeungWL89 
::Thiagarajan ::K 
::Yuen ::Keyword 
::Raffaele ::Continuous 
::X06b ::Junyi 
::Pajarola ::Jia 
::Nath ::DeRose 
::DakkaI08 ::Sequenced 
::15310272 ::Elmeleegy 
::anonymizing ::Acharya 
::Shigeo ::Sunita 
::Schek ::WangJT06 
::Subrahmanian ::Ian 
::Row ::Out 
::toms ::Vibhuti 
::SiL96 ::15310605abs 
::ChenL02 ::Farhana 
::1564 ::Curves 
::4497422 ::Jacobsen 
::Davey ::1228 
::Multivariate ::ConsensRV08 
::Era ::1497 
::Kamath ::1488 
::4497623 ::Erhard 
::KatayamaS97 ::Presence 
::Suri ::HowardKMNSSW88 
::Engineering ::Signature 
::Sup ::Horng 
::22850391abs ::1024 
::Westmann ::Reduction 
::15310263 ::Kyun 
::Sarah ::Balanced 
::Probability ::DesslochHWRZ08 
::1200 ::1005 
::1111 ::GounarisPSFSW06 
::Tissues ::linear 
::Aliekber ::Come 
::Perfect ::1571 
::Menzo ::Glimcher 
::Leonid ::Representation 
::Cart ::GuptaHQ95 
::151 ::Qingchun 
::Yong ::Gisela 
::KahveciS01 ::Valduriez87 
::Tradeoffs ::Bookmarks 
::487 ::Subhash 
::JadavGL97 ::File 
::Andritsos ::PathakCG08 
::through ::53 
::BouganimDV96 ::Column 
::Elegant ::BertinoK89 
::Lamport78 ::Panel 
::Inclusion ::kim95 
::10010143abs ::586 
::P599 ::Pham 
::22850273abs ::OguchiK02 
::SrikantA95 ::15310393abs 
::Kishiko ::Alvaro 
::Campen ::Maarten 
::SankaranarayananAS06 ::from 
::Kimball96 ::Unstructured 
::VrhovnikSRM08 ::Added 
::leeuwen90 ::349 
::BouganimFPV01 ::261 
::Delcambre ::Represented 
::cover ::LinVM06 
::TolaniH02 ::1400 
::Stacie ::Spiros 
::Sequence ::Neoklis 
::Salem ::CareyDFHMNSSTTWZ94 
::Iida ::ChoR02 
::Sae ::CormodeKMW08 
::Dunham ::Hamid 
::P599 ::1372 
::Ellmann ::22851115 
::Progress ::LinJF94 
::Stonebraker ::Clean 
::Products ::115 
::1600 ::Donahoo 
::Trends ::Correlations 
::Developed ::Form 
::338 ::Ester 
::MittalHH01 ::Biological 
::914834 ::Ferlez 
::Chowdary ::P550 
::Wiwatwattana ::LiLH06 
::Ernst ::HuangG01 
::Lucchese ::Answer 
::Integrating ::Bouganim 
::Vijay ::Tsukamoto 
::666 ::Pandey 
::X06 ::636 
::cs ::KimPC01 
::Khuzaima ::Ada 
::Fishman01 ::AbiteboulCM95 
::Johann ::Mahesh 
::P126 ::Dhruv 
::Xiang ::Ilyas 
::PathakCG08 ::WuB98 
::1461 ::Motwani 
::519 ::841 
::Replacement ::Siva 
::705 ::214 
::DeeringC90 ::4497408 
::Inverted ::Orlando 
::BerchtoldBKK97 ::Ferhatosmanoglu 
::Seluk ::Jonker 
::370 ::Lamport78 
::acr ::Mehmet 
::SametA95 ::Ramamirtham 
::Flow ::Grabs 
::Felipe ::HoweM05 
::Timely ::Sreeram 
::585 ::Video 
::Cochinwala ::SheuW06 
::French ::329 
::522 ::1360 
::405 ::Garcia 
::AlonsoC05 ::Batra 
::Shixi ::Shrivastava 
::Shigeo ::Expiration 
::Korth ::JayapandianJ06 
::I ::Andrew 
::Miah ::542 
::Checkpoint ::Tirthapura 
::Convertible ::Knig 
::Giuseppe ::Nrvg 
::P598 ::XuLXM06 
::Networking ::BurdickCG01 
::Methodical ::Directly 
::0003 ::614 
::Bernedo ::Product 
::QPipe ::Yingqi 
::Closest ::XuLTW06 
::Wayfinder ::Ihab 
::1337 ::Sequential 
::streams ::685 
::HeinemanK97 ::1062 
::Hon ::BohmPS06 
::1537 ::LeeE01 
::Hongtao ::1385 
::524 ::GravanoG95 
::George ::Rajeev 
::Papakonstantinou ::Jagadish 
::271 ::Nogayama 
::Casati ::Olsen 
::EsterKSX96 ::599 
::Jacobsen ::Ruddy 
::BachFGHHHJS96 ::Xuedong 
::Subset ::ZhouOT05 
::1169 ::lisa 
::SilbersteinBY06 ::Cecilia 
::Methods ::599 
::Sattler ::Wisam 
::ShahR08 ::1131 
::RusinkiewiczKTWM95 ::Ranking 
::HwangPS98 ::Grzegorz 
::Lal ::Database 
::Damianos ::Doan 
::Nikos ::22850261abs 
::Athena ::IP 
::DuschkaL97 ::1324 
::Database ::943 
::505 ::4497583 
::ChenOR08 ::Bases 
::Isoline ::AITVS 
::Russakovsky ::JinGJA06 
::Chiticariu ::Pipelined 
::1005 ::1334 
::TaoPZL05 ::Haas 
::Hadjieleftheriou ::FranklinZTCD92 
::Expressions ::Nagaraj 
::Seltzsam ::Twee 
::LiLH06 ::494 
::XDS ::icde 
::518 ::1141 
::ShrivastavaMR08 ::Bootstrapping 
::Business ::Ganesan 
::22851084abs ::521 
::Previously ::Sujata 
::ChiuehB08 ::AbiteboulV97 
::P252 ::Volumes 
::artdb ::Eunus 
::1448 ::StoumposDKD08 
::Amol ::Krishnapuram 
::1364 ::JagadishOVZZ06 
::Weaver ::Trasarti 
::Strong ::4497565 
::483 ::16 
::TataFS06 ::Two 
::865 ::Cappellari 
::422 ::Systematic 
::Object ::OwickiG76 
::1129 ::Pucheral 
::Bhowmick ::Gorman 
::DelisR94 ::Shan 
::914831 ::Wee 
::Haojun ::Stratis 
::ChiS05 ::Pascal 
::ACXESS ::14 
::Widmayer ::Nanni 
::Eun ::Kong 
::619 ::GawlickK85 
::Alper ::Music 
::932 ::Hambrusch 
::383 ::1316 
::Broadcast ::Tara 
::Counts ::P054 
::Rewriting ::Balaji 
::10010143abs ::Czajkowski 
::Internet ::1277 
::Driven ::Proactive 
::Chawathe ::Quan 
::Minghua ::549 
::BeeriR87 ::Eket 
::stoc ::1150 
::kl ::Gao 
::Balazinska ::mta 
::1584 ::DeaconSW94 
::Stahl ::XPlainer 
::375 ::FlescaFG02 
::BabuMWM05 ::Amza 
::87 ::Configurable 
::Sivasubramaniam ::22850310abs 
::Lucchese ::ZhangLXKW06 
::Bernhardt ::Rajasekar 
::Coupling ::Syeda 
::RelaxImage ::Snapshots 
::15310212abs ::Luca 
::Keith ::XM 
::753 ::1012 
::548 ::354 
::Coordinated ::GukalOR96 
::Martin05 ::Networking 
::4497631 ::TangYOW08 
::4497403 ::Liadan 
::LiuM96 ::Moss 
::968 ::Merging 
::Jarek ::Graefe 
::Rizzolo ::Aoying 
::TelegraphCQ ::Damianos 
::Ertem ::Shegalov 
::Acquisitional ::CormodeKT08 
::4497574 ::Kazumi 
::Chung ::Ooi 
::Sunbir ::WidomC96 
::1095 ::Areal 
::Yanlei ::Jinping 
::Arasu ::Bicer 
::ZhangLXKW06 ::Acyclic 
::22850415abs ::Right 
::Rogers ::Ka 
::LudascherGM01 ::Teubner 
::Weikum ::4497541 
::Meets ::Autonomic 
::MiahDHM08 ::Querying 
::DebLRS08 ::P252 
::Veli ::Katsumi 
::XuEKS98 ::Hsiao 
::Hernndez ::Manish 
::4497594 ::Jing 
::Georges ::Rewriting 
::Duality ::ACXESS 
::Committees ::175 
::Columns ::152 
::Liqin ::Alon 
::is ::P 
::Freksa92 ::Wenfei 
::4497515 ::Subsequence 
::4497434 ::MiniCount 
::Indrajit ::15310323 
::Prodromos ::Coordinate 
::292 ::1169 
::X05q ::424 
::Monica ::Mic 
::Arijit ::RaffioBCPH08 
::4497621 ::415 
::Suresh ::DaudjeeS06 
::4497476 ::Tok 
::64 ::Carminati 
::Lattice ::BaralisCC05 
::LiuP95 ::104 
::Adjoined ::Gustavo 
::1321 ::4497450 
::156 ::JagadishMS95 
::Associative ::274 
::1483 ::Hashing 
::Cherniack ::1534 
::1123 ::Zeldin 
::HornickZ87 ::Malicious 
::Hendrik ::P201 
::22850298abs ::2007 
::Eran ::1536 
::Telle ::963 
::Pautasso ::730 
::Sharoes ::DuS82 
::Aoki ::1124 
::Alkis ::ChaAHS05 
::Shixi ::Pollack 
::Metadata ::Marzouk 
::274 ::Navathe 
::Qin ::Versus 
::Producing ::Profiles 
::Aoki ::FischerK05 
::635 ::Sergej 
::Blakeley96 ::661 
::Community ::1551 
::Olston ::Kyu 
::HanYY06 ::Krishnaswamy 
::MorishimaNISK08 ::914845 
::640 ::310 
::Seluk ::Multimedia 
::Flavio ::Nori 
::Systematic ::22851106 
::Electronic ::Gunter 
::22850159 ::WuB98 
::Vivek ::TangYOW08 
::291 ::Farrell 
::566 ::KoutrikaSI06 
::1147 ::Nakhe 
::1348 ::HoutsmaS95 
::Stratis ::Kristin 
::Heiler ::AbiteboulCCMMS97 
::Takegawa ::Dinh 
::XQSE ::Optimizing 
::Oracle ::GalpinBJFP08 
::LynchS88 ::code 
::COLR ::Haixun 
::Surna ::Xiaokui 
::Rewriting ::BerchtoldKK96 
::4497600 ::15310269 
::Hernndez ::Rabsch 
::1474 ::P2P 
::4497594 ::Exploratory 
::Broken ::Yannis 
::4497588 ::Dimensional 
::Dirty ::Herbert 
::22850459abs ::Bedell98 
::cite ::4497525 
::Mixing ::Yanjiang 
::Stack ::Ordering 
::Brantner ::icde2006 
::Hmmer ::Syntactic 
::ColbyCHJJMSW98 ::KreplinZ01 
::1501 ::22850273abs 
::108 ::IvesT08 
::ChangYDA88 ::Wee 
::1587 ::icdt 
::Challenges ::Man 
::P182 ::Francesco 
::Sean ::246 
::Indexed ::182 
::Sky ::Felix 
::Mansuri ::Distribution 
::ER ::Prasanna 
::1199 ::Prabhakaran 
::Johannes ::Quadtree 
::HouJ06 ::22851024abs 
::L ::Indexed 
::Oxley ::MoerkotteN08 
::914824 ::It 
::Anja ::RajaramanSU95 
::1355 ::Baral 
::Roger ::LB 
::WebIQ ::Mitchell 
::914818 ::947 
::22850419abs ::De 
::bdbms ::4497497 
::4497439 ::109 
::Checking ::580 
::Anil ::Xingquan 
::Ngai ::Marlow 
::Zadeh65 ::324 
::15310716abs ::on 
::Suman ::MorishimaNISK08 
::Among ::Raman 
::FungYLY05 ::665 
::Expensive ::Marcin 
::584 ::XiongMA05 
::229 ::Leymann 
::cdrom ::Kulik 
::Accessible ::22850549 
::Reordering ::Queues 
::ZhouTZ06 ::Umeshwar 
::RastogiMBKS93 ::MamoulisCYC06 
::P220 ::BlakeleyCERW05 
::Danzhou ::Barga 
::WilkinsonN90 ::Ivanova 
::Paul ::4497550 
::X06b ::8 
::Better ::15310166abs 
::Rich ::Subramanian 
::4497581 ::StonebrakerC05 
::Riccardo ::Nori 
::Vasileios ::Wolfson 
::1036 ::Spatio 
::Projected ::Alternative 
::Ikeda ::AhmadN08 
::Inside ::1116 
::AstrahanBCEGGKLMMPTWW76 ::1488 
::Relations ::195 
::Activities ::Goldin 
::Mohan96 ::Graciela 
::Volker ::James 
::LehnerHS02 ::Widmayer 
::Lag ::214 
::ShiZ05 ::LorentzosM97 
::Sherkat ::COLR 
::Authentication ::177 
::SeshadriLR94 ::Stahl 
::1132 ::Akrivi 
::914850 ::PapadimitriouRR94 
::of ::Papapetrou 
::732 ::CLAN 
::MED ::Erhard 
::Discriminant ::22851084abs 
::Yanjiang ::Gting 
::Sheng ::Legaria 
::Tirthapura ::Jost 
::Jianneng ::HoweM05 
::Kamesh ::Guarantees 
::fledged ::databases 
::Cyclic ::Matthias 
::Etoh ::Preemptive 
::Extract ::Ludscher 
::902 ::Buchmann 
::Gustavo ::Intelligence 
::AquaLogic ::Goh 
::MelnikGR02 ::1394 
::Vu ::Gunopulos 
::Spyros ::843 
::TheodoridisS96 ::SQLServer 
::Graphs ::Wook 
::Brantner ::Takahiro 
::Systems ::Teaching 
::138 ::AnwarMC93 
::Lyublena ::Rogers 
::22851118abs ::4497637 
::Date90 ::Marlow 
::Amit ::Constrained 
::Marzouk ::AlexeCMT08 
::Charu ::SegevF90 
::ArocenaM98 ::Gamper 
::312 ::Evangelos 
::Relational ::ChenDZ06 
::Yiping ::Albrecht 
::Herbert ::54 
::icdt ::Cube 
::Fuh ::4497397 
::Erhard ::K 
::Khaitan ::Petko 
::Labrinidis ::Middle 
::1355 ::Bei 
::Compiled ::Maskey 
::databases ::Jun 
::MaH01 ::Lp 
::CareyD96 ::Ashraf 
::Koudas ::271 
::1095 ::von 
::Marlow ::ChrysanthisR90 
::Heikki ::Chon 
::Trasarti ::Compiled 
::Chen05 ::Liang 
::4497632 ::Palopoli 
::Eduard ::Metric 
::Jagadish ::166 
::Oliver ::Dimitrios 
::Response ::AbiteboulHB99 
::OGormanAA02 ::ZhouOT05 
::Gridded ::Ooi 
::914857 ::CluetD92 
::P201 ::Lung 
::4497475 ::Pushing 
::Gonzalez ::Feasibility 
::914858 ::SellentinM97 
::Exploration ::Kemper 
::Logging ::Keyword 
::Region ::delay 
::1229 ::Nuwee 
::Pan ::YiJF98 
::Chair ::Estimator 
::Interaction ::QShuffler 
::DeWittFMV90 ::Massive 
::1438 ::SizovSTW02 
::Replica ::1403 
::Gil ::585 
::Hyon ::Shkapenyuk 
::Kasneci ::Gnther 
::Christoph ::Braynard 
::82 ::ChanG85 
::882 ::Rong 
::LanOT02 ::Actionable 
::Sven ::ZaianeELL05 
::Seshadri01 ::15310639abs 
::Yanlei ::Chaudhary 
::Ramanath ::AikenCSW96 
::tocs ::Cui 
::Workflows ::Leh 
::Future ::Cabibbo 
::Proactive ::Zhuge 
::micro ::4497577 
::Rastogi ::Rajagopalan 
::Webs ::stoc 
::Databases ::Reification 
::616 ::Faster 
::HibinoR98 ::Narasayya 
::767 ::Veli 
::331 ::mta 
::Transparent ::4497405 
::Luo ::Shubha 
::HershbergerSS06 ::Overlay 
::519 ::351 
::Shubha ::P294 
::DayalHL90 ::Korth 
::ReissRKZV08 ::338 
::1042 ::CampenXRGFSPL08 
::Sunita ::13 
::Rimma ::Monotonicity 
::Use ::Boat 
::Industrial ::Shahabi 
::1506 ::676 
::P252 ::Grtner 
::Now ::Juha 
::22851129abs ::StonebrakerK91 
::ChangSZS97 ::Felber 
::Optimize ::Media 
::Hman ::1180 
::Providing ::4497465 
::Angela ::Sovereign 
::Obstacles ::Mihai 
::Wook ::716 
::Natix ::245 
::15310166abs ::Tony 
::4497452 ::HacigumusMI02 
::Prashant ::PreparataS85 
::125 ::1587 
::DeWitt ::Down 
::Jan ::Walid 
::241 ::Anomalies 
::4497596 ::Bach 
::Omar ::mms 
::Murugesan ::1620 
::Jagan ::Kumar 
::Goldstein ::I 
::515 ::Road 
::End ::Self 
::Format ::Ashok 
::313 ::Hakan 
::Citizens ::LindsayHM86 
::Roy ::Johannes 
::Nassima ::Dhruv 
::Geometric ::XPath 
::22851135 ::OzdenRS98 
::1146 ::eBusiness 
::Interesting ::Peer 
::Stop ::Selecting 
::Transformations ::Pudi 
::Shukla ::Willy 
::Explicit ::JagadishMR97 
::Split ::Yiu 
::Functions ::839 
::166 ::Strict 
::83 ::Geoinformation 
::MalinAEL05 ::Sylvia 
::Version ::425 
::GounarisYSD08 ::Hilda 
::P456 ::Sweeney 
::Siva ::JeungSZ08 
::Kleene ::ChanFGR02 
::Laboratories ::1139 
::JainS94 ::Mikhail 
::Kenneth ::ChakrabartiM98 
::Incomplete ::Lightweight 
::Grandison ::clustering 
::1534 ::Pawel 
::Nodira ::39 
::Features ::SrivastavaL88 
::Vagelis ::Ghaffar 
::SpinCircuit ::Ishikawa 
::Aritsugi ::Fully 
::Malik ::22851122abs 
::Integratio ::CastroN08 
::WidomC96 ::Ellmann 
::Elmeleegy ::End 
::548 ::Wang 
::P351 ::Workloads 
::Systems ::Lists 
::Elfeky ::Gu 
::704 ::Velegrakis 
::Triggers ::214 
::Clement ::sebd 
::ChengYHY08 ::245 
::SuleimanCF98 ::Conference 
::Reality ::VenkataramanLN95 
::Machine ::Declustering 
::MogiK94 ::Upendra 
::KistlerS91 ::Berners 
::Neighbor ::Unifying 
::4497499 ::Members 
::BancilhonR86 ::ChenLGKP94 
::Sean ::Koustuv 
::Dual ::Nassima 
::Kihong ::Krishnaswamy 
::SQLServer ::1504 
::ChenJOT08 ::Henrich 
::Liang ::Length 
::229 ::Practice 
::Johnson ::level 
::hpts ::392 
::767 ::15310337 
::DaynesC01 ::Jimeng 
::Abiteboul ::WangJT06 
::Division ::Fabret 
::Music ::Nakamizo 
::trees ::Xiaofeng 
::Muhammad ::Class 
::if ::Pekka 
::Arjen ::298 
::445 ::Lun 
::Markus ::DasCWAS08 
::Smalheiser ::ChenJOT08 
::Light ::Moving 
::Inverted ::Jeff 
::28 ::sup 
::DeRoseCGSDBZ08 ::Anil 
::4497466 ::Yan 
::Pierre ::Yuqing 
::Frederick ::UNIDOOR 
::Kinji ::CQ 
::1504 ::Simonas 
::Mahajan ::Norio 
::Reducing ::Shanmugasundaram 
::Kwok ::Weikum91 
::22850890abs ::StockerKBK01 
::Freksa92 ::Enabled 
::Snapshots ::Wen 
::KivinenM95 ::22851146 
::BonchiGLOPT06 ::BrantnerKMH06 
::Progressive ::Tightly 
::1373 ::Objects 
::Vasileios ::SchmidtJS06 
::Yaping ::Wenning 
::Niblack ::Weikum 
::Simple ::TaoPZL05 
::P578 ::All 
::Updates ::914878 
::4497586 ::MendelzonMM96 
::ChengXPS05 ::Ahn08 
::AilamakiGM06 ::BentleyM80 
::Inderpal ::Lomet93 
::P351 ::Anonymization 
::acm ::Generic 
::Offline ::Cordova 
::IshikawaK93 ::Wolski 
::Mukherjea ::Clifton 
::PapakonstantinouGU96 ::Qu 
::Houman ::84 
::Maier ::15310617abs 
::TaniguchiS05 ::Bouganim 
::Previously ::Paraskevas 
::Moshe ::Sequential 
::Gustavo ::Jiong 
::Federations ::1059 
::1451 ::Sponsored 
::WatanabeY05 ::BilkeN05 
::Amrish ::Lo 
::Hiroaki ::Simoudis 
::Outsourcing ::Portal 
::Sandeep ::Sagawa 
::Madlmayr ::BerchtoldBK98 
::Hashing ::Griffiths 
::Aoying ::Experience 
::Miron ::967 
::Goh ::SilberschatzSU91 
::4497470 ::MiniCount 
::121 ::Deligiannakis 
::Philippe ::22850118abs 
::15310716abs ::Minghua 
::Stop ::Kanagal 
::1342 ::GrayC89 
::if ::4497627 
::Annotator ::4497627 
::El ::GraefeL01 
::FarfanHRB08 ::Miller95 
::Information ::EltabakhEA06 
::HuhtalaKPT98 ::1179 
::22851115 ::Seidel90 
::1324 ::SUBSKY 
::Ogawa ::Chang82 
::Iceberg ::Kalnis 
::1127 ::BabuMWM05 
::QuassRSUW95 ::Winter 
::ichi ::Optimization 
::TirthapuraA05 ::1071 
::Balancing ::Manolescu 
::Malik ::http 
::Lingzhi ::ThuraisinghamHRM98 
::FLWOR ::YiN05 
::ChaudhuriKPS95 ::GrabsBS01 
::41 ::AquaLogic 
::Changing ::109 
::Directions ::CabibboPT06 
::Zeldin ::Raghu 
::P004 ::TanizakiMS05 
::Goldin ::500 
::SchroederHINW06 ::Coordinate 
::ATLaS ::Reinhard 
::15310333 ::Bloom 
::Star ::Perrin90 
::Ziyang ::370 
::Alternative ::Raymond 
::Felipe ::Hyong 
::Cristiana ::Filling 
::AgrawalAKL06 ::Donahoo 
::4497582 ::GravanoG95 
::Sovereign ::15310017abs 
::WuCL08 ::Thalhammer 
::SchroederHIN06 ::Optimizations 
::1445 ::Burdick 
::201 ::Early 
::Mirco ::Jr 
::Lamport78 ::LiuM96 
::LiL08 ::Tirthapura 
::255 ::StockmeyerM73 
::Cichocki ::Louiqa 
::Campen ::973 
::StreamingWindow ::4497600 
::Krithi ::15310201abs 
::Lyman ::Hashing 
::Ian ::973 
::StearnsR81 ::Environmental 
::Shurug ::Deng 
::Prakash ::Yuelong 
::AhmadABM08 ::22850020abs 
::Klabjan ::491 
::CocciTDS08 ::AthitsosPPK08 
::555 ::Column 
::P074 ::Yip 
::Range ::Shamkant 
::Designer ::Neumann 
::324 ::Katsumi 
::ProcopiucS08 ::Doulkeridis 
::Blok ::C98 
::PolyzotisG06 ::4497424 
::Web ::22850779abs 
::Ryan ::tiered 
::driven ::523 
::FischerK05 ::Virtualization 
::Yue ::KistlerS92 
::Spannagel ::Seeger 
::AgrawalH05 ::Bootstrapping 
::Loading ::Sujata 
::Khaled ::Butterfly 
::Unsafe ::Welsh 
::trees ::Verykios 
::804 ::1607 
::WolfsonXYC06 ::GPIVOT 
::CareyDNAGS97 ::Fayyad 
::List ::15310323 
::Uri ::cs 
::Chee ::Asonov 
::ibmsj ::Grel 
::P069 ::ChenL02 
::RAM ::Laurent 
::DogacBO06 ::Kristin 
::Maarten ::Exploring 
::once ::643 
::Stahl ::P297 
::Taylor ::1451 
::Gaurav ::Reichert 
::482 ::Storage 
::RoitmanGR08a ::Nogayama 
::Gryz ::Xie 
::Operators ::15310357abs 
::2001 ::1118 
::Spatio ::Qingchun 
::Darrell ::Kwang 
::784 ::BrantnerHKM05 
::Pui ::Stella 
::607 ::PDM 
::4497471 ::GionisMT05 
::Bases ::Ketchpel 
::LuoWL08 ::Rhm 
::Xingquan ::22850578abs 
::Byoung ::Miller 
::ChangC02 ::Jeong 
::Jiefeng ::192 
::Hammer ::Shkapenyuk 
::306 ::532 
::Haruo ::Processor 
::Shubha ::Kim 
::Weiping ::Triggers 
::1521 ::Experiences 
::Column ::103 
::Luping ::inWireless 
::Johannes ::Xueqing 
::TaniguchiS05 ::1474 
::ZhouZVQ08 ::SmythG91 
::MannilaR86 ::Skyline 
::KornackerMH97 ::Record 
::ChrysanthisR90 ::Ioannidis 
::Halpern ::Kjetil 
::FlajoletGPR93 ::ElmeleegyOE08 
::Production ::Lola 
::QoS ::Path 
::Poulsen ::585 
::Ari ::286 
::OwickiG76 ::The 
::3 ::KoutrikaSI06 
::Versatile ::Chen05 
::Bitmap ::Stanley 
::Kemper ::Prototype 
::126 ::Online 
::Hirade ::627 
::TALE ::Valduriez87 
::BestR85 ::154 
::RX ::1084 
::Pirahesh ::Marlon 
::107 ::PapakonstantinouAG96 
::Patterson ::Watson 
::Jeonghee ::Nabar 
::Callaghan ::SmythG91 
::2285 ::Experiences 
::914868 ::Platform 
::avi ::565 
::Matt ::Sakurai 
::498 ::s 
::22851061abs ::Siberski 
::MendelzonMM97 ::Shan 
::Kanoulas ::Allocation 
::PfahringerK95 ::ICDE98 
::AgrawalH05 ::Whose 
::Kasneci ::4497446 
::650 ::Generation 
::Erhard ::1384 
::Verifiers ::Mining 
::4497554 ::Balter 
::Cobena ::Study 
::KeCN06 ::Skew 
::Relationship ::mg 
::Juha ::1615 
::DUP ::Davulcu 
::csdl ::Alessandro 
::Yuen ::X05t 
::Esther ::Operation 
::350 ::Denzel02 
::TaoXP06 ::Scale 
::Agma ::JefferyAFHW06 
::Weihl87 ::DrapeauPK94 
::GabowT89 ::71 
::963 ::Placement 
::Srivastava ::HolsheimerKMT95 
::Nail ::Primary 
::1435 ::Nasi 
::Relationally ::HTML 
::22850417abs ::Type 
::Fractal ::Concept 
::Sichun ::2005 
::Liadan ::HillyerS96 
::P014 ::Convoy 
::Commutative ::Sources 
::Voronkov ::Chowdary 
::MittalHH01 ::Tolani 
::Goethals ::4497426 
::741 ::DengSXL06 
::1572 ::Lossy 
::Mayfield ::Check 
::Operator ::PapakonstantinouGU96 
::914876 ::ICDE 
::Kersten ::22850372abs 
::Potamias ::2001 
::Borkar ::Zhu 
::Dogac ::Latha 
::Percy ::Autonomic 
::Development ::Private 
::BonczQK96 ::Chris 
::Flooding ::10010473abs 
::Syan ::22850357 
::search ::804 
::DarFJST96 ::Widmayer 
::Zina ::LynchS88 
::Eran ::SismanisR05 
::Ada ::Form 
::Subbarao ::4497550 
::Hector ::Principled 
::1477 ::383 
::Zhe ::Hui 
::Middleware ::490 
::Yoshikawa ::Ernst 
::Bohannon ::Transparent 
::P302 ::Ownership 
::VlachosGK02 ::141 
::Wolf ::15310593abs 
::Boris ::Baralis 
::CareyHMW96 ::Useful 
::Tomkins ::WatanabeY05 
::Generalized ::15310492 
::Producing ::22850754abs 
::Frequent ::Westmann 
::Ahn08 ::Automatically 
::Victor ::their 
::Jiang ::DeWittG92 
::15310488 ::RoitmanGR08 
::4497530 ::Phantom 
::ZhangAO05 ::15310064abs 
::P370 ::Sven 
::Hee ::AlonsoBPHK01 
::147 ::Iceberg 
::Ailamaki05 ::Arjmand 
::1129 ::Conor 
::Shared ::Jain98 
::Soumen ::Oracle8 
::Atmosukarto ::417 
::WebOQL ::Ying 
::Logging ::ChangC02 
::Biton ::Kyun 
::BancilhonKK85 ::4497430 
::Krmer ::CarterBZ95 
::Pushing ::Leonid 
::Dhruv ::X05q 
::Jinping ::Valduriez87 
::15310369abs ::Tuples 
::P054 ::Handling 
::pdis ::Economically 
::Chiang ::Koutrika 
::HasanM94 ::Annotator 
::Index ::AbiteboulCM95 
::146 ::Weiping 
::Air ::Scalable 
::Manjhi ::Region 
::ZhouZVQ08 ::1209 
::ZhangWL08 ::Gryz98 
::Clement ::Sheth 
::XingZH05 ::328 
::Enderle ::Evolving 
::Jagadish90 ::KoblerBCH95 
::96 ::Syntactic 
::Form ::Zaane 
::Fetching ::Todd 
::Sup ::Harchol 
::Its ::Accessible 
::HuangD08 ::Mazza 
::Sequential ::Agrawal 
::Transcoding ::Timothy 
::Mohania ::FLWOR 
::Janine ::SiL96 
::Govindaraju ::icmcs 
::toms ::Dadam 
::Skeen02 ::IMAX 
::1373 ::ChawatheGHPUW94 
::YuHC05 ::15310275 
::HarinarayanRU96 ::Document 
::Wenfei ::Aberer 
::Maurice ::Graphical 
::351 ::Maya 
::Linga ::Mourad96 
::CaoCFT08 ::Papadimitriou 
::Shaft ::LiuP98 
::P550 ::Srilekha 
::BonchiGLOPT06 ::Mema 
::R ::Grabs 
::Peer ::Generalized 
::839 ::Gadia88 
::Leonidas ::22851141 
::Puzzle ::BargaLW02 
::Guo ::24 
::Pavan ::Pushpraj 
::Kurul ::Two 
::Runtime ::1415 
::Qu ::Kanagal 
::via ::MozafariTZ08 
::45 ::AgrawalS96 
::Esther ::Roller 
::VlachosGK02 ::Protein 
::Sequences ::Designer 
::22850162abs ::15310335 
::Ailamaki ::Constrained 
::Jim ::ElghandourAZCBBZ08 
::493 ::Cube 
::Xuqing ::Devarakonda 
::Swaroop ::Use 
::Sunita ::764 
::Rabsch ::PapakonstantinouAG96 
::Khoussainova ::Yoon 
::1580 ::GabowT89 
::Reiss ::Kristin 
::1336 ::Rau 
::Akinde ::General 
::GovindarajanMV06 ::Sriram 
::LiHYX05 ::Karl 
::Kristin ::ChanSL98 
::CareyFLS91 ::Kou 
::1591 ::4497612 
::Indyk ::TuckerM02 
::15310005abs ::Yuen 
::PapakonstantinouGW95 ::Maier83 
::PaduaW86 ::352 
::4497420 ::Sang 
::Lee ::22850230abs 
::4497423 ::doi 
::Pavan ::ShahR08 
::Unlinkable ::Watanabe 
::Luca ::HSI 
::Probability ::Latent 
::Dragut ::SayedRM06 
::Vasileios ::654 
::Velegrakis ::Prediction 
::Brent ::Stonebraker 
::Mendelzon ::Dam97 
::Brent ::1435 
::Checker ::Design 
::Himanshu ::Nakhe 
::CosmadakisK86 ::MannilaR86 
::Krithi ::Abowd 
::Denzel ::Adjourn 
::NguyenD08 ::Franoise 
::IdreosTK06 ::22850174abs 
::1351 ::Mohan 
::Erich ::Raman 
::AntonyWAA08 ::15310262 
::Extraction ::dx 
::549 ::1461 
::Sharad ::Meichun 
::d ::Ira 
::Latha ::Gryz98 
::Freiwald ::Erdem 
::Systematic ::BrinkhoffKS96 
::Philip ::852 
::WilkesGSS96 ::Klabjan 
::627 ::Mor 
::DeligiannakisSKVD08 ::Vassilis 
::Walid ::121 
::22850242abs ::TangYOCW08 
::Pfoser ::PajarolaOSSW98 
::Sueda ::4497574 
::a ::138 
::4497475 ::Mass 
::385 ::914863 
::Elegant ::643 
::Mladenic ::Virtualization 
