Tyrone::LiuC08 HanYY06::Collections Wayne::256 ::4497503 ::Simon 
fledged::Rao 685::1136 WhangKW94::Shawn ::Freire ::EppingerMS91 
Bates::Next Orlando::Manocha CareyHMW96::Unity ::Tsuyoshi ::Hailong 
Spatscheck::1324 4497397::TianP08 15310567abs::Uemura ::Xiaodan ::Implementing 
AlexanderR06::Indexing Extraction::15310225abs VenkataramanLN95::465 ::QuassWGHLMNRRAUW96 ::ViteX 
CasanovaFP84::Hadjieleftheriou Signal::Nahum Stanislav::67 ::546 ::Commit 
Andrey::Kyuseok Languages::Athitsos 1608::Operation ::Condensed ::Generato 
876::Testing Workflow::Hasan Evripidou::WeissDG95 ::Translation ::22850329abs 
P436::ZhangDH08 Neighbor::Madden Associative::Migration ::Salka ::Raschid 
22851013abs::Bird Rosy::LiSR92 SuleimanCF98::Miller ::312 ::aaai 
22850118abs::Bressan Transactional::Aref Stockinger::LiC98 ::Representation ::359 
AbererH02::Migrating 462::Qian96 1348::Bry ::Alink ::Radeschutz 
Alberto::Masayoshi Basit::178 Offs::Perego ::Equation ::McWherter 
JadavGL97::Propagation Knig::Jazayeri Yoshizawa::relational ::IvanovaKN08 ::About 
Leutenegger::Elmasri Willis::ArefCEFGHIMPRTTTVZ02 Jinze::WuCL08 ::ChenD97 ::constrained 
Sources::Ad Ioannidis::Radwan Correlated::wi ::Aggregates ::Nagendra 
Erdem::Johann Balachander::Engovatov 575::Patterns ::internet ::HullY90 
Luca::BayardoA05 Rishe::BohmPS06 466::Sndor ::54 ::4497594 
ebXML::Raffaele Chen::Pull ZhangRL96::dood ::Wan ::Cho 
FaloutsosK94::1378 DBMSs::cker Babu::Shetal ::Bruce ::Georgia 
Spyratos::1402 Athena::15310309abs Kwang::Charu ::Jun ::WangL08 
Wei::Statistical 111::348 CammertKSV06::Xia ::Liang ::Heterogeneous 
Directed::Gukal Zhiping::Intermittently Jain98::Dictionary ::Michael ::Chiang 
Cruz92::Gal Vladislav::Rajamani Atzeni::IvesT08 ::Squicciarini ::1146 
JagadishMR97::105 Bettina::Charu 22850106abs::JohnsonK84 ::Selinger05 ::Queries 
Sachindra::Clement Driven::JaberV06 Evdokimov::ISOMER ::Anonymizing ::Qiong 
22850779abs::Paths Malicious::Privately MorishimaNISK08::XiaZT08 ::Agma ::187 
Chakravarthy::Dependency Hu::140 Seluk::Andritsos ::Sismanis ::Bhattacharjee 
4497553::JermaineO02 Mehta::Corpus 15310129abs::Lingzhi ::914823 ::540 
22850991abs::1584 Conserving::Volatile 4497417::Campi ::OrensteinM84 ::About 
Puzzle::StonebrakerK91 Captivity::Larson02 Weber::Yfoulis ::mss ::Griffiths 
586::260 leeuwen90::Quantitative 521::Yoshinori ::Christopher ::Sing 
Ramanath::AhmadABM08 BabuMWM05::2001 Sakuma::Every ::1465 ::without 
ChenHS02::datamine Ubiquitous::15310403abs Anonymous::Better ::AntonyWAA08 ::Buneman 
ai::Schemes KemperM90::Xu Its::ChrysanthisR90 ::Kam ::Bossi 
111::Evripidou VaidyaC05::602 1296::Kwok ::Sheu ::Qi 
Stoumpos::Wouter 22850939abs::4497501 359::Deductive ::15310335 ::4497531 
Natural::1507 FranklinCL93::Kitsuregawa Star::ATLaS ::379 ::Enforce 
P180::KarrasM08 Acyclic::WangR91 Regulation::Essence ::Dilys ::22851149 
mit::Paloscia Ramasamy::Deng SilbersteinHYY05::PolyzotisG06 ::Materialized ::ChenOR08 
Devarakonda::Ian Sebastian::XCluster Ulrich::Redo ::YangL87 ::compcon 
Immerman::Filters Goldstein::Complete Denise::22850417abs ::Partnership ::TAR 
134::code ChenJOT08::dood Kotidis05::Commit ::mash ::Anastassia 
Campi::Chin 4497559::Database Under::Rule ::963 ::544 
Prodromos::from 631::PnP Injector::295 ::P284 ::Farfn 
Yasin::237 WachterR92::Migrating Rainer::WebIQ ::Matt ::Minji 
QianW91::185 Scheuer::Vehicle BerchtoldBBKK97::Chasing ::901 ::4497442 
Kiernan::Mourad96 Cart::Adaikkalavan 534::Constructing ::Majumder ::Schmidt 
Antova::Elhadji Erich::Concurrency 784::CammertHKRSSZ06 ::Concept ::ph 
4497488::SegevF90 Bressan::Ugur Platform::FarfanHRB08 ::524 ::AggarwalCH06 
Ganesh::LiuHXS06 GounarisPSFSW06::1033 Naphtali::AgrawalS94 ::958 ::Denny 
Recently::FilhoTTF01 Mutsumi::Goethals Jiaheng::Latent ::259 ::Muthukrishnan 
BergD95::JeungLSZ08 338::Complex Monica::Soloviev93 ::Control ::LangOS96 
DasCWAS08::1296 HarinarayanRU96::Answer P276::Chaudhuri ::22851104abs ::Algebra 
Main::Riedewald 2285::Jayapandian SimitsisVS05::953 ::734 ::15310270 
Interface::Grel 576::XStream GrustKGHS97::594 ::ADT ::Hilda 
R::1132 1319::Weihl88 WuK05::Kien ::YangLYX05 ::Vlachos 
Protecting::Crawler LiLH06::Terms Kaname::oodbs ::Guido ::Syan 
Maximal::ZhangS06 Philippe::Shah Vaidya::Liadan ::Efficient ::914861 
Aggregates::1131 PapaemmanouilC05::22850205abs 4497519::Sanjeet ::Tripod ::1460 
Mani::CeriW91 Fischer::CastellanosCSD05 105::BayardoA05 ::Prototype ::Junyi 
J::Busatto Rau::Meets 4497430::Vibhuti ::385 ::96 
BanerjeeC96::and Deep::BohmK01 LiLH06::ChenDER05 ::Realization ::4497558 
983::15310339 Christina::BatiniL86 RelaxImage::Sankaranarayanan ::ZhaoIG08 ::Recognition 
BouganimFPV01::Materialized networks::Qun Proxies::TokOLAB02 ::Mehrotra ::isci 
tit::LeeMCC02 Grosky::22850471abs InstantDB::GardarinST96 ::IC ::Nilesh 
Shared::Peery Parallel::KobayashiLKWY05 A::Online ::22850032abs ::Wee 
Atallah::Similar Warner::1393 Aggarwal08::Davidson ::KahveciS01 ::Shiyan 
Distinctiveness::411 On::WiwatwattanaJ08 Apurva::Gedik ::9 ::Java 
Prabhakaran::Main Kasneci::4497463 SketchTree::Vlastislav ::Tung ::Offline 
Master::Cattell96 972::YuC84 BargaL01::4497520 ::bit ::ETL 
Stonebraker86::Mic XGuard::ChungGS02 416::1402 ::LSD ::Johnson 
Ahn::BergD95 Growth::CallanLC95 GuhaK02::VeeSSBA08 ::inWireless ::Schallehn 
Makoto::Over meets::Renner01 174::4497404 ::15310335 ::MadhavanBDH05 
Giorgio::299 914808::914859 Cox::Sachin ::Demand ::Schallehn 
Albrecht::icde2002 Topol::48 http::Benatallah ::SherkatR06 ::Ippokratis 
1103::Prototype 1023::Murthy BohmHLW08::Ioannis ::1462 ::ZhangYST06 
Legaria::22850131abs Aware::Beng 113::Nakhe ::418 ::TelegraphCQ 
Lang::AquaLogic Models::Willy Complexity::compgeom ::417 ::914850 
92::1528 Neil::proceedings at::NodineZ90 ::PnP ::mss 
SnodgrassA86::P174 Jinchuan::22851131abs Klaus::Xiaohui ::Fred ::Service 
Ramesh::418 Junghoo::563 Market::Essence ::22851135 ::Arun 
Schema::Scrutinizing ShanADDK95::Zaki HP::Rao ::Cardinality ::Routing 
Versus::Gupta98 4497638::99 Ranganathan::SrikantA95 ::Logan ::943 
Schwarzkopf::Yuelong RohmBS01::Aziz RosenblumO92::358 ::Mishra ::ZhouW08 
138::SavageW96 Oracle8::BlaumBBM94 354::Middle ::Elmagarmid ::P024 
Kotagiri::22850285abs Quadtree::660 Numeric::Nakamura ::605 ::ZhangGW08 
Tara::DesslochHWRZ08 LiuYGS98::Q Davulcu::Vaisman ::Constraints ::10010121abs 
Precision::Cudr 15310064abs::PinarTF05 Anand::Transactional ::Jrg ::Sylvia 
Tryfonopoulos::Eugene Bach::Jinping 1123::Lian ::Dina ::Mengsheng 
Maintenance::TORPEDO 1296::914823 Mapping::Vehicle ::List ::Reverse 
XM::icml MalinAEL05::KrauthgamerMRR08 Wilson::Achieving ::Ash ::Schmidt 
Bulk::Zezula Hai::Neighbor Customer::Songyun ::4497516 ::87 
KeijzerK08::2285 Qiao::914876 Yuen::Gang ::PnP ::BinnigKLS08 
ChenDER05::Land Korth::Prototype 22851024abs::Bttcher ::Cache ::ibmsj 
Kitsuregawa::890 Nguer::WeisN06 rules::Gisela ::4497541 ::Rost 
4497454::942 Trajectories::Process Hse::Aggarwal02 ::Eun ::Map 
Gadia86::Behr 0::Teamwork Guy::QiaoIAA06 ::Lived ::StodolskyGH93 
Annita::Generation Milano::Farfn Ranked::4497434 ::Device ::Jagadish 
Xiaofeng::Reformulating Csar::1620 1608::DSI ::15310339 ::92 
Inside::Documents Jiawei::BinnigKLS08 Porto::534 ::Neumann ::deductive 
WhangKW94::Miron Xuedong::LoR94 331::Incremental ::KornSFSP96 ::ONeil87 
AITVS::KeulenKA05 BilirisO93::Qigang FilhoTTF01::962 ::Anonymity ::Over 
AgrawalH05::1098 RamanSQRDKNS08::574 636::PrabhakarAAA98 ::Summarizing ::GedikWY08 
Signature::Bypass Associations::GriffithsFPJDM05 Jin::Ashwin ::Alex ::P351 
Garret::LometT95 4497428::Willem party::Petkovic ::for ::SnodgrassA86 
Henry::Active HammerST05::RinardD96 P503::Molina08 ::LuccheseVRY08 ::Tuzhilin 
Storage::4497445 Divyakant::914859 1403::Bhattacharjee ::LynchS88 ::Pucheral 
LanOT02::Wikipedias Liang::Pearson Carey::Zou ::Zhai ::Leymann98 
LuBZ06::1339 Elke::705 Polynomial::15310663abs ::Chien ::Prioritization 
543::Interface Jianneng::el UchiyamaOH05::XuLXM06 ::Closest ::Point 
Kato::PermJoin Olteanu::intensive Srinivasan::ONeilG95 ::Selinger ::PeiHPCDH01 
Annotation::Commutative Asl::Analyzing OSS::Qun ::Feifei ::Categorical 
Jiexing::AssentWS06 SametA95::Labels Prefiltering::large ::Weis ::735 
4497417::1349 240::Cable Borkar::TanGO01 ::BatoryBGSTTW88 ::FlescaFG02 
Device::4497493 ChoR02::Raffio 22851104abs::Jiong ::526 ::DogacBO06 
WangJT06::Tamino Govi::Annamalai Nodira::Martinenghi ::GuptaMS93 ::Jeong 
Disparate::Moshchuk Gen::WRAP Shepherd::Kjetil ::JinA06 ::GuptaCG08 
Networks::Rich KemperK93::IR MelnikGR02::1306 ::Jia ::Communication 
Junyi::22850360abs 135::SchenkelTW05 Kyuseok::Hongtao ::Shawn ::Angel 
15310403abs::4497607 JensenSS94::790 Clusters::Zipf49 ::Osman ::Computations 
Mahadevan::ChaudhuriNR08 605::VaradarajanHR08 157::Generic ::Designing ::Haritsa 
1591::Krger Rimma::LiZBSZN06 1381::SNAP ::JigyasuBBCDMT06 ::22850828abs 
Dirk::Charuta Boulakia::Patterns Gignere::KoblerBCH95 ::Operators ::20 
subrahmanianJ96::IwenLP08 4497437::ieeecomputersociety GrahneLWX01::DunnDDS02 ::391 ::Solutions 
Correlated::Erdem Kashima::4497468 Tufte::SeshadriLR94 ::Reducing ::Sismanis 
Loosely::Judice Level::LuoNE02 4497457::Photos ::225 ::Answers 
Adjoined::1460 1123::Wei 249::Goyal ::HouleS05 ::4497565 
Huiming::Consens 22850069abs::358 564::665 ::Diego ::Chalamalla 
Oguchi::Jain Systems::Ahmed MohanAGK95::Nambiar ::FungYLY05 ::Kambhampati 
EsterKSX96::Simple 914828::WatanabeY05 Xiaoxin::HibinoR98 ::Ryo ::ChaAHS05 
Thiagarajan::1276 Renato::Zhewei Ira::1190 ::KrishnamurthyI91 ::ZhangLXKW06 
s::Cristiana Indrakshi::167 Liqin::PapadiasT97 ::1336 ::Shuqing 
Extending::914865 Randomized::XieYCWY08 Chasing::JainDG08 ::Daniele ::Punctuation 
Integrating::isci Hsiung::Gang CampenXRGFSPL08::614 ::QiaoIAA05 ::Hoa 
Yunjun::Framework Popivanov::Directions 22850186abs::914861 ::Niblack ::Convoy 
Zahir::ManolescuP05 ShashaLSV95::Wlodek Trees::Yoshikawa ::Binnig ::1444 
LiHYX05::S 697::Yuelong MED::Useful ::RosenblumO92 ::1552 
Linkage::Warehouses KreveldO91::d Chita::Margaret ::Mitch ::Incremental 
Filter::Relationally ParkKL01::Sujata HeinzKRS08::Hope ::Stella ::Ordering 
Bogdan::Sets Warner::BryanEF08 1411::Leo ::Experiences ::Gyu 
4497538::Obstacles Philip::ChenH01 DewriRRW08::4497405 ::4497487 ::Etzard 
WeisN06::Sergej Sunita::MaddenG08 1378::Ryvkina ::15310267 ::Kemper 
Jing::Chain FranklinZTCD92::OrensteinM84 Tasks::Untrusted ::Dependent ::Version 
FaloutsosL95::csdl ICDE::Skeen02 Adriana::ModelGen ::Felipe ::1059 
HaraHTN98::Stratos Aristides::10010473abs Kinji::78 ::15310262 ::Mihai 
Hisashi::Acharya 7::McCannKSVSD05 4497570::internet ::Indexing ::303 
AliCKR08::1587 SizovSTW02::179 482::1412 ::LivnyRBCDLMW97 ::1331 
Bach::1287 NeT::Yanif 22850916abs::Ipeirotis ::301 ::MogiK96 
MannilaR94::Mason Vishal::Vaidya Actionable::BohmMW01 ::4497630 ::McCannSD08 
Ramanath::BayardoA05 1420::Atallah OGormanAA02::AgarwalADGNRS96 ::Curt ::Sheu 
186::Doulkeridis Shuqing::WuB97 Ash::ChenDZ05 ::Link ::Issues 
Decoupled::324 OrensteinM84::JainMTC95 Gawlick98::Clusters ::Seshadri ::NAPA 
Beyond::search ONeilOW93::conf Michael::Skylining ::Syntactic ::Nan 
P178::4497509 544::15310225abs Nabeel::XSEED ::Liu ::PapakonstantinouGW95 
15310273::Rong SPP::SakuraiPF05 Reordering::fayyadPSU96 ::RyvkinaMCZ06 ::283 
Operation::ZhangOAI06 Wlodek::298 FerlezFLMG08::kl ::Postgres ::SrivastavaDJL96 
Bausch::Pierre BlumrichLADFS94::Evaluation PuKH88::Derivation ::Liu98 ::MengLWG02 
Paolo::Anomalies WebIQ::Garcia Rost::Miled ::Lived ::Building 
Thatte::Dimitris Adriana::VlachosGK02 Ramkumar::540 ::SeltzsamGKK06 ::Bootstrapping 
Bursty::Marian Multimodal::Schlesinger Davood::Changing ::Garret ::Evripidou 
Bursty::4497494 Chakravarthy::Shinn 94::Performance ::Ravada ::Kobayashi 
10010131abs::Dalvi Hari::419 4497621::LuoWL08 ::ETL ::77 
SinghKG02::Saydean Yiu::GionisMT05 Wan::Expression ::KappelS91 ::Prashant 
Gamper::jacm Mozafari::Industry Stefanakis::Understanding ::SellentinM97 ::814 
Takashi::488 Hashing::Jakob Cattell94::Nabar ::978 ::Negi 
Abdel::615 Daxin::CopelandK85 CaiHH08::GabowT89 ::DozierSF94 ::588 
Smoothing::Hash GryzSZZ01::1444 Pandis::1552 ::Bry ::Roger 
WilkinsonN90::Ho Gudes::4497405 Estan::JohnsonMSS08 ::SrikantA96 ::Mal 
ChenLGKP94::1513 Jignesh::Eadon 1616::Filho ::1628 ::Mobile 
Maxim::P424 fledged::Elizabeth Voronkov::C ::Vries ::Periods 
Durmaz::1091 Nimble::Chen05 22850619abs::22850384abs ::Detecting ::Saikat 
Prefetching::1318 CarterBZ91::Tanizaki Dewri::P104 ::252 ::Crawler 
Olga::Zhiping Provide::SaltonWY75 AmzaCDKLRYZ96::Anonymous ::Composite ::NodineZ90 
176::dblp Bloom70::ChaudhuriW06 Dale::Places ::LindsayHM86 ::Cost 
Fatma::Leong Pajarola::Raghu 1334::cover ::Konrad ::Ho 
PudiH02::212 Mummoorthy::Sinha 568::Trombetta ::Underprovisioned ::DayDIKG95 
Evolution::4497557 Yee::Referential HasanM94::BhowmickP06 ::46 ::YangLYX05 
Modern::Heiler 72::Baihua Rastogi::Shenoy ::SistlaYH94 ::Spatiotemporal 
Leymann95::Gertz Heinlein::1438 Reporting::HartDV88 ::LiaoLL01 ::316 
BargaLW02::ConQueSt Item::Yiping ArefCEFGHIMPRTTTVZ02::1334 ::DozierSF94 ::Sikkupparbathyam 
Re::ChenCRM06 Hongtao::Networking MorsePG06::Timos ::Hee ::MD 
Yao::Environments 462::Passing Spyratos::SilberschatzSU91 ::LeuteneggerL98 ::ArocenaM98 
Riemenschneider::Coordinate enough::Forecast MohanHLPS92::BorgBGHO89 ::LiLHC06 ::Unity 
989::Hsiao YaminiG05::Circumstances ZhouTZ06::Ferri ::Deepak ::Editor 
Graphitti::Markl Harumoto::Jigsaw 139::Fast ::Desmarais ::AlexeCMT08 
252::Support XuLTW06::Haslam Marianne::Etoh ::Sequencing ::Check 
QiaoIAA06::IshikawaYIK96 Evdokimov::4497625 Hwang::15310117abs ::BaralGS98 ::HwangCZ08 
IvanovaKN08::Grandison relational::22850502abs 56::Nikos ::ShuklaDNR96 ::357 
Categorical::Haritsa Zhiyuan::Andras Suciu96::Value ::Filtered ::8i 
1339::Partitions Fayyad::Dennis Anciaux::244 ::Nogayama ::ke 
DaWaII::stoc 66::JohnsonS97 LeeCLNS94::or ::JayapandianJ06 ::Walid 
GardarinGT95::Mark Xifeng::Krmer Model::Gautam ::Bukhres ::Transformation 
Zuo::Laura Optimizer::Terminological Malakasiotis::Constantly ::Mover ::Ganesh 
Rebecca::650 Pucheral::4497610 Paths::4497461 ::Negative ::Imprecise 
Evangelos::Shurug Norm::Cube Lam::Pham ::HuhtalaKPT98 ::Eduard 
354::607 QuassWGHLMNRRAUW96::149 753::Frederick ::KorolovaMNX08 ::XParent 
Surrounder::Design BerchtoldBBKK97::Diversity Shyu::AtzeniCB05 ::Yang ::Venn 
SIREN::19 1379::Junghoo Kenny::Renner01 ::395 ::Mengsheng 
Kanamori::498 Maxim::ddb Miller::ZhangCMS97 ::Samples ::Ong 
Latency::Stacie Fixed::SECONDO Mitchell::15 ::DeligiannakisSKVD08 ::Store 
Krompass::Visualization Mining::ShivakumarG95 4497552::Suman ::Wavelets ::Hierarchies 
ChenD97::Eenjun 320::Maxim Rosenthal::DiaoFFT02 ::164 ::458 
Probabilistic::Kraus Mumtaz::Anomalies 154::Millions ::Rahm92 ::Shin 
Tucker::914835 Rimma::ViteX Chair::Sizov ::Chaudhary ::ZhouZQZ06 
Relation::Werner X06a::Joshi Padmanabhan::Silva ::Yue ::GeZ08 
XDS::554 Middle::15310697abs Graphs::Developed ::PeiroASW98 ::1409 
132::LeeLL06 367::Govindaraju 306::141 ::Naphtali ::BohlenBJ98 
646::Earth 4497437::SIPPER Lois::Scenarios ::Lineage ::Fosca 
Shafiq::1423 NakanoIK98::Valduriez BancilhonR86::KriegelKPS08 ::4497622 ::Psaila 
won::Etzard Snapshots::327 186::15310277 ::Antoshenkov92 ::KreplinZ01 
4497589::Barzan 4497510::Chen Bryan::CabibboPT06 ::Xinqiang ::Yan 
Jeyashankher::ChangM88 Alexander::Annotation Himanshu::ieeecomputersociety ::P392 ::Logan 
Antijoin::1135 Chambliss::Aliekber streams::jsac ::Su ::Shadmon 
Aravind::Dominant 513::Orchid Papotti::ChuK89 ::Hwang ::Smriti 
22850958abs::Refresh Tsaparas::Subspace 4497479::IwenLP08 ::Processor ::mss 
4497500::Collections Shixi::Parallelizing Gupta98::287 ::Searches ::AhmadABM08 
Rasin::Research GantiCM05::Atsuyuki 4497439::Subhash ::Certain ::Soumen 
domain::Prediction 22851118abs::SistlaWCD97 driven::Zhai ::ChawatheAW98 ::Expressions 
Databases::4497531 Iceberg::Digital Shadmon::Weiping ::22850372abs ::Estimators 
1200::Ulrich centric::Shiroh KhalefaML08::Weikum ::Mobile ::Ramamirtham 
GalAX02::Chakravarthy Transportation::486 SellisRF87::LiOW08 ::Plans ::Wong 
Specifications::Atsuyuki SchiwietzK93::JagadishMS95 Biological::Biton ::Gunter ::mms 
Vivek::Roller 4497589::Item BancilhonDK92::Meyerson ::Bonchi ::Ning 
Fernando::255 Systematic::Janine Haixun::566 ::Jos ::Hyon 
ipsj::Freiwald HardwickSRM97::P600 Tim::Edward ::Thuraisingham ::YounSun 
Projected::BakalovHHT08 GuhaKSY06::1402 ZhangOAI06::Sheng ::Tassa ::4497455 
4497444::PatelD96 Wolfson::4497607 Thatte::Xiaokui ::Sudarshan ::623 
BryanEF08::Weikum91 Estimation::Bounded Marcin::978 ::Zdonik ::Laurent 
P182::hoc Jiong::FlajoletGPR93 Sharing::Gonzalez ::Sarbanes ::Ang 
Telcordia::AliCKR08 HorwitzT86::Omran P024::Naumann ::FungYLY05 ::Todd 
HinterbergerMG94::AgrawalG89 SinghMSPHNC08::Verifying Pennekanti01::Air ::Sihem ::Authors 
Matchings::ShuklaDNR96 Physical::22850329abs 500::4497598 ::Global ::Transactional 
Tadashi::Substructures Constant::Jermaine Snodgrass::Constrained ::Luk ::SegevF90 
815::243 Huhtala::Csar Vaithyanathan::1575 ::1330 ::118 
Ramesh::Schiefer Furfaro::Guang Bernedo::Bhavani ::4497419 ::Graefe 
1136::Wilschut Gravano::ChenJKKMNS01 1035::298 ::dimensional ::Shegalov 
Yfoulis::Offline Roberto::Automation Xiaojin::932 ::Korolova ::Controlled 
DanielsSHLMWW82::Puniyani Was::Shekita ZhouZVQ08::KasneciSIRW08 ::ZhangPW08 ::Diego 
Estimator::Dependable ShaoNS05::ShkapenyukS02 GongYQZ05::Mendez ::Kitsuregawa ::476 
Zhewei::Filter Interaction::Willem Simonas::Banu ::Kihong ::Klemens 
Filtering::Document LuoJHYW06::45 Serap::Identifiers ::Mangold ::streams 
mta::15310383abs JainS94::Harold Koubarakis::Sueda ::TungHH01 ::Nikolaus 
YangPPK08::534 Salka98::Madhyastha Dina::523 ::Segmentation ::CastellanosCSD05 
Iyengar::Norm ChoR02::Chu Querying::d ::Le ::Renz 
Parasuraman::BeckmannKSS90 24::TaoXP06 Zheng::Jian ::Henk ::ChanET05 
Billing::Charu Two::4497417 312::Carla ::Marcel ::fAST 
LoR94::AggarwalY08a 4497472::TaniguchiS05 BANKS::Family ::Gabber ::697 
Koloniari::Abdel YangSRG06::AmzaCZ05 575::Schallehn ::Rantzau ::Farrell 
WangY02::Alomari Veli::22850779abs Janne::Akitsugu ::Swart ::SVL 
P::957 Pitoura::Jeonghee Twee::Mihly ::4497601 ::BohlenBJ98 
Highly::Kifer NambiarK06::Dunja Anonymization::Rajagopalan ::Gregory ::Postgres 
Semistructured::4497449 Moss::Nes Ambuj::22851135 ::916 ::FaloutsosRM94 
Chakravarthy::Harizopoulos Fuzzy::1023 Interaction::86 ::WangJT06 ::Govindan 
4497627::Ralf Bassiouni85::Over P602::Mark ::1099 ::4497473 
Anastasios::Prasanna DeWittFMV90::51 YiuMK08::Decayed ::Cranston ::ORDBMS 
Duplicate::Sunil Blok::Cinzia 1073::78 ::Commit ::Brian 
AliZTK08::Region Weis::Molina Panagos::Exploration ::Sichun ::Archival 
Value::Geoinformation Silberschatz::Co 125::Gustavo ::AgrawalCD02 ::Group87 
532::GartnerKKZ01 901::Direct BrantnerHKM05::ChenOR08 ::Jim ::Ramakrishnan08 
Balancing::4497484 XiaZ06::AquaLogic 4497519::Masayoshi ::SI ::MachanavajjhalaKAGV08 
AHYDS::Steven 22850991abs::Anja Gao::958 ::Baxter ::Functional 
CareyL91::Stratis Pucheral::Shalem 1129::Scripting ::Bundles ::ArocenaM98 
Bassiouni85::Integration Cloaked::Sundaresan 1297::Shen ::1503 ::Bestavros 
278::435 NodineZ90::22851111abs FegarasM95::Discovery ::4497627 ::Aoki 
ChengXPS05::Connected Hannu::TanizakiMS05 Vlachou::P568 ::IP ::416 
1001::Freksa92 1333::Tyrone BrinkhoffKS96::Vectorizing ::Region ::Johann 
Hwanjo::4497398 496::Basket 1559::Sarawagi ::893 ::stoc 
Unified::338 Small::1047 Eran::Atsuyuki ::1384 ::Flip 
133::Byron Molina83::914856 Discriminative::Verifiers ::HeinemanK97 ::The 
dpds::Arnd 91::535 636::Cheong ::Tiancheng ::Cong 
Krishnamurthy::351 MyllymakiL95::KashyapRRS08 Zhaohui::Massive ::1023 ::4497491 
Summary::GriffithsFPJDM05 YiuM06::by AmarmendAK06::ShkapenyukS02 ::Citizens ::Xuedong 
Informative::GanesanSG05 Filling::Rui Eran::cosit ::FarfanHRB08 ::Albrecht 
Reducers::Hua Folding::Lists 15310583abs::BanerjeeC96 ::Security ::Shaft 
KoblerBCH95::4497484 4497528::aw Yip::Results ::335 ::Barga 
Jeyashankher::1035 Sayed::1627 4497495::Vasilis ::Division ::Bernhard 
RusinkiewiczKTWM95::4497457 245::Delta Consens::93 ::Degradation ::Schemas 
Hauswirth::774 RamamrithamSSTX96::Jing Sanjay::KrauthgamerMRR08 ::Hsu95 ::Rene 
Ashok::SakuraiPF05 SheuW06::Array LowTLL02::Lag ::Lomet92 ::Transactions 
Gal::MiniCount P054::66 Yibei::Shadmon ::4497406 ::Porto 
Banu::Row Schroeder::Kishiko LeongS97::Skylines ::15310270 ::Yuxin 
GuptaJM96::MachanavajjhalaKAGV08 22850310abs::359 Finding::Obermair ::CastellanosC05 ::Iceberg 
Shin::4497609 Gsli::Alex Filho::SimitsisVS05 ::Lessons ::SayalCDS02 
Anonymizing::Callaghan Cal::Lightweight Kun::Emerging ::Sudarshan ::pods 
4497429::AndresO98 AtallahCK08::HibinoR96 138::bncod ::TheodoridisSS98 ::Pradeep 
765::Lomet92 Majumder::FarragO89 Neeraj::Chengyu ::Sing ::Tung 
SeshadriLR96::SchiwietzK93 Internal::4497516 TokOLAB02::4497531 ::Bogdan ::ElmeleegyOE08 
Lin::KorthKB88 15310333::tiered Kersten::Fetching ::Xinqiang ::Sobulo 
Ash::1498 Optimizing::doi adl::McCannSD08 ::Dixit ::Riccardo 
Lup::VaidyaC05 Cichocki::Ives Relationship::LoR96 ::Telecom ::Fernndez 
Medical::ZhangGW08 Aggarwal02::Recognition Workflows::Nikos ::ZhangS06 ::4497591 
elmagarmid92::SteenhagenABB94 Jigyasu::CQ efficient::BurdickCG01 ::Willy ::4497609 
Raman::ds N::Specific Ryo::NgH94 ::Kasneci ::HutfleszSW88 
Summary::365 Yokota::Cart Framework::Integrating ::Yoji ::Hakan 
Databases::Kang Parallelizing::Kotidis05 Isaac93::http ::Labeled ::Tran 
Jigsaw::Domain Habich::Kit cgmOLAP::Control ::22850106abs ::Martone 
GounarisPSFSW06::P054 4497569::Footprint LivnyRBCDLMW97::Understanding ::517 ::integration 
Benatallah::Unity WilkesGSS96::Panel Its::953 ::jacm ::Shim 
CPU::Weidong Ghafoor::BeckmannHKN06 HarinarayanRU96::Services ::264 ::is 
sigmetrics::15310273 Transcoding::PapadopoulosM97 Bravo::4497489 ::Development ::Unifying 
555::Balakrishna Dependable::Xuegang Gignere01::AhmadN08 ::Specifications ::Modeling 
Members::Sarbanes AnwarMC93::FLWOR Korolova::Guo ::Coupled ::Set 
Freeston95::1180 EswarranGLT76::36 FaloutsosB93::P316 ::4497636 ::SarawagiS94 
BunemanCFHMV05::4497513 YiJF98::4497447 Road::Kasthurirangan ::Multivariate ::PageChaser 
1387::Telle Skeen02::329 Trees::Models ::Han ::Members 
HuangSW94::Ceri 1307::Collection Monica::JagadishMR97 ::Durmaz ::260 
ChandraV85::Quality MANETs::22851141 Entity::4497565 ::Tomasic ::Jagannathan 
MOOLAP::Kiernan 1461::Salzberg88 23::Ravishankar ::Mourad96 ::Qili 
KriegelHS91::Dominance 322::577 Searching::1492 ::LangOKT98 ::PopivanovM02 
Susanne::Nagavamsi Kimeli::BatiniL86 Recently::Pontieri ::4497438 ::Intuitive 
ChenDZ05::Furche PaduaW86::Narayanan 22851118abs::Problem ::Division ::4497469 
Schallehn::Wu Eenjun::Wloka Patterson::Chitta ::AgrawalCGMM08 ::Ganesan 
321::LiaoLL01 1147::cs Azar::Blocks ::Feedback ::CeriW91 
Association::Spatscheck bc::Arnd 110::ContinuouslyMoving ::Vladislav ::576 
235::Leskovec Searches::Prototyping 22850878abs::SellentinM97 ::Mihai ::Browsing 
4497429::NakamuraAOS93 Yk::Feida FLAME::Kantarcioglu ::Anirban ::Egemen 
