::Bentley80 ::81 
::SAP ::Reviewers 
::Massive ::Application 
::Willy ::Neal 
::BrownH06 ::AhmadPCR08 
::Zhewei ::Multimedia 
::DrivenWeb ::4497487 
::Suresh ::G 
::Patterson ::ShengHL06 
::Auditing ::16 
::Workloads ::Annotation 
::Michal ::Range 
::1287 ::FegarasM95 
::1488 ::RajaramanSU95 
::Skeen02 ::Anand 
::276 ::Kato 
::22851036abs ::Zwol 
::482 ::Terms 
::Bursty ::Dina 
::Kim ::artdb 
::GhaffarA97 ::15310583abs 
::Barbara ::Sellis 
::StonebrakerRH90 ::MukherjeeRS05 
::Spiekermann ::RiTE 
::Scalable ::Shuyu 
::Ramanath ::Biological 
::Ailamaki ::Zhang 
::RDBMSs ::325 
::22850258abs ::Subarna 
::Suchanek ::BerchtoldBK98 
::Cattell91 ::Mukherjee 
::WangJT06 ::Joshi 
::962 ::Kreutz 
::Loh ::705 
::Wavelet ::Dhruv 
::Sequenced ::X05p 
::Planning ::GongYQZ05 
::883 ::Arnold 
::Mohan90 ::487 
::Delta ::Ono 
::4497485 ::116 
::Pryakhin ::174 
::Ferrari ::MeoPC96 
::FernandezFKLS97 ::1524 
::22850705abs ::Elegant 
::Kwok ::Processor 
::Andrea ::Rajagopalan 
::Mazza ::Maps 
::22850459abs ::22851013abs 
::BhalotiaHNCS02 ::Zhe 
::22851073abs ::GeorgakopoulosHS95 
::Donald ::AtzeniMM97 
::BitonBDH08 ::Carmem 
::Role ::DCbot 
::IdreosTK06 ::Oliver 
::Dyreson96 ::Stockinger 
::893 ::Compression 
::Fayyad ::Kersten 
::Regions ::tods 
::MudumbaiSSPB98 ::ssdbm 
::Avigdor ::RantzauM06 
::392 ::Dikaiakos 
::Association ::2005 
::602 ::Moving 
::Badillos ::Bhlen 
::Hierarchical ::Testing 
::Limitations ::4497636 
::Ching ::Adaptive 
::CastellanosBR08 ::338 
::Changes ::Davidson 
::BrinkhoffKS96 ::Mirette 
::Esther ::Nori 
::LakshmananRS08 ::Expressive 
::78 ::SrikantA95 
::22850516abs ::Andrea 
::Recently ::4497597 
::Sen ::Ryvkina 
::Batra ::1620 
::Kotidis ::Language 
::SavasereON95 ::Sensitive 
::Evdokimov ::86 
::Vladislav ::1438 
::EELs ::Compression 
::Martin ::Bausch 
::299 ::Airoldi 
::SG ::Sandra 
::22850419abs ::ChenWZY08 
::CLAN ::440 
::Puniyani ::281 
::NambiarK06 ::278 
::dke ::Gustavo 
::Calimlim ::Archival 
::CARE ::4497512 
::4497544 ::DescribeX 
::Trasarti ::Georgia 
::Mehr ::24 
::Publication ::15310261 
::Mirit ::473 
::Mal ::Curves 
::BohannonPRSSS96 ::Bill 
::Voronkov ::4497589 
::Ioannidis ::716 
::22850143abs ::Tree 
::Model ::Moving 
::69 ::4497471 
::AgarwalADGNRS96 ::Asynchronous 
::Molina83 ::Ramamohanarao 
::1483 ::Silva 
::Hamid ::Gautam 
::Visualization ::30 
::GeZ08 ::Mehrotra 
::Xia ::386 
::Weifeng ::hoc 
::Lijiang ::Partially 
::Stocker ::ER 
::Strong ::PolyviouSE05 
::1095 ::BayardoA05 
::1465 ::Isaac93 
::Alon ::ChenD97 
::Zachary ::1438 
::DeaconSW94 ::tcs 
::4 ::Scalability 
::914875 ::Terminological 
::Enabling ::Zadeh89 
::ZhugeG98 ::270 
::iBOM ::F 
::CormodeKMS05 ::Shrira 
::DogacBO06 ::Finding 
::Cube ::22850261abs 
::Manocha ::568 
::enough ::Bassam 
::James ::724 
::Kalnis ::Koch 
::Yue ::Chawathe 
::HillyerS96 ::676 
::HinterbergerMG94 ::Mani 
::Milano ::Effect 
::354 ::dke 
::David ::HOPI 
::Weiping ::4497477 
::SavasereON98 ::Testing 
::Krishnapuram ::Amarnath 
::Greene89 ::Tanveer 
::15310663abs ::LometBMS06 
::BargaL01 ::centric 
::Mohania ::Jasiobedzki 
::AssfalgKKKPR06 ::Error 
::Melliyal ::Candan 
::Strength ::btw 
::MahajanDNAM98 ::el 
::Path ::Neville 
::Stphane ::El 
::Bounded ::15310323 
::Tsukamoto ::SubrahmanianJ96 
::WangHLS06 ::29 
::Zeng ::Yongqiang 
::Lewis ::18 
::Hiroyuki ::GADT 
::LiuM96 ::76 
::Reporting ::ShatdalN93 
::732 ::SrikantA95 
::486 ::Workflows 
::SinhaWWSS08 ::ShethR93 
::Pasi ::Badillos 
::932 ::Sentiment 
::Closure ::ChangC02 
::Ryvkina ::Brantner 
::HOLAP ::2000 
::Stanley ::Hisashi 
::1334 ::Lochovsky 
::Integrity ::Tao 
::Srikanta ::HadjieleftheriouCKS08 
::Perego ::GrayC89 
::Hadjieleftheriou ::ChawatheGHPUW94 
::Pradeep ::Renz 
::Obstacles ::15310685abs 
::P046 ::679 
::Boualem ::PeiHL01 
::Arasu ::15310333 
::Grid ::Dmitry 
::BeckmannHKN06 ::Carson 
::Louiqa ::22850606abs 
::BernsteinGW93 ::ChongDFSYJTK01 
::P108 ::Declustering 
::Hope ::WangXLW08 
::914816 ::4497449 
::Dadam ::110 
::Verify ::Effect 
::90 ::tm 
::794 ::4497583 
::22850069abs ::Pin 
::ShatdalN93 ::Va 
::Worldwide ::BhideDD93 
::Strategies ::Made 
::Brett ::Ioana 
::Muhammad ::1061 
::granularity ::AbiteboulK92 
::15310176abs ::Research 
::Du ::4497448 
::X05s ::MannilaT97 
::Graphical ::Multi 
::QoSMig ::Rezgui 
::RAM ::Skylining 
::Tape ::Keijzer 
::SrivastavaDJL96 ::External 
::Analytical ::754 
::Example ::Sang 
::Chiew ::Majumder 
::Welsh ::Effect 
::Centric ::Engineering 
::Mohan ::Wiwatwattana 
::P192 ::SegevF90 
::63 ::1296 
::KriegelHS91 ::793 
::Feltes ::SilberschatzKS97 
::Rathakrishnan ::Extracting 
::486 ::24 
::LehnerHS02 ::MartinGH08 
::4497519 ::Nasi 
::1512 ::Xiaohong 
::Decade ::Problems 
::1133 ::MummertES95 
::TALE ::Yahia 
::Kifer ::1102 
::Freeston87 ::JigyasuBBCDMT06 
::Ledlie ::BrunoC08 
::Leung ::EltabakhEA06 
::1400 ::Chong 
::Schemes ::Theodoridis 
::166 ::Wolfgang 
::Andrea ::RabinovichBGLMM98 
::Configurable ::M 
::Aravindan ::ATLaS 
::21 ::IvesT08 
::1337 ::Inverted 
::SayalCDS02 ::Online 
::Nogayama ::Importance 
::MaH01 ::Morzy93 
::ShenOT06 ::with 
::Enabled ::Statistical 
::Chiticariu ::778 
::22850791abs ::Ravishankar 
::Page ::WolskiB98 
::Guido ::Christopher 
::Sunbir ::Non 
::GuptaHR98 ::Inference 
::Francesco ::Lei 
::Riqiang ::Nori 
::161 ::BaralGS98 
::IdreosTK06 ::914850 
::BonczKK96 ::PetkovicZBJAWK02 
::15310001 ::KonopnickiS95 
::Zhou ::BrantnerKMH06 
::Zhai ::Associative 
::Terlecki ::Csar 
::878 ::Assertional 
::Wloka ::Gukal 
::Flesca ::Johnson 
::Accuracy ::Stavros 
::Complex ::MorishimaNISK08 
::LuccheseVRY08 ::Safeguarding 
::Numeric ::P074 
::Commerce ::HibinoR98 
::PETRANET ::Identifiers 
::SVG ::Lomet92 
::Abdel ::452 
::4497548 ::779 
::SametA95 ::AgrawalLSS95 
::Dunja ::Bundles 
::625 ::Lucchese 
::Bajpai ::Hnle 
::Relevance ::Stoumpos 
::51 ::Snodgrass95 
::ChaudhuriDK06 ::Kumar 
::DCbot ::Khalefa 
::306 ::LeongS97 
::Sequencing ::Soumen 
::Salka ::Online 
::549 ::William 
::dke ::BestR85 
::Pablo ::Cheng 
::ZhangAO05 ::Engine 
::Xingquan ::Inclusion 
::LiuP98 ::Kotidis05 
::Reality ::873 
::ChenSZ05 ::476 
::1572 ::Fai 
::DengSXL06 ::Checker 
::Zabback ::Vasilis 
::Kanaya ::Kien 
::FaradjianGB02 ::716 
::Windows ::Ken 
::Gorman ::ChaudhuriDK06 
::Enabling ::cikm 
::Orenstein91 ::15310187 
::HarinarayanRU96 ::Cyclic 
::ElghandourAZCBBZ08 ::Ashok 
::McCannKSVSD05 ::Son 
::Procedures ::Auditing 
::Divyakant ::HellersteinNP95 
::bc ::Labels 
::Zuzarte ::914841 
::Riccardo ::StonebrakerADLO94 
::TaoXP06 ::Bursty 
::22850549 ::22851106 
::Topol ::Haruo 
::Musicant ::630 
::h ::Shipra 
::Wikipedias ::415 
::Type ::RyvkinaMCZ06 
::SmithS96 ::WangXHZWZS08 
::BohannonFRS02 ::Melnik 
::Rinderle ::LiZBSZN06 
::Sample ::Doulkeridis 
::329 ::922 
::Neumann ::Extract 
::Rosy ::CormodeIKM02 
::Dmitry ::Majumder 
::Replica ::32 
::Olteanu ::Nicola 
::TRMeister ::External 
::Hash ::1258 
::Era ::ChengCMC08 
::4497629 ::Acyclic 
::PuL91 ::Lois 
::Spatscheck ::1131 
::Elhadji ::4497581 
::Gryz98 ::WangL08 
::Through ::Welch84 
::4497604 ::Correctness 
::Autonomy ::Bourhis 
::ChaudhuriGKLLM98 ::327 
::Visualizing ::Elements 
::IBM ::Nrvg 
::Trombetta ::802 
::Tolerant ::YipCN05 
::Declustering ::OLAP 
::115 ::Lychagin 
::Elisa ::ride 
::Pu ::297 
::Etoh ::Across 
::Main ::MendelzonMM96 
::NguyenD08 ::Challenges 
::KuZWW06 ::15310697abs 
::Schumacher ::15310268 
::Automatic ::Scenarios 
::Nicole ::Eunus 
::TaninHS05 ::1346 
::Document ::Statistics 
::Comer79 ::clustering 
::PhanL08 ::Lingzhi 
::ArefS94 ::4497545 
::Access ::KuwabaraT05 
::Chakravarthy ::Gignere 
::RabinovichBGLMM98 ::FaloutsosB93 
::Harumoto ::Skylining 
::Art ::P268 
::Snodgrass95 ::1102 
::BreitenederGT92 ::ChongDFSYJTK01 
::10010131abs ::163 
::51 ::P578 
::LiaoLL01 ::Knig 
::Mamadou ::Siberski 
::Rajkumar ::217 
::XPlainer ::Isolation 
::127 ::Pennekanti01 
::396 ::GoldinK95 
::Richard ::Push 
::Yoshizawa ::71 
::22850717abs ::1525 
::Singh ::Rhm 
::Rys ::Wilfred 
::efficient ::15310041abs 
::NehmeRB08 ::KonigN06 
::Grobelnik ::Hierarchical 
::Mikkel ::1036 
::LinD98 ::SardarK06 
::15310617abs ::BrunoGM02 
::KrishnamurthyI91 ::Signal 
::1491 ::348 
::Cammert ::Network 
::Murali ::OLAP 
::631 ::ShrivastavaMR08 
::Captivity ::1119 
::for ::BehrG05 
::Portal ::362 
::Neighbors ::1331 
::4497453 ::Lag 
::Chen ::Vclav 
::Helen ::Specifications 
::ZhugeG98 ::804 
::PeiroASW98 ::DanielsSHLMWW82 
::Samples ::Patterns 
::Roussopoulos ::Bloom 
::253 ::4497520 
::0002 ::String 
::Schenkel ::Prioritization 
::Yongqiang ::Semistructured 
::aaai ::ChongDES06 
::Fits ::Optimize 
::PalopoliTU01 ::RotemZ95 
::Gencai ::UNIT 
::Ixent ::Accessibility 
::22850490abs ::Kesheng 
::VlachosGK02 ::Miss 
::518 ::Mengzhi 
::SilberschatzSU91 ::991 
::Answer ::Weifeng 
::Anup ::15310297abs 
::Qigang ::Shubha 
::Subbu ::nwosuTB96 
::1516 ::Controlled 
::Refresh ::coopis 
::177 ::Mi 
::914857 ::Benatallah 
::Stratified ::Georgia 
::1110 ::Stephen 
::Xiaolei ::Zaniolo 
::Date90 ::Mihly 
::JainS94 ::Naomi 
::Riedewald ::MohanPL92 
::HullY90 ::PGM 
::Markov ::DayalHL91 
::Lomet98 ::Tsotras 
::Rule ::Xuemin 
::Olu ::Nicholas 
::LB ::Development 
::Nina ::Ryvkina 
::Dependencies ::22850386abs 
::Tilo ::76 
::Mathew ::MogiK95 
::DeRose ::Bach 
::2007 ::Haslam 
::Demand ::Imprecise 
::Judice ::zsu 
::MolinaGS96 ::1052 
::4497571 ::4497564 
::492 ::ShaullSX08 
::Chon ::Li 
::MummertES95 ::953 
::275 ::Fischmann 
::Intensive ::MehrotraG93 
::DBLP ::Ge 
::Gorman ::Freeston87 
::Engine ::22850619abs 
::914867 ::22851135 
::McCannSD08 ::MummertES95 
::Olsen ::22850619abs 
::784 ::Integrate 
::Samaras ::Apers 
::1358 ::Kramnik 
::Matching ::4497543 
::Pilania ::Ngu 
::DescribeX ::EdmundsMSS05 
::ChaudhuriKPS95 ::Response 
::OzdenRS98 ::767 
::4497483 ::Event 
::Myoung ::BOXes 
::Verifying ::Prediction 
::StockmeyerM73 ::Benjelloun 
::dke ::Expensive 
::Zadrozny ::Bursty 
::Arbee ::1384 
::Monotonicity ::Liu96 
::Gokey ::Broken 
::22851146 ::3D 
::Datasets ::ZhouOT05 
::Enforcing ::LiuL02 
::Online ::Unified 
::MalkemusPBC05 ::Feida 
::Vehicle ::Takuya 
::4497517 ::368 
::WangHYYY06 ::205 
::Busatto ::1111 
::209 ::P476 
::Agrawal ::Maximal 
::Arnd ::Speeds 
::Sashikanth ::Ramkumar 
::Mitschang ::RohmBS01 
::Tuan ::wi 
::Assuring ::Standard 
::Marc ::4497507 
::167 ::Jain 
::Box ::Tanveer 
::1141 ::PiatetskyF91 
::Checkpoint ::WuWLM06 
::Oxley ::Approximating 
::P220 ::Intersection 
::EllisGR91 ::Wavelet 
::SchenkelTW05 ::SeshadriLR94 
::AlonsoAAKGM96 ::Application 
::545 ::Aoki98 
::367 ::120 
::With ::BouazizKPW97 
::140 ::SchallehnSS02 
::4497626 ::Rafiei 
::4497466 ::Alomari 
::Aggregates ::Surface 
::IdreosTK06 ::GoldsteinRS98 
::1405 ::Matchings 
::Maps ::Franklin 
::209 ::Provisioning 
::AquaLogic ::Bringing 
::Transactional ::Vibhuti 
::Hauswirth ::Oguzhan 
::1199 ::Effective 
::232 ::Vassilios 
::Harwood ::515 
::Injector ::Architectures 
::STAG ::TaninHS05 
::Orlando ::Characterizing 
::Mukherjea ::PageChaser 
::AslandoganTYLN95 ::Enumeration 
::AgrawalS95 ::Ullman97 
::AssentWMS08 ::436 
::Huhtala ::Coupled 
::Fully ::Imai 
::51 ::BohmHLW08 
::ChanET05 ::22851061abs 
::1121 ::Connectivity 
::Implementing ::Shapes 
::362 ::to 
::376 ::Environments 
::4497450 ::Cliques 
::Fatma ::4497601 
::Ziv ::HuaPZL08 
::RastogiS98 ::Dehne 
::IndexFabric ::P220 
::431 ::PagelSTW93 
::RosenblumO92 ::Huhtala 
::Transaction ::Sarvjeet 
::398 ::Qingchun 
::Salem ::Miller 
::Real ::wi 
::424 ::156 
::296 ::Clusterin 
::Lomet98 ::Nimrod 
::Expressive ::424 
::Negi ::Gnther 
::CastellanosC05 ::71 
::SCADDAR ::v8 
::Robinson81 ::1611 
::1135 ::Functional 
::Sam ::15310357abs 
::AkindJLS02 ::UchiyamaOH05 
::Forecast ::Swanwa 
::DanielsSHLMWW82 ::ht 
::15310583abs ::MDL 
::146 ::Relationally 
::Balanced ::348 
::top ::15310543abs 
::XStream ::Harald 
::CruzALRZ97 ::1465 
::SeshadriLR94 ::KolliosGKB01 
::Gisela ::Traffic 
::Bringing ::LambLOW91 
::Cardinality ::22850693abs 
::Xu ::TORPEDO 
::Shinn ::Lossy 
::982 ::once 
::1259 ::Bingsheng 
::Molina08 ::Il 
::Renner ::Bach 
::1430 ::Object 
::KreplinZ01 ::Automatically 
::Y ::1504 
::H ::55 
::4497596 ::Acyclic 
::977 ::914874 
::Worldwide ::Multiresolution 
::Amol ::Biased 
::P004 ::John 
::Ramkumar ::WiwatwattanaJ08 
::BerchtoldBK98 ::JiangLWY02 
::15310176abs ::Cost 
::OLTP ::Subramanian 
::GeorgakopoulosHM96 ::Larson 
::Koutrika ::Cristiana 
::Annamalai ::Creation 
::Enhanced ::15310323 
::NaumannHTHM02 ::842 
::4497524 ::Operators 
::Shyam ::Interpretation 
::over ::Electronic 
::4497605 ::CallanLC95 
::NakamuraE02 ::SIREN 
::LupuY06 ::4497485 
::Control ::BenatallahSND02 
::Tuples ::Cache 
::773 ::Milan 
::1439 ::EELs 
::Wolf ::Communities 
::Deep ::Junyi 
::Dai ::Temporal 
::Assessment ::Gruenwald 
::Presence ::Indrakshi 
::Chandel ::Experience 
::208 ::KoutrikaI05 
::Kreutz ::Chakravarthy 
::Miller95 ::Generation 
::Segmentation ::Daxin 
::Simplicity ::Graham 
::1447 ::4497620 
::Jasmine ::LometBMS06 
::sebd ::BrantnerKMH06 
::22850791abs ::ddb 
::455 ::WangLFY02 
::Bar ::LiL08 
::Woong ::Neel 
::Indriyati ::Series 
::Era ::Yuhui 
::Ioannis ::4497586 
::Coupling ::GounarisPSFSW06 
::TALE ::Verification 
::942 ::Nes 
::IndexFabric ::1453 
::ZukowskiHNB06 ::Stack 
::Sujata ::MuralikrishnaD88 
::Ernst ::Terzi 
::Gulbeden ::Jhingran 
::Griffiths ::100 
::Sankaranarayanan ::15 
::P599 ::EsterKX95 
::BrinkhoffKSS94 ::Nimrod 
::Detect ::KuwabaraT05 
::DesslochHWRZ08 ::ShethR93 
::Lot ::Moustafa 
::412 ::ChenWZY08 
::Kee ::EderL95 
::Burns ::Uemura 
::Castro ::Aggregates 
::DUP ::Gabber 
::263 ::384 
::comp ::Juchang 
::901 ::DengSXL06 
::Omiecinski ::Ivan 
::ChandraV85 ::sac 
::LiaoLL01 ::Overlay 
::Banerjee ::112 
::Rosaci ::4497566 
::Yongqiang ::GhandeharizadehHJ96 
::BadrinathR92 ::Symbolic 
::4497483 ::Indices 
::AssfalgKKKPR08 ::529 
::ShafiqSBG06 ::streams 
::Hannu ::Software 
::trees ::LometT95 
::490 ::Prado 
::Ramy ::Raffaele 
::Leslie ::1104 
::Yuhui ::1438 
::bit ::342 
::744 ::PolyzotisG06 
::914814 ::Just 
::Jaber ::Koustuv 
::Links ::MohanHLPS92 
::55 ::Stefan 
::Automation ::4497632 
::Vaupel ::567 
::Mladenic ::Silva 
::Proactive ::Mahadevan 
::http ::Categorical 
::JadavSCB95 ::EmekciAAG06 
::Simitsis ::183 
::Shiroh ::Weaver 
::666 ::Stonebraker 
::Anh ::Nagesh 
::Tat ::1607 
::1551 ::SuWL06 
::LianC08 ::1375 
::554 ::WhiteJ96 
::914858 ::Image 
::Daxin ::Naumann 
::CaoCFT08 ::NaumannHTHM02 
::pdf ::Enabled 
::Bloom70 ::Shyam 
::StromY85 ::Tuples 
::Bosworth01 ::4497539 
::22851145abs ::Chaudhuri 
::cover ::Offs 
::525 ::Sevcik 
::Sichun ::Jakob 
::YuC84 ::Bakalov 
::Nicholas ::coopis 
::Kurul ::Ludscher 
::4497558 ::Zeller 
::HuangG01 ::296 
::DewriRRW08 ::Madhavan 
::82 ::1124 
::Copy ::Prado 
::Volatile ::ChakravarthyM94 
::93 ::Taming 
::YiuJHL08 ::Reducing 
::adl ::BeckleyER85 
::Latency ::Adjourn 
::VLEI ::Athena 
::ChawatheAW98 ::Elements 
::HaraHTN98 ::87 
::1563 ::Va 
::LiHYX05 ::WangR91 
::ShaoNS05 ::is 
::Singh ::View 
::SistlaY96 ::Krishnaswamy 
::Kreutz ::Dimitrios 
::DuKS92 ::Karras 
::RoussopoulosL85 ::Madlmayr 
::Land ::Claudio 
::Verifiers ::22851118abs 
::22850081abs ::Zhe 
::32 ::Mohammad 
::Feher ::Byron 
::Upendra ::79 
::Paolo ::Mortazavi 
::Mong ::913 
::Couple ::MaddenG08 
::Oracle8 ::68 
::Hernndez ::OSS 
::Rank ::1465 
::22850256abs ::Lineage 
::15310369abs ::Cinzia 
::htm ::753 
::Q ::Andritsos 
::Jindan ::Couple 
::Milena ::242 
::1003 ::Lyman 
::Protein ::kim95 
::Patterson ::dpds 
::Denzel02 ::LuoJHYW06 
::PHASME ::BancilhonKK85 
::SaltonG83 ::DuKS92 
::4497565 ::AtzeniCB05 
::VlachouDNV08 ::Martin05 
::Samet ::Mittal 
::Xingdong ::Sergio 
::109 ::445 
::4497462 ::FranklinCL93 
::Sujata ::Czajkowski 
::Filling ::Top 
::Pennekanti01 ::Orchid 
::Joins ::Silvia 
::AhmadABM08 ::Shojiro 
::Power ::Betty 
::DB ::BitonBDH08 
::Polynomial ::Graefe98 
::Streams ::Fred 
::Gisela ::Dissemination 
::15310716abs ::Chandel 
::Declustering ::PudiH02 
::MansuriS06 ::Defined 
::Miled ::Telle 
::Pitoura ::Silvia 
::CocciTDS08 ::Natix 
::QuassRSUW95 ::Schwarz 
::Reverse ::Cost 
::Pablo ::Dimensions 
::Qian ::655 
::LynchS88 ::Array 
::Jermaine ::15310001 
::EltabakhOAELASB08 ::1442 
::From ::Melnik 
::ChaudhuriKPS95 ::WolfsonCDJM98 
::Gattu ::4497604 
::Maximum ::Gounaris 
::4497484 ::Orenstein91 
::Allocation ::databases 
::4497411 ::Gail 
::Alfons ::All 
::Umeshwar ::HirataHTK96 
::Greedy ::Hash 
::PhanL08 ::Ooi 
::Rajasekar ::Networking 
::Yanjiang ::60 
::QiaoRNPCFRCYL08 ::4497594 
::Bringing ::AilamakiGM06 
::IwenLP08 ::490 
::WhangKW94 ::1024 
::Yiu ::RosenblumO92 
::4497495 ::512 
::Cattell96 ::Elmasri 
::GrayBLP96 ::LiBRHCN05 
::1118 ::Chandel 
::793 ::ChrysanthisR94 
::Ammar ::Simulation 
::134 ::Workflow 
::Ahmet ::BargaL01 
::914856 ::Distance 
::Chiu ::designed 
::Fen ::AmzaCDKLRYZ96 
::1506 ::Pekka 
::Rost ::Loops 
::22850256abs ::SchiwietzK93 
::Offs ::Srini 
::Lutz ::Eun 
::HardwickSRM97 ::Kutsch 
::Cyclic ::Yafei 
::Lamport78 ::NtarmosTW06 
::LiLH06 ::MAFIA 
::249 ::MotwaniNT08 
::SEA ::Theobald 
::coopis ::Jinchuan 
::Stratis ::Odysseus 
::Yufei ::Inferring 
::cikm ::Weld 
::David ::Practical 
::Zhuge ::Moss 
::Marcel ::Alvaro 
::Naomi ::Avoiding 
::Chow ::Samaras 
::SeshadriLR94 ::Sellentin 
::Bilke ::1099 
::Scenarios ::Tang 
::Kanad ::Nuwee 
::Novel ::Jrme 
::4497476 ::AHYDS 
::WeisN06 ::SIPPER 
::WangZ02 ::TRMeister 
::Qiming ::Classification 
::Mohan90 ::15310093abs 
::books ::Torben 
::15310488 ::1417 
::Antonios ::773 
::1333 ::Mukesh 
::WhangLLKH05 ::310 
::4497439 ::Swart 
::Supporting ::Kreher 
::Methods ::Languages 
::Ang ::Manolis 
::mit ::Ontology 
::AyadNWS06 ::P598 
::Nicola ::Akrivi 
::Kam ::ShivakumarG96 
::CosmadakisKV90 ::BernsteinN96 
::MIX ::nato 
::458 ::CastellanosCSD05 
::SemCast ::SeegerK90 
::TaoXP06 ::GounarisYSD08 
::22850485 ::Automata 
::Arnd ::Recycling 
::Panella ::Conceptual 
::Lang ::Tony 
::Raffaele ::Sergio 
::Schiefer ::Galindo 
::Sismanis ::HornickZ87 
::JigyasuBBCDMT06 ::Rittinger 
::22851120 ::DakkaI08 
::Welsh ::15310282 
::Nuwee ::Kleene 
::ArumugamJ06 ::1033 
::914825 ::Sumit 
::AmmannJR97 ::PapakonstantinouGGU95 
::BabuMWM05 ::ReissH05 
::Habich ::Diao 
::Anonymous ::MolinaKS98 
::Rewriting ::k 
::1409 ::1267 
::ManjhiSDO05 ::Andrew 
::Picture ::FranklinCL92 
::Henrich ::Hull 
::JadavSCB95 ::Ailamaki05 
::596 ::HwangPS98 
::Hajj ::Agents 
::IdreosTK06 ::Curtis 
::Rabindra ::Schek 
::ShuklaDNR96 ::Commit 
::358 ::191 
::Daniela ::Muhammad 
::Multi ::Ding 
::Jianzhong ::Bhlen 
::Sundaresan ::Michal 
::Motion ::etintemel 
::P074 ::1002 
::SNAP ::cj 
::Hope ::Usama 
::Sequential ::Navigation 
::Mengchi ::Bhide 
::Tao ::LeFevreDR06 
::Outsourcing ::TomasicRV96 
::Campi ::Extracted 
::Spiros ::Suppression 
::Baral ::Gene 
::Omiecinski ::4497423 
::Rosenthal ::Synopses 
::1121 ::Narang 
::320 ::csur 
::116 ::Low 
::Cart ::RafieiM97 
::Malkani ::Qigang 
::Kyun ::Sharma 
::Faster ::Dialani 
::FayyadPS96 ::552 
::240 ::BanerjeeC96 
::BayardoA05 ::Gregory 
::1133 ::Babu 
::Scripting ::914846 
::Mourad ::15310081abs 
::Level ::Medical 
::902 ::141 
::393 ::Deep 
::MaddenF02 ::Taming 
::Margaret ::Dittrich 
::1391 ::HammerST05 
::Scaling ::Rinku 
::Chambliss ::BukhresSNBAOGKCMS02 
::Discovering ::P302 
::Liuba ::Right 
::Batched ::Ordered 
::Dictionary ::Multimodal 
::Loading ::GuptaHR98 
::187 ::4497502 
::ETL ::Answer 
::Shift ::PC 
::Internal ::Mitch 
::Lola ::4497515 
::YouPL05 ::Hazem 
::RooholaminiC95 ::Toward 
::YiLKS08 ::Viglas 
::Hisashi ::101 
::Ander ::Provable 
::Kimeli ::Yunyue 
::Against ::993 
::Madden ::Prodromos 
::MohanHLPS92 ::Schlatter 
::Yannis ::WhiteJ96 
::Devices ::Schubert 
::Heikki ::TaoXLZ08 
::Osmar ::Lomet98 
::TrombettaB06 ::Tobias 
::Burns ::Spreadsheet 
::TaoXP06 ::Closure 
::Compressor ::Timos 
::Vazirgiannis ::from 
::1081 ::join 
::Mudumbai ::Estimator 
::Yap ::data 
::Sheth ::Pushpraj 
::Daniele ::Karlsson 
::Georgiadis ::DIPBench 
::Gulbeden ::AndritsosFM06 
::4497610 ::Hambrusch 
::Conor ::ChawatheGHPUW94 
::Shafiq ::Server 
::P ::Yasin 
::Spatscheck ::22850853abs 
::Christina ::Sang 
::CastellanosBR08 ::via 
::1397 ::Bringing 
::Checking ::Hristidis 
::Maier ::903 
::BernsteinHG87 ::Granular 
::Cappellari ::Boualem 
::Early ::Intelligence 
::216 ::Jian 
::ShaLJ88 ::22850978abs 
::Xiao ::Information 
::MAPLE ::Anne 
::1035 ::LSD 
::337 ::Beyond 
::Ipeirotis ::Hammad 
::Gmach ::SismanisR05 
::MolinaLV84 ::Swaroop 
::4497510 ::22 
::Qing ::ContinuouslyMoving 
::Bhattacharya ::Syeda 
::KotidisSV06 ::Marianne 
::Page ::Pierre 
::GirodMNRTBM08 ::Extracting 
::Rogers ::Shape 
::LawrenceB02 ::Main 
::4497582 ::ShimSA97 
::LeuteneggerL98 ::Kit 
::ZhangG08 ::Footprint 
::4497622 ::JayapandianJ06 
::22850415abs ::BernsteinL96 
::Andrei ::X06a 
::QuassWGHLMNRRAUW96 ::Randomized 
::BrakatsoulasPT05 ::Terabyte 
::gis ::Congjun 
::22851104abs ::Tuples 
::466 ::Arun 
::LiSR92 ::Neal 
::Controls ::Sequences 
::McCannKSVSD05 ::Lyublena 
::YiuJHL08 ::Scheuermann 
::Shift ::JohnsonS97 
::KhaitanRJC08 ::KuskinOHHSGCNBHGRH94 
::1136 ::Christophides 
::Dimitris ::Lim 
::212 ::Faloutsos 
::22850242abs ::FukudaMMT96 
::2001 ::Cocci 
::Autonomous ::Array 
::LiuYCW08 ::256 
::Jaffar ::Authoritative 
::456 ::Constrained 
::ChenH01 ::Metadata 
::Selections ::Anomalies 
::Annotation ::94 
::Fjording ::794 
::Kwong ::Le 
::4497545 ::Joxan 
::943 ::4497423 
::P599 ::FAST 
::Wright ::Anomalies 
::Ken ::X05t 
::Agrawal ::Systems 
::Arasu ::SeshadriLR96 
::Based ::1495 
::Hara ::330 
::Mikhail ::4497625 
::Checkpoint ::Provisioning 
::1417 ::CLICKS 
::NakamuraE02 ::Ogawa 
::Fingertips ::Wisam 
::Rishe ::IWill 
::TanGO01 ::Csar 
::914858 ::Hashing 
::Alternative ::4497594 
::Progress ::Nakamura 
::SenR05 ::Among 
::Variable ::Manjhi 
::Tran ::Granular 
