::Banich ::BatoryBGSTTW88 ::Xiao ::RaffioBCPH08 
::1506 ::KitsuregawaTM83 ::933 ::Shedding 
::914856 ::Weaver ::1539 ::subrahmanianJ96 
::Matthias ::through ::4497525 ::Martin05 
::YiN05 ::OrensteinM84 ::Anastasios ::Data 
::3 ::Weld ::Papadias ::With 
::Lin ::4497487 ::Anonymity ::MolinaLV84 
::ChiS05 ::Welsh ::Michail ::Junglee 
::World ::10010143abs ::15310593abs ::WolskiKP96 
::Samet ::Al ::Oguchi ::Bernstein 
::Ari ::RAM ::Suel ::Anonymization 
::is ::SegevF90 ::edbt ::DanDY91 
::DanielsSHLMWW82 ::1147 ::MAN ::Indyk 
::KimP88 ::78 ::914848 ::Trends 
::Haejoong ::Jianzhong ::HwangPS98 ::BuccafurriRPS02 
::Yue ::SchroederHINW06 ::Archetypes ::Luk 
::Approaches ::Navathe ::MUSE ::Shim 
::Sotiris ::Y ::Venkatasubramanian ::Boat 
::Boris ::Musicant ::RDF ::their 
::Suri ::575 ::914831 ::EsterKSX96 
::Narasayya ::Framework ::Brakatsoulas ::Choi 
::1403 ::MelnikGR02 ::790 ::Rabinovich 
::1510 ::125 ::Walk ::Languages 
::delay ::Ohler ::Continuous ::Kedar 
::Reza ::Shyam ::PalopoliTU01 ::Connectivity 
::989 ::Finding ::4497476 ::PapakonstantinouGW95 
::Fekete ::Pryakhin ::views ::WilschutFA95 
::58 ::227 ::Skeen02 ::Zadeh65 
::Henrich96 ::Domains ::15310117abs ::Inverted 
::1433 ::SrivastavaL88 ::Jim ::Bosworth 
::Suciu ::sigmod ::Sequence ::Fuxman 
::Bhide ::1118 ::SI ::1022 
::Crawler ::Aoying ::Shoshani ::Csar 
::Lomet98 ::XGRIND ::Previously ::Wai 
::Ogawa ::ADEPT2 ::AnYS01 ::1346 
::Arnold ::Lawrence ::Sachindra ::BreitenederGT92 
::Selinger ::Disclosure ::Blakeley ::Sakurai 
::Chai ::Seung ::Arnd ::1444 
::SUBSKY ::Different ::Chairs ::MohanLO86 
::1148 ::BurdickCG01 ::Comer79 ::Ari 
::15310201abs ::Green ::4497553 ::LuoNEW05 
::ChongDFSYJTK01 ::575 ::Objective ::Jabeen 
::Nagaraj ::1023 ::RelaxImage ::Fischmann 
::Yongluan ::Light ::Dimitrios ::Maryann 
::Ewen ::415 ::tocs ::67 
::within ::X05t ::686 ::HanF95 
::Asymmetric ::1286 ::Barzan ::Jagadish91 
::Transfer ::Leakage ::27 ::Shuigeng 
::ChongDFSYJTK01 ::Cable ::Grel ::CormenLR89 
::Alejandro ::ChaudhuriGKLLM98 ::Legacy ::914849 
::Hammad ::Integrating ::BerchtoldKK96 ::aw 
::Cesare ::15310265 ::Megiddo ::352 
::mm ::1114 ::633 ::GummadiLGSH05 
::15310593abs ::Roberto ::Challenges ::Sample 
::FilhoTTF01 ::Katayama ::RafieiM97 ::Houle 
::Stratos ::141 ::Shivakumar ::Chamberlain 
::Eenjun ::ChenDER05 ::1277 ::96 
::P402 ::BodenCFKSSS95 ::LiCHH97 ::Shawn 
::Sets ::Framework ::Anastasios ::Wenxin 
::QianW91 ::Zhiming ::Two ::1321 
::EppingerMS91 ::DelisR94 ::Chang82 ::92 
::932 ::Hang ::22851131abs ::Coherency 
::CareyDNAGS97 ::4497490 ::Scripting ::Tingjian 
::Koki ::Memoriam ::4497469 ::Shared 
::914856 ::sosp ::Earth ::Provenance 
::Alan ::Quantitative ::914876 ::Kshitij 
::MeoPC96 ::Bruce ::P104 ::388 
::15310272 ::Generalizing ::Kam ::MengLWG02 
::WhiteDJ96 ::Piotr ::Daudjee ::fledged 
::Pfoser ::ChungGS02 ::Seltzsam ::Feng 
::Participants ::OLTP ::View ::ChengYHY08 
::Chaplin ::Lewis ::Component ::YFilter 
::188 ::1147 ::Giannotti ::241 
::Cichocki ::Weighted ::Eran ::Environment 
::Whitley ::Zwaenepoel ::Partially ::1082 
::Geerts ::PapadiasTKZ02 ::Yee ::Arbitrary 
::SayalCDS02 ::1483 ::SismanisR05 ::Pavel 
::EsterKX95 ::15310583abs ::Focused ::730 
::Sreenivas ::20 ::Click ::Nishio 
::Mauroux ::Out ::Ogawa ::778 
::22850619abs ::Ozcan ::Wook ::MendelzonMM96 
::264 ::631 ::Anomalies ::BINGO 
::Visualizing ::OLE ::Orchid ::Denise 
::1465 ::355 ::Legaria ::4497486 
::Elegant ::KiferKS92 ::Service ::Zuo 
::acr ::CareyDNAGS97 ::129 ::Nodira 
::WeisN06 ::Advances ::Salvatore ::Lyman 
::Nguer ::AlonsoC05 ::4497600 ::ArasuCK08 
::1628 ::AtzeniMM97 ::GongYQZ05 ::Answers 
::668 ::Multilingual ::Fast ::567 
::Bin ::Topsakal ::Alan ::D 
::Wichterich ::ChaudhuriNR08 ::Adaikkalavan ::600 
::4497423 ::Huang ::BabuDM08 ::KellerB96 
::WuWLM06 ::Data ::Wilschut ::Confidence 
::Pajarola ::389 ::Exploiting ::Chiueh 
::1123 ::dbpl ::Verma ::Jinping 
::Akshat ::CARE ::Maarten ::DingCRTHC08 
::1348 ::Vibhuti ::GartnerKKZ01 ::sac 
::Thomas ::Klaus ::Supratim ::Harold 
::gis ::Structured ::HanFWCGKLLRSXZ96 ::Grandison 
::1486 ::KistlerS91 ::IpeirotisNCG05 ::914875 
::Adaptation ::Framework ::Multiple ::P180 
::151 ::Jignesh ::4497589 ::Sparse 
::HOPI ::1595 ::Zilio ::cacm 
::FarragO89 ::Advanced ::1116 ::Nagesh 
::Yanif ::AgrawalS94 ::Yiu ::QuassWGHLMNRRAUW96 
::Ben ::ShivakumarGC98 ::YanOZ08 ::KoblerBCH95 
::Haibo ::Motwani ::Gerald ::4497525 
::Jasmine ::Koudas ::Sakurai ::1382 
::Lattice ::914875 ::22850533abs ::22850487 
::4497441 ::tiered ::ChenDYR08 ::And 
::200 ::1500 ::Damianos ::Welcome 
::Informative ::NFMi ::FernandezA02 ::Compact 
::Provisioning ::Acharya ::Kalogeraki ::135 
::Xingquan ::ChenD97 ::Maier83 ::YangL87 
::Skeen ::1509 ::417 ::Jonker 
::BhideCGGMPRRS08 ::Gisela ::22850978abs ::Harald 
::Zhengli ::Rezgui ::Andrs ::Middleware 
::I ::RDFS ::Steve ::Nodira 
::BryanEF08 ::Singer ::Frederick ::Stella 
::Di ::Position ::gis ::Reference 
::37 ::Experiences ::4497523 ::R 
::Kantarcioglu ::Nagesh ::Buffering ::Inderpal 
::4497581 ::Shuang ::Jeff ::Corey 
::GantiCM05 ::tc ::Abiteboul97 ::MannilaR94 
::Abiteboul ::siamcomp ::UNIT ::Zezula 
::Ji ::BerchtoldBK98 ::Summarizing ::WuAA02 
::Publish ::RDMS ::Rizzolo ::Multidimensional 
::661 ::Directory ::PetitTBK96 ::Watzke 
::Clemens ::Majumder ::TRMeister ::Rao 
::Bootstrapping ::Convoy ::MachanavajjhalaGKV06 ::890 
::csur ::LeeKC01 ::Historical ::HamakawaR94 
::Ramaswamy ::Jimeng ::903 ::SrivastavaDJL96 
::Tara ::Shaft ::WuB97 ::Coverage 
::161 ::MelnikGR02 ::KanagalD08 ::siamcomp 
::45 ::326 ::947 ::Bassiouni85 
::Luis ::4497523 ::SherkatR06 ::Papaemmanouil 
::Jagan ::AbiteboulCM95 ::Shawn ::Cha 
::22850693abs ::Exemplar ::Actionable ::Bernstein 
::Lot ::Boris ::Davulcu ::Warren 
::ZhouTZ06 ::Synchronization ::X06 ::Sheng 
::4497439 ::Robust ::DeWitt ::Extracting 
::dimensional ::Gehrke ::Provide ::914871 
::CeriW91 ::Cochinwala01 ::French ::Kimball96 
::MegalooikonomouWLF05 ::1366 ::SayedRM06 ::Descriptions 
::Elke ::NeT ::1950 ::RamamrithamSSTX96 
::Quasi ::Livny ::acr ::Graefe 
::109 ::Jan ::CLAN ::22850162abs 
::Atzeni06 ::1033 ::Extracted ::LinD98 
::GounarisYSD08 ::inWireless ::Industrial ::Vakali 
::MohanKSW06 ::Prodromos ::Uncertainty ::ShuklaDNR96 
::FaloutsosL95 ::Terzis ::Panella ::22850459abs 
::Inferring ::Itemset ::Bressan ::Processing 
::914861 ::4497495 ::654 ::Marko 
::259 ::P126 ::Galpin ::Curtis 
::Its ::Structural ::Keyword ::Management 
::Ono ::WhiteJ96 ::Barzan ::YanOZ08 
::Sun ::HarinarayanRU96 ::Vazirgiannis ::Oguzhan 
::4497589 ::22850341abs ::Natix ::179 
::Inside ::Davey ::NguyenKF08 ::JagadishOVZZ06 
::813 ::Whang ::Co ::tcs 
::1325 ::4497527 ::Lieuwen ::P004 
::Swaroop ::Jianzhong ::Ownership ::DSI 
::HollandG92 ::1547 ::22850256abs ::Tag 
::22850242abs ::Keidl ::Q ::P014 
::1385 ::240 ::Zadeh65 ::Markl 
::P392 ::Long ::Hulgeri ::Jianmin 
::Gail ::Isoline ::Kashima ::Threshold 
::TuckerM02 ::Ramkumar ::516 ::ShuklaDNR96 
::Update ::Mendelzon ::NeumannHM05 ::883 
::Lychagin ::459 ::1363 ::Vee 
::Ahn ::Sky ::LiuP98 ::Sampling 
::Rittinger ::Histories ::Underprovisioned ::Delta 
::Timely ::Schwarzkopf ::Bhattacharya ::Shetal 
::Laurent ::247 ::HibinoR96 ::Direct 
::VlachosGK02 ::Unlinkable ::P259 ::Nakano 
::Kanoulas ::Cho ::Secure ::355 
::BlaumBBM94 ::AliCKR08 ::Majumder ::PapadiasT97 
::Methods ::GravanoG95 ::ChangM88 ::10010473abs 
::Ali ::Uncovering ::FLAME ::Dragut 
::GuptaJM96 ::991 ::Norman ::MorishimaNISK08 
::Unified ::CARE ::1306 ::Matchings 
::Concurrency ::Simulation ::773 ::Replicated 
::Filippo ::SolworthO91 ::CareyD96 ::972 
::914864 ::Edison ::RX ::15310337 
::Syeda ::LehnerCPZ01 ::EppingerMS91 ::Cooperative 
::Gabber ::901 ::cj ::619 
::JohnsonS97 ::icdcs ::Cormode ::Joshi 
::HwangBRCSZ05 ::subrahmanianJ96 ::P402 ::HowardKMNSSW88 
::DUP ::inWireless ::Apers ::58 
::Niblack ::Wang ::LianCY08 ::1316 
::Dan ::StonebrakerRH90 ::329 ::QoSMig 
::TheodoridisSS98 ::Markl ::15310357abs ::EderL95 
::Xiaoming ::229 ::KatayamaS97 ::Results 
::DimitrovaG94 ::1307 ::A ::Garret 
::914825 ::Cloud ::Marx ::4497419 
::Paul ::914833 ::Dyreson96 ::inWireless 
::Sihem ::FlescaFG02 ::Shirley ::1109 
::Rajan ::Rjaibi ::Fabio ::88 
::22850254 ::Avigdor ::1150 ::Stefani 
::Interpretation ::KarrasM08 ::1448 ::CareyDN93 
::Mendelzon ::Virtual ::22850485 ::Orenstein89 
::Nanni ::Uemura ::LangOKT98 ::Seluk 
::327 ::Version ::Chai ::4497594 
::MannilaR94 ::Wikipedias ::22850186abs ::1418 
::Kihong ::Marian ::Shepherd ::4497591 
::Yanjiang ::1599 ::GuptaM95 ::ZhangCMS97 
::Zipf49 ::22850310abs ::tkde ::SchallehnSS02 
::914843 ::4497407 ::Cormode ::436 
::Cho ::YinC05 ::Uri ::AgrawalJKL06 
::Revision ::Gawlick01 ::22850516abs ::Persistent 
::Ander ::Anja ::1199 ::IP 
::Raghu ::Liadan ::MendelzonMM96 ::Nicole 
::Takeshi ::1200 ::Characterization ::Routing 
::DeRoseCGSDBZ08 ::4497429 ::VenkataramanNL98 ::aw 
::RastogiMBKS93 ::252 ::914848 ::4497421 
::Traina ::Shuai ::JadavGL97 ::914876 
::Autonomy ::Venkitasubramaniam ::SirbuT95 ::498 
::BernsteinGWRR81 ::P178 ::22851109abs ::Motwani 
::Metadata ::Grtner ::ShenSCT06 ::dx 
::ShalemB08 ::1102 ::BadrinathR92 ::edbt 
::Minji ::Korolova ::914819 ::Music 
::Kedar ::Kian ::Seltzsam ::Parallelizing 
::426 ::Margaret ::Conference ::Harchol 
::Balmin ::1032 ::Prasanna ::564 
::Qiang ::668 ::VrhovnikSES08 ::Huiming 
::ATLaS ::Hara ::57 ::TheodoridisSS98 
::108 ::P116 ::From ::kdd 
::Daniele ::LynchS88 ::4497539 ::Shanmugasundaram 
::4497499 ::Arun ::Xuemin ::Vaithyanathan 
::Cruz92 ::554 ::Ravi ::Hypermedia 
::1032 ::PageChaser ::FernandezA02 ::Mohan94 
::Eenjun ::Rys ::1488 ::Wendy 
::Sharoes ::1200 ::208 ::ChanG85 
::ZhugeG98 ::177 ::1032 ::Magesh 
::Pucheral ::Beckmann ::Ghinita ::To 
::3 ::Anton ::Human ::Moving 
::Linga ::157 ::Palopoli ::Acceleration 
::Kanellakis95 ::Sivasubramaniam ::1114 ::Zhai 
::978 ::Boedihardjo ::Anna ::Son 
::Summarizing ::1062 ::Regulation ::Porkka 
::XGRIND ::Scannapieco ::Tara ::Dan 
::Abiteboul97 ::Shojiro ::Krger ::Primary 
::Gadia88 ::YinC05 ::Deep ::51 
::Doulkeridis ::YounSun ::ChanET05 ::Enforcing 
::763 ::Murali ::IoannidisP95 ::0003 
::jacm ::Automating ::ShengHL06 ::70 
::Brent ::15310269 ::Images ::1486 
::You ::328 ::10 ::Darrell 
::22850878abs ::ph ::Kantarcioglu ::Ubiquitous 
::15310283 ::Radeschutz ::Jinze ::KhalefaML08 
::Sandeep ::SlidingWindow ::Chi ::Shasha 
::Servers ::BancilhonDK92 ::136 ::Objects 
::WebIQ ::511 ::FarfanHRB08 ::1427 
::ebXML ::Woong ::623 ::as 
::430 ::TsangarisN91 ::22850968abs ::Wiederhold92 
::1400 ::NussbaumerPSS95 ::Rivka ::Netz 
::1092 ::Automatic ::Mohan94 ::SchmidtKW01 
::4497496 ::Lyman ::Chendong ::JagadishMR98 
::331 ::Fatma ::914825 ::Hendrik 
::4497455 ::DeWittFMV90 ::icde2005 ::Shao 
::4497604 ::BinnigKLS08 ::Jiaheng ::Main 
::Mller ::Sakurai ::Manolescu ::Cheong 
::Bonifati ::Annita ::Microarray ::ChenDYR08 
::281 ::Daniel ::Jeonghee ::G 
::IvesT08 ::PhotoSpread ::Sadhukhan ::Stonebraker96 
::PermJoin ::Freiwald ::Prashant ::15310129abs 
::Kreher ::Farnoush ::4497426 ::329 
::243 ::LiH89 ::Arun ::Mehmet 
::AbulBN08 ::Mathew ::ElghandourAZCBBZ08 ::Toivonen 
::SnodgrassA86 ::SavasereON98 ::Matches ::Low 
::YipCN05 ::4497427 ::P054 ::IndexFabric 
::DragutWSYM06 ::IshikawaKOYKK96 ::Document ::Concurrent 
::Theodore ::Raghav ::Acyclic ::Video 
::CaliM08 ::Abiteboul ::Linear ::Jianmin 
::Stonebraker94 ::Robust ::684 ::Rishi 
::NakamuraAOS93 ::70 ::MarianAKS05 ::Jasmine 
::Randomized ::MAFIA ::4497470 ::Snapshots 
::Ashok ::Safeguarding ::Tightly ::1584 
::Rhm ::Bentley75 ::X05t ::Samaras 
::Medical ::22851098 ::914827 ::4497616 
::Overview ::Gu ::102 ::Gerstl 
::Methodical ::RoschGL08 ::Jianmin ::Jeffery 
::books ::914842 ::code ::Krger 
::Ledlie ::1433 ::Marcin ::1012 
::Compiler ::P074 ::Rajagopalan ::Il 
::Niblack ::4497413 ::Stahl98 ::Fukuda 
::Hongtao ::Hiroko ::112 ::Lola 
::22850578abs ::Prabhakaran ::Your ::Mansuri 
::MishraE92 ::PajarolaOSSW98 ::HarrisonD92 ::Kitagawa 
::MalkemusPBC05 ::ParkKL01 ::185 ::Henrich 
::CarterBZ95 ::Sing ::org ::Serap 
::Christian ::JohnsonK84 ::37 ::Madhyastha 
::cite ::Approximated ::Airoldi ::Martin 
::Dimension ::Sweeney ::FudosPP02 ::SQLServer 
::521 ::Manocha ::Suppression ::ChristophidesCM96 
::Neumann ::58 ::World ::Donghui 
::IvesT08 ::LB ::1543 ::Salt 
::1137 ::Did ::Zuzarte ::Ajay 
::22850205abs ::277 ::272 ::Microsoft 
::Check ::GriffithsFPJDM05 ::Brent ::ChengXPS05 
::74 ::4497503 ::LeungWL89 ::Chengyu 
::as ::spieSR ::ShaullSX08 ::Thanh 
::Govindaraju ::Machanavajjhala ::Hse ::Communication 
::Corruption ::ChangYDA88 ::65 ::Mullin90 
::Margaret ::524 ::Sweeney ::914845 
::LanOT02 ::22850949abs ::Directed ::ChandelNS06 
::Driven ::Inderpal ::P069 ::22850273abs 
::Meta ::ZhangCMS97 ::Lo ::Elmasri 
::Nes ::KamelF93 ::4497490 ::Yu 
::Campen ::Reiss ::4497530 ::Information 
::ZhouOTY06 ::Transactions ::Knig ::Tripod 
::BaralisCMPRR97 ::Siberski ::Ian ::Co 
::DeshpandeH02 ::227 ::BatiniL86 ::Distribution 
::Sanghyun ::914811 ::ADEPT2 ::KaushikSBG02 
::P550 ::RosenblumO92 ::Wiwatwattana ::LentSW97 
::358 ::125 ::Matthias ::P392 
::ViteX ::Sup ::15310201abs ::Accessibility 
::60 ::RinardD96 ::329 ::249 
::ChongDES06 ::Protection ::Duplicate ::Ranked 
::Top ::Tassa ::P241 ::Clients 
::Lyublena ::MohanN91 ::Grabs ::Ledlie 
::HeS06 ::LiC08 ::usenix ::Sichun 
::Schneider05 ::BayerM72 ::Use ::Enforcing 
::Range ::MohanLO86 ::Wide ::Precision 
::405 ::705 ::1143 ::Scalar 
::1596 ::Hsu93 ::Anurag ::UchiyamaOH05 
::148 ::Bypass ::Algorithms ::NambiarK06 
::914842 ::Andritsos ::Vineel ::182 
::Copy ::Condit ::CareyDNAGS97 ::Aberer 
::HeinzKRS08 ::Filter ::DunnDDS02 ::CruzALRZ97 
::Process ::Shim ::Jiexing ::Dimitris 
::Comparative ::ConsensRV08 ::Cubes ::Biological 
::Composition ::22850459abs ::Hsiung ::Hiraoka 
::Leymann ::4497469 ::1394 ::488 
::bc ::Mikhail ::Clean ::ZhangLXKW06 
::Shekita ::BouazizKPW97 ::1190 ::YanOZ08 
::Mikkel ::Stream ::Jens ::Imprecise 
::4497413 ::Rau ::Balazinska ::CormenLR89 
::237 ::Gorman ::ChaudhuriGK06 ::Inference 
::1372 ::22850958abs ::Chong ::Moss 
::Corruption ::LianCY08 ::Teaching ::Feng 
::Navathe ::FerlezFLMG08 ::15310129abs ::Kasneci 
::Wavelet ::Generalizing ::FaradjianGB02 ::Skyt 
::Expression ::Antova ::1580 ::ChengXPS05 
::1453 ::Safeguarding ::De ::Controlled 
::databases ::Mediation ::pods ::Polynomial 
::DrapeauPK94 ::22850521abs ::Neville ::Evolving 
::RelaxImage ::Arun ::Certain ::Oracle8 
::Geometric ::Rene ::Pasi ::nato 
::Babu ::Kendig ::Algebra ::505 
::4497559 ::Watanabe ::TaniguchiS05 ::81 
::1603 ::Smriti ::1579 ::DBXplorer 
::Vikas ::47 ::4497635 ::Constructs 
::15310272 ::Haejoong ::PageRank ::Avigdor 
::SayalCDS02 ::22850242abs ::Goetz ::Jiawei 
::PDM ::LiuL02 ::AutoGlobe ::datamine 
::Borealis ::15310673abs ::AlonsoBC08 ::107 
::BabuDM08 ::ChungGS02 ::506 ::Shiyan 
::22850324abs ::Prefiltering ::Authorization ::Previously 
::On ::Members ::WangHYYY06 ::Ursino 
::2007 ::Shubha ::22850256abs ::Ferlez 
::22851133 ::ElmeleegyOE08 ::Commodity ::Allocation 
::KhaitanRJC08 ::DanK95 ::4497515 ::Kevin 
::Takegawa ::1432 ::Hartmut ::ShethL90 
::Chaum85 ::multimedia ::15310282 ::1042 
::18 ::Maier83 ::Constructing ::clustering 
::Ertem ::Oxley ::1482 ::Level 
::15310041abs ::Marlow ::AgrawalG89 ::via 
::JiangLWY02 ::342 ::Alberto ::Halevy 
::Menzo ::icde2001 ::Laks ::436 
::Douglas ::Portal ::Wide ::Aggarwal02a 
::WangL08 ::914843 ::278 ::22851115 
::Karlsson ::Result ::Descour ::IshikawaK93 
::22850217abs ::341 ::HibinoR98 ::Bach 
::MUSE ::GuptaHR98 ::Johannes ::SaveRF 
::4497550 ::Sihem ::Prototyping ::JiangVBCB05 
::ChenOR08 ::ChenR05 ::Onizuka ::Preaggregation 
::914835 ::4497442 ::Relationally ::Gardarin 
::AkindeCJK01 ::4497577 ::Rabsch ::MyllymakiL96 
::Vijay ::22850656abs ::JadavGL97 ::LorentzosM97 
::VenkataramanNL98 ::LeungNM02 ::Aranyak ::Nassima 
::191 ::Sergio ::Superimposed ::ibmsj 
::Soo91 ::PETRANET ::1382 ::Progressive 
::Seidl ::22850384abs ::1126 ::LiLL08 
::168 ::Garret ::1596 ::Dyreson 
::Passing ::Hoffmann ::Pautasso ::Moss 
::Message ::Govindan ::914875 ::Werner 
::DrivenWeb ::Jagadish ::Authentication ::Judice 
::Clients ::Carey ::42 ::4497420 
::Huabei ::Jianneng ::Conceptual ::Benatallah 
::Goldstein ::4497508 ::Prefetching ::Koh 
::9 ::Silva ::337 ::596 
::Yang ::databases ::159 ::1459 
::252 ::Yong ::External ::Methods 
::Agarwal ::992 ::Eun ::30 
::Beckmann ::Houtan ::Ouzzani ::Kendig 
::Transform ::3 ::Xiaofeng ::Spyratos 
::Clark ::Freksa92 ::244 ::Hon 
::Dragut ::ChawatheG97 ::PajarolaOSSW98 ::cdrom 
::Testing ::Refresh ::BukhresSNBAOGKCMS02 ::Zeiss 
::P558 ::Deductive ::Junghoo ::Networks 
::186 ::MummertES95 ::WangRL08 ::WuB98 
::Structure ::BerchtoldKK96 ::Inferring ::Conscious 
::Gawlick98 ::Ahn08 ::Xiao ::RyvkinaMCZ06 
::SistlaYLL95 ::author ::Kahn ::Boedihardjo 
::1628 ::TAILOR ::Super ::Protein 
::AbererH02 ::Margo ::15310272 ::Vetle 
::345 ::AgrawalG89 ::4497628 ::Oriented 
::Vclav ::Obermeier ::future ::AssfalgKKKPR08 
::Chiang ::4497602 ::Hierarchical ::PreparataS85 
::Mittal ::2002 ::Obermeier ::Janine 
::Yoshizawa ::Hao ::Bursty ::Sensing 
::Akiyoshi ::JinZLWS06 ::Grzegorz ::1587 
::WangR91 ::GuoSBS05 ::Scheuermann ::Enumeration 
::1360 ::Alex ::Xiaoxin ::Human 
::Ip ::DeWittG92 ::1209 ::ShaullSX08 
::Dilys ::117 ::KoudasS98 ::ONeilQ97 
::914845 ::Ohler ::KoutrikaI05 ::ChakravarthyL98 
::4497399 ::914851 ::BonifatiBCC02 ::Sobulo 
::Dogac ::Constructs ::Mohan94 ::22850403abs 
::Self ::1140 ::Picture ::Sean 
::AbiteboulK89 ::ModelGen ::Greene89 ::BonczKK96 
::Sergei ::Exemplar ::Athena ::YaminiG05 
::LaiTB05 ::Rinku ::Jinchuan ::BayardoA05 
::Wilson ::ChakravarthyM94 ::1346 ::HanF95 
::Boat ::Making ::Extended ::Categorical 
::Chiew ::Sujeet ::Leakage ::DoanH02 
::639 ::Complexity ::ipsj ::1369 
::22850310abs ::Rasin ::Divyakant ::dexa 
::Wee ::472 ::Bugra ::HellersteinNP95 
::SistlaW95 ::ChaudhuriNR08 ::BlossomTree ::Rudra 
::PhotoSpread ::Laboratories ::Songyun ::ChengDNPKWAAFSSS97 
::inproceedings ::15310431abs ::LeeE01 ::RDFS 
::Accessibility ::System ::Barton ::Chafle 
::level ::Morzy93 ::156 ::debu 
::36 ::Logging ::22850606abs ::4497405 
::33 ::Flip ::22851104abs ::Liang 
::Hirade ::Handling ::Tetsuya ::P046 
::KoutrikaSI06 ::Stored ::989 ::4497568 
::Serializability ::Panella ::Syan ::Carl 
::15310483 ::4497498 ::Yanif ::Rule 
::1576 ::P116 ::1495 ::Hoffmann 
::Sideways ::TataFS06 ::BakalovT08 ::4497551 
::1600 ::WangM05 ::GibbsBT94 ::914852 
::Rajamani ::Bundles ::EROCS ::AgrawalS89 
::388 ::Chris ::Mukherjee ::351 
::HasanM95 ::71 ::Graphs ::1325 
::P522 ::126 ::Miller ::Shoshani 
::4497582 ::Kahn ::Munir ::Common 
::Vassalos ::Ioannis ::Kazumi ::Alexey 
::Delis ::1036 ::566 ::1035 
::Vectors ::Kunath ::Meo ::Raghu 
::WWW ::Hao ::243 ::Banaei 
::PeiHPCDH01 ::Elizabeth ::Granular ::Cohe 
::Srinivasan ::Nath ::249 ::CammertHKRSSZ06 
::4497495 ::Keith ::Sihem ::ShriraX05 
::1471 ::Lyman ::DaWaII ::RyvkinaMCZ06 
::Recovery ::Cache ::Library ::LiuM96 
::914825 ::Fishman01 ::Taming ::Traina 
::Lung ::Bouganim ::BlaumBBM94 ::Units 
::Amer ::User ::code ::Integration 
::Welsh ::Scannapieco ::Reformulating ::hpts 
::816 ::Logging ::PopekK79 ::Kotidis05 
::Study ::Radwan ::Linkage ::1430 
::granularity ::00 ::Transportation ::QuassRSUW95 
::Collection ::Optimal ::Li ::Copy 
::Visualizing ::ShiZ05 ::PoosalaIHS96 ::4497500 
::Negi ::Rizos ::Huiming ::Workloads 
::Web ::QuLM06 ::15310357abs ::168 
::ZakiP05 ::Growth ::Goldin ::628 
::1616 ::Schemas ::329 ::edbt 
::586 ::P370 ::MeoPC98 ::Balakrishna 
::AxPRE ::Confidence ::Bernhardt ::Voronkov 
::Silvia ::Malicious ::Gignere01 ::1596 
::ShaullSX08 ::ZivL77 ::LivnyRBCDLMW97 ::TelegraphCQ 
::1414 ::Stratos ::Graham ::Benjamin 
::Analytical ::Languages ::Buffering ::McWherter 
::QianW91 ::Paul ::Stanley ::Murthy 
::ZhangG08 ::year ::1453 ::4497624 
::Paraskevas ::922 ::General ::ChaudhuriDK06 
::Liedes ::4497574 ::579 ::Algorithm 
::4497576 ::LeeSZ05 ::4497571 ::Suchanek 
::Versatile ::Ying ::Wu ::Pajarola 
::Shanmugasundaram ::982 ::Csar ::MadhavanBDH05 
::Etzard ::Obstacles ::FlescaFG02 ::Indriyati 
::Jianliang ::GruberKP01 ::Pankaj ::KaufmanR90 
::SquicciariniPB08 ::tkde ::914852 ::4497578 
::Antijoin ::KuwabaraT05 ::Elmagarmid ::1608 
::Shafiq ::BonczQK96 ::Georges ::Rudra 
::Chong ::Cliques ::452 ::ApersHY83 
::4497444 ::Dayns ::Etoh ::Communities 
::Bamieh ::AutoLag ::KoudasS05 ::Disparate 
::15310605abs ::Duplicate ::Come ::Portal 
::Henrich94 ::4497583 ::1120 ::Subbarao 
::Acharya ::115 ::957 ::Rene 
::GeorgiadisKCNS08 ::EggersOS81 ::Edmunds ::Shuyu 
::893 ::35 ::Boualem ::ROL 
::Threshold ::JagadishOVZZ06 ::Smalheiser ::Hartmut 
::Multilingual ::22850514 ::4497582 ::23 
::iBOM ::Pathak01 ::356 ::15310492 
::15310628abs ::105 ::Judice ::Franklin 
::22850619abs ::4497570 ::111 ::cacm 
::ChenOO08 ::Dongwon ::Sparse ::centric 
::Rizos ::by ::Predicate ::ChenLL08 
::Alexey ::Tomkins ::Chien ::Carsten 
::Feltes ::10010071abs ::HernandezPVMNH02 ::337 
::Stacy ::Strict ::WRAP ::ChaudhuriDMN01 
::ThomsenPL08 ::TsangarisN91 ::4497563 ::Divesh 
::Passing ::Xinqiang ::Descriptions ::NaumannHTHM02 
::15310176abs ::Changes ::617 ::FerlezFLMG08 
::Equi ::SaltenisJ02 ::books ::542 
::P476 ::Relation ::Warner ::Sharing 
::Rebecca ::1454 ::22850388abs ::Timely 
::OMNI ::AbiteboulHV95 ::489 ::Cache 
::BalkeNST05 ::25 ::Burns ::PrabhakarAAA98 
::4497422 ::Meets ::Among ::Schoning01 
::314 ::Athena ::Confidence ::Queuing 
::FernandezFKLS97 ::P231 ::Ammar ::CoT 
::Ranking ::GhandeharizadehHJ96 ::TRMeister ::Ravishankar 
::224 ::4497578 ::party ::PolyzotisG06 
::Shinn ::Ntarmos ::KamelF93 ::Intra 
::1159 ::Bishwaranjan ::2008 ::KoutrikaI05 
