::Garbage ::314 ::Gyssens 
::Decision ::Potamianos ::331 
::Takashi ::Daniels ::Full 
::Aggregates ::Vander ::Ramez 
::Hasan ::Gogolla ::Lamersdorf 
::Workshop ::Fritz ::Wasserman 
::ConceptBase ::Max ::Gerard 
::Prototype ::383 ::Hansson 
::HG ::DeMichiel ::Announcement 
::Asserting ::Basic ::Common 
::Mary ::Darrell ::level 
::Control ::Yun ::Interpreted 
::Representation ::253 ::Jennifer 
::195 ::Stefan ::TPC 
::Andrea ::Remzi ::Lueder 
::Joseph ::Hrder ::Yang 
::Kilov ::Agigdor ::218 
::Kupiec ::Cook ::Rulebase 
::Harry ::Cory ::Navathe 
::Manolopoulos ::Usability ::Dynamics 
::Lu ::Association ::Complex 
::96 ::Mitschang ::Cvetanovic 
::Andersen ::Baldeo ::Kuo 
::Fishman ::Chief ::Kincade 
::Schema ::Aggregates ::SPARC 
::State ::Laver ::Shalom 
::Evaluating ::Prolog ::Modification 
::115 ::Fry ::Geospatial 
::Walter ::Contextualizing ::Kuck 
::Chopping ::Au ::Bruno 
::Warren ::March ::Lashkari 
::Historical ::Ohori ::Gnauer 
::Wedekind ::Bhavani ::250 
::Record ::Rates ::Jr 
::Reconciliation ::Establishing ::Disjunction 
::Correctness ::Joins ::Tarantino 
::Mayer ::Rao ::Dhaval 
::Handling ::An ::Furtado 
::Berg ::Hppler ::Strategies 
::159 ::issues ::Isabel 
::413 ::Kamel ::Choo 
::Davidson ::Udo ::Mariano 
::Concepts ::Kieling ::Experience 
::Stolfo ::348 ::286 
::Invitational ::Ozcan ::Melling 
::307 ::article ::Bjrn 
::Processing ::Challenge ::Bernard 
::Consistency ::Mediator ::307 
::Patrick ::Sockut ::Rusinkiewicz 
::Measurement ::Enhancement ::Vrbsky 
::Mohammad ::556 ::Weinberger 
::Kerry ::Form ::Simulation 
::Thatte ::Levy ::Stephen 
::Closing ::Olga ::Manifesto 
::Trusted ::Kabra ::Ingres 
::Haber ::Sequences ::Ouksel 
::Lock ::245 ::Qualitative 
::VideoAnywhere ::Pipelined ::relations 
::Elke ::Rapidly ::247 
::Transient ::Anthony ::Barbar 
::sets ::Integrating ::Shiri 
::SEMCOG ::Andreas ::Sevcik 
::Numeric ::Breitbart ::Antonio 
::Infinite ::Gerhard ::Flokstra 
::Eliminating ::Lockemann ::Watson 
::Kam ::Kriegel ::Alternative 
::an ::issues ::Sundaresan 
::Shan ::Lazowska ::Stankovic 
::Adding ::Local ::Motakis 
::Mendelzon ::Foreword ::Complex 
::Stamos ::Pratt ::Satoh 
::Giansalvatore ::Priti ::Fault 
::Exploiting ::Hasanat ::User 
::Sophie ::Schwarz ::Celis 
::Heiler ::Beeri ::OOPSLA 
::Melvin ::Reference ::Hoc 
::Leo ::Kenneth ::Mosh 
::Quantifier ::398 ::Nag 
::IDEA ::Consistent ::Are 
::Roberto ::Abel ::Software 
::Updates ::Analyti ::Finally 
::Strengthen ::Smith ::Durusoy 
::a ::37 ::OASIS 
::Popova ::Mult ::Kaizhong 
::Wall ::Very ::Jain 
::505 ::386 ::Announcements 
::73 ::Resolution ::564 
::Lum ::Tan ::262 
::124 ::Chan ::238 
::Modify ::Group ::Mechanisms 
::Written ::McHugh ::Fry 
::Levine ::Brachman ::Conjuction 
::Selectivity ::Jhingran ::Transitive 
::Relihan ::Unifying ::21 
::What ::Unruh ::Ambuj 
::5 ::Lawrence ::Neighbor 
::Not ::ASSET ::Pistor 
::VMS ::Polyzois ::Bernhard 
::Actions ::Solving ::Naveen 
::ARPA ::557 ::Bhavani 
::Scalable ::Deduction ::Reich 
::Versus ::Arthur ::1988 
::Gnauer ::466 ::Alexander 
::Tradeoffs ::Aggregation ::Array 
::Tannen ::Christophe ::215 
::Elizabeth ::Hwang ::51 
::497 ::Cichocki ::Soloviev 
::Gehani ::Kon ::0 
::Partitioning ::120 ::Cichocki 
::Defined ::Navathe ::Geographic 
::Skew ::Seluk ::Its 
::Novel ::Builders ::Derived 
::Implementation ::Haim ::Experiencing 
::132 ::Staggered ::Bhargava 
::Sanjay ::Scott ::Implication 
::UNIX ::Gebhardt ::Christine 
::Development ::165 ::Souder 
::Cherniack ::Zarka ::Algorithms 
::Alexandros ::Shenoy ::Tien 
::Dayns ::Norman ::Teradata 
::Saygin ::Symposium ::Jian 
::Change ::Unix ::Left 
::Nan ::Paolo ::Berchtold 
::Fritz ::Basket ::339 
::Soloviev ::Lu ::521 
::Multi ::Jan ::Jones 
::Rusinkiewicz ::Yasushi ::Riekert 
::Albert ::Studies ::Interaction 
::Systems ::Diagram ::416 
::Estimation ::Fox ::Day 
::Recursive ::Fynn ::Sakahara 
::Patricia ::Characterization ::QuickStore 
::Symposium ::Bhateja ::Cox 
::Luther ::Counting ::522 
::Cache ::Cocktail ::Robertson 
::Queries ::57 ::38 
::Datta ::Naveen ::NonStop 
::Halici ::Storage ::Thomas 
::Guest ::Stefan ::459 
::MLR ::Amherst ::and 
::Cox ::Range ::Investigation 
::262 ::356 ::Dietterich 
::Poosala ::Pernici ::Helal 
::UIS ::101 ::Applications 
::Wrappers ::Confluence ::Down 
::Lougenia ::Chou ::Zwilling 
::Point ::339 ::Roantree 
::Technologies ::Hrder ::Point 
::No ::Accessing ::160 
::Modules ::Generalizing ::Towards 
::Jochen ::Reddy ::Altintas 
::Annotating ::HG ::Badia 
::524 ::Daniels ::Real 
::Preface ::Directions ::Min 
::Turau ::Pierangela ::Series 
::NET ::Hugh ::Ni 
::Recursive ::Ramamohanarao ::Dayal 
::Why ::Andreas ::550 
::516 ::Trusted ::Fred 
::Silvio ::Liskov ::Bra 
::Bhargava ::Top ::Betty 
::Quiescing ::Gadia ::Spyros 
::Anil ::Koschel ::Example 
::Standard ::Sciore ::Static 
::Trickey ::Packer ::Margaret 
::Lam ::Badia ::Match 
::Timos ::Infinite ::Desai 
::Nikolai ::Mendelzon ::Roddick 
::103 ::Lessons ::Wrappers 
::McCarthy ::Ra ::ADBMS 
::Celentano ::Implementing ::Bestavros 
::Krishna ::539 ::Patterson 
::Command ::Willis ::405 
::Wilcox ::Baldeo ::Images 
::Marco ::Nimrod ::Dietrich 
::Chairman ::Role ::Browsing 
::Wisconsin ::13 ::Stphane 
::Sang ::Patel ::Keun 
::235 ::Kristin ::Tolga 
::Brodsky ::Krzysztof ::227 
::Lohman ::313 ::Thuraisingham 
::Incomplete ::Experimental ::Markos 
::Closing ::Matias ::Neuhold 
::Optimized ::Missing ::37 
::Elliot ::Can ::Answer 
::Standard ::Structural ::Trusted 
::Log ::Sean ::Souza 
::endPage ::531 ::E 
::Cart ::Bill ::Transient 
::Woodruff ::Tree ::Toolbox 
::Teorey ::Basic ::282 
::Observable ::relational ::data 
::Take ::Jessie ::Zhao 
::330 ::Sure ::Summary 
::Valery ::Nikhil ::Fernandez 
::Relationship ::Gawlick ::OR 
::Jacobs ::Sagiv ::Jeanine 
::Don ::Dhaval ::OOPSLA 
::Kapitskaia ::Versus ::Establishing 
::Tomlinson ::Jacek ::Component 
::Stefan ::SE ::Klaus 
::Nori ::Chan ::Bhide 
::East ::Medeiros ::Rabinovich 
::Relationship ::Nan ::Hoppenbrouwers 
::Source ::Vipin ::Harumi 
::Delobel ::zgr ::Module 
::Interfaces ::DDT ::Inge 
::System ::Leonid ::Patel 
::From ::Radek ::MMDBS 
::Summaries ::119 ::Delobel 
::Meyer ::Rozenshtein ::Siegel 
::Mema ::514 ::Matching 
::number ::Bhm ::Nascimento 
::Warkentyne ::TCP ::Levine 
::Wide ::Gordon ::SMP 
::Tsuei ::Evaluation ::Semistructured 
::118 ::Base ::Karim 
::Self ::153 ::62 
::Groupware ::Tutorial ::SQL 
::Jhingran ::Mecca ::Turau 
::Contents ::Costly ::501 
::BUCKY ::51 ::Satellite 
::Anand ::Utilization ::Air 
::Teorey ::Tradeoffs ::Thanisch 
::for ::eva ::Prototyping 
::Multidimensional ::Celentano ::Optimizer 
::254 ::is ::Schning 
::Bhargava ::Expressions ::Edwin 
::Daniela ::470 ::115 
::Yue ::Modify ::300 
::Weinberger ::Jack ::Environments 
::Advances ::67 ::Mohan 
::Wells ::Conrad ::Qualitative 
::Continuous ::Cattell ::Sergey 
::Execution ::Software ::Characterization 
::Himanshu ::Reclustering ::Definition 
::393 ::BCNF ::Reich 
::Sibel ::SEMCOG ::Erich 
::Bltzingsloewen ::Easy ::Francine 
::Trickey ::Meaningful ::Augusto 
::Eben ::Scalability ::Nested 
::Optimal ::through ::Restrictions 
::Computers ::Load ::Billion 
::Sensed ::43 ::Navathe 
::Features ::416 ::Documents 
::535 ::Kfer ::Building 
::Multisafe ::Stuart ::1990 
::Scale ::470 ::Rajeev 
::Balancing ::Schemas ::Waramahaputi 
::Building ::Harumi ::538 
::Interaction ::Media ::Evolving 
::Fixing ::Ken ::108 
::435 ::Burrows ::DBA 
::Tajima ::Santucci ::Predicates 
::Heuristic ::Challenges ::Revisted 
::Announcements ::Jayant ::Annotating 
::459 ::Mumick ::395 
::Alphanumeric ::Unifying ::Stable 
::Bltzingsloewen ::307 ::Stored 
::as ::Thumb ::Antonio 
::Fault ::Artur ::150 
::Pernul ::Hash ::Phillip 
::Geyer ::381 ::Size 
::Table ::Doherty ::Sakti 
::Cem ::Wilburt ::Frameworks 
::Sylvia ::405 ::Event 
::Klaus ::Barinderpal ::Knowledge 
::oriented ::Natarajan ::and 
::Lorie ::TSIMMIS ::Report 
::Warren ::NII ::Hodges 
::Sparsely ::264 ::Schang 
::Tree ::Heiler ::Rmy 
::Rafiei ::Expensive ::Anil 
::Bauyer ::Arbee ::Schang 
::DeWitt ::Grained ::IM 
::Implication ::Partitioning ::Haradhvala 
::Display ::Accociation ::Tuning 
::Jordan ::Babis ::Bruns 
::Toiati ::DBMSs ::103 
::Infering ::Jefferson ::Values 
::539 ::Silberschatz ::Guy 
::CoopWARE ::Roussopoulos ::Engineering 
::228 ::Middle ::Mellin 
::Yurek ::Stochastic ::Hbel 
::author ::Yandong ::Elisa 
::Tschernko ::Wasserman ::Tiziana 
::Class ::Processing ::Jaewoo 
::Disambiguation ::Kotidis ::Widmayer 
::Gal ::Vinek ::Technologies 
::Hierarchies ::Medeiros ::Implementing 
::Hasan ::Saygin ::Anthony 
::Fabret ::313 ::Wm 
::USL ::Ion ::Tradeoffs 
::12 ::Serge ::relations 
::Meeting ::GeoMiner ::Beliefs 
::Decompositions ::Back ::Christoph 
::EUG ::HG ::Gerlhof 
::Hypothetical ::193 ::Prakash 
::173 ::Guozhu ::Simple 
::539 ::Stored ::1999 
::Evaluating ::Barnes ::Caching 
::Maheshwari ::Interfacing ::View 
::Prasadram ::Reuter ::Tan 
::Scalability ::Multidimensional ::Gkhan 
::Static ::1951 ::Term 
::Size ::Critique ::Interfacing 
::527 ::Schemas ::Version 
::Gnter ::276 ::Walker 
::Bertino ::Memory ::Pirotte 
::Current ::CODASYL ::Crisis 
::Natarajan ::Schuh ::Chee 
::HG ::13th ::Relations 
::Praveen ::Jaideep ::Katayama 
::Development ::Goel ::Aggregates 
::Jack ::Borgida ::Sun 
::Mohammed ::37 ::Goyal 
::ADBMS ::Security ::TSQL2 
::Nado ::Simon ::Colin 
::Out ::339 ::4th 
::Annotated ::Bigelow ::Bibliography 
::Jrg ::8 ::Classroom 
::Balakrishna ::Sarathy ::Baader 
::Swift ::MINOS ::Going 
::102 ::Knoblock ::Mackay 
::Completeness ::286 ::Ilker 
::Command ::Backup ::108 
::Sripada ::et ::Indices 
::382 ::Joins ::Free 
::Maindreville ::505 ::Badia 
::Egemen ::560 ::Ellis 
::Fox ::WHIPS ::Mariano 
::Novak ::Pirotte ::355 
::Gordon ::Sakahara ::Min 
::Anil ::Selection ::Ramasamy 
::137 ::Client ::DART 
::51 ::Stanley ::Defined 
::482 ::Illustra ::22 
::Khoa ::Datasets ::Rafiei 
::Hypothetical ::Yeung ::Konrad 
::Logical ::Sushil ::World 
::among ::Jochen ::477 
::Papoulis ::Evolving ::Lehman 
::Scalar ::Values ::255 
::SEQUOIA ::272 ::515 
::Nearest ::Environments ::Naughton 
::Sun ::Swami ::528 
::255 ::Extensible ::Determinism 
::Alonso ::Abstraction ::Recursive 
::Concurrent ::Mattos ::Access 
::Wade ::Alfonso ::Gist 
::Response ::Anindya ::Nado 
::Constraints ::Fagin ::Maurice 
::Leonid ::Piatetsky ::Yates 
::Per ::Meckler ::Merialdo 
::317 ::Garlic ::Paris 
::Engine ::Golshani ::language 
::294 ::172 ::tolerant 
::based ::Umeshwar ::567 
::Top ::NSF ::Jenkins 
::SigmodRecord ::Janet ::Harandi 
::Anita ::Fault ::Ailamaki 
::An ::Englert ::428 
::Hasselbring ::Faloutsos ::Paredaens 
::Anil ::Exploiting ::Bruce 
::Tsong ::Ho ::Kasi 
::Orenstein ::67 ::Larry 
::Ouksel ::Okay ::Sakahara 
::RDBMS ::Joins ::Barinderpal 
::Modification ::Elmasri ::Metrics 
::339 ::Unpacking ::Burrows 
::Shelly ::Dyson ::CITRI 
::287 ::392 ::Martin 
::Mathematical ::Effelsberg ::Use 
::Shoens ::347 ::Backup 
::Linda ::Delaunay ::Kim 
::Kenneth ::Spence ::Webb 
::Is ::Tim ::TPC 
::DBA ::Salza ::Guy 
::Hartson ::Saygin ::Kulkarni 
::DARPA ::Rakow ::283 
::Process ::Roth ::VideoAnywhere 
::Predicting ::Neighbor ::WHIPS 
::from ::Delisle ::Milo 
::Rates ::Wilburt ::Cercone 
::Connell ::Arturo ::Lefler 
::583 ::Thyssens ::Waheed 
::1994 ::Advances ::Finite 
::Pinar ::they ::Warkentyne 
::Text ::formerly ::endPage 
::Bjrn ::MLR ::Inference 
::Stochastic ::Unix ::Editor 
::Range ::Subrahmanian ::59 
::Time ::Predicting ::Locking 
::Timeliness ::Gray ::Bulk 
::Madhu ::Daniela ::Publication 
::412 ::Schema ::Patricia 
::Sun ::Multiattribute ::Ching 
::Moss ::Evrendilek ::Keith 
::Konrad ::Ellis ::Iyer 
::Wayne ::Modeling ::Three 
::ARTDB ::Balancing ::Semantics 
::Comparison ::Philippe ::Jhingran 
::Recurrent ::Windows ::Jay 
::Durusoy ::Tannen ::Sparsely 
::Gibbs ::Andrianopoulos ::Stokrp 
::Winds ::Strategy ::Guest 
::154 ::OASIS ::Tailoring 
::Jennifer ::228 ::528 
::Transaction ::Guangshun ::Silvano 
::Radzyminski ::Webb ::Ho 
::Spaces ::Lawrence ::491 
::Berg ::Seshadri ::Abdullah 
::Wayne ::Boon ::Representing 
::Among ::Panagos ::ARIADNE 
::Jeanine ::75 ::Nabil 
::Tony ::Rao ::Yasushi 
::level ::Jeffrey ::Locking 
::Larouche ::Chin ::Ramana 
::James ::issues ::Academic 
::Larson ::Workflow ::Box 
::Meyer ::Impact ::Mellin 
::Naacke ::Ganapathi ::Suckow 
::Jie ::Nearest ::Status 
::Stefanovic ::Hayes ::PRIMA 
::Industry ::Csar ::Multiattribute 
::CapBasED ::Scaleable ::504 
::531 ::Hyuk ::371 
::Eisenberg ::an ::277 
::Locking ::Atomic ::Mason 
::Adali ::Adding ::Interval 
::Swarup ::Framework ::Sandra 
::Ho ::104 ::Neuhold 
::Sequences ::540 ::Marco 
::Ugur ::Hillebrand ::62 
::11 ::Sharon ::Eriksson 
::Mechanisms ::Sheldon ::Version 
::292 ::Lehman ::Matthias 
::Maindreville ::Roman ::GIS 
::Burns ::544 ::Lore 
::Prolog ::Kosch ::Manolopoulos 
::Egemen ::Goldman ::Point 
::186 ::Bocca ::Kabiria 
::Nyberg ::C ::Datta 
::Mostly ::George ::Bauzer 
::Inc ::Services ::Gibbs 
::Vassalos ::Ins ::using 
::EOS ::Eben ::107 
::Jukic ::Sequence ::576 
::and ::Impact ::QuickStore 
::Narasimhalu ::501 ::Farshad 
::Interoperable ::Associative ::466 
::Ganapathi ::Baden ::Recurrent 
::178 ::Qiming ::Comparison 
::Yongjian ::Gadia ::Valduriez 
::26 ::Shamkant ::Ahn 
::Sun ::Barclay ::Bohrer 
::311 ::Haradhvala ::Farshad 
::Donko ::Architecture ::144 
::Dimitrios ::Mehmet ::Ray 
::Maurizio ::Philippe ::Tryfona 
::Akira ::Expected ::Swift 
::Agent ::Deppe ::Glossary 
::Buffer ::Ulusoy ::Wahab 
::Smith ::466 ::End 
::Durusoy ::Sten ::site 
::41 ::DBS ::Paskin 
::Niki ::ARIES ::Objects 
::Moffat ::Agents ::Fynn 
::Yasuhiko ::318 ::ODE 
::Larouche ::Future ::Joosten 
::Cox ::Etheredge ::Okay 
::Database ::2 ::ODE 
::Dao ::Ramesh ::Visualizing 
::Mok ::McIver ::Arturo 
::Kline ::Elmagarmid ::Errors 
::Beng ::Engine ::Kawaguchi 
::Shalom ::Dirk ::Jochen 
::Useful ::70 ::465 
::Out ::43 ::Panagos 
::Rolland ::Environments ::GIS 
::Extendible ::Barbar ::Stankovic 
::Going ::20 ::formerly 
::Study ::Cruz ::Blott 
::TODS ::Geospatial ::Kiernan 
::Sushil ::Tannen ::62 
::Lothar ::CLASSIC ::Janet 
::Woodruff ::Structure ::87 
::Olkin ::Ra ::Implication 
::Area ::Of ::Universal 
::Stephan ::Schning ::Jessie 
::26 ::initPage ::Joosten 
::Earl ::Consensus ::353 
::Nolan ::Warren ::und 
::Derived ::284 ::Chin 
::Can ::Divyakant ::There 
::Garlic ::Lohman ::Read 
::Euthimios ::Alejandro ::Sharma 
::Kossmann ::Kifer ::96 
::Jacek ::Order ::REpository 
::Retrieval ::Publication ::M 
::Bigelow ::174 ::Taneja 
::Beigel ::Ulrike ::Troyer 
::Making ::Hasselbring ::Mechanisms 
::Staggered ::Nulls ::Solution 
::Luo ::Mechanism ::Measurement 
::Gregory ::relations ::69 
::Lineare ::147 ::165 
::DeeDS ::230 ::Configuration 
::UniSQL ::122 ::Riccardo 
::Gnter ::Asserting ::Scans 
::Motro ::Tiziana ::40 
::ObjectStore ::Livny ::Arizona 
::Selinger ::Karthikeyan ::McIver 
::Andersen ::University ::Automation 
::Gehani ::Ravi ::McKenzie 
::479 ::Bauyer ::First 
::Distributor ::Kiran ::Takeshi 
::re ::Doan ::XPRS 
::at ::Eben ::133 
::161 ::Abstract ::Picture 
::SE ::Zaane ::Arun 
::O2 ::Kang ::85 
::378 ::Expert ::Answers 
::2001 ::509 ::DB 
::Complete ::Csar ::Svetlozar 
::214 ::Yang ::Suzanne 
::Frew ::497 ::Aziz 
::title ::Reply ::Shoshani 
::Mayer ::Yahiko ::Diagram 
::Sequential ::315 ::Cruz 
::Enterprise ::Rewrite ::Melmom 
::Cody ::Nag ::Orientation 
::Task ::Carter ::Wm 
::Norman ::Curtis ::1990 
::SONAR ::Centre ::Optimized 
::O2 ::Kotidis ::Only 
::580 ::radi ::La 
::Nural ::Repository ::265 
::127 ::Technology ::Interface 
::Honeyman ::Commitment ::Torlone 
::Smith ::ODBMS ::3 
::Queensland ::531 ::Plaisant 
::NTHU ::Digital ::OGDI 
::V ::Attributes ::In 
::Marian ::Masatoshi ::Melling 
::Disco ::Schneider ::Triggers 
::MOSAICO ::Breunig ::Johann 
::Khn ::146 ::Domain 
::Thompson ::Arun ::Gist 
::196 ::Form ::Baeza 
::Vipul ::about ::Norio 
::Improving ::Full ::Data 
::Himanshu ::Sampaio ::74 
::Donko ::Quasi ::GlOSS 
::Bry ::Kristin ::Balakrishna 
::Ulusoy ::Opportunities ::3 
::or ::Sandra ::Catriel 
::Reminiscences ::28 ::231 
::US ::Tomasic ::246 
::158 ::Fox ::yiu 
::Vista ::368 ::Satoh 
::Telecommunications ::Sharad ::Flokstra 
::Hirata ::RIDE ::19 
::Sandeep ::Fagin ::Standardization 
::McCure ::133 ::Dengi 
::Series ::Accociation ::Simple 
::McKay ::Bussche ::Translation 
::Rundensteiner ::Ming ::442 
::Space ::Merging ::Hartson 
::Gives ::503 ::Summaries 
::Trueblood ::NET ::of 
::281 ::Hartmut ::Sheth 
::Interfaces ::Pistor ::Good 
::Kilic ::Theodoulidis ::193 
::Eui ::Experiencing ::Bertram 
::sets ::Research ::Liskov 
::Jenny ::261 ::Counting 
::Gibbons ::Type ::Cruz 
::Hugh ::Sharma ::Doo 
::Date ::Krzysztof ::Metric 
::292 ::Altintas ::Gaffney 
::Gehrke ::Baclawski ::158 
::Budak ::Masses ::Sang 
::Aloysius ::Larson ::Mary 
::Resource ::Warehouses ::Recursion 
::Bushy ::511 ::Karl 
::38 ::Consumer ::Krithi 
::Kirby ::Haran ::Evaluation 
::Andersen ::Editors ::Static 
::Security ::365 ::Summaries 
::Jonathan ::Bitton ::Temporal 
::et ::Lewis ::any 
::Pratap ::Rosana ::Beverly 
::21 ::Web ::353 
::Clark ::DDT ::Gilles 
::Capabilities ::Amouroux ::Array 
::Workbench ::Hou ::Extensible 
::McHugh ::Hui ::Jhingran 
::429 ::They ::Seluk 
::Dennis ::Tai ::Meets 
::73 ::Characterization ::Philip 
::Lipeck ::Bifocal ::Optimization 
::Guarantee ::Reasoning ::Roth 
::Gaffney ::Transfers ::Ubell 
::tolerant ::Enforcing ::BeSS 
::Sorting ::Date ::Security 
::Rosana ::Seth ::Katia 
::Polymorphic ::Silberschatz ::Replicated 
::Shalom ::Kabra ::207 
::Editorial ::Lessons ::Everthing 
::Gio ::ASSET ::576 
::Similarity ::Interoperable ::504 
::430 ::Asserting ::CoopWARE 
::190 ::Geyer ::Inc 
::Yih ::Qaimari ::Galindo 
::Partitioned ::Dynamic ::Suryanarayana 
::Knowledgeable ::Application ::479 
::Aris ::Networked ::Arturo 
::Ho ::Mitchell ::Paris 
::RAID5 ::Tsong ::Jorge 
::27 ::Berchtold ::Answers 
::Seligman ::251 ::Altinel 
::232 ::552 ::Zeleznikow 
::Chairman ::473 ::World 
::Vincent ::Benson ::288 
::Relaxed ::Kabiria ::Remotely 
::19 ::359 ::Odysseas 
::Managing ::HPCC ::McKay 
::Ralf ::HG ::Negotiation 
::Etheredge ::Defined ::Stored 
::Read ::Naveen ::Mukul 
::Nodine ::Shan ::Logic 
::531 ::structured ::ichi 
::Preliminary ::Correlations ::Tutorial 
::Issues ::Reddy ::Suzanne 
::Hongjun ::15 ::Hian 
::Calculus ::Alternative ::Rolker 
::143 ::Random ::Indian 
::Karypis ::Antonio ::Interaction 
::Rapid ::an ::Utilizing 
::Kotagiri ::Extension ::Announcements 
::Bamford ::Guido ::Asit 
::Andersen ::Magic ::Generalizing 
::538 ::Stenoien ::Moss 
::Relations ::Stphane ::Utilization 
::Sivasankaran ::Thor ::Chairman 
::90 ::Kulkarni ::Warehouses 
::Predicting ::Fetched ::Er 
::80 ::DataBlade ::Proteus 
::Project ::Griffin ::Handling 
::Knoblock ::Dense ::Foreword 
::Melton ::Burger ::Elmagarmid 
::Ling ::Loops ::220 
::Ouksel ::Chee ::OLE 
::Paton ::Tyler ::Nestorov 
::Mirroring ::Trueblood ::Bezenchek 
::Stuckey ::zsu ::Castano 
::Termination ::Retrieval ::Flix 
::Mohamed ::440 ::Codd 
::Prefetching ::Christoph ::120 
::Matthias ::Hoch ::Merrett 
::Klas ::Recursion ::68 
::Dhaval ::Prototyping ::Between 
::261 ::Rivero ::Sort 
::Melissa ::392 ::Why 
::159 ::255 ::Himanshu 
::Grossman ::Beverly ::Attribute 
::Randy ::Maurizio ::Natural 
::Correctness ::568 ::Structured 
::Observable ::Lin ::Results 
::Chiang ::Augusto ::Remotely 
::WWW ::Maier ::Sharad 
::Geppert ::285 ::ARPA 
::Organization ::Elmagarmid ::Match 
::Kent ::Storage ::Status 
::Jyh ::Implementation ::Jakobisiak 
::Market ::Aiken ::Better 
::Mediratta ::MultiView ::Crossroads 
::Pistor ::Behaviour ::Atul 
::Paper ::Ronald ::Workaholics 
::281 ::Dieter ::Willie 
::Norman ::Laurent ::Mohan 
::Lefler ::Dale ::Graphical 
::382 ::Lakshmanan ::Benchmark 
::III ::Attribute ::Nikos 
::into ::Jones ::Rene 
::Schema ::Omiecinski ::Stochastic 
::312 ::133 ::Gogolla 
::Ramamohanarao ::Euthimios ::Nesting 
::Elmasri ::Loading ::Hillyer 
::543 ::Revisted ::Wolfgang 
::518 ::Meets ::Line 
::31 ::Seeded ::Schrader 
::Winfried ::Chiang ::Divesh 
::Kaplan ::Krll ::Rahm 
::Arvola ::Nguyen ::413 
::Nimrod ::Constructing ::Discovery 
::Cliff ::484 ::ConceptBase 
::Analysis ::Wide ::Flip 
::170 ::Marcus ::Kang 
::Stephen ::Similarity ::Study 
::Antonio ::Minos ::135 
::Symmetric ::Willard ::Shasha 
::Bertram ::Security ::Amihai 
::Locking ::Son ::DBMS 
::Sarda ::Klein ::Tolerance 
::Secure ::Subsequence ::507 
::und ::Goh ::by 
::265 ::Nematollaah ::Structural 
::Starburst ::Breitbart ::Paepcke 
::485 ::Shapiro ::BUSINESS 
::Mosh ::358 ::Rdb 
::Marianne ::Worst ::255 
::Megiddo ::Separately ::Lorentzos 
::Loading ::Kitagawa ::272 
::Ptool ::Swift ::Paul 
::Tomasic ::Samarati ::Fetches 
::John ::Systems ::Mariposa 
::Goldberg ::Charles ::538 
::Agent ::Metric ::418 
::Chair ::Mandy ::Jian 
::EDUCE ::93 ::Gorelik 
::Keitel ::Sun ::539 
::407 ::Abraham ::Editorial 
::N ::Summary ::Materialization 
::Suciu ::Take ::Jefferson 
::UDK ::Perspectives ::Three 
::ichi ::Gordon ::Laguna 
::Konstantinos ::Perspectives ::Subsequence 
::Hampapur ::289 ::Bill 
::sets ::Hampapur ::Thumb 
::Chaudhary ::Richard ::126 
::Ebru ::311 ::Procedures 
::Rafiei ::Cardinaels ::Five 
::394 ::Kuck ::DBMSs 
::Cevdet ::31 ::Mapping 
::Search ::538 ::146 
::Dietrich ::Lori ::Hartson 
::Medeiros ::100 ::Gibbs 
::Grained ::Dina ::Paepcke 
::319 ::formerly ::Easy 
::Action ::Hbel ::Multisafe 
::Aloysius ::Rebuilds ::Out 
::284 ::Annotated ::87 
::Deduction ::Future ::Left 
::Displays ::Min ::Marian 
::Tomasic ::347 ::Dong 
::MYRIAD ::Highly ::Roberto 
::Elmagarmid ::Symposium ::Allan 
::Block ::Nick ::Challenge 
::Lum ::Stef ::Mohammed 
::127 ::Kotidis ::Hillyer 
::Kurt ::490 ::Catarci 
::Arpaci ::Beigel ::Darling 
::Classroom ::114 ::Jian 
::Loading ::512 ::Synthetic 
::281 ::Silvio ::Atzeni 
::Frasson ::285 ::McLeod 
::Bombay ::STARTS ::Advances 
::Doherty ::Mario ::Gook 
::Disc ::DAFTG ::Graphs 
::Unix ::Modification ::Mirroring 
::Proposal ::501 ::Machlin 
::Chuan ::Cooperation ::121 
::388 ::Keun ::Combinatorial 
::Wiederhold ::Versioning ::Mining 
::Thanisch ::Dietterich ::Kitsuregawa 
::Loading ::Haber ::Reformulated 
::Higher ::Hot ::Oriented 
::Interpreted ::Katz ::335 
::World ::Lists ::Yibei 
::217 ::Rmy ::Sakahara 
::297 ::Zdonik ::Who 
::TSIMMIS ::Sanjay ::Antonio 
::Source ::into ::Panel 
::ARIADNE ::Delcambre ::Determinism 
::Center ::Glavitsch ::Roland 
::ETH ::Suciu ::Stolfo 
::Thor ::Mosh ::DEC 
::Milt ::Moss ::GIUKU 
::Source ::508 ::Schemes 
::Gerald ::412 ::UniSQL 
::EUG ::281 ::Ricky 
::323 ::Persistence ::Breiteneder 
::Jnsson ::Based ::Jaewoo 
::Key ::Sethi ::Masum 
::Souder ::Analysis ::Yasuhiko 
::Yasushi ::Quantifier ::zgr 
::Meral ::Gad ::Marcus 
::Jensen ::Chakravarthy ::Seeger 
::Tradeoffs ::555 ::Better 
::for ::Alistair ::WORM 
::295 ::Piyush ::AMS 
::Jonsson ::Satish ::Annotating 
::Compression ::Only ::Jiawei 
::37 ::113 ::Sheldon 
