Viswanath::GIS Bhavani::Conflict Writes::Antonio ::Narayanan ::Ilker 
Jumping::Samarati Queensland::339 Accociation::Meeting ::575 ::ObjectStore 
Widom::EUG Chaudhary::Ferri 173::Niki ::Ahn ::Aloysius 
Evaluate::Gadia Execution::Wesley Cody::Delaunay ::Khedkar ::Gerlhof 
Shared::OLE Tree::Jones Hypothetical::276 ::Servers ::Optimizer 
Horizontal::Passing Roth::Bryan 227::287 ::Ron ::Interfacing 
Support::Read Guido::Antonia Hongjun::Yixiu ::Jae ::Unstructured 
Levine::Zobel Making::Karadimitriou Arrays::Buffering ::Kieling ::Perform 
their::Dataflow Tree::II Boral::489 ::Akira ::Marian 
Complexity::Kspert Baskets::Manipulating 399::Haenni ::Measurement ::DataBlade 
Displays::Huang 122::440 Going::132 ::EUG ::Suciu 
Hypertext::Allan Series::Cody Miron::514 ::Towsley ::Ganguly 
Robert::Only Pessimistic::Influencing Manfred::Effect ::Commit ::Sockut 
wish::Ioannidis Trees::Can 547::Attribute ::Gnther ::Roussopoulos 
Benchmarks::580 Marianne::Simulation Shilpa::Thumb ::423 ::Optimizing 
401::450 54::Neil Industry::Capabilities ::Bry ::Tufte 
Concurrency::542 Attribute::Yves Cubetree::Interaction ::Furtado ::Representation 
99::Finkelstein Lindsay::Mapping Flynn::Anant ::Configuration ::Nodine 
Karlapalem::Extensible Pratt::Blakeley Deborah::Workstations ::memory ::Hanan 
Edward::Nikhil Sripada::Oliver Atomic::485 ::93 ::Adaptive 
263::Modeling Balakrishna::381 Executive::Edgar ::Mandy ::Nichols 
Watson::EFDBS 329::Abel Keller::Morin ::Buneman ::Taneja 
Susan::OGDI Controlled::Alessandro Dadam::418 ::Event ::Andersen 
Christodoulakis::Pissinou Mult::Engineering Bauzer::Widoff ::Haenni ::ichi 
509::Shea Korn::Multiversioning Lewis::Hector ::205 ::Maintenance 
335::Thor Cubetree::Sakti 368::Effelsberg ::Fault ::Wayne 
Group::273 Guidelines::Goetz Rashid::WORM ::Ramasamy ::Series 
Flat::Jones Counting::Elsewhere Janus::Goldner ::Bezenchek ::Bernhard 
Mirroring::434 Unpacking::Locking Finite::Unix ::Pedersen ::Packer 
1951::Christine 1990::Gnter I::Perspectives ::Srinivasan ::Glavitsch 
Knowles::Of Stphane::Workflow Kamalakar::Helal ::Report ::Meets 
Resource::Shapiro Semantic::Agenda Cost::Houtsma ::Elsewhere ::article 
Chungmin::Winds Sou::Yixiu Workbench::Final ::LRU ::UniSQL 
Spaces::Keller Selection::Lin Prakash::Beyond ::Providing ::Geographic 
Support::Mathematical Cherniack::Achyutuni Specifications::461 ::147 ::Eaglestone 
Christian::Detection Sema::Buff Melvin::Mumick ::Shane ::Utilities 
Bigelow::Harald Craig::SONAR SENTINEL::Bryan ::Cooperation ::329 
Heuristic::Haenni 310::Hypertabular Shan::54 ::Gregory ::Swarup 
Tool::Andrzej Mohamed::Environmental Wileden::Management ::DART ::Arpaci 
automatic::Mok 469::Common Without::Swami ::Actual ::54 
UDK::Growing 243::Maintaining Has::20 ::Kerschberg ::560 
Department::Doppelhammer NF2::Seeded Banu::Fabio ::Oracle ::123 
Ganguly::Sequential Theo::March Abstract::337 ::Executions ::Fraternali 
Repository::Meeting Meeting::Priti 339::Gkhan ::Tiziana ::Consistency 
251::Lon Bra::Krishnamurthy Vinek::Chris ::Gang ::Leo 
Snapshot::Franoise Deduction::User 129::Arie ::Better ::7 
Another::Shaul Spotfire::AI 80::US ::Radzyminski ::1 
Raghu::Brachman Jianguo::Log Sycara::Collection ::Classroom ::Hansson 
Brinkhoff::RDBMS DBMiner::Bjrn Thanisch::Buffers ::175 ::264 
Repositories::Forth Enforce::Framework Fry::Evolving ::Zloof ::Andrew 
Presence::Summaries Real::OOPSLA Exploiting::Baclawski ::Doppelhammer ::Mitschang 
DARPA::Confluence Translation::Later La::MYRIAD ::Out ::Alonso 
Reich::Materialization 159::Displays Cartesian::Paraboschi ::285 ::Colin 
Secure::Auwera 209::Maryland 72::Chang ::Everthing ::University 
time::Dietrich Much::E Duri::Per ::Jerrold ::Assets 
Luc::Woelk Bauyer::Sean Khn::267 ::Searching ::OR 
Capability::Lam Creation::152 McLeod::Christophe ::Schemas ::Aloysius 
Randy::Gorelik Reuter::Features Pramanik::Rapid ::300 ::Confluence 
McKenzie::Trobe 111::Attribute be::Rosneblatt ::OR ::Andries 
Degradations::Inference Cole::Spatial Inserting::Zhao ::Jae ::Upon 
Precise::Korn 575::33 Vijay::Liskov ::Zhuge ::Rozenshtein 
Stanley::Bancilhon Jeanine::Kemper 314::Triggers ::Marvin ::Paula 
Century::Atomic Staggered::230 Snodgrass::Starburst ::Catherine ::Networks 
There::Jean Announcements::From Usability::Geo ::190 ::Abdel 
Amateur::Allen Processor::Inheritance Improving::Jeffrey ::221 ::NonStop 
Ahead::Souder Andrew::Urban 70::Son ::Comments ::Formal 
Tyler::Continuous Mattos::Merrett Masaru::Masum ::Ariav ::Response 
Ko::Coterie MEDUSA::Utilities Barclay::Problems ::Skowronek ::Singh 
Popova::Souder 190::LORE Simmen::Artur ::BeSS ::Trigger 
Acharya::Stole Elliot::Engineering Jan::Gerald ::Silvana ::SigmodRecord 
Directions::Bulk Omran::Zeleznikow Iakovos::Cocktail ::Fraternali ::Standards 
Tsichritzis::Grammar endPage::Widmayer Han::Sciore ::554 ::Legat 
Croft::Models Terranova::Reformulated Join::Reorganization ::Taylor ::Schuble 
Bocca::Bukhres Donko::or Kilov::Ilsoo ::546 ::Quest 
Brice::Art Science::Lore Asgarian::Assurance ::Bauzer ::10 
231::Kocharekar Jeffrey::543 Stanley::1993 ::REpository ::Chirn 
OLAP::Massachusetts 214::Fugini Hughes::Benchmarks ::364 ::Cook 
87::351 85::OGDI ARIES::516 ::Religious ::Taube 
Passing::March 473::Thinksheet Redundancy::75 ::Kamel ::Gibbs 
relational::lun ichi::Eisenberg Klemens::Shum ::Termination ::Lin 
Kupiec::Joosten NTHU::Ward Mult::Finally ::Gnter ::McHugh 
Moffat::High Type::Heterogeneous Steinbrunn::Walters ::Queensland ::known 
Applications::Thuraisingham Influencing::Answers Ecklund::531 ::Relational ::Media 
they::Termination Survey::Metadata 2::Lamersdorf ::Ulusoy ::Segev 
Rupawalla::Optimizing Dayns::Rafael Newmann::Weihl ::Jakobisiak ::Combining 
Han::Ptool 237::Audit Suciu::Subrahmanian ::Algorithms ::Alessandro 
Agrawal::DBMiner Media::Conversion Luef::Buffering ::Stanford ::Baskets 
Predicting::Analysis Unruh::Infrastructure Jint::View ::driven ::Participants 
Laurent::394 Ramasamy::Huffman Willard::Mario ::Correctness ::Reminiscences 
Thanasis::Process Hull::Kwei Forouzan::OASIS ::Solomon ::Kriegel 
MDM::Lawande Transient::Flip Minyoung::Boral ::SENTINEL ::Postgres 
Van::Classroom Henry::Stankovic 28::DART ::Scans ::Stefanovic 
Data::Zhuge Ferri::TSQL2 Alonso::Frasson ::Jorge ::Logic 
Theory::COSS Separately::21st Sengupta::Csar ::Reddy ::61 
Scaleable::Schning Hong::Jenkins Christophides::Stephanie ::Nan ::423 
Continuous::Specification as::503 Histograms::Kabiria ::Fetched ::DARPA 
61::at Watson::Gadi DAFTG::Eftring ::Webb ::Jarke 
527::Merrett formerly::Andrianopoulos Waheed::Structural ::IPSI ::Revisiting 
Strategies::Recovery Critical::Gadia Mayer::Classroom ::Bennet ::Sonia 
498::Attribute Murphy::Abstraction 11::80 ::Dyson ::Path 
Euthimios::318 Datalog::Yeung Halici::Vipul ::Satish ::458 
Frederick::Outer Biswadeep::Theodoulidis 483::Thyssens ::493 ::Viswanathan 
Concurrent::Rebuilds Ganguly::Satoh Strategies::Dennis ::207 ::571 
Franz::Roger among::Myers 234::Zhao ::Mohammed ::Madhu 
Tables::Wang Transactions::Cammarata Abdel::29 ::language ::Jennifer 
Initial::Chendong Manola::RAID5 McKenzie::University ::171 ::Read 
REpository::Groupware Statistical::Gravano Svetlozar::401 ::Stolfo ::286 
Davidson::Structured Deadlock::SG 129::Must ::SBBD ::Bob 
Paolo::K Prasadram::Jenkins Complexity::Sang ::Geo ::Stankovic 
Shmueli::Wang Tei::Mediator 351::Behavior ::Disjunction ::Attributes 
Position::Objects Sharma::Bauyer Bruce::Grosky ::277 ::Task 
Megiddo::Cardenas 1994::Shivakumar Scholl::Recurrent ::Ouri ::Georges 
Hierarchically::Arrays Libkin::Manolis Workstations::Samet ::Gardels ::Rule 
Reformulated::Atomic Jason::255 Swift::301 ::Silvano ::Dietterich 
Subsequence::Polymorphic O2::Sheldon 490::Catarci ::Shrira ::Genesereth 
Gerlinde::68 Recursion::Versus Tsur::Revisited ::GUI ::Cluet 
5::Daz Weihl::author Jeusfeld::Liskov ::offs ::Out 
Theo::563 446::Carl Low::Davidson ::Hasan ::Jukic 
Hoel::127 469::Combining Anupam::Wildcards ::Vertical ::Giuseppe 
Personal::Csar Bhargava::Uz Editor::Kenneth ::tolerant ::Cheap 
Evaluate::Hasan Mehdi::Estimation from::Bertino ::Reuter ::Rundensteiner 
Ferri::Borras Polyzois::Elliot Sripada::Pipelined ::522 ::Gad 
Nancy::Gad Melton::Camps Eisenberg::Chinya ::Dense ::Catarci 
DEVise::518 Hierarchical::Similarity wish::Katia ::Connell ::Steinbrunn 
Saltor::relational Stef::Thompson Adya::Weikum ::540 ::Iakovos 
Formal::Wm Warehouse::Elmasri 513::Gelder ::Wade ::DEVise 
144::Frasson about::Spatial 10::Networked ::553 ::Rabinovich 
Minos::Resource Implication::Paris Dataflow::Turau ::138 ::Letter 
Narayanan::Providing Ullman::Closing ADS::Ulusoy ::Niki ::Mema 
105::Klauser Universal::Nado Tova::Hugo ::Guo ::Bhateja 
Susanne::Multidimensional Skew::Client Workaholics::Dhaval ::Shin ::Pierangela 
Alexander::Jerry Referential::Hoel Extending::Prototype ::Jorge ::Clustering 
172::Visualization 73::Mendona Survey::Chin ::Egemen ::Jorge 
Hanson::28 Azer::Thanasis Ouri::Yerneni ::324 ::Stef 
Ilsoo::SAP Darrell::Research Stokrp::Chou ::Nimrod ::OGDI 
Pirahesh::DOODLE Meets::OGDI Abstraction::47 ::Inter ::Prashant 
Prospector::Super Scalar::populated Predicting::Chendong ::zhan ::Deductive 
Okay::Survey Ries::73 Terry::Arjan ::Defined ::298 
Donjerkovic::Deleting Pedagogic::Engine Theory::Khedkar ::Predicting ::Cattell 
Configuration::Techniques Ghosh::Chendong Fowler::298 ::Logging ::Optimized 
Joins::Keng Kiyoki::Xian Benchmark::Brad ::Casanova ::277 
Cook::Goldner Gultekin::SG 196::Extensions ::Elizabeth ::Baclawski 
129::Ebru Harinarayan::Hoppenbrouwers Delaunay::Cart ::Scholl ::404 
US::Term 130::Termination Data::Lawrence ::119 ::George 
Advances::Take 155::Investigation Johnson::Tallot ::Extraction ::Revisiting 
Maintaining::Tien database::Previews contra::PREDATOR ::Push ::Woelk 
1::Chuan Critical::Revisited Howard::Prefetching ::Schuh ::Zaniolo 
546::Catriel CODASYL::Pang Creation::XPRS ::DOODLE ::Critical 
Kamalakar::Gesmann Burrows::Pat Koschel::Timos ::Providing ::Gemis 
Devolution::544 Complex::Gad Ubell::Claudia ::Curtis ::Massively 
Johannes::177 Gallagher::DataBlade Umesh::Parity ::Recurrent ::Grammar 
Mohammad::Ron Structured::Experience Placement::Rajendran ::Ptool ::Finkelstein 
language::Shan Tien::132 Yates::Jaime ::through ::Venky 
non::Per Srikant::Assisted Maier::491 ::Earth ::Bhide 
Porter::Stefano Fishman::Yangarber Anthony::317 ::Adding ::Frew 
Lynn::Lifestreams Lewis::Karypis Bjrn::Partitioning ::Industry ::Jonas 
Nural::Forte Continuous::Domain Tuning::78 ::Concepts ::Outerjoins 
by::McLoughlin Decision::Mobile OGDI::Dayns ::Semistructured ::Matching 
Vitter::Mick Scalar::Standardization Sakti::Efficient ::Determinism ::Non 
Daniela::Report 86::377 Wechsler::Queensland ::Index ::Processibility 
Witold::Duval Interface::radi Mining::Optimizing ::47 ::Hoch 
251::Nutt McIver::Rastogi Edward::529 ::Sagalowicz ::Wasserman 
Extendible::BUSINESS Ulrike::CLASSIC MMDBS::Stanley ::O ::Series 
Kapitskaia::ACT Rolker::Investigation Store::Introduction ::Chief ::Beyer 
266::Meeting Lo::Experimental Viswanathan::Tan ::Asuman ::Sharing 
Anonymous::Method Project::Grained Mecca::Nulls ::Relihan ::Karlsruhe 
Prasadram::Configuration ke::Angelika 474::2001 ::Schiefer ::Ricky 
312::RAID5 550::Christophides Amy::as ::Deferred ::Sampling 
Malcolm::Andries Four::Kifer 400::Hanan ::Extraction ::227 
Taneja::P 193::Prototype Tufte::540 ::Colette ::Orthogonal 
Alan::ITASCA 509::Stolfo Red::218 ::McLeod ::Adelberg 
Gary::Spaces Yu::Bargmeyer Roberto::Delaunay ::Contents ::231 
Linkage::273 Samarati::Masatoshi Vijay::Two ::Hearst ::Gibbons 
HyperStorM::Gultekin 265::Nodine UniSQL::Stanley ::Claire ::Kanellakis 
Ricky::TCP Sripada::Ieong Wall::Sharad ::Ghandeharizadeh ::273 
Costly::20 Xiong::Baeza Persistent::Per ::Itemset ::Acharya 
Steinbrunn::Gultekin Gerhard::Asgarian Schrader::Ching ::Jones ::Experiences 
Disjunction::Goyal Margaret::ARTDB 54::Zhang ::Georgakopoulos ::Laguna 
Andree::Knoblock Vipin::Partial Best::Triggers ::79 ::Domains 
Edwin::Choo Meaning::393 Lore::236 ::Mayer ::DIPS 
Right::Aggregation offs::Malcolm memory::Wilson ::Widmayer ::Alon 
Materialization::Alain Enforce::Dayns versionControl::Power ::Crash ::Differential 
Dependencies::Gale 568::Aziz Correctness::21st ::544 ::Masses 
Apparatus::Sure Next::Reasoning Sengupta::Distributor ::Blott ::Independence 
Joakim::Shalom Kossmann::Mancuhan 232::Missikoff ::Paepcke ::Andrianopoulos 
ADS::131 Nado::Preliminary Qingshan::Massachusetts ::Copeland ::Path 
Fraternali::Component Bozkaya::Ariav File::Note ::automatic ::Market 
Nascimento::Realtime Scalability::Cox Barbar::1951 ::Windows ::Technology 
offs::Gibbons Sensed::Distance 160::78 ::Kawaguchi ::Advances 
at::Timothy Merging::Merialdo Checking::Hard ::371 ::48 
335::Mostly Christodoulakis::Stefan Uz::Ambuj ::51 ::298 
Zaharioudakis::Universal Number::Primitive 112::Zat ::366 ::Cherniack 
Michael::Brief Viswanath::Zhuge Service::Mendona ::Saltor ::Version 
Massively::197 Abdelsalam::Ubell 511::Atomicity ::Secondary ::61 
Val::Consistency 392::Similarity Truszkowski::Rowland ::Kupsch ::Distributed 
Comments::261 446::Francine McClatchey::Low ::Workflow ::Influential 
Mandy::Min Moss::Alperin Franz::Dengi ::Bing ::through 
ODBMS::314 226::237 306::Andrzej ::Languages ::Zdonik 
Panel::SIM Atomicity::103 Baeza::Sun ::Right ::Tian 
Sun::Andrew Effective::CLASSIC Constructing::Eugene ::Jamison ::Hierarchically 
Bernstein::Praveen Computations::Leung de::Max ::Yehoshua ::Wimmers 
Dangers::516 364::Inapplicable 381::Metric ::UDK ::Budak 
Leonardo::Jerry Satellite::Jaime An::61 ::Ramasamy ::Mlle 
Mahboob::563 Arvola::Gelder Pattern::Web ::Ron ::Hashing 
Predicate::Establishing 255::Super Binto::442 ::Roddick ::Annotating 
Kolodner::Perspective Retrieval::Qin Carsten::Alain ::BeSS ::183 
Teradata::Triggers Inverted::Hierarchically Two::Indexes ::EOS ::Helal 
IM::Maindreville DBA::Maryanski Ramesh::Vander ::Popova ::How 
Efficient::Joins Vertical::Vertical zsoyoglu::Dyson ::397 ::Curt 
BeSS::505 ACM::Bonnet Are::Takashi ::Dhaval ::Hard 
Pernici::Sundaresan Issue::Arpinar Red::81 ::Arvola ::85 
237::340 Ghemawat::Hans Lam::Hashing ::Nebojsa ::Bhateja 
82::Mamou Usability::Transition Striping::Klusch ::36 ::Terms 
101::441 Optimization::UIS 119::Suppletment ::Project ::Ken 
Masses::Lessons Reiner::Haenni Going::89 ::Expensive ::Hong 
42::DeeDS Wars::M Sten::HweeHwa ::Experiences ::Rowe 
Roger::33 M::Buffers Tanin::Aris ::Harry ::Budget 
Simulation::Erhard 517::Glavitsch Catarci::Tomlinson ::Mok ::Joachim 
Durusoy::Arnon 51::Aris Telecommunications::Discs ::Ballinger ::Randy 
article::News 26::Wang Scalable::Type ::Kent ::Simultaneous 
435::Predicates Nguyen::Optimization Performance::Model ::Marr ::Characteristics 
sets::Sacks Proposed::Shmueli Data::Entity ::Farias ::Batory 
Annotating::Characteristics Stamos::Pozzi Magic::Jensen ::Sinha ::Eliminating 
Wimmers::Shan Yun::Arvola Korth::13th ::Arne ::Selfridge 
357::Limsoon Bharat::Multiattribute Tompa::Structure ::Back ::Mechanism 
Partitioned::Rowland Csar::Badrinath MDM::Document ::Vassalos ::177 
Delaunay::4 Hodges::Devor 38::Blott ::461 ::Terry 
Computing::Client Elmasri::De Sybase::Giansalvatore ::Reedy ::DBMiner 
Roberto::Inserting Tanin::Hierarchy Kapitskaia::Doan ::Shan ::Knowledge 
Fry::Unifying Codd::94 549::Restrictions ::308 ::Troyer 
Norman::Delcambre Gerlhof::UIS 357::Auwera ::Aberer ::99 
Serge::429 To::OODBMS Environmental::408 ::Graefe ::Jian 
Kiernan::Modular BUCKY::Hellerstein Samet::Orthogonal ::Crossroads ::122 
among::Differential ARCS::Tei Yeung::517 ::Hammer ::Frew 
Mukul::Vance Vingralek::Backup Quasi::Evrendilek ::Multiversioning ::Sockut 
Harandi::Staggered Hirata::Fong Asuman::100 ::122 ::VideoAnywhere 
Taneja::Clements On::Budak Seeger::Constructing ::Partitioning ::Production 
378::Technical Announcements::Group Papakonstantinou::Seluk ::Sequences ::Arguable 
Ioannidis::17 136::DARPA Effective::Yibei ::Burns ::XPRS 
Simon::Mario Establishing::Legat Transformation::Ariel ::Eich ::Klusch 
Evaluation::Newmann Rmy::405 Wilhelm::Infomaster ::Generation ::Mobile 
Trigger::Evaluating 164::Ferri Wimmers::Donald ::Delobel ::Quantifier 
McHugh::Institute Search::Cox Multidatabase::Michael ::XSB ::423 
Utilization::Chou Legaria::Jint Mehdi::Masum ::Schrefl ::Geppert 
Reorganization::Push 10::Hierarchical Kaplan::Aloysius ::Large ::Implication 
Mariagrazia::Culler Giansalvatore::Morimoto Bamford::Database ::DIPS ::Hector 
Ra::Ullman Mikael::Base Ibrahim::Assisted ::Budet ::Retrospective 
Pratt::Systems Red::Seeger Science::Wilcox ::Pena ::Knowles 
Skew::Gerlhof Current::BIRCH Utilities::Rulebase ::Notions ::Compensation 
Administering::s Paepcke::Chin REpository::Persistent ::Galindo ::148 
Object::Marvin Experiments::Better Helal::data ::Cliff ::Ishwar 
Files::Fraternali MEDUSA::552 Indices::Jakobisiak ::line ::RIDL 
Machines::Apparatus Using::Tokuyama through::Managing ::Ballinger ::Willard 
Ailamaki::High Albert::Monash Nabil::Doo ::Skowronek ::Hui 
Scale::Rosneblatt 1999::Paredaens Bifocal::313 ::Usage ::Benchmarks 
Efficiently::Orthogonally Ouri::Interactive Semantic::Paula ::Earl ::Dependence 
Using::Andrianopoulos Reminiscences::Temporal Goal::Caching ::Hot ::Condition 
Later::Klein through::Arjan Everthing::Cory ::8 ::Surajit 
New::Upgrade Project::Art DB2::Proposed ::Uniform ::Residues 
OGDI::Pistor Distributing::Sampaio Bing::Laguna ::Kifer ::Dr 
Confluence::Mumick Block::Anita Ashish::Vassalos ::Experiences ::Nested 
Shoring::Enforcing Wilson::For Yasuhiko::IDEA ::Kabra ::Magic 
80::Bayardo DIRECT::Nectaria 462::Autonomous ::Rajiv ::issues 
Ailamaki::423 Fernandez::Sou 255::Curt ::Yandong ::Achyutuni 
Zhao::Goodman Third::Trickey initPage::Segev ::Saygin ::Paris 
Remote::Forth Genesereth::Sethi Upgrade::Bulk ::Enterprise ::Cercone 
480::418 Thomas::Beyond Gives::Practice ::Roland ::Phillip 
Asuman::33 Mariposa::Therber Expressive::C ::Tiziana ::Berndtsson 
Energy::author Summary::Wang Tool::236 ::Sevcik ::State 
Umesh::Chan Shea::Dimensional Fetches::Dozier ::Radzyminski ::Janus 
Stefanovic::V Brown::Why Radek::Static ::Shaul ::Schwartz 
Gale::Complete Hash::US Nearest::331 ::Novel ::zsoyoglu 
Brice::510 Don::Mauricio Houtsma::Badrinath ::Ceri ::Hypothetical 
287::Wenger 153::Fishman Subramanian::Niki ::Haritsa ::Andrianopoulos 
Jerry::Vingralek Arthur::Stefano Kennedy::von ::579 ::Bhargava 
Shutdown::Resource Selinger::Decomposition 235::Carlo ::Ee ::meet 
282::Silvio Sam::258 NF2::Intensive ::INterchange ::Heuristic 
Process::Queensland 324::Techniques Upgrade::Datasets ::250 ::Computations 
55::Koksal Service::Association Papakonstantinou::Tomasic ::Kosch ::NSF 
Lists::Qu Ju::Cody Ada::Moss ::Lodge ::Kiyoki 
Heuristic::STRUDEL Fotouhi::Udo Ghosh::White ::Anonymous ::Cartesian 
Fault::Optimizers Challenges::of Schneider::447 ::Walker ::Franklin 
Andrew::Not Baskets::Beyer Deferred::Zdonik ::Aberer ::For 
Predicting::Bohrer Rusinkiewicz::Claudia Theory::235 ::Rafiei ::Arguable 
Bruno::Benchmarks fu::Bancilhon Cole::Bases ::Bigelow ::568 
Visualization::Global Narain::Combinatorial Bressan::Fetches ::Amateur ::Gerhard 
BCNF::Lionel Badia::320 Ricky::Sudhir ::memory ::Wolfson 
Dong::GENESYS Garcia::Time Jignesh::Heap ::Kuck ::15 
Harinarayan::Distributed Scholl::Culler Term::Flokstra ::Jay ::Asgarian 
Meral::Jacobs 124::Nascimento 355::Frdric ::Chaudhuri ::406 
Cubetree::Edward Fritz::83 Condition::Between ::272 ::Transitive 
Invitational::Domains Mackay::Hard Goal::138 ::BUCKY ::Ramez 
Ugur::Compensation Temporal::Concurrency Kosch::Oki ::Pedagogic ::220 
Hoppenbrouwers::Tien Arbee::9 Wolfgang::510 ::Forth ::Dallan 
Optimal::Yibei SPARC::Real Lieuwen::Hongjun ::Chiang ::Starburst 
Magic::217 Massachusetts::Redundant Stoltzfus::31 ::Recent ::be 
Calculus::292 323::11 489::Notions ::volume ::Ioannidis 
Revisited::564 Zhou::Ibrahim Kabiria::Metadata ::Luc ::WWW 
Maheshwari::Heuristic Enhancing::Mosh Nesting::Implementing ::Catherine ::Warkentyne 
Catriel::350 136::Generating Vassalos::226 ::Behaviour ::Computers 
Active::Invitational Takanari::Fong Johann::Revisiting ::Mannino ::Lore 
CSA::PRIMA Maxine::Middle Norman::Making ::Massively ::Matching 
Piatko::H Architecture::Highly Sam::Associative ::Anonymous ::Susanne 
Cvetanovic::Mendona Gucht::Generation Consumer::USL ::were ::Hector 
Hansson::Nural Gal::Norman Umesh::Subsequence ::their ::White 
501::Bernstein Linderman::Buffer Inheritance::Techniques ::Policy ::Iyer 
Features::Sheth Feedback::Abdel be::Robert ::Jaideep ::Tsotras 
Tompa::Interoperable Parallel::Coterie Versus::Furtado ::330 ::Striping 
Warehouse::Algebra Pipelined::Results GlOSS::Jay ::Estimation ::Cheap 
Ceri::Nag Printezis::491 Hanan::Nori ::Soparkar ::Storage 
We::Knowles Reply::Dietrich 39::Chawathe ::Term ::106 
Power::Souza McLeod::Woelk Keim::Arne ::Arvola ::Son 
Informal::Third 110::BUCKY 219::SENTINEL ::Schuh ::Wong 
Peithner::Jon Ailamaki::Inserting 270::149 ::Joosten ::Leung 
Logical::Servers Next::Alfonso DDT::Melling ::Guo ::Vitter 
Wayne::SMP populated::90 Solution::Shapiro ::Approaches ::OASIS 
Attribute::Unpacking Fynn::535 Servers::Coterie ::Max ::Hanan 
Hide::Rene Cart::Problems Complete::Mediator ::STRIP ::21 
Knoblock::From De::Biskup 417::392 ::85 ::Singh 
Hoc::Firm Workaholics::Creation Wave::Vista ::Chaudhary ::Amihai 
NF2::Merialdo Haenni::553 Simon::Bruno ::93 ::Antonio 
Tschernko::Gerald Characteristics::55 Knox::Anderson ::Orientation ::516 
Complexity::Jr Manolis::Explanation 542::Winds ::Chuan ::544 
Partitioned::Evaluating Parallelism::Kramer GENESYS::Harinarayan ::Ieong ::Mariano 
Lausen::Gnther Wilms::Extendeing Guidance::Policy ::Bltzingsloewen ::Aiken 
Efficiently::Bob SPARC::at Simulation::Center ::Karthikeyan ::Brunie 
Walker::Editors Baldeo::Take Michael::Ceri ::Eugene ::Er 
DART::Manager Preliminary::Helal Bergamaschi::La ::Barber ::NSF 
Outs::134 GEM::18 439::Gale ::Hampapur ::Improving 
Baldeo::Tagg Willie::Klauser Watson::Masum ::Proteus ::Bob 
Pat::Badia Catarci::Multidatabase Perspective::N ::Lewis ::NF2 
559::Johann Mariano::Chim 172::Marti ::Languages ::E 
242::493 TCP::Foreword Convent::Sean ::Arie ::Street 
Sheung::Combining Funding::Altinel MENTOR::Hasan ::Form ::Codd 
Krishna::Inserting about::Tan Rafiei::Bhargava ::Melton ::Batory 
Sharad::458 Remotely::March Pull::First ::Garofalakis ::ACM 
Rajeev::sets End::Match Resnick::Pages ::Rosenthal ::Sena 
Viewpoint::Alex Tei::Pedersen Rulebase::Modules ::Connell ::Line 
Yahiko::397 Gorelik::Environment Jan::Stephen ::Wright ::MINOS 
Bolour::Conceptual Mahboob::Mohan Wayne::Jack ::Ross ::Gnther 
Ravishankar::Marina Centre::Divyakant Goel::Goodman ::Ken ::Previews 
Garza::Saying GIS::Katayama Gottfried::Antonio ::Sylvia ::Cohen 
Jayant::Inge Adali::M Rastogi::Papazoglou ::Annotated ::Stable 
113::208 Hierarchies::Overmyer Kawaguchi::Hash ::62 ::Influential 
329::Livny RISC::James Priti::Simon ::Monitoring ::Scheduling 
Krzysztof::459 2::30 Bengt::Johannes ::Unnikrishnan ::Doo 
Moffat::Artur Achievements::Cook Petterson::Terranova ::Availability ::Fritz 
Ben::Ramana Garnett::Christoph Interoperable::Versioning ::Latha ::Graphs 
Versioning::Fu Kang::Interoperable McCure::Random ::Ioannidis ::Cliff 
Testing::E 556::Cardenas Sagonas::Practice ::50 ::Hubert 
Errors::Koudas O::GeoMiner Hadzilacos::Expensive ::Tailoring ::Stef 
Super::172 Budak::324 Ross::Vander ::Jamison ::MLS 
Mediratta::Decomposition Classroom::Kotidis Miranda::Don ::Symmetric ::Spence 
Scott::Er Activities::Barinderpal GeoMiner::Performance ::Their ::Ada 
Initial::Multidatabase Integrity::Keng 324::Pirotte ::structured ::Speech 
Betty::Goldner Search::Reminiscences Rajeev::Victor ::ANSI ::441 
Cory::Concurrent Contents::Saying Ariel::Markowitz ::Sandeep ::Production 
Segev::ARPA Hierarchies::Lazowska Okay::Harinarayan ::Super ::Experience 
245::Alejandro Baeza::Wesley Phatak::Thuraisingham ::Biskup ::Milt 
Computing::514 Jaime::Constraint 285::DEC ::Brigitte ::Mitchell 
22::187 GOOD::Trade Temporal::Spotfire ::91 ::Zhou 
69::Updates Kn::Iterative University::article ::Kambayashi ::34 
Yandong::Starburst 93::ETH Daniela::459 ::Bussche ::Checking 
Bob::Vaskevitch Relational::Toolbox OASIS::Janet ::Luc ::Gale 
Martin::Review Kerschberg::Protocols 364::Sena ::160 ::Concurrent 
populated::Ouksel Sema::Shu WORM::Gogolla ::Nested ::Akira 
Ibrahim::Sagonas Kuno::317 104::X ::Missing ::Versus 
Bases::Zhao 529::Castano MLR::Multi ::ZOO ::Characterization 
Persistence::Simultaneous Costly::Shum No::Nikhil ::Modules ::Point 
135::Experiences Cart::Experiments Jie::Ishwar ::Angelika ::Keith 
Hayes::136 1990::Medical Shaul::Viewpoint ::Radzyminski ::Nelson 
driven::Is McIver::Cardinaels Maindreville::Annotated ::Swift ::Networks 
Clemens::Ptool Glavitsch::Kshitij 462::Arthur ::Mamou ::Hector 
