Thor::Stokrp ::72 ::529 ::Not ::Aggregate 
Lazowska::Elmagarmid ::153 ::Middle ::Molina ::Lum 
485::Philip ::Domains ::Revisited ::Linkage ::563 
Tokuyama::Warren ::Berg ::O ::Elsbernd ::143 
Geospatial::Mick ::Informal ::Markowitz ::250 ::Platforms 
Yandong::Mannino ::Up ::Larson ::Sure ::Oracle 
Lipski::Laursen ::Tsatalos ::458 ::Buffers ::Not 
Basic::Averbuch ::Erik ::207 ::123 ::Going 
Technology::Fritz ::Wen ::Duri ::Top ::Ingres 
Hare::Labio ::Maintenance ::Furtado ::31 ::Jeffers 
214::Kabra ::Jyh ::Lore ::Relihan ::Hussein 
Fabret::CapBasED ::Elmagarmid ::Yang ::Cubetree ::Jamison 
120::Crestana ::lun ::Entity ::Kent ::Example 
Z::Beyond ::Sivasankaran ::Answers ::Hsiao ::Earl 
Celis::NET ::Anastassia ::Loading ::Properties ::Optimistic 
Infomaster::Kosmas ::Griffeth ::Sumit ::Scott ::ACT 
Braham::the ::Kocharekar ::Dan ::Expected ::300 
Educational::Multiprocessor ::Subramanian ::Ariav ::Efficient ::Subsequence 
Nathan::Paskin ::Christine ::Workstations ::Milo ::Queens 
Block::McIver ::Yossi ::Announcements ::Lightweight ::281 
Dieter::Matchmaking ::Ieong ::78 ::360 ::Cole 
Narayanan::Gadia ::Luef ::Yang ::Cartesian ::Generation 
Ju::Intelligent ::Dependence ::Henry ::Salton ::Leung 
Ravishankar::Jensen ::Among ::Through ::489 ::COSS 
Survey::Disjunctive ::Gelder ::283 ::Cattell ::Schuh 
Extracting::OODB ::GOOD ::Mediator ::26 ::Elliot 
DART::Kristin ::First ::Meaning ::Widoff ::Kosch 
Cevdet::zhan ::501 ::Woelk ::Chou ::Take 
392::Nodine ::INterchange ::Kotagiri ::Schuh ::Griffin 
Vertical::Jerry ::Charles ::89 ::41 ::Dreyer 
Aloysius::Zloof ::Dayns ::1 ::Rakesh ::Hendrikx 
Gerlinde::Scaleable ::529 ::Birgitta ::Franklin ::Ulla 
Atzeni::Altinel ::Lanzelotte ::Geppert ::Sean ::Index 
Kspert::Vassilis ::language ::Jyh ::20 ::Melling 
Kocharekar::Algorithm ::Pozzi ::Out ::Rabinovich ::Ariav 
Modification::Lightweight ::Mediator ::Wendy ::Improving ::321 
215::Celis ::Dina ::Measurement ::Moerkotte ::Multi 
Mlle::Composite ::Nichols ::Backup ::Xiangyu ::Bra 
Annie::Current ::Investigation ::Crestana ::Third ::Source 
Educational::Nebojsa ::Megiddo ::17 ::Hot ::135 
Paper::Ford ::Narang ::325 ::364 ::NET 
Badrinath::Objectivity ::Allen ::MEDUSA ::Languages ::Shrira 
Querying::Teradata ::Sun ::Jumping ::Bhm ::128 
Ugur::280 ::Jochen ::Wilhelm ::Reconstructed ::Enough 
attribute::Matthias ::F ::Attributes ::Anastassia ::Aidong 
Going::Knoblock ::Client ::Stepwise ::Hara ::Amy 
Huang::Local ::Normal ::Buff ::Vassilis ::255 
Sybase::Joins ::Class ::1990 ::OODBMS ::Fll 
Shamkant::Weinberger ::Gregory ::Ganguly ::Sharad ::Vienna 
Skew::Forouzan ::Jint ::Zhuge ::Jaime ::Parallelism 
Tai::Where ::Laurent ::Differential ::Feedback ::Rosana 
Goldfine::Infering ::Kulkarni ::Sockut ::Bernstein ::Action 
Masatoshi::Lougenia ::74 ::Key ::30 ::Enhancing 
SEMCOG::versionControl ::Moss ::Bruns ::1999 ::COntext 
Status::Zobel ::Iakovos ::Participants ::34 ::423 
Environments::Identity ::Ramesh ::Logic ::Helen ::Choo 
Dadam::473 ::Chairman ::Radek ::Achyutuni ::407 
Korth::Tobin ::Ramesh ::Characteristics ::Lamersdorf ::Bushy 
Ariel::Compression ::Cory ::Characterization ::Bltzingsloewen ::Deferred 
89::65 ::Gadia ::Integration ::Religious ::Gruber 
Kasi::Attribute ::McHugh ::Computer ::Preface ::Teorey 
Hans::Maindreville ::Environment ::Gogolla ::Fugini ::Commentary 
Area::Omran ::1990 ::48 ::Fraternali ::Thumb 
trees::McAuliffe ::PRIMA ::Er ::Mackert ::Bernard 
Transient::Kashyap ::120 ::Lefler ::Implementing ::Shalom 
Controlled::Annotated ::Vinek ::Abdelsalam ::321 ::Initial 
118::Horizontal ::Wrappers ::336 ::Mobile ::Sanjay 
Esther::Franois ::1999 ::Recovery ::Sripada ::252 
Domain::Hamid ::Constraint ::Gibbs ::Rona ::8 
Madnick::Restrictions ::Michel ::Skowronek ::Ford ::van 
Paepcke::Extension ::Craig ::Locking ::Hernndez ::Jordan 
Ranganathan::Guarantee ::Stphane ::Stankovic ::Hernndez ::Christodoulakis 
Massively::RIDE ::Natarajan ::Tsichritzis ::Rules ::Tsotras 
416::Store ::Stefan ::Catarci ::Chih ::Paraboschi 
Florescu::Meaning ::Fabio ::Shan ::Workaholics ::Masatoshi 
1994::Push ::Alonso ::Interactive ::Davison ::Partitioned 
21st::Fine ::MLR ::Alperin ::Reiner ::Ramakrishnan 
Gyssens::Seeger ::Combinatorial ::Cube ::Pang ::238 
Nori::Heiler ::Jeusfeld ::XSB ::Dense ::Christmas 
Infinite::B ::Hierarchical ::Group ::Protocol ::Tang 
Tokens::Morpain ::Practical ::379 ::553 ::240 
Thinksheet::Denotational ::Lorentzos ::473 ::Jhingran ::meet 
N::AlphaSort ::Sheldon ::43 ::Current ::SENTINEL 
Degradations::Castano ::Dallan ::Kasi ::Andrew ::493 
EUG::Values ::CICS ::Sorting ::528 ::Partitioning 
Machlin::Replicated ::Wesley ::LORE ::Syntax ::TSQL2 
1999::Grossman ::Novel ::187 ::Software ::Polymorphic 
539::Charles ::Tai ::Ubell ::Perry ::STRIP 
Visualisation::Stefano ::Pipelined ::2000 ::26 ::De 
388::Ahlberg ::Bargmeyer ::Hoc ::Hussein ::35 
120::Tokuyama ::1951 ::395 ::Multiple ::Three 
107::Margaret ::oriented ::Subsequence ::Desktop ::Hou 
BUCKY::Haenni ::Troyer ::Techniques ::Snodgrass ::Ulusoy 
order::Gang ::Yangarber ::Darwen ::Pires ::Nguyen 
Wells::Geophysical ::Elisa ::Jukic ::Brunie ::Flix 
Tompa::Min ::Consensus ::Walch ::San ::Annotated 
Through::Metadata ::Fowler ::Tam ::Kuno ::Yossi 
Woolf::99 ::Sheldon ::Darling ::Syntax ::Chawathe 
Shashi::Nikhil ::Auwera ::Among ::Secure ::Yih 
Pena::Sharon ::TSIMMIS ::Studies ::3D ::for 
Machlin::Koschel ::George ::Non ::Automation ::Sybase 
Badia::structured ::Evolving ::Anant ::Rene ::Brief 
MEDUSA::Relly ::Automation ::Calculus ::Zdonik ::Protocols 
Franois::STRUDEL ::Descollonges ::Gad ::Passing ::Timeliness 
508::through ::511 ::Josef ::Department ::Procedures 
237::Haas ::Gerd ::Hsiao ::Approaches ::Formal 
377::Aloysius ::243 ::120 ::Actual ::Salzberg 
Altinel::Aberer ::Quantifier ::Effect ::Amouroux ::Symmetric 
Han::den ::T ::No ::Olkin ::Baden 
Shian::440 ::Shekar ::Willard ::Florescu ::161 
et::Moira ::OASIS ::DBMiner ::Remzi ::Donald 
308::Hypothetical ::Observing ::Shelly ::505 ::Interoperable 
268::RISC ::Gottfried ::Salza ::Sybase ::Qualitative 
H::175 ::Design ::Yerneni ::250 ::Craig 
Eliminating::Jumping ::Area ::101 ::Evaluate ::Takanari 
Colby::261 ::Carl ::Grosky ::Chou ::Top 
Yoshikawa::107 ::Chan ::Hallmark ::504 ::407 
Penalty::Leung ::Ramakrishnan ::White ::BCNF ::Memory 
Widoff::563 ::Dennis ::Bandwagon ::Assisted ::order 
Libraries::Billion ::Bolour ::Very ::Kotz ::DEVise 
Dean::Vardi ::Center ::Choo ::Generalizing ::Yue 
Red::Babis ::Stanley ::Ramamohanarao ::Nikhil ::Quasi 
Kuck::Subramanian ::Mayer ::481 ::Rabinovich ::Yun 
320::Table ::Handling ::from ::Stonebraker ::versionControl 
Optimized::81 ::Kevin ::Response ::214 ::Matching 
Maxine::s ::Jain ::USD ::McLeod ::Rundensteiner 
308::Workbench ::Influential ::Simulation ::Christodoulakis ::OOPSLA 
348::Jae ::Hui ::505 ::tolerant ::Observing 
Cartesian::Seth ::CoopWARE ::Daniel ::285 ::Kincade 
Guy::Melissa ::Anita ::130 ::Giansalvatore ::Gray 
ITRI::Schning ::Consensus ::Bryce ::Prashant ::435 
E::Rivero ::Mapping ::Arbee ::247 ::Nori 
Stefano::language ::Lip ::Ni ::RIDL ::Wiederhold 
16::Persistent ::L ::Dogac ::187 ::Elliot 
Doughty::Obrst ::Alfons ::Validation ::242 ::94 
528::Java ::B ::Gebhardt ::Rudolf ::Rastogi 
Jagadish::Stef ::adaptive ::Fynn ::Budak ::306 
Useful::Nancy ::Service ::115 ::What ::Libraries 
Vassilis::Up ::View ::Castano ::264 ::Lock 
Jeusfeld::populated ::Workstations ::Urban ::Anand ::452 
Ensuring::Why ::Useful ::Rajiv ::226 ::Baclawski 
Stoltzfus::Yandong ::Meaningful ::OLAP ::Redundancy ::Secondary 
Walters::RIDL ::Shea ::261 ::Notes ::329 
557::145 ::Birgitta ::556 ::Fernandez ::Interpreted 
Term::Sandra ::Piatetsky ::Users ::N ::Inge 
Fishman::Utilizing ::for ::502 ::Ley ::John 
Barber::242 ::550 ::Frasson ::Leo ::PREDATOR 
Justin::Flaws ::Documents ::Utilities ::Karlapalem ::Phatak 
Confluence::Semi ::325 ::Amy ::Luc ::139 
System::Breiteneder ::Doherty ::Klusch ::issues ::Dadam 
Megiddo::Sensed ::165 ::575 ::Schmidt ::Obrst 
441::Pratt ::Statement ::Life ::Advances ::Inheritance 
DAFTG::Baeza ::Broadcast ::516 ::Soumitra ::Yandong 
Susanne::Segment ::Stable ::154 ::Bukhres ::Grosky 
Abdel::La ::Scalar ::Masses ::262 ::148 
Power::Server ::Valduriez ::Redundancy ::Ooi ::Joins 
Workstations::Agents ::Funkhouser ::Merrett ::Buffer ::Problems 
532::Solomon ::Chungmin ::with ::0 ::Zeleznikow 
Tradeoffs::Miranda ::Nestorov ::Perspectives ::Zhang ::Frederick 
of::Improved ::Arnold ::Shelly ::132 ::Yannis 
Thomas::Buff ::Spyros ::P ::Gyssens ::Architectures 
505::528 ::Cohen ::Robertson ::Kamalakar ::Visualisation 
S::Pipelined ::Mumick ::Mahboob ::Up ::Better 
Kotagiri::Wasserman ::Statement ::General ::Hartson ::IM 
237::144 ::Trade ::Staggered ::Maxine ::Objectives 
Gottfried::Badrinath ::Hughes ::Bombay ::Prototype ::Mitch 
HweeHwa::Shashi ::Residues ::Connell ::Crash ::Siegel 
252::Darling ::Willard ::Why ::Francine ::Interface 
QuickStore::Sema ::Nulls ::Bruce ::Franoise ::321 
be::119 ::Table ::91 ::GENESYS ::Append 
102::Open ::Automation ::ODBMS ::Justin ::Lomet 
Asuman::Networked ::Tschernko ::Reconciliation ::Roantree ::Explanation 
Users::oriented ::Problems ::Alexandros ::Werner ::Announcement 
Knoblock::Philippe ::Weihl ::Waheed ::Baldeo ::Salvatore 
Joachim::Review ::DBMSs ::Walter ::Markos ::H 
Myllymaki::335 ::Shamkant ::Nguyen ::Gung ::96 
182::Level ::Indices ::Dale ::Shneiderman ::Zurich 
Melvin::Salton ::MLS ::Krishna ::Indian ::Madnick 
Generalizing::Geographic ::219 ::Predicting ::Berchtold ::DBS 
116::Daniela ::B+trees ::Fu ::WWW ::Year 
Widoff::Gucht ::Area ::8 ::Zaniolo ::Industrial 
Studies::Jae ::for ::Inderpal ::Medeiros ::Seeded 
Knowledge::Hui ::Sinha ::Site ::Repositories ::Gibbons 
Jakobisiak::430 ::Tai ::Evaluation ::Observable ::General 
Lore::Current ::Morpain ::Termination ::Ugur ::Document 
Asserting::Department ::400 ::Narayanan ::Lohman ::Saygin 
OASIS::Shutdown ::Integration ::Zirm ::Nikolai ::Historical 
482::559 ::516 ::Kamel ::314 ::Howard 
Section::Extraction ::Heuristic ::Explanation ::Benny ::Samet 
Xiaolei::Marc ::508 ::Rafiei ::ARTDB ::Badia 
Masses::Garlic ::There ::335 ::DB ::Recursive 
Viswanathan::J ::GIUKU ::Rolker ::McLeod ::Selectivity 
261::Efficiently ::Ellman ::articles ::Asuman ::Bressan 
Residues::267 ::Petterson ::Hash ::Agarwal ::Four 
Z::Hasan ::Expected ::Querying ::Wolfson ::485 
568::Kincade ::Must ::McCarthy ::Gibbons ::Frederick 
105::Extendeing ::Type ::be ::Massively ::Remote 
Evaluation::Hide ::Marcel ::Commercial ::Modeling ::Nathan 
Agrawal::Kamel ::Fetches ::Jennifer ::Providing ::Kulkarni 
Eliminating::Tiziana ::Kiernan ::Nguyen ::Match ::Christodoulakis 
10::Jnsson ::Executions ::GEM ::Victor ::Ecklund 
Gingras::Zirm ::DART ::Rastogi ::Tom ::Written 
Pires::Ins ::Goetz ::Lazowska ::B+trees ::Load 
Stavros::Cardenas ::Hasanat ::Jianguo ::Gerhard ::Buffer 
Victor::Testing ::93 ::Jeanine ::Ronald ::Alperin 
Merz::440 ::Infrastructure ::Vitter ::Wilner ::413 
Seluk::Versioning ::Access ::12 ::Wimmers ::563 
Theodoulidis::Lazowska ::Yangarber ::Hellerstein ::Platforms ::Satish 
Donovan::245 ::Contents ::Conrad ::Ieong ::SMP 
Adya::Thin ::Sycara ::Tuning ::Winfried ::14 
Observations::Special ::Maintenance ::190 ::Bamford ::308 
Vipin::Mobile ::Valduriez ::Vijay ::ke ::Sibel 
Helen::Called ::Hash ::Himanshu ::During ::Industrial 
Gio::Kawaguchi ::Merrett ::Casanova ::Nyberg ::Rudolf 
Burns::Raschid ::311 ::Knox ::Unix ::128 
Gad::Furtado ::Concurrent ::Gyssens ::68 ::Pramanik 
Myers::Practical ::Stonebraker ::Colliat ::Goodman ::228 
139::Davison ::driven ::441 ::Lynn ::Mackay 
418::Checking ::Halici ::Networked ::Relaxed ::Wrapper 
Robertson::364 ::Melissa ::Doherty ::Can ::Dietrich 
Guarantee::Complete ::Bohrer ::Asgarian ::Chief ::Jeffers 
I::Correctness ::Guarantee ::Riekert ::Management ::Albert 
BIRCH::Enough ::Orthogonal ::102 ::Unpacking ::Virtual 
Merrett::Richard ::Schemes ::Divyakant ::Algebras ::Dadam 
Winds::Interface ::Larry ::Prospector ::Outer ::Lorie 
Postgres::Perspectives ::Stokrp ::2 ::27 ::Mayford 
Sarda::Son ::Ishwar ::Assets ::469 ::Sistla 
Sudarshan::Prasadram ::Jenny ::Transactions ::Takanari ::61 
Declustering::ACT ::Lodge ::Sagalowicz ::Fabio ::312 
Cube::Queries ::232 ::Vrbsky ::Michael ::Pozzi 
Thomas::Progress ::408 ::Fu ::Distributing ::Chang 
Metadatabase::Identity ::Incremental ::X ::Eisenberg ::Definition 
Web::Architecture ::Triggers ::Mecca ::Jan ::From 
Analyti::Tuning ::Beigel ::Hian ::S ::Douglas 
Updates::title ::issue ::208 ::Jones ::Gerd 
Religious::Oki ::Toiati ::Frasson ::Thor ::Rishiyur 
511::Security ::March ::Young ::Molina ::Activities 
Shasha::into ::Tansel ::DIPS ::Ray ::78 
Made::Surajit ::Algebras ::Teorey ::structured ::52 
Pipelined::HweeHwa ::Rules ::Relihan ::262 ::sets 
Abraham::Bonnet ::507 ::216 ::125 ::D 
Incomplete::Dyson ::Progress ::Grandi ::Weinberger ::about 
UNIX::Bruno ::Thuraisingham ::Benjamin ::Yongjian ::Abdullah 
158::60 ::Logging ::Class ::Simon ::Formal 
Tjoa::Chungmin ::Georges ::Partial ::Jr ::Burger 
Class::454 ::Hypertabular ::HPCC ::Vienna ::515 
Assurance::Teradata ::Glavitsch ::Cole ::Douglas ::Research 
Dataflow::Medical ::Binto ::Simple ::Final ::447 
Woelk::Rene ::Flaws ::Van ::Thompson ::190 
Commitment::Concerning ::Displays ::Tool ::Integration ::Integrity 
Franz::Poosala ::Dale ::Subsequence ::oriented ::Reordering 
Tjoa::Gawlick ::James ::Hansson ::163 ::Opportunities 
Unruh::Clark ::Shan ::Anil ::Yurek ::Enough 
Plaisant::Hide ::Fatma ::Z ::Wiener ::Bestavros 
Merialdo::Cache ::Lougenia ::Object ::Curry ::time 
Tyler::Dataflow ::Dong ::News ::Swift ::46 
Protocols::Dirk ::Flexible ::Vertical ::Mapped ::Krishnan 
Piyush::Gawlick ::trees ::Grammar ::Nan ::Read 
Marti::Harandi ::Critical ::187 ::Michle ::Schlageter 
Dina::MultiView ::Lip ::Extraction ::Review ::330 
MultiView::Jie ::Programming ::Preface ::Rajiv ::Ganapathi 
Allen::Sripada ::Vermeer ::Heterogeneous ::Keishi ::Takeshi 
Grasnickel::Mapped ::Eliminating ::38 ::Cubes ::Application 
Agent::Sinha ::63 ::Interfacing ::66 ::Erbe 
Enterprise::Progress ::Goh ::Environmental ::User ::Repository 
Rowe::Real ::Lakshmanan ::Keishi ::Skeen ::Strategy 
Ilsoo::Isabel ::Murphy ::Manfred ::Declustering ::Malkemus 
Viviane::AlphaSort ::Dr ::San ::Gio ::Lorentzos 
Lam::Creating ::Ramasamy ::Machiavelli ::58 ::Diagram 
SBBD::Gad ::Easy ::III ::Mlle ::Gyssens 
Marti::Penalty ::ASSET ::535 ::Stanford ::Kupsch 
Alfons::Breiteneder ::TSQL2 ::Wei ::Degradations ::Minute 
Laguna::Stanley ::Goal ::Simillion ::Salza ::Secure 
564::Pierangela ::Jos ::Melton ::406 ::Borras 
The::192 ::Eisenberg ::Piyush ::Raghu ::Blanken 
Piero::database ::Geppert ::Executions ::Ghassan ::277 
Tutorial::Bulk ::Seeger ::Chin ::Viswanath ::Jr 
Lo::Dusseau ::Garofalakis ::Anindya ::397 ::Kenn 
von::Fernandez ::Glossary ::Normal ::Delaunay ::265 
Ahn::Shelly ::547 ::Meta ::NSF ::Meltzer 
Vance::Repositories ::System ::Alan ::Kuntz ::Pletch 
Prakash::Koch ::Kotz ::Donjerkovic ::Shutdown ::Yun 
Passing::Deppe ::Isabel ::Fong ::al ::David 
Tolerance::Workloads ::Concurrent ::Observable ::Maurice ::Modification 
re::Anastasia ::Toward ::Shoens ::Rolker ::DataBlade 
Lin::Clark ::Mumick ::Shared ::Mikael ::Rusinkiewicz 
Foreword::393 ::Maintaining ::Paper ::author ::525 
Area::Hayama ::formerly ::Wen ::110 ::Fixing 
Distributing::Prospector ::Basket ::Lon ::Mehdi ::Ronald 
Abstract::Missikoff ::260 ::Ambuj ::497 ::Obrst 
69::Fox ::To ::Seluk ::Reminiscences ::Trickey 
Kenneth::Atsushi ::Interface ::Linderman ::Index ::524 
Chou::Hans ::Disjunction ::Estimation ::State ::Capability 
Lucas::RDBMS ::Timeliness ::Workaholics ::Hoppenbrouwers ::O 
Staggered::Keulen ::Barber ::Klusch ::Hasanat ::571 
International::Nascimento ::Kaplan ::Fowler ::Jacobs ::Soumitra 
474::Rowe ::Hallmark ::Garcia ::Zou ::Winfried 
33::Tokuyama ::Shenoy ::Hanson ::Domains ::326 
NF2::MINOS ::Order ::Science ::Applications ::Tertiary 
98::510 ::Donovan ::Valery ::Strengthen ::Kabiria 
Karl::Walt ::Melton ::Beyer ::256 ::Entity 
Winfried::Rishiyur ::Critique ::254 ::Dr ::Integrity 
Delayed::Denis ::Devolution ::Kristin ::Lewis ::articles 
Schek::336 ::Marina ::Extensions ::Weihl ::Sudarshan 
Zaane::Sheldon ::Shoshani ::RIDL ::Hare ::Milo 
Shum::Tallot ::Sequences ::EXODUS ::60 ::Perspective 
Akira::Shelly ::UIS ::Peter ::Parallel ::Tajima 
Reuter::Adelberg ::Ramakrishnan ::535 ::Girish ::Navathe 
Atomic::172 ::Access ::Haran ::Confluence ::Brown 
Kuan::Bernstein ::Sophie ::Constructing ::Reply ::Tarantino 
Haber::Bitton ::Hearst ::Protocol ::Academic ::Eick 
53::Cliff ::Annotating ::Firm ::Answering ::Audit 
429::Vista ::Matching ::Calculus ::Pozzi ::Eftring 
Technologies::Sarathy ::It ::Prasadram ::Research ::358 
PRIMA::Brin ::Datenbases ::Aziz ::Karvelis ::Impact 
Dayns::557 ::550 ::Push ::Terranova ::Acitivities 
Date::550 ::Hierarchies ::Dennis ::Nelson ::Milt 
media::Mediratta ::Miguel ::MENTOR ::Ford ::Translation 
Ramanathan::Extended ::Subsequence ::240 ::Transaction ::Ravi 
266::Kristin ::Masaru ::McKenzie ::98 ::Hughes 
W::Adali ::Ward ::Christophe ::Donko ::Zloof 
43::Gonzalo ::528 ::Variant ::Baclawski ::Virtual 
270::Wave ::Zeleznikow ::Zhou ::Full ::Science 
192::Erbe ::Medical ::Hwang ::Jhingran ::Altintas 
Center::populated ::Paula ::Melton ::Cheng ::Helland 
Renner::McGuinness ::Stephanie ::Joachim ::Segment ::Environmental 
Datta::Coterie ::Graham ::Beng ::178 ::Auwera 
312::Ee ::Resistant ::Iterative ::Displays ::Policy 
Method::Ganesh ::Meaning ::Degradations ::Nyberg ::525 
Fry::Meckler ::Pernul ::Breaking ::Template ::Full 
Karlsruhe::Mediratta ::Fugini ::Miranda ::Study ::Experiments 
Nodine::Wrappers ::Merge ::Benchmark ::Laver ::Example 
Waramahaputi::Updates ::ichi ::Deppe ::Stephanie ::Wilson 
Val::Designers ::Simon ::Lu ::Martin ::Arizona 
Pozzi::69 ::195 ::Academic ::Disco ::Madnick 
Nikhil::attribute ::394 ::Mostly ::161 ::Sarathy 
Disc::Dreyer ::Jagadish ::Overmyer ::Masses ::sets 
Panel::Ramanathan ::Bryce ::Earth ::Operation ::Xiangyu 
Fault::Agarwal ::276 ::ARPA ::Bernstein ::Participants 
Abstract::Fabret ::313 ::Duval ::Gkhan ::Porter 
Tang::Catriel ::Assessment ::Gary ::Dong ::568 
Sibley::Melton ::McGuinness ::Outer ::Nita ::Behaviour 
Standardization::Jamison ::Tomlinson ::Aris ::Jordan ::Dadam 
L::479 ::David ::498 ::Webb ::Bob 
Carl::Barclay ::Min ::Lohman ::H ::Executions 
Mathematical::Actions ::Ulusoy ::CapBasED ::556 ::Deborah 
Execution::Kitsuregawa ::Framework ::323 ::13th ::METU 
Daniela::Camps ::S3 ::Federation ::Silberschatz ::Fll 
LRU::441 ::Correlations ::Reddy ::Grammar ::Ganguly 
Raghu::Bayardo ::Brodsky ::155 ::Breunig ::Jrg 
Survey::METU ::Are ::Buff ::Prototype ::Perform 
Svetlozar::Knowledge ::Syntax ::Surajit ::Monash ::Winds 
Enforce::22 ::Li ::Wilson ::Wolfgang ::Boral 
34::351 ::275 ::Stepwise ::Shalom ::Cyclic 
Zoerntlein::EDUCE ::Only ::Ravi ::Geppert ::Taube 
Terrance::149 ::Quantified ::Bayardo ::Vincent ::Restrictions 
33::Lum ::Muntz ::Thanisch ::Dale ::Bernstein 
Simultaneous::497 ::Goldman ::Jordan ::Structured ::1990 
Specification::Euthimios ::Behavior ::Multi ::There ::Polyzois 
Practical::Facility ::Termination ::Anonymous ::491 ::Leonardo 
Rengarajan::Phillip ::325 ::Gary ::Haenni ::Fotouhi 
Castano::Solution ::Shah ::Sakti ::234 ::Unruh 
Augusto::Schning ::Manfred ::Kfer ::40 ::Joins 
Atomic::Specifications ::based ::Ferri ::IM ::Mohamed 
Eliot::317 ::Chomicki ::Khedkar ::through ::Expressive 
Nimrod::Larouche ::553 ::Date ::461 ::MQSeries 
Stemple::Challenges ::Generalizing ::Sorting ::Abstraction ::GUI 
529::Multimedia ::Nulls ::Hash ::Partial ::Mok 
Queries::Mamou ::467 ::Predictive ::Date ::Susan 
Adya::Alexander ::Primitive ::Fragments ::SQL3 ::Next 
Honeyman::Predicate ::Out ::Lu ::Kuntz ::Kemper 
439::Ariel ::Yih ::Contents ::Shapiro ::Paton 
Conceptual::Evolving ::Capability ::Arthur ::Arie ::90 
Vance::Megiddo ::Correctness ::Terry ::Manolis ::Hot 
Brick::Lightweight ::Rajeev ::at ::Sang ::Hellerstein 
Sun::Stepwise ::Tomasz ::286 ::Low ::Johnson 
The::Behaviour ::Science ::15 ::Zat ::Tokuyama 
Koch::Approaches ::Paolo ::275 ::Alan ::Yehoshua 
Agents::Andrzej ::Shekita ::Wong ::Jignesh ::Scheme 
176::Guidelines ::347 ::Marvin ::Bra ::Processibility 
Earl::Random ::Augusto ::204 ::Control ::17 
Miranda::Unruh ::III ::Fixing ::Ahmed ::Said 
Maxine::Presence ::Feedback ::227 ::over ::Ray 
Basket::Moira ::Thomas ::Dimitrios ::430 ::Dean 
Ghassan::351 ::Paton ::Keim ::Sibley ::Cache 
RDBMS::Andrzej ::Cody ::Pons ::235 ::Evaluate 
Frasson::26 ::Allan ::DDT ::Livny ::Petterson 
Extendible::Grandi ::Influential ::Display ::Knowledge ::Outer 
226::order ::Strategy ::Delaunay ::Arya ::Tokens 
Challenges::Entity ::Loeffen ::Lakshmanan ::Beyer ::Lashkari 
Murphy::315 ::Gerlhof ::Michle ::Robert ::Rdb 
Mok::Gnter ::Yeung ::Role ::Rishiyur ::Paula 
Size::Masatoshi ::Karl ::Ray ::Jerrold ::Tsangaris 
Rosneblatt::Answers ::Badrinath ::Ho ::Yongjian ::Upgrade 
Deleting::Gemis ::Elmagarmid ::Jaime ::Roberto ::Nichols 
Project::site ::Shing ::Task ::Visualisation ::Chan 
Types::Duval ::Raju ::Sarathy ::Common ::Jenny 
Schuh::Syan ::Declustering ::Frederick ::Expert ::Mason 
49::yiu ::Observing ::Nita ::Marianne ::318 
SIM::DB ::Koschel ::Interval ::Leung ::Peng 
Lorie::Supporting ::Environments ::Caching ::Alphanumeric ::Janet 
Series::Declustering ::1951 ::Organization ::X ::528 
Nothing::Desktop ::Area ::Dimensional ::Lipeck ::Tolerance 
Li::Pirotte ::Dimitra ::Plans ::Ley ::Interfacing 
Gerd::Pernul ::Dale ::Predictive ::Display ::Kuan 
Recursion::Sensed ::Bry ::Schneider ::Rdb ::Department 
Converting::Babis ::Venky ::Recursion ::Gibbons ::Method 
Knowles::Text ::Gyssens ::306 ::technology ::215 
Skew::Costly ::Narang ::Melvin ::Comprehension ::Tony 
1990::Grossman ::267 ::Stable ::Kulkarni ::BeSS 
Gelder::Rastogi ::Goh ::Labio ::Problems ::Goetz 
Multidatabase::Cattell ::Benchmark ::Chinya ::Abel ::Aberdeen 
Algebras::Alon ::191 ::Jiawei ::Sellis ::Refresh 
Kotidis::Syntax ::Laguna ::Hoc ::Zhao ::Vassilis 
Exploiting::Claudia ::Roberto ::Rulebase ::Predicate ::Girish 
McHugh::US ::ETH ::Frank ::Chomicki ::Sagiv 
Gucht::Fault ::365 ::Christos ::Values ::Ion 
Eaglestone::NP ::The ::Zhang ::Sagalowicz ::About 
Braunmller::Change ::Workstations ::Lists ::ORES ::Yu 
Ellis::Decomposing ::454 ::Shalom ::Some ::Ariel 
Presence::Larouche ::133 ::Infrastructure ::Tsong ::Yezdi 
Rakow::Potamianos ::Perry ::ARIADNE ::Tony ::Dependencies 
Hubert::Joseph ::Thuraisingham ::Laurent ::UniSQL ::Pang 
Catarci::483 ::Christophides ::388 ::Dynamic ::Monitoring 
Mukul::Theodoridou ::Natural ::Rafanelli ::Georg ::Kiyoki 
Finite::Keulen ::235 ::Lorie ::Coterie ::184 
Marian::Consistency ::Geospatial ::550 ::Dyreson ::Kornacker 
Extensible::Harandi ::442 ::Transitive ::125 ::293 
Shamkant::Akira ::Shared ::HG ::36 ::Rahimi 
Bruno::Lon ::Organization ::Gang ::Kambayashi ::Christine 
Recursive::Sequence ::Amouroux ::Carsten ::Oracle ::Perspective 
53::Graphical ::meet ::Kulkarni ::Cyclic ::564 
Shiri::Lo ::Arizona ::OLAP ::McClatchey ::Blott 
Zaharioudakis::Hendrikx ::Ward ::Hansson ::491 ::Cowley 
Fault::58 ::Gupta ::Rakesh ::Leonardo ::Ohori 
