::Rates ::Kocharekar ::Ralf ::Local 
::Their ::Agigdor ::Kasi ::Amouroux 
::5 ::Cole ::485 ::Sharon 
::Chairman ::Evaluating ::Work ::Constraints 
::Objectivity ::Karlsruhe ::Averbuch ::Kn 
::33 ::Eftring ::554 ::75 
::Merz ::Joins ::Secure ::Meta 
::Relihan ::Grained ::Kuo ::Inge 
::47 ::Wilner ::Hansson ::initPage 
::Atul ::Write ::Engine ::Himanshu 
::Rishiyur ::Dale ::Edward ::Marcus 
::131 ::Main ::Brodie ::Brin 
::Partial ::Box ::220 ::Trees 
::Department ::Andries ::Jensen ::Ariav 
::Searching ::MOSAICO ::Tobin ::Context 
::Peter ::Taylor ::Hot ::Phillip 
::Natural ::Anupam ::ITASCA ::File 
::Wiest ::Bennet ::Masses ::Hwang 
::STanford ::Component ::Revisited ::Kamalakar 
::Hallmark ::Descollonges ::209 ::Bombay 
::555 ::Therber ::Elizabeth ::OODB 
::Paper ::Dayns ::Processing ::It 
::Minyoung ::Stuart ::Widom ::Incorporating 
::Gruber ::VideoAnywhere ::Utilization ::Dewan 
::They ::Rosana ::DBSim ::Structured 
::Ozkan ::Koudas ::GOOD ::Barry 
::sets ::Prefetching ::267 ::ODE 
::Culler ::Multimedia ::Gerard ::Synthetic 
::Badrinath ::Ho ::driven ::ke 
::Ugur ::Sena ::Haenni ::Match 
::Chee ::58 ::Tutorial ::Jie 
::Actions ::UIS ::Glavitsch ::Saltor 
::S3 ::Mechanism ::and ::Applications 
::Mogi ::Ishwar ::Transient ::Koksal 
::Wei ::Box ::Ramanathan ::173 
::Usage ::Nearest ::Schuh ::Waqar 
::Distributed ::Balakrishna ::Mechanism ::Jiawei 
::Among ::Franklin ::554 ::Myers 
::Modification ::Queries ::Alon ::Bezenchek 
::Castro ::Gerard ::Techniques ::Nikos 
::Publication ::87 ::381 ::185 
::Simmen ::Wisconsin ::282 ::zgr 
::Properties ::Alexander ::Kuntz ::LORE 
::SONAR ::van ::Flynn ::Luc 
::Cardenas ::Third ::267 ::243 
::Arturo ::447 ::Efficiently ::Xiangyu 
::Janus ::Multiattribute ::Integration ::Historical 
::Impact ::Lomet ::Flat ::Mirroring 
::Celis ::Stored ::Oki ::Record 
::OOPSLA ::Fragments ::Lim ::Fong 
::den ::Consumer ::Disc ::SPARC 
::228 ::Optimized ::STRUDEL ::Networked 
::Trade ::Effectiveness ::Atsushi ::Klug 
::Fine ::91 ::Wang ::Kn 
::Dhaval ::initPage ::Dekeyser ::Kashyap 
::Wechsler ::Acharya ::DBSim ::Andrea 
::Thanisch ::Inter ::Breunig ::P 
::Generation ::Kwei ::Fowler ::Brief 
::Lewis ::Sun ::Shilpa ::Super 
::Roman ::Generalizing ::292 ::Shutdown 
::Wong ::Luc ::Domain ::Haran 
::138 ::Improved ::Stanford ::Tova 
::Engineering ::Mediator ::Kitsuregawa ::Batory 
::Khn ::Guido ::Spyros ::Treasurer 
::Umesh ::Distance ::Ambuj ::325 
::103 ::17 ::Wilson ::Clemens 
::Krishnamurthy ::Browsing ::Real ::Recursive 
::Persistence ::Roland ::Symmetric ::Century 
::Augusto ::25 ::Fox ::E 
::Garcia ::510 ::Passing ::Vrbsky 
::Solomon ::350 ::Lewis ::393 
::Anupam ::Paepcke ::Clement ::Sylvia 
::McClatchey ::66 ::568 ::Reich 
::Stable ::Scott ::Mehdi ::Indices 
::Subramanian ::Images ::Fritz ::Discs 
::Wrapper ::Karim ::Convent ::Siegel 
::Unruh ::Jussi ::Arturo ::Sparsely 
::Integrating ::GESTALT ::Cube ::Facilities 
::Final ::Moshe ::Vermeer ::Baclawski 
::OLE ::271 ::Jensen ::Elizabeth 
::Rozenshtein ::Definition ::RDBMS ::Margaret 
::Shoens ::Critique ::Tolerance ::Mitch 
::Integrated ::Zloof ::Borgida ::K 
::Century ::Han ::Abraham ::Sylvia 
::Text ::231 ::Department ::Kieling 
::Chendong ::Angelika ::Quantifier ::Karypis 
::Jorge ::Narang ::SIM ::Qian 
::tree ::Rajendran ::Negotiation ::Benson 
::Sheung ::Polymorphic ::Protocols ::359 
::Knoblock ::Christophe ::Satish ::Reconciliation 
::Delisle ::Devor ::Salton ::populated 
::using ::Linderman ::Cherniack ::Order 
::Howard ::185 ::Henk ::Xiaolei 
::Bocca ::Antonia ::James ::Montage 
::Correlations ::tolerant ::Ion ::Computer 
::Sivasankaran ::Narasimhalu ::Grossman ::Beyond 
::26 ::Partitioned ::Machlin ::Changing 
::Database ::Kuno ::Wileden ::Modules 
::Ecklund ::Extending ::MENTOR ::B 
::Multiversioning ::Huang ::Simillion ::Patel 
::Hayes ::Nathan ::Applications ::For 
::Kocharekar ::Breiteneder ::Lawande ::Klonk 
::Role ::Higher ::Andrianopoulos ::Zdonik 
::Gerard ::Breunig ::Anupam ::Selfridge 
::Lakshmanan ::Tova ::Porter ::Christian 
::Compensation ::Rewrite ::Role ::Esther 
::X ::Kfer ::Image ::Activities 
::Louiqa ::8 ::Hoppenbrouwers ::Useful 
::164 ::Shenoy ::Deshpande ::Graefe 
::There ::27 ::Assisted ::Lawrence 
::Explanation ::525 ::Jaime ::McCure 
::or ::Mosfeq ::Jenny ::Production 
::Rowe ::Linkage ::Gives ::Piatko 
::94 ::Observable ::552 ::Piero 
::Bussche ::Into ::204 ::Term 
::van ::Back ::Ullman ::Creation 
::235 ::Java ::Koperski ::Write 
::Bruce ::Interaction ::Characteristics ::Workloads 
::Industrial ::Inderpal ::Cheap ::465 
::Schlageter ::Informal ::S3 ::Yih 
::Non ::Establishing ::Interoperability ::Dhaval 
::348 ::Domain ::Ubell ::Queens 
::308 ::Content ::Server ::Neighbor 
::Swami ::71 ::Thompson ::Costa 
::Koschel ::Rakow ::Assurance ::Erbe 
::60 ::Abiteboul ::447 ::Stonebraker 
::Ksiezyk ::Cherniack ::Cook ::Soumitra 
::Fugini ::Current ::Sycara ::77 
::Wedekind ::Cliff ::Rengarajan ::Betty 
::Houtsma ::442 ::Hppler ::Tufte 
::X3 ::Er ::171 ::Ins 
::Abstraction ::Naughton ::Observing ::Visualizing 
::Cubes ::Vaskevitch ::Revisited ::issue 
::Navathe ::165 ::Aidong ::Dayns 
::Predictive ::Between ::Arya ::Katayama 
::Ooi ::Multidatabases ::Knig ::Starburst 
::Indexing ::Rolker ::Xiaolei ::EFDBS 
::SPARC ::66 ::Dan ::Sandra 
::ODE ::Au ::Geographic ::Rulebase 
::Time ::Fagin ::XPRS ::Correlations 
::191 ::491 ::52 ::166 
::Sagalowicz ::Illustra ::Space ::Farias 
::Jumping ::Kennedy ::Modification ::Freeman 
::Path ::Manolis ::Chris ::Qaimari 
::Juergen ::Wilms ::DDT ::Materialized 
::Metadata ::Shalom ::Dangers ::Furtado 
::Main ::Norman ::Henk ::Z 
::Duschka ::Versioning ::Porter ::Jian 
::Forth ::Ad ::Stole ::Year 
::SG ::246 ::Interoperability ::Sparsely 
::Fabret ::Won ::Nguyen ::145 
::Method ::Tian ::Integrity ::Skew 
::Phillip ::Deshpande ::title ::Sort 
::Modelling ::T ::522 ::Constructing 
::Bennet ::Beliefs ::Annie ::Quantitative 
::Alphanumeric ::Pixel ::Anupam ::Tsatalos 
::Databases ::Neuhold ::Staggered ::Laura 
::Vardi ::Scott ::Philippe ::Phillip 
::Per ::Helal ::Muntz ::Skowronek 
::Hillebrand ::Dangers ::Merialdo ::Jerrold 
::441 ::Turau ::Buff ::310 
::Answering ::Wave ::30 ::16 
::be ::541 ::Goldner ::Sure 
::Bifocal ::Final ::Abdullah ::326 
::International ::Gadia ::Walters ::Zeleznikow 
::298 ::offs ::T ::Reminiscences 
::Kerschberg ::414 ::Preliminary ::Mishra 
::Baeza ::Constraint ::Kabiria ::571 
::Jordan ::Scientific ::24 ::UNIX 
::NET ::Yves ::Delobel ::Nodine 
::Modules ::Toolkit ::HyperStorM ::39 
::Ravishankar ::OODBMS ::Generation ::State 
::Marron ::Angelika ::Qiming ::Christmas 
::Development ::Enhancing ::Jenkins ::K 
::Highly ::Records ::Paula ::35 
::order ::Neuhold ::Stavros ::Berndtsson 
::Enterprise ::Schneider ::Markos ::Wayne 
::85 ::Mauricio ::Designing ::Checking 
::Cliff ::Sengupta ::Manager ::Baskets 
::Automation ::Amr ::Katayama ::Tables 
::Goodman ::Minyoung ::Sharma ::Fraternali 
::Overmyer ::Lougenia ::Their ::Riekert 
::TSIMMIS ::Brinkhoff ::Approach ::Ait 
::Stoltzfus ::Commit ::Optimizer ::BIRCH 
::Ravi ::Roark ::Cherniack ::Queensland 
::Association ::BIRCH ::Definition ::Content 
::Good ::Lists ::81 ::Rajendran 
::NASA ::Willis ::Hongjun ::Keng 
::173 ::One ::Environmental ::Sharing 
::Jan ::Grosky ::350 ::Omran 
::Haradhvala ::level ::Transfers ::Pirahesh 
::von ::Technology ::Andrzej ::Kamalakar 
::Visual ::Letter ::SR ::White 
::DARPA ::Ghosh ::Fukuda ::Polyzois 
::Tuning ::86 ::Rapidly ::Dengi 
::531 ::Evolving ::Ibrahim ::Rashid 
::Neighbor ::Bonnet ::285 ::507 
::3D ::Don ::Step ::Scientist 
::Sanjay ::Woolf ::Gardels ::406 
::170 ::Ebru ::Revisiting ::Information 
::183 ::Predicate ::Trueblood ::Challenge 
::Agents ::Joachim ::Gehani ::Scale 
::221 ::Vipul ::Pons ::Workloads 
::Incomplete ::Gebhardt ::Functional ::Relaxed 
::Luis ::Alfonso ::Sullivan ::Seligman 
::Alberto ::509 ::Distance ::133 
::Codd ::Vincent ::Model ::Keith 
::Gang ::Heap ::Into ::Access 
::EDUCE ::Observing ::CICS ::295 
::V ::O ::Achyutuni ::Extraction 
::Experiments ::ACM ::Seligman ::Krishnan 
::Winslett ::Declustering ::Ozcan ::Andrea 
::Algebras ::Schemes ::Svetlozar ::ARIES 
::Marc ::Utilization ::Bauzer ::Adelberg 
::Timos ::Bifocal ::Margaret ::Yun 
::113 ::Joosten ::Bruce ::Wilson 
::Woodruff ::Much ::88 ::Werner 
::Moffat ::MINOS ::Issues ::Jian 
::Wilburt ::Kotidis ::Illustra ::IMPRESS 
::Programming ::Perry ::Craig ::Silverstein 
::Distributed ::He ::Ibrahim ::Pattern 
::Sethi ::Sequences ::Scale ::Materialized 
::Domains ::Christophe ::Murphy ::Dyson 
::Gunter ::Vertical ::DataBlade ::Tarantino 
::Quiescing ::Discs ::Mackay ::Ebru 
::Karthikeyan ::There ::177 ::Souder 
::Shneiderman ::Kiran ::Ralf ::Fraternali 
::Replicated ::known ::Maxine ::Static 
::Trading ::458 ::30 ::Patterson 
::379 ::Biswadeep ::Function ::Bob 
::Metric ::Khn ::Klusch ::Task 
::Jayant ::Hector ::Rahimi ::Template 
::Bibliography ::Houtsma ::Ee ::Sibel 
::Boon ::Workstations ::is ::Compensation 
::in ::Kocharekar ::Illustra ::ORES 
::Basket ::Pages ::Loading ::Concurrency 
::re ::Sidell ::Piatko ::Roark 
::as ::Loeffen ::Toby ::Richard 
::Patricia ::Aris ::Programming ::Gibbs 
::Jun ::115 ::Asgarian ::Jeusfeld 
::Papakonstantinou ::236 ::7 ::Sheldon 
::31 ::559 ::attribute ::Biskup 
::Ariel ::Jeffers ::Sophie ::Breunig 
::232 ::250 ::Siegel ::Birgitta 
::Participants ::Vermeer ::85 ::Karl 
::NSF ::Waramahaputi ::Implementation ::Vipin 
::187 ::Mult ::Wentland ::Lipeck 
::Machines ::tolerant ::Boon ::Extension 
::357 ::Stochastic ::Ko ::Ellman 
::Guidance ::Flaws ::Kerry ::Carsten 
::Mick ::Margulies ::Blott ::Peithner 
::Natural ::Evaluate ::246 ::416 
::266 ::Gottfried ::507 ::Kristin 
::Reorganization ::Constraints ::Alexander ::23 
::Ecklund ::Day ::Datasets ::Yurek 
::Souza ::Christodoulakis ::Eisenberg ::Classroom 
::Guest ::Generalized ::505 ::101 
::Pratap ::Schrader ::Elizabeth ::Sakti 
::Curt ::247 ::User ::Gerhard 
::418 ::CSA ::Dietrich ::Seth 
::Huang ::Red ::Trading ::Gogolla 
::Interactive ::Christoph ::Myers ::MYRIAD 
::Fritz ::Convent ::Hartmut ::Multidimensional 
::Wolfgang ::Critique ::Andler ::Editorial 
::Wen ::Piero ::Yossi ::575 
::Brian ::Link ::Enhancement ::Sang 
::Klug ::Yihong ::Bra ::Singh 
::Index ::Qureshi ::Alessandro ::Min 
::Stoltzfus ::78 ::Nematollaah ::Willard 
::Muth ::Shan ::Annotated ::Vincini 
::Yixiu ::Ward ::Thyssens ::293 
::Praveen ::Pissinou ::Torlone ::Thanasis 
::Kao ::Mostly ::Wisconsin ::Mlle 
::Jenkins ::Christoph ::To ::568 
::Pramanik ::Griffin ::255 ::Functional 
::Ramamritham ::Balakrishna ::Abel ::Jian 
::International ::Approach ::147 ::Enforcing 
::Mike ::Nan ::Better ::McAuliffe 
::Summary ::28 ::Relly ::Relaxed 
::Peter ::Bamford ::Model ::Ramirez 
::Shared ::Cherniack ::Restrictions ::Dao 
::Llirbat ::About ::Tool ::Gingras 
::SQL3 ::Expensive ::507 ::Seth 
::Stamos ::306 ::Kocharekar ::Koschel 
::252 ::ODBMS ::Hashing ::Jonas 
::SONAR ::Dale ::Golshani ::Carey 
::Use ::Levine ::Smith ::Generation 
::Mohamed ::Conceptual ::Networks ::Belinda 
::Badia ::Building ::Restrictions ::Disco 
::Tsatalos ::Jutta ::Brin ::147 
::Ju ::Rudolf ::Thierry ::Surajit 
::Waheed ::Enforce ::503 ::Space 
::Predictive ::Paepcke ::160 ::Girish 
::Kennedy ::yiu ::Cole ::Su 
::Lueder ::Environment ::Kurt ::Distance 
::Street ::Kocharekar ::Burger ::Amherst 
::Swami ::Spatial ::Effelsberg ::Standards 
::Presence ::Boon ::Yoshinori ::276 
::Neil ::Hampapur ::Tradeoffs ::Kamel 
::Scientific ::Postgres ::301 ::113 
::Tai ::Navin ::301 ::Data 
::Kashyap ::Clements ::Qiming ::Howard 
::r ::Concepts ::Roman ::DB2 
::Warehouses ::Knowledgeable ::Key ::Maintaining 
::Davood ::Message ::Postgres ::Thatte 
::Himanshu ::Agents ::Role ::Gebhardt 
::J ::Adding ::98 ::Warehousing 
::Survey ::Erhard ::Wilcox ::Histograms 
::Qian ::automatic ::Continuous ::Andries 
::Workstations ::Jochen ::Displays ::Elizabeth 
::Attribute ::Sergey ::by ::Curry 
::Chaudhuri ::Edward ::or ::Detection 
::Level ::Extendible ::Classroom ::Nichols 
::Sarda ::Features ::442 ::Barbar 
::Confluence ::Duri ::Katia ::Gelernter 
::Benjamin ::Valery ::Doherty ::Bill 
::Fynn ::Multiple ::Date ::Summaries 
::576 ::Kfer ::Tannen ::Sheldon 
::159 ::Pat ::Stefanovic ::232 
::DBMSs ::Secondary ::Series ::Patel 
::AI ::Cruz ::192 ::337 
::Ulm ::Jiawei ::Santucci ::Mrcio 
::Taosong ::Infering ::Avoid ::Parallel 
::Mitschang ::Pages ::35 ::9 
::Kotidis ::Updates ::Position ::Combining 
::Gary ::Sockut ::Jeffers ::Wrttemberg 
::454 ::Geospatial ::Devor ::Cost 
::Warehousing ::Ulrike ::285 ::Do 
::Nguyen ::Ra ::into ::Going 
::Chris ::Reconstructed ::Frederick ::Adali 
::Design ::Tryfona ::Jun ::Moffat 
::Stemple ::Budget ::Ravi ::Machiavelli 
::23 ::Edwin ::Omiecinski ::Fatma 
::Henk ::Karadimitriou ::Programming ::MultiView 
::Klug ::Gilles ::Art ::Labio 
::Liam ::Zarka ::Estimating ::549 
::Kamalakar ::Decompositions ::270 ::Reasoning 
::Network ::Penalty ::Adaptive ::Beyer 
::Piyush ::Array ::Making ::wish 
::Lawande ::Mendelzon ::Value ::C 
::187 ::Proposal ::Block ::Teorey 
::Jaewoo ::Clemens ::515 ::Rates 
::Bertram ::Hashing ::Record ::Engineering 
::Georges ::Strengthen ::Han ::Assigning 
::Merz ::Stankovic ::Glossary ::273 
::Lifestreams ::Llirbat ::Subramanian ::Anonymous 
::393 ::Optimizers ::Yahiko ::Allen 
::Pratap ::Eisenberg ::Shekar ::Delisle 
::Nutt ::Rolker ::the ::305 
::247 ::Konstantinos ::Bharat ::Morin 
::Georg ::Elliot ::Muth ::Libraries 
::Kazuhiko ::Function ::Mackert ::Consistent 
::Alternative ::WORM ::Bill ::C 
::265 ::Scacchi ::Paula ::Ko 
::525 ::Partitioning ::Ashish ::133 
::Distributing ::Okay ::Budet ::of 
::Nothing ::Rebuilds ::Bhm ::Mancuhan 
::Maxine ::Forte ::220 ::515 
::Action ::Ellman ::Jessie ::Maintenance 
::48 ::Organization ::Sumit ::Transactions 
::Hansson ::Cook ::Vervaet ::Kooi 
::Already ::Sequences ::Commercial ::Nandlal 
::Workbench ::Inverted ::Loeffen ::Buffering 
::Boral ::Hongjun ::Nandit ::Elisa 
::Lomet ::Er ::Announcements ::311 
::Scacchi ::112 ::Daniels ::NonStop 
::Peter ::SIM ::Alexandros ::61 
::Writes ::Sorting ::524 ::130 
::Marian ::automatic ::MINOS ::541 
::Riccardo ::Process ::Guest ::Warehousing 
::Christopher ::Bernard ::Winfried ::Interface 
::Viviane ::71 ::Pozzi ::Niki 
::Ooi ::Raschid ::313 ::Multiprocessor 
::Updates ::Inheritance ::Lefler ::Ramasamy 
::Experiencing ::automatic ::yiu ::Fry 
::Gonzalo ::Jain ::site ::Alan 
::Masses ::Multi ::Arne ::Ranganathan 
::Kupsch ::Mapped ::Jutta ::Frdric 
::Angelika ::Mick ::of ::478 
::It ::is ::Prospector ::Link 
::NonStop ::Server ::Volker ::DEVise 
::Other ::Retrieval ::Characteristics ::Visualizations 
::Hillyer ::Muth ::Souder ::Assessment 
::Donjerkovic ::154 ::Johnson ::72 
::Garofalakis ::Melvin ::Knowledgeable ::Frameworks 
::MYRIAD ::Reconciliation ::Cai ::Michele 
::Kulkarni ::Display ::Date ::Environmental 
::Sophie ::Paul ::Enough ::Wilcox 
::481 ::Scacchi ::Scientist ::Decomposing 
::Materialization ::Gelder ::272 ::Pixel 
::Morimoto ::Moerkotte ::Rengarajan ::Pages 
::Sensed ::Amihai ::Betty ::Super 
::NSF ::Sullivan ::Dataflow ::83 
::Mishra ::89 ::Testbed ::through 
::Association ::Allen ::Ramakrishnan ::Wade 
::Toiati ::Fugini ::Jain ::Wall 
::Roy ::Rulebase ::Ado ::Detection 
::Walch ::et ::34 ::USL 
::Path ::DART ::Mediratta ::Miguel 
::DIRECT ::Theodoridou ::Free ::Breunig 
::Applicable ::Tool ::non ::Alperin 
::Imielinski ::Limsoon ::Klusch ::Adelberg 
::3D ::501 ::Meyer ::Partial 
::Merialdo ::Sequence ::Sushil ::DB2 
::CICS ::Melmom ::542 ::108 
::5 ::Hayes ::Kornacker ::Seshadri 
::Lynn ::Advances ::Bra ::Gal 
::Marina ::Rajeev ::Support ::Dan 
::Sharma ::Thierry ::Datalog ::Architecture 
::DOODLE ::Seligman ::Nandit ::Jumping 
::Flix ::Everthing ::434 ::Role 
::DDTS ::Yeung ::HG ::Sorting 
::Alan ::Mlle ::Log ::Hughes 
::511 ::Edgar ::Providing ::Garlic 
::306 ::automatic ::Tschernko ::NTHU 
::Useful ::Parallel ::Henk ::Edgar 
::DDT ::Z ::Ries ::Century 
::Scalability ::Nikos ::Alon ::Shectman 
::Jeff ::Albert ::Kamel ::Vaskevitch 
::Pratap ::Klauser ::ITASCA ::Lore 
::Optimizers ::Beverly ::Jajodia ::Zaane 
::Enhanced ::Lehman ::Critical ::Deadlock 
::OR ::Written ::172 ::Papers 
::Engineering ::Taneja ::Up ::McIver 
::Durusoy ::Myllymaki ::Unifying ::Good 
::Arrays ::Compensation ::Botnich ::Golshani 
::519 ::Flokstra ::Chief ::Jessie 
::Shalom ::Joseph ::Swarup ::Scholl 
::Son ::data ::von ::Alon 
::Problems ::Numeric ::Hector ::Disambiguation 
::Gelernter ::Freytag ::206 ::Case 
::Graham ::Kenn ::13 ::Symmetric 
::Ellman ::Furtado ::Dong ::Piyush 
::Ioannidis ::Beverly ::Technology ::volume 
::Rafael ::Kristin ::van ::Religious 
::Linda ::Version ::4th ::Multidatabase 
::DART ::Bennet ::Cruz ::Melmom 
::149 ::Support ::Narayanan ::Nori 
::Standards ::Scans ::Mattos ::Nikhil 
::Troyer ::Sudarshan ::Progress ::Evaluate 
::Merrett ::Bohrer ::29 ::Internet 
::Hierarchy ::Colin ::Towsley ::OnLine 
::relational ::Gerard ::341 ::Bezenchek 
::Oded ::Negotiation ::139 ::403 
::134 ::Kilic ::Dean ::Gang 
::Site ::71 ::GEM ::Burger 
::Norio ::Goyal ::Shiri ::Dynamic 
::Biskup ::Parity ::Industry ::BUSINESS 
::Chinya ::Enhanced ::Duschka ::Enhancement 
::Alan ::Scientific ::Santucci ::Buchmann 
::Rmy ::Daz ::Wimmers ::Carey 
::Computing ::Sang ::Valery ::Modelling 
::Disjunctive ::Research ::Enhancement ::ETH 
::Mitch ::Prolog ::Mariano ::Metadata 
::Ulrike ::Denotational ::Molina ::Huffman 
::Partial ::Consistent ::San ::Disambiguation 
::Amateur ::Flat ::Marc ::Chou 
::Barclay ::Barnes ::McCarthy ::Johnson 
::280 ::Hsiao ::Abel ::Wong 
::Mediator ::automatic ::Interfacing ::Gravano 
::Digital ::MDM ::Picture ::Karen 
::Jun ::Relations ::481 ::Lohman 
::182 ::Trobe ::Dense ::Shashi 
::Referential ::Qualitative ::Queensland ::Tansel 
::Dynamic ::Keishi ::118 ::Workstations 
::111 ::SBBD ::Terranova ::Bressan 
::405 ::Ries ::Shahram ::Day 
::ANSI ::Upon ::Effective ::Dennis 
::GlOSS ::Faloutsos ::Gregory ::204 
::Dataflow ::Manipulating ::Divesh ::Margulies 
::Gadia ::Good ::SBBD ::516 
::520 ::Abdel ::DIPS ::Specification 
::article ::Petterson ::Betty ::Where 
::Natural ::Logical ::Inegration ::Widom 
::Partition ::Sharma ::Architectures ::Wave 
::Bruno ::Tjoa ::Easy ::Gnther 
::Activities ::Nikolai ::132 ::Values 
::Taneja ::Mobile ::Year ::Hyuk 
::Computers ::45 ::Jeff ::Pattern 
::Philip ::Buneman ::204 ::Shoens 
::Denotational ::Navin ::Personal ::Zaane 
::Cvetanovic ::Nan ::486 ::Yoshikawa 
::Rowland ::129 ::39 ::und 
::endPage ::Bargmeyer ::Arpaci ::Carl 
::Kolodner ::175 ::Korth ::Constraints 
::Bruns ::Hanan ::174 ::Reedy 
::Context ::Type ::title ::Venky 
::Hppler ::Icons ::Ganesh ::Flexible 
::121 ::158 ::462 ::driven 
::Manifesto ::Grasnickel ::175 ::Susan 
::Perspective ::Adali ::trees ::Hierarchically 
::Creation ::HyperStorM ::Kiran ::Koksal 
::17 ::Dieter ::Fynn ::397 
::RDBMS ::Acharya ::Chan ::Effect 
::Production ::Resistant ::Kohler ::Pedagogic 
::Laks ::Query ::Banu ::489 
::Cevdet ::Choo ::258 ::Wall 
::Transient ::Objects ::Nabil ::Studies 
::Paolo ::Hall ::We ::Barbar 
::221 ::HyperStorM ::Answers ::Shian 
::Traversal ::330 ::Mrcio ::Enhanced 
::Rahimi ::Selfridge ::Keishi ::Monash 
::462 ::Christodoulakis ::Barbara ::Multiversion 
::Ray ::Presence ::Kambayashi ::Deshpande 
::Synthetic ::Carey ::Jenkins ::Marianne 
::Jack ::Paper ::Secure ::Darwen 
::Shing ::Durusoy ::Rudolf ::Cox 
::Bhm ::Bauyer ::Hou ::55 
::Jessie ::Objectives ::Cory ::Machine 
::Integration ::66 ::ARTDB ::Accociation 
::Raschid ::Vassalos ::Jerrold ::Ahlberg 
::Giuseppe ::Truszkowski ::148 ::378 
::With ::Top ::Spotfire ::Publication 
::Shivakumar ::End ::Boral ::Nimrod 
::Raju ::Ins ::Benchmarks ::Jones 
::Seligman ::Errors ::Qian ::Goetz 
::310 ::contra ::OGDI ::Investigation 
::Lashkari ::Active ::Vassilis ::Compatible 
::36 ::Lim ::Miranda ::Radek 
::Tan ::Bezenchek ::McCarthy ::Cheng 
::Gucht ::SEQUOIA ::Administering ::Term 
::March ::Nural ::Segev ::Amateur 
::Stefanovic ::Nolan ::Samet ::Advanced 
::Designing ::81 ::Tang ::Hearst 
::Laguna ::Colette ::Optimized ::Balakrishna 
::Josef ::Lueder ::435 ::De 
::Bolour ::Divyakant ::33 ::Beach 
::567 ::Oliver ::144 ::74 
::Sybase ::Agigdor ::370 ::Geospatial 
::Can ::Huffman ::Warehouse ::Kent 
::Quantitative ::Status ::Surajit ::Establishing 
::Asit ::Krll ::High ::Joosten 
::Multiattribute ::Deleting ::393 ::Art 
::Cache ::Computations ::542 ::539 
::DataBlade ::528 ::Do ::Jerry 
::Vrbsky ::Chaudhuri ::Frdric ::Generalizing 
::Jiawei ::Heterogeneous ::2001 ::128 
::Join ::219 ::Salton ::Tables 
::Jeff ::Desai ::Keun ::Breiteneder 
::239 ::105 ::Au ::Eben 
::B+trees ::Keller ::Wileden ::Brigitte 
::Java ::ORES ::366 ::Gemis 
::Remzi ::317 ::al ::DeWitt 
::Cory ::Incomplete ::228 ::Thor 
::259 ::55 ::SENTINEL ::Unix 
::Benchmark ::308 ::307 ::Semantic 
::NASA ::Properties ::545 ::ACM 
::Garnett ::Krishnan ::Winslett ::Air 
::Unified ::Space ::Exploiting ::Mukul 
::Up ::Ahead ::Disjunctive ::Environment 
::Hayes ::Denotational ::Alphanumeric ::Lim 
::Bertram ::zsoyoglu ::Datenbases ::Hendrikx 
::Nural ::Environmental ::Sharma ::Some 
::567 ::Enhancing ::483 ::Institute 
::Johannes ::466 ::Jr ::Correctness 
::451 ::De ::Kaplan ::Lore 
::Meckler ::Wentland ::Meral ::Khn 
::Marti ::Dar ::Ralf ::Algebra 
::Piatko ::Quantifier ::Darling ::Jay 
::Goh ::Gemis ::Justin ::Gary 
::194 ::the ::Qureshi ::129 
::Pernici ::Kowarschick ::OLAP ::Called 
::Baader ::Disco ::Coterie ::Already 
::Arnold ::Value ::Stephanie ::Metadata 
::Shneiderman ::Fraternali ::State ::Mariposa 
::Er ::59 ::Masaru ::Rabinovich 
::Johnson ::Golshani ::Smith ::Trusted 
::Massachusetts ::Piatetsky ::Meaningful ::Luc 
::Woolf ::101 ::Darling ::Right 
::Lamersdorf ::Changing ::Chakravarthy ::Engine 
::Nearest ::Davison ::SMP ::Spaces 
::Mogi ::II ::Delisle ::Salvatore 
::75 ::1990 ::Rowland ::Laver 
::CITRI ::Finite ::Dyson ::240 
::255 ::Presentation ::Representation ::Ho 
::Gelder ::Observable ::Hashing ::281 
::Riekert ::AMS ::NASA ::Elizabeth 
::440 ::Oki ::Gives ::Lukas 
::Morimoto ::271 ::275 ::173 
::238 ::Rabinovich ::through ::Better 
::Historical ::518 ::Toward ::Jeffers 
::Testing ::34 ::To ::Guido 
::Web ::Transformation ::Schemas ::Clark 
::Classroom ::Grained ::Effectiveness ::AlphaSort 
::MLS ::Nancy ::81 ::Sakti 
::Media ::Grossman ::Predicate ::Libkin 
::Acharya ::Two ::Tova ::Pires 
::Similarity ::Annotated ::Neighbor ::Mechanisms 
::Schek ::Penalty ::Correctness ::State 
::Arpaci ::Pistor ::Icons ::318 
::560 ::dimensional ::3D ::Application 
::Piyush ::Retrieval ::Jason ::Wilcox 
::Why ::Marron ::Miranda ::297 
::Sidell ::Botnich ::memory ::Narayanan 
::Gupta ::Dieter ::Expressive ::Displays 
::Neil ::Association ::Batory ::Haber 
::Crash ::Yeung ::Lazowska ::Bing 
::Rajaraman ::Data ::Zaane ::Jnsson 
::Bulk ::Chomicki ::Iakovos ::User 
::Cevdet ::Bargmeyer ::Ulla ::Marian 
::ASSET ::Zwilling ::Oded ::Taneja 
::Marco ::Charles ::Multidatabases ::Sensed 
::Massively ::Bonnet ::Presence ::Anil 
::van ::Fine ::Christos ::ANSI 
