Qiong::4497416 22851124::YiuJHL08 4497482::Correction ::TALE ::Jianping 
Dumas::914861 Sundaresan::Grust Reorganization::Phan ::Ryan ::83 
ChanFLNR82::BoberC92 Franoise::Blocking Ayad::Xiaochun ::Networks ::Unifying 
Hadjieleftheriou::15310555abs Sadhukhan::ChenCRM06 22850742abs::1459 ::KhaYU01 ::Minos 
Brent::Samaras Evdokimov::Yibei Byron::Brakatsoulas ::15310129abs ::Ihab 
Michle::Huiming For::732 AbiteboulHV95::WachterR92 ::Jeffrey ::Anonymization 
Xiaoming::Quan 22850131abs::Seluk EsterKX95::Suel ::Secure ::Scalability 
Land::Long 22850261abs::LeeCLNS94 1405::HadjieleftheriouCKS08 ::Oracle ::Traffic 
ZouC08::513 605::Fixed Ramakrishnan::Convertible ::KhoussainovaBS08 ::Shivnath 
Lieuwen98::AlomariCFR08 Osmar::Qiming Freire::Catlin ::Polyviou ::Miller95 
ChenC08::subrahmanianJ96 Kotagiri::914838 3::Tsukamoto ::Hanson87 ::Visual 
Colby::Klemens ZhangRL96::Searches Bonnet::Production ::JigyasuBBCDMT06 ::Dam97 
Fjording::icml Rimma::JermaineO02 PanZW08::Tyrone ::119 ::pldi 
WangM05::Lavelle Kramnik::Fekete Parking::Usage ::Imprecise ::Sherkat 
P294::794 22850372abs::Ting BunemanCFHMV05::Sougata ::Modeling ::10010131abs 
Philipp::mg 1218::Ku Position::Yidong ::Chen05 ::GounarisYSD08 
Xiaodan::Hidden efficient::774 Server::FranklinC92 ::Never ::Browsing 
Suleiman::Ailamaki05 BarbaraI94::Wiederhold93 Hung::Triage ::Enumeration ::Authorization 
Hull::415 741::KitsuregawaTM83 Kashyap::Erhard ::Microarray ::AbererH02 
1091::Flow Eunus::Region KiferKS92::Liu98 ::Binnig ::ZhangPW08 
22851144::4497619 Denise::Subscribe 96::Iceberg ::Hsu95 ::AutoGlobe 
Quantitative::Authentication Updating::YangW01 Esther::Clark ::X06a ::Preservation 
Nectaria::Wan GardarinST96::Teixeira 22850186abs::Tara ::AgarwalADGNRS96 ::Etzard 
Dense::28 Aggarwal02a::AslandoganTYLN95 LegariaGGHSWYZZ08::Integrity ::1199 ::DIPBench 
466::ZhaoIG08 D::LeeLL06 Bry::Yufei ::Jenkin ::Gruenwald 
Loading::Junmei PapakonstantinouAG96::22851149 KriegelHS91::Michail ::Authorization ::Na 
Fabio::Dehne ATM::Varied Keulen::Thiagarajan ::Imprecision ::22850804abs 
22850131abs::Toman96 SavasereON95::548 Vassalos::Shuai ::1415 ::LiuR05 
Kotidis::Prasad MansuriS06::Updating Personalized::1441 ::901 ::ChenOO08 
Designing::SchekPSW90 AgrawalBGKLR05::BulutS05 Sales::Primitive ::DesslochHWRZ08 ::GawlickK85 
icde2005::15310263 135::AbiteboulCCMMS97 OntoWebber::Mondrian ::Nicola ::YiuMK08 
Luca::Liedes BeckmannHKN06::IshikawaKOYKK98 Magdalena::BentleyF79 ::Redo ::Braumandl 
Exploration::Govindarajan BrantnerKMH06::Mondrian Fernandes::715 ::627 ::ChenHS02 
Jennie::Souripriya Megalooikonomou::Items Charu::books ::4497587 ::LowTLL02 
914858::Cloaked Paraskevas::1459 Changing::PageChaser ::Feher ::Glimcher 
Thatte::Baile Joins::Earl CandanPS96::BergD95 ::LaiTB05 ::ChakravarthyL98 
Geometric::Clemens support::DragutWSYM06 YiN05::HOLAP ::Ka ::via 
BorgBG83::Gunther93 1134::1575 Sevcik::DelcambreMBDWGALL01 ::Hee ::Yao 
Chrysanthis::COUNT Proactive::Neoklis 655::15310261 ::Limited ::Hua 
NguGBCDB02::XParent P004::Generalization Antony::SismanisR05 ::Krishnapuram ::Halverson 
Riedewald::AgrawalH05 Videos::247 Mobile::Kutsch ::Avoiding ::4497599 
Preda::Vijay SlidingWindow::Dirty Virtualization::1384 ::SellisRF87 ::TaoXLZ08 
Closest::GhaffarA97 Industry::1012 GruberKP01::1124 ::PopivanovM02 ::CarterBZ91 
Zeeshan::Miron Fernndez::4497422 ChawatheRGW96::Arie ::HinterbergerMG94 ::Liedes 
Partnership::Simoudis98 1382::ChenJKKMNS01 PopivanovM02::992 ::Tanveer ::Georgiadis 
Virtual::Asynchronous SilberschatzSU91::22851024abs BohmPS06::bncod ::F ::Notification 
doi::Cappellari 914854::Kollios Handling::ZhangLKW06 ::LiedesW06 ::Fuxman 
405::CASTLE LeuteneggerEL97::511 Tu::GreifSW86 ::Intra ::Stefanakis 
Tsuyoshi::4497508 1527::Ippokratis MD::Krishnapuram ::HutfleszSW88 ::1139 
Stockinger::Soo91 Qiang::Two 1325::Chee ::Descour ::Buneman 
580::Deletes Aravind::isca 580::4497600 ::Pirahesh ::Klaus 
Stonebraker96::CaliM08 Roger::1473 Expressions::Jiangchuan ::KistlerS91 ::489 
Reorganization::Hnle 4497567::714 CastellanosCSD05::563 ::mta ::912 
Tan::53 328::BentleyM80 MohanPL92::Freiwald ::Hsu93 ::AthitsosPPK08 
453::meets Summarizing::etintemel 914809::Semi ::HornickZ87 ::Replacement 
Maarten::P180 15310494::15310225abs Collections::Supply ::Serialization ::Nehme 
MAFIA::Alkis Fingertips::Omran Ashish::Kossmann ::LiLL08 ::FudosPP02 
KanoulasDXZ06::Lu Heerde::Mong IshikawaKOYKK98::Hammer ::Alomari ::Strategies 
Shah::Economically Native::Xiaohui Rajasekar::518 ::Analyzing ::Rajeev 
4497516::Signal Counts::Spyros Function::Salt ::BargaP95 ::4497414 
Box::StreamingWindow Rights::Gunther93 RaoM06::22850357 ::Marlon ::X08 
SherkatR06::Takahiro 676::Imai 4497408::Jianjun ::ChenDN02 ::Profiles 
4497440::4497530 ChangSZS97::Sikka BlaumBBM94::Novak ::Apers ::Milena 
Petko::BernsteinHG87 dx::913 387::eBusiness ::Shekita ::Chung 
BilirisO93::ICDE 655::216 15310323::Subscribe ::Mema ::Maged 
P514::ChenJOT08 Jianlong::ReSF06 BhalotiaHNCS02::FaloutsosBFHNPE94 ::22851122abs ::Traceability 
MohanHLPS92::PeiHL01 Customer::914842 Akiyoshi::Mao ::1494 ::Molina02 
Fjording::651 SherkatR06::acm 4497558::CabibboPT06 ::Jaber ::Pandis 
1370::Tony Carla::JinGJA06 369::Vries ::Deductive ::Applications 
a::Compliance 15310283::RohmBS01 Bicer::Balakrishna ::Mehrotra ::Koudas 
J::Ganesan 22850162abs::tcs Vries::48 ::Stephen ::Periklis 
Workflows::Deb Aware::Abstract Marts::914853 ::Le ::Selections 
WangXLW08::4497549 jcss::LiSDKG01 AHYDS::FlajoletGPR93 ::Compact ::Mahadevan 
Heinlein01::Mamoulis Carl::HouleS05 Willem::Towards ::Soo ::Now 
Lizhu::1595 Sellis::Yiheng DarFJST96::Rosaci ::329 ::Hidden 
Ladin::588 Nie::269 GalAX02::Recycling ::Replicated ::BeeriR87 
Jonas::Aoki98 Miller::Resolution Joan::4497421 ::1324 ::Chaplin 
4497540::How 914836::Garofalakis Feida::4497516 ::1228 ::journals 
120::Gyu Chaudhary::P522 Mingzhe::Alessandro ::Symbolic ::Knuth73a 
ChenDZ05::4497493 End::Weihl87 Preservation::Ahmed ::P104 ::144 
GoyalHKMS96::584 816::Tasks 15310191abs::Mitchell ::Juchang ::Bill 
Curt::ChenRDEGS06 Anton::Bases Dohnal::804 ::581 ::YiuM06 
10010131abs::943 Maps::KonopnickiS95 McKenna::Hieu ::Kihong ::TAR 
PapakonstantinouGU96::914828 Hubert::1568 Partition::1372 ::22850958abs ::ShriraX05 
106::22850446abs 43::Processor BittonMT89::1564 ::Muse ::Vaithyanathan 
Kulik::Willem Wilschut::566 Definitions::Kai ::ZhangLRB08 ::39 
4497502::Xu 15310064abs::Snodgrass Rosenthal::Zuzarte ::Weifeng ::DaudjeeS06 
jodl::Transfer Clients::Siberski LeeE01::PeiroASW98 ::536 ::Sang 
495::X05p Lyman::XSEED Harumoto::SalzbergT96 ::Fuzzy ::PeiHPCDH01 
Topol::JiangMCS08 Charuta::BernsteinN96 Hang::Ferlez ::IshikawaK93 ::Zaniolo 
Songyun::Yuanyuan 15310274::1370 Simmen::1099 ::Nearest ::4497413 
1190::French KashyapRRS08::Jiawei Harizopoulos::Sardar ::Kasneci ::under 
ChenOO08::Keulen AgrawalS95::Gruenwald 4497586::ChenR05 ::22850767abs ::AgrawalS96 
22850388abs::P503 4497465::Smriti Yunjun::Amol ::Castellanos ::446 
187::827 NakamuraE02::Haixun 914852::csur ::LynchS88 ::1385 
Ramanath::Bosworth 4497416::Coherency 22850828abs::DBMSs ::4497536 ::Intelligent 
Vasileios::Raghav Improve::HuaYL06 Similar::Modern ::Protection ::Flow 
Oracle::Kedar State::Zaki Gubanov::Commerce ::Arocena ::Mong 
subrahmanianJ96::ProcessingWindow 1397::toplas Redmond::Match ::22850547 ::Seidel90 
Natix::P486 Elke::4497632 Clemens::Asynchronous ::Warping ::Aravind 
Yasushi::Gsli 914847::url Muthukrishnan::13 ::Output ::P514 
Reducing::aware LeeE01::189 Distribution::Corpus ::TheodoridisSS98 ::GoldinK95 
524::214 Nishio::Samet90 Clip::Goldin ::Process ::Flexible 
Norm::Intersection Visibility::Miled Anonymous::4497600 ::ImielinskiB94 ::Problem 
4497486::Kurt Theoni::Hierarchical 607::Cliques ::SaveRF ::GartnerKKZ01 
Subspaces::Nori 4497477::Bettina 4497434::22850656abs ::4497491 ::Lian 
Confidence::P456 Ghosal::EltabakhOAELASB08 Chairs::Mumick ::Areal ::127 
Structural::GrustKGHS97 AutoGlobe::Iyer BohlenBJ98::SampleCFHSC02 ::Ioannis ::Taming 
Victor::KellerB96 StodolskyGH93::Jian 254::914869 ::ChangM88 ::BertinoOYD05 
Tape::Graefe Muthuramakrishnan::Arie Orchid::596 ::NAPA ::Driven 
Evimaria::22851144 Apers::Approximated 691::Pandis ::Extending ::15310276 
rtdb::Committee ShanADDK95::Lattice Hiroshi::507 ::4497410 ::22850341abs 
KashaniS06::Advances Performance::Sameer Arjen::Debugging ::Sparse ::HuangD08 
22850329abs::column KeijzerK08::Jiying Tsukamoto::LinAGD08 ::Routing ::890 
Popa::Fernando Pradeep::Palakal Venkatesh::ChawatheGHPUW94 ::Hierarchies ::Estimation 
HwangBRCSZ05::823 Lutz::ChanFLNR82 SenR05::Sergey ::Visual ::Overlay 
Tari::Bruce 549::Conference Production::Scripting ::Werner ::P598 
4497581::ReissRKZV08 ChenL02::Valduriez 4497590::Kumaran ::Till ::P514 
42::XPaths 1286::Accelerating Prcis::4497591 ::TataP08 ::IkedaMITHHO05 
22850779abs::Pryakhin AndritsosFM06::Djafri ChengYDYW08::acta ::Kubota ::Reachability 
ZhugeG98::524 What::Zhang ZhangOAI06::Acyclic ::jacm ::Gummadi 
P550::Piatetsky91 KoblerBCH95::Etzard DIPBench::1343 ::Larson02 ::Houman 
LiedesW06::Advances Applications::Roelof Zadrozny::4497565 ::GoyalHKMS96 ::Mohammed 
XPath::Raffio Dogac::Outsourced Three::LjosaS08 ::Dunja ::Antova 
fodo::Ganesan Enterprise::EsterKSX96 Proxies::Zhao ::KreveldO91 ::4497556 
Anil::Work AlonsoAAKGM96::Lo ZhouOT05::Valduriez93 ::Raymond ::Small 
1337::P252 Strong::456 P494::Spiros ::X05q ::Estan 
DingCRTHC08::ZhouYGCD08 WangRL08::Koutrika Caching::Chiticariu ::Tracking ::Checkpoint 
4497542::Regulation Blocks::Soumen 646::15310277 ::Inputs ::15310166abs 
Updates::660 AgrawalS96::KumarLMT08 IWill::Garcia ::348 ::4497410 
476::DozierSF94 Millions::Ad Prefetching::Badillos ::Processor ::External 
Construction::Cal Krauthgamer::ChenDN02 Clark::Badillos ::ORDBMS ::Manipulation 
RamanathZFH05::dexa VlachosGK02::Kyu 0::Mason ::Csar ::Holistic 
69::Olteanu BenatallahSND02::371 ImielinskiB94::Perrin90 ::Abraham ::KhalefaML08 
Zeeshan::LuccheseVRY08 Ceri::Lomet93 225::ZhouW08 ::22851140 ::Vasilis 
412::273 110::Grel 1537::The ::15310383abs ::Accurate 
Zeeshan::Han 51::4497623 pe::1119 ::156 ::Derivation 
Places::KumarLMT08 Mahadevan::309 GionisMT05::TsangarisN91 ::Supporting ::Braynard 
1148::AttieSSR93 Context::Strict 15310278::Didi ::Conscious ::4497609 
Prado::Stack Santos::Sayal Cappellari::Lag ::Kanad ::Pipelining 
Features::Mukherjea Upendra::Narasayya Vladislav::Modeling ::SpinCircuit ::Batch 
Signature::Frdric KoblerBCH95::GADT Raghavan::294 ::Ives ::Resources 
Mahesh::Sismanis Burdick::Fabio Fernandez::PopekK79 ::512 ::Science 
914854::Ahmad Melliyal::914842 Keith::Tomkins ::Fjording ::Wouter 
Dessloch::ShimSA97 Thiagarajan::Copy GirodMNRTBM08::1460 ::1360 ::22850261abs 
once::Madhavan 294::1540 SchmidtKW01::Intuitive ::Aaron ::15310673abs 
15310483::Ariel KreveldO91::CuiLXCDZ08 ProcopiucS08::Processors ::Message ::HaraHTN97 
Bouganim::LiSDKG01 Antoshenkov92::Hauswirth Brett::Nambiar ::Making ::Salzberg88 
Pinto::Pinto Harizopoulos::1209 Block::Nail ::914845 ::Ashraf 
914870::Gehrke06 Sheth::Keijzer Definitions::l ::Intermittently ::Ping 
Peery::Naughton P036::ShivakumarG96 914857::BinnigKLS08 ::1209 ::Extensible 
Ambuj::666 Ying::22850069abs The::4497574 ::Build ::Miah 
Dan::Bhide Organization::Pasi Wenfei::Krishnan ::QiaoIAA06 ::Anastassia 
Tian::RosenblumO92 Esther::Algorithms Balanced::Imai ::Fernandes ::P600 
GuhaKSY06::Peiya PeeryWMN08::1423 Redmond::Shivakumar ::Kurul ::KonopnickiS95 
1059::LOCUST top::Chung 22851140::Carlos ::Filters ::Access 
jlp::Fai P294::Uncertainty Transform::Performance ::Communication ::KamelF93 
1364::1608 CatarciCS94::hpts Dieter::Datasets ::Sun ::ArefS94 
Gmach::15310270 4497566::Ada tree::Suresh ::Dinh ::4497533 
SarawagiS96::Jacobsen 1318::RiTE OLE::Shegalov ::Son ::Martinenghi 
Grust::4497501 22850619abs::GovindarajanMV06 58::LambLOW91 ::Basket ::NievergeltHS84 
Melliyal::Ngai and::Principled DBMS::RuemmlerW93 ::PF91 ::4497585 
Meisen::Atallah Schwarz::Browser Krishnaswamy::Bamieh ::CandanPS96 ::HanMWS01 
Joachim::Frequency Barbara::Gemulla 1229::Madhavan ::MAPLE ::88 
Tomography::MalinS06 Maximal::Mummoorthy P086::OptRR ::Rank ::VeeSSBA08 
473::Inclusion Subscribe::316 NussbaumerPSS95::Cochrane ::Lorenzo ::SankaranarayananAS06 
Jensen::column OomotoT93::Majumder 107::Join ::Histories ::Jeffrey 
Burst::Migration 864::Madden Perrin90::BrownH06 ::853 ::Shaft 
Archival::Janne Bhargav::t 4497451::BrantnerKMH06 ::BouganimDV96 ::685 
149::Xiangdong 4497520::15310201abs Silva::Spannagel ::307 ::ChakravarthyL98 
Plans::Automata Takahide::Davulcu Fishman::Active ::Bei ::Lu 
Selecting::Sameer Lasse::Christine Rsch::Class ::4497624 ::PinarTF05 
Salt::ChenSZ05 to::Carla Work::Laws ::ICDE98 ::debu 
Anne::Wloka 4497625::Strength Doulkeridis::HungDS05 ::922 ::Medical 
552::Wynne Savage::544 1607::607 ::Ellis ::Kamesh 
Brzsnyi::RastogiMBKS93 Back::Anthony LehnerHS02::Multi ::JiangLWY02 ::MehrotraG93 
15310685abs::Visual 22850081abs::1375 Hoffmann::Gunopulos ::Korth ::Weighted 
Legacy::zden 22850656abs::Tabular Counting::P297 ::22850355abs ::Ann 
Vasileios::Goyal Xiaoxin::Kreutz Prototyping::sac ::4497397 ::Service 
Spatiotemporal::Na The::69 Collaborative::Biased ::22851098 ::Tryfona 
415::Ken PrefixSpan::Gio Dimitris::IP ::Giorgio ::Ghosal 
Hanan::Sudipto 914828::Xiong Bouganim::ngc ::Olteanu ::Mengzhi 
Draper::249 Estimation::AgrawalIS93 Vee::Semistructured ::Elke ::LiuP95 
Luk::Rule 63::COLR 529::Obermair ::DayalHL90 ::Prototyping 
4497601::Checker 514::Lasse Watanabe::subrahmanianJ96 ::Mayur ::deSign 
4497637::Intuitive 89::259 Allocation::under ::Bart ::Bootstrapping 
Hon::LimB08 HammerST05::914833 365::Xingquan ::Jarek ::Qingchun 
Grandison::Uchiyama IBM::Quan Primary::8 ::System ::SankaranarayananAS06 
Marios::ZEBRA Atsuyuki::Mahajan SellentinM98::Miyuki ::Nail ::Athena 
P259::Provenance SPOT::Ishikawa 224::mit ::555 ::Ramamritham 
delay::521 1130::743 586::Mahmood ::BertinoOYD05 ::Providing 
Extra::Tripod HowardKMNSSW88::Rundensteiner Jianlin::inproceedings ::LuoJHYW06 ::503 
ADEPT2::Synchronization Bill::472 555::Re ::Shanmugasundaram ::SIPPER 
129::Brett ZhangS06::MoonWL01 Spatio::NgR95 ::Wavelet ::Pietzuch 
Vu::86 Bringing::TungHH01 BohannonPRSSS96::2000 ::Burst ::484 
Ramez::Scripting Hsu::Gencai Atsuyuki::Deshpande ::LevandoskiKM08 ::Radeschutz 
Annamalai::kl Ghaffar::15310500 Cheong::914846 ::Mass ::Kaname 
pe::1073 Samet90::MittalHH01 Tabular::Yiu ::Carminati ::131 
AgrawalS89::Preemptive Conor::Yu Accessibility::15310287abs ::LorentzosM97 ::ArefS94 
Interface::Malkani Wiederhold92::4497444 Kaname::Shim ::Simmen ::Determine 
Changing::Bonnet HampapurJW95::P180 15310117abs::278 ::Grandison ::Shrivastava 
Doan::Yfoulis Gadia88::Recycling Shishir::ZhangDH08 ::0002 ::LynchS88 
Lung::Cross 518::581 Cudr::1346 ::SarmaBHW06 ::Style 
Xiaohong::Arnab Torsten::KapitskaiaTV97 Lot::155 ::Akiko ::Weikum91 
1296::Cabibbo Materialization::Koubarakis GeZ08::Modern ::Miller ::Mummoorthy 
for::AugstenBDG08 Valduriez87::KellerB96 914848::It ::In ::ht 
Sarvjeet::Mitchell Hiroshi::Ashish 518::pldi ::Toon ::AtzeniMM97 
SPEX::165 BlakeleyLT86::Lieuwen Muhammad::Candan ::zsu ::Fractal 
953::Congjun 1476::Gawlick98 Refresh::XML ::22850020abs ::1369 
Tien::Facet From::doi Kun::Stabbing ::Karras ::SchmidtKW01 
Meyerson::Human Preference::GyllstromADI08 914816::Strict ::Complexity ::Bin 
SrivastavaL88::1144 Jennifer::Kashani 81::Third ::Database ::Workflows 
Jos::He Learning::User ObermeierBHCS08::MehrLLS08 ::Andrea ::Mason 
Henrich94::JeungSZ08 P380::204 Dimitris::4497603 ::22851118abs ::Sanghyun 
Shishir::189 Bouganim::4497439 536::246 ::Vassiliadis ::4497527 
LianCY08::Banu Synthesizing::15310369abs Click::All ::Hulgeri ::Garofalakis 
Smith::Calders Anant::BrinDG95 1522::Speeds ::Burke ::Cerquitelli 
Jiexing::Piatetsky91 AndritsosFM06::LiHYX05 ChenWZY08::914829 ::AbiteboulV97 ::Autonomous 
Amitabh::Captivity SaltenisJ02::Asynchronous SteenhagenABB94::Scene ::Toman96 ::Cross 
Locality::Under Box::456 Procopiuc::DakkaI08 ::Henrich96 ::15310339 
Systems::acta Hanson87::4497506 ChenHY96::Format ::165 ::914849 
22850360abs::15310201abs Elghandour::Beckmann 19::Clustered ::4497445 ::AbulBN08 
P334::862 Redo::Sweeney SellentinM97::Sergej ::Manolis ::GuptaCG08 
GalAX02::4497511 Hiroshi::Werner Molina08::Curves ::Nested ::AbiteboulMP05 
22850619abs::Ehud 4497570::Summaries 1005::Oxley ::153 ::Karthikeyan 
Pin::Xiao Crawler::TsatalosSI94 Valduriez87::Bird ::BanerjeeC98 ::GibbsBT94 
Wing::Flip Iwen::Grzegorz Stephan::Juha ::Fudos ::4497425 
Interpretation::Arnd KonigN06::Hsiao DBMS::ZhangRL96 ::1000 ::HammerST05 
Karthikeyan::Neoklis 76::Charuta von::Phan ::Mengzhi ::AutoLag 
efficient::Maximal Redbrick::Lasse Zadeh89::EvdokimovFG06 ::Quickly ::Compression 
615::4497553 SistlaWCD97::Tung Woong::VenkataramanNL98 ::1476 ::Mover 
Habich::22850583abs MolinaGS96::RastogiMBKS93 ChakrabartiM98::26 ::4497456 ::15310282 
ai::4497464 Leonidas::Zhiyong 22850057abs::Projected ::157 ::Cooper 
WangM05::PfahringerK95 Spatial::Party Sylvia::57 ::Anastassia ::Alvaro 
Sevcik::NakamuraE02 627::183 Pandey::Checkpoint ::rtdb ::Ghinita 
1106::Zabback Mix::182 Earl::using ::256 ::Andrey 
Papapetrou::376 HuangSW94::Dhamdhere Holistic::Sevcik ::680 ::Xiaopeng 
FlicknerSAHDGHLPSY95::Alternative Thatte::N BohlenSS96::4497547 ::Eugene ::Neeraj 
Sayed::4497615 Inverted::Weld 178::into ::1619 ::326 
704::Jazayeri Srinivasan::FaradjianGB02 Win::LimN01 ::Borealis ::HoweM05 
SemCast::Next Mitch::Nes Gadia88::Estimators ::Reducers ::Objects 
AdibaL80::Gill Robust::Sheth RFID::484 ::TsangarisN91 ::Kolovski 
Sergej::X06b Tien::MogiK94 ThuraisinghamHRM98::Applications ::813 ::Order 
DarFJST96::291 402::1071 1059::22850502abs ::Segmentation ::BachFGHHHJS96 
A::AliZTK08 Pucheral::Kyu Ramy::Zahir ::164 ::1325 
HouJ06::Wavelets Chung::Path TrombettaB06::Hman ::Papadias ::Inference 
Fishman01::22850106abs 666::Mano Qu::Terms ::Kemme ::2001 
Yong::Woong Michael::102 Gadia86::Knuth73 ::GruberKP01 ::Ahn08 
Chuan::Wong 778::Main Basit::Location ::326 ::101 
Narang::Wiederhold Datasets::centric Malkemus::Environments ::Subscribe ::Papaemmanouil 
Galindo::Nabeel Filho::1531 Walid::One ::Farnoush ::Nguyen 
ZhouP08::Knowledge NAPA::ColbyGLMT96 ZhangLKW06::ZhangLKW06 ::NET96 ::AmarmendAK06 
1506::Stream Now::edbt 22850186abs::Item ::Vineel ::Indicators 
679::Simitsis Navathe::Hongjun 1109::Bedell98 ::Lightweight ::Ziarko91 
LeeE01::MyllymakiL95 Chuck::Jagrati FaloutsosL95::QPipe ::Richard ::CareyFLS91 
Mining::P164 YiN05::Chrysanthis Manfred::DeWitt ::Koloniari ::BhowmickP06 
471::Mylopoulos AilamakiGM06::CormodeKMW08 future::916 ::Sets ::Sayal 
Safeguarding::4497486 883::61 Explicit::Taylor ::Suciu96 ::Rishi 
HaraHTN97::deductive Yee::TsatalosSI94 22850258abs::Dominant ::AbiteboulQMWW97 ::Levandoski 
Choreographies::SellentinM98 Vassilios::Five BernsteinN96::230 ::4497524 ::1528 
Kenny::LoR96 LeeKC01::1189 4497573::LowTLL02 ::475 ::TheodoridisP95 
Underprovisioned::StonebrakerK91 Guang::Lim HardwickSRM97::Binnig ::914875 ::Acceleration 
Hse::Nori between::15310685abs ddb::Muse ::152 ::Howe 
bc::RoussopoulosL85 WhiteJ96::4497456 4497610::Authors ::RemiasSZS97 ::Xueqing 
4497622::Sihem Nehme::Spatiotemporal 430::BrownH06 ::Refresh ::AdaliCPS96 
4497461::IshikawaKOYKK98 1112::Souripriya 4497601::KrishnamurthyI91 ::Proactive ::ElmeleegyOE08 
15310029abs::Passing Liang::926 Sup::Expression ::AgrawalAS93 ::Scene 
Sebastian::417 1415::Ge AggarwalY08b::OSSM ::550 ::962 
Caching::Demand Prototype::Decade 515::Zhiping ::1249 ::Prashant 
1169::icde2006 Mitschang::Tran Cong::Mutsumi ::OSSM ::171 
LeeE01::MannilaR86 Ramkumar::4497409 443::Area ::HellersteinNP95 ::ManolescuP05 
Byron::Topsakal WidomC96::4497451 Liu96::Cleaning ::Speed ::Moustafa 
SuleimanCF98::Memoriam AgrawalS94::Krishnaprasad Yongqiang::Zhuge ::Graefe ::15310212abs 
4497467::Wloka Chee::5 Georgiana::Decoupled ::Curtis ::Gunopulos 
Georgakopoulos::Seidl Ziv::Accessible Azar::264 ::Gravano ::24 
OMNI::We Selinger05::LeungWL89 Function::Graphs ::Hierarchical ::126 
SakuraiPF05::CareyHL93 icde2002::Hyon G::LeeSZ05 ::Rosy ::Peter 
Xia::Valduriez Tim::PalopoliTU01 Shekita::977 ::Air ::Notification 
1384::Pollack XPaths::Assent Dominance::4497485 ::Presence ::Redmond 
Vlachou::Wilfred 4497537::Generalizing Aoki98::256 ::ChengYHY08 ::1584 
Yue::Rajaraman Hsiung::Sarawagi97 Through::Picture ::YiuM06 ::LowTLL02 
22850190::275 SegevF90::Pekka Victor::914868 ::VelegrakisMM05 ::Master 
BulutS05::Aggregation Vclav::4497480 Zachary::Baral ::MendelzonW95 ::LinD98 
Shantanu::4497407 Bedell::15310453 Back::U ::466 ::Virtual 
4497438::SeltzsamGKK06 KriegelHS91::22850422abs Revisited::EggersOS81 ::Gen ::4497555 
146::Control an::DengSXL06 484::Biton ::AndritsosFM06 ::Visibility 
Fuxman::Elmeleegy Loredana::Wombacher GuhaK02::4497564 ::Rasin ::Zaane 
152::RaoLLPS01 Zeeshan::Aravindan Gionis::U ::1209 ::YanZH05 
ZhouYGCD08::Id Schenkel::370 Laws::From ::Chong ::330 
Prefiltering::22850261abs KamathAGM96::Mic Hui::Sourav ::Nori ::Employing 
Nath::22850767abs 496::Highly 4497558::Hilda ::within ::without 
DCbot::15310494 Memoriam::4497404 LiSDKG01::Allen83 ::HouJ06 ::Olu 
Yan::Cloud Ahmad::878 W::Evaluating ::435 ::Notification 
Tanu::Thuraisingham Machine::Numeric WatanabeY05::LinYWL05 ::Chair ::Crawling 
ChangM88::Bhowmick Source::JakobGHN05 Platforms::Shah ::Dadam ::1127 
Ziyang::Srinivasan Rigsby::Zloof77 1135::Masatoshi ::Robust ::Huhtala 
Guoyu::PuKH88 Co::booktitle Weber::ONeilWFCM98 ::Luca ::ChandraV85 
Ayad::SQL Naga::Ping Threshold::DalkilicGR97 ::KolliosGKB01 ::Three 
Environments::Preaggregation 15310369abs::Raffaele HuangSW94::Sunita ::Major ::15310155abs 
Crime::Sander Novel::GrayR93 Replication::4497549 ::Yiping ::LiebermanSS08 
4497459::Bentley75 Houle::SizovSTW02 512::Reference ::724 ::1584 
Selections::Combining 52::977 Versatile::Method ::Structured ::ChandraV85 
Clark::Kyuseok GalAX02::Xueyan Molina83::1376 ::Watanabe ::Amer 
Zuo::Feifei Miah::KwietniewskiWTGGJJN08 Feng::4497535 ::552 ::LiLL08 
What::won 422::RabinovichBGLMM98 15310262::Availability ::Balmin ::Elena 
AdaliCCES96::TirthapuraA05 4497553::Access Barbara::Nori ::Himanshu ::Motion 
Jansen::FlicknerSAHDGHLPSY95 22850580abs::Whitley KemperM90::LiuL02 ::472 ::Discovery 
1495::914841 Schwarz::Rundensteiner Webs::15310272 ::Shafiq ::1351 
CareyDN93::Neville jsac::pdis 253::420 ::VLEI ::914852 
AssentWMS08::Muhammed Meisen::Disease Hong::OzdenRS98 ::AlexanderR06 ::CareyL91 
into::GuoSBS05 Valduriez::Checkpoint Mediator::Hibino ::Ledlie ::mms 
Vaisman::Debate adl::SPP Yuelong::Improved ::Ikeda ::IWill 
Mozafari::CasatiCPP95 Junmei::Kenny through::Telecom ::1358 ::Massive 
Chaum85::JagadishMS95 HirataHTK96::Distributors Sampling::Checking ::Ln ::524 
Mauricio::Graefe98 ShrivastavaMR08::GohMS94 Amlie::Jerry ::Kazuhito ::YangL01 
BatiniL86::GravanoGT94 1189::SilberschatzSU91 Dayns::Vetle ::AntovaJKO08 ::1048 
695::Swaroop Object::Asonov 693::Shekita ::Knuth73a ::Nilesh 
0003::Obermair HanFWCGKLLRSXZ96::Structural XingZH05::Arnold ::Muntz ::dood 
814::Nagaraj 585::Joins 345::Malaika ::122 ::Lipyeow 
