::Stocker ::KappelS91 
::802 ::TrombettaB06 
::LiuSYR98 ::271 
::1119 ::GukalOR96 
::Kornel ::JainDG08 
::RFID ::Profiles 
::Leh ::micro 
::Jim ::15310494 
::67 ::SCADDAR 
::BunemanCFHMV05 ::Halpern 
::Approximating ::TungHH01 
::Periods ::Reorganization 
::1366 ::275 
::Zadeh89 ::Miyuki 
::Jia ::Gromann 
::Saake ::Hiroyuki 
::SrikantA96 ::933 
::Henrich98 ::AbererH02 
::Richard ::AmmannJR97 
::ChaAHS05 ::pods 
::Wilfred ::Uncertainty 
::Methodical ::FaloutsosK94 
::Approximation ::Venky 
::P164 ::Tu 
::Subramanian ::Remote 
::489 ::Nina 
::Negi ::1342 
::Porto ::HasanM95 
::Fred ::Henk 
::Generato ::ShivakumarG97 
::Hsu95 ::Lists 
::Ramkumar ::PhanL08 
::P302 ::Compiled 
::Chaum85 ::Cabibbo 
::Haruo ::Added 
::toms ::VenkataramanLN95 
::4497570 ::10 
::Specific ::1515 
::Theory ::Processor 
::Kemme ::Ge 
::Young ::Aoying 
::1035 ::HowardKMNSSW88 
::Simple ::4497465 
::ROL ::Inclusion 
::ShkapenyukS02 ::Indexes 
::Majumder ::Di 
::4497509 ::Yoshizawa 
::Logic ::WuAA02 
::Gignere01 ::LiedesW06 
::Streams ::GoyalHKMS96 
::Wenjie ::1591 
::Terminological ::Bajpai 
::ChenGK05 ::MukhopadhyayP02 
::638 ::BeckmannKSS90 
::4497474 ::Bestavros 
::Swanwa ::Serializability 
::Kim ::1277 
::VeeSSBA08 ::algorithmica 
::Upendra ::Memoriam 
::Ellmann ::4497510 
::Uri ::XQuery 
::DREAM ::4497610 
::BhalotiaHNCS02 ::Rizzolo 
::KapitskaiaTV97 ::4497603 
::Trombetta ::471 
::Grtner ::1408 
::Provisioning ::AgesenBPT01 
::Features ::1531 
::Idea ::ShivakumarG95 
::1459 ::15310517abs 
::Cormode ::Tanizaki 
::Visibility ::StockerKBK01 
::BabuDM08 ::StoumposDKD08 
::Nikolaus ::WangRM06 
::FlajoletGPR93 ::1333 
::Ken ::Zeiss 
::WangRL08 ::Arnd 
::HanMWS01 ::Estimating 
::393 ::Laws 
::Pollack ::Koubarakis 
::Data ::Wichterich 
::Furfaro ::Louiqa 
::22850419abs ::914817 
::AgrawalBGKLR05 ::Nita 
::Tobias ::IwenLP08 
::Joachim ::Latanya 
::Crime ::It 
::Shahan ::Cerquitelli 
::3D ::4497496 
::Memoriam ::Ashish 
::RaoM06 ::business 
::Jagrati ::Ku 
::Bosworth ::MachanavajjhalaGKV06 
::Paths ::DozierSF94 
::ShiZ05 ::Bhattacharjee 
::Bates ::15310191abs 
::AdaliCCES96 ::KramerP96 
::is ::Generalizing 
::Ziarko91 ::Chatziantoniou 
::Ravi ::Gmach 
::Zadeh89 ::Hyun 
::PuL91 ::1099 
::Complete ::GhandeharizadehHJ92 
::William ::Papadopoulos 
::4497444 ::BehrG05 
::Jakob ::20 
::Jrgen ::Horng 
::Loading ::CareyDN93 
::Directions ::Maher 
::YanZHY06 ::KobayashiLKWY05 
::T ::LivnyRBCDLMW97 
::KatayamaS01 ::FerhatosmanogluTAA01 
::550 ::inproceedings 
::Group87 ::jcss 
::Anirban ::Jeffrey 
::Ashraf ::DoanH02 
::LjosaBS06 ::Architectures 
::Halpern ::1432 
::Joshi ::GyssensLS96 
::Equation ::117 
::WuXTL06 ::Future 
::Hae ::Form 
::1033 ::4497512 
::CuiLXCDZ08 ::PapaemmanouilC05 
::DebLRS08 ::Yuhui 
::Cost ::OLAP 
::compgeom ::Unknown 
::71 ::Neighbors 
::Masayoshi ::Traceability 
::310 ::VaidyaC05 
::Planning ::Dayal 
::Selection ::1608 
::Places ::Indicators 
::Chendong ::Suciu96 
::49 ::Hilda 
::Javeed ::HellersteinNP95 
::YipCN05 ::David 
::A ::Rimma 
::Stored ::Big 
::15310663abs ::KapitskaiaTV97 
::Sobulo ::SistlaWCD97 
::DHT ::ONeil87 
::Rao ::Tsukamoto 
::Russakovsky ::MohanPL92 
::Wavelets ::JiangAC05 
::mss ::Commutative 
::Miron ::PageChaser 
::TangYOCW08 ::567 
::Shrira ::ShriraX05 
::tse ::679 
::Integrating ::Bossi 
::Holistic ::QPipe 
::Naumann ::1130 
::Metadata ::Sellis 
::Jasmine ::P254 
::1537 ::Telecom 
::Denny ::Traceability 
::20 ::Definitions 
::4497520 ::Developed 
::Management ::LiebermanSS08 
::4497434 ::Renner01 
::Niblack ::15310081abs 
::PeiHPCDH01 ::Referential 
::Chaplin ::Tsukamoto 
::Steve ::ChenDYR08 
::ChakravarthyL98 ::BonczKK96 
::Horng ::BrantnerHKM05 
::PDM ::Opportunities 
::442 ::ImielinskiB94 
::Alps ::Gyllstrom 
::Commerce ::Krithi 
::AbiteboulK92 ::827 
::Puzzle ::Ramaswamy 
::LieuwenD92 ::4497507 
::Lessons ::Abowd 
::Rohit ::914833 
::Swart ::Parking 
::HanF95 ::PadmanabhanAMJ01 
::22850779abs ::370 
::Generalized ::Porkka 
::be ::search 
::P004 ::989 
::SeshadriLR97 ::Tissues 
::Tien ::P254 
::Colors ::Kemme 
::Alomari ::Automatically 
::Alomari ::Dehne 
::NabeelB08 ::Easy 
::ChenLGKP94 ::GuoSBS05 
::Gravano ::Aberer 
::Panel ::RamamrithamSSTX96 
::Jin ::1354 
::436 ::Hisashi 
::465 ::Replica 
::MohanAGK95 ::via 
::182 ::Workloads 
::Star ::Asonov 
::Bernstein ::22850791abs 
::Enumeration ::Labrinidis 
::LegariaGGHSWYZZ08 ::AfanasievGMRT08 
::Gene ::Lupu 
::Bosworth01 ::Replication 
::Govindan ::P578 
::Greco ::578 
::Histories ::Schubert 
::Xueqing ::Shouke 
::4497456 ::1322 
::Provisioning ::Olivier 
::Publish ::SVG 
::P231 ::Cliques 
::Papaemmanouil ::Conditional 
::MeltonS93 ::P550 
::Fukuda ::Poulsen 
::XGuard ::367 
::Earl ::15310403abs 
::Connectivity ::Authoritative 
::1363 ::127 
::SellentinM97 ::1461 
::Yong ::Quanqing 
::Kien ::Stphane 
::22850656abs ::Bertk 
::Utilization ::Smriti 
::225 ::1448 
::Products ::Pushing 
::Cochinwala01 ::HibinoR96 
::Hallett ::ChenDYR08 
::Pessimist ::Kifer 
::WeisN06 ::Perfect 
::Reachability ::Anurag 
::Tuzhilin ::of 
::Bertk ::Piotr 
::4497479 ::Gagan 
::Hoare69 ::Beckmann 
::914847 ::Timely 
::Liangzhong ::Spyratos 
::mms ::1047 
::Shubha ::P486 
::Art ::DebLRS08 
::15310272 ::KamathR98 
::Hisashi ::Farrell 
::Implementation ::future 
::XParent ::Weaver 
::15310383abs ::Abraham 
::411 ::22850193abs 
::Roland ::RX 
::FudosPP02 ::Discriminative 
::XPaths ::Proactive 
::gis ::513 
::MannilaR86 ::15310463abs 
::Filling ::Latha 
::4497552 ::Deductive 
::1476 ::Kishiko 
::4497586 ::Assessment 
::Kihong ::1390 
::Video ::Fekete 
::Huan ::RAD 
::Deshpande ::BlakeleyCERW05 
::Satisfying ::Bee 
::1200 ::VaradarajanHR08 
::Ray ::Salvatore 
::RantzauM06 ::ChangM88 
::216 ::JagadishMR98 
::Konrad ::Halevy 
::Candan ::283 
::IshikawaKOYKK98 ::627 
::1444 ::RaoPML06 
::22850415abs ::Suciu96 
::Asymmetric ::Fast 
::Directed ::Area 
::SeshadriLR97 ::617 
::4497437 ::Tatemura 
::Content ::893 
::728 ::Times 
::22850258abs ::Cloud 
::Detection ::WRAP 
::Balmin ::Chairs 
::Popa ::Andrey 
::Ziarko91 ::Closure 
::Prefetching ::Constructs 
::Cichocki ::1421 
::Gaurav ::GruenwaldBP06 
::967 ::TaniguchiS05 
::Joxan ::Trade 
::Cho ::KashimaTINHEF05 
::Personalized ::AxPRE 
::Billing ::AntovaJKO08 
::Arijit ::Ending 
::O ::914868 
::Dieter ::Expressive 
::AnYS01 ::SavasereON98 
::Chuck ::142 
::Psaila ::Satkin 
::4497553 ::in 
::1476 ::Assuring 
::Bee ::1361 
::1249 ::666 
::DasCWAS08 ::Reverse 
::Uncertain ::IshikawaKOYKK98 
::Neil ::Opportunities 
::Sanjay ::Meyerson 
::Heinlein01 ::Jianlin 
::Arnon ::HaraHTN98 
::4497474 ::Dalvi 
::Graphs ::jiis 
::Marx ::126 
::1426 ::LianCY08 
::22850372abs ::SizovSTW02 
::HanMWS01 ::Bursty 
::AntonyWAA08 ::Ooi 
::Representing ::Haiyan 
::Nectaria ::Grandison 
::Widmayer ::NguGBCDB02 
::GibbsBT94 ::10010215abs 
::790 ::KoudasS97 
::Betty ::Jarek 
::Extraction ::future 
::Idreos ::Iman 
::intensive ::siamcomp 
::Eng ::22851144 
::656 ::Wide 
::Congjun ::And 
::Xu ::Annita 
::Never ::Georgiadis 
::Shaped ::Muntz 
::1248 ::Lang 
::Aidong ::Dialect 
::Chris ::Predicate 
::AHYDS ::RFID 
::Electronic ::Dittrich 
::Histories ::ThuraisinghamHRM98 
::Hacigms ::Tears 
::Thaden ::Ganesan 
::1239 ::KahveciS01 
::693 ::ChengYHY08 
::Ippokratis ::137 
::1104 ::Vinayak 
::Histogram ::MahajanDNAM98 
::Hendrik ::4497548 
::Sampling ::Past 
::Xiaowei ::Zhewei 
::Numerical ::KellerB96 
::384 ::Sarma 
::Robust ::Messaging 
::Perrin90 ::Delis 
::Properties ::Gorman 
::GawlickK85 ::LuoNE02 
::22851135 ::KashaniS06 
::Position ::Ramamurthy 
::Shuang ::Ceri 
::Kreplin ::George 
::Tata ::892 
::Yasin ::acm 
::Jagan ::Warehouses 
::Graph ::Inter 
::KahveciS01 ::sebd 
::22850069abs ::Sarawagi95 
::Hristidis ::839 
::914875 ::4497581 
::Satisfying ::15310041abs 
::1584 ::Defined 
::DeWittNS91 ::Rosenthal 
::914848 ::scheme 
::BerchtoldBKK97 ::22850680abs 
::Petko ::cker 
::LiH89 ::180 
::Chaudhary ::XSEED 
::1485 ::Miah 
::465 ::4497416 
::Antijoin ::Study 
::606 ::599 
::MendelzonMM96 ::OptRR 
::SchroederHINW06 ::FaloutsosBFHNPE94 
::McCann ::Demand 
::Aggregation ::22851113 
::1433 ::Filtering 
::BohmHLW08 ::Chiueh 
::BouazizKPW97 ::Srini 
::OLTP ::CareyDN93 
::Jaber ::1098 
::Pucheral ::Madlmayr 
::22851144 ::151 
::388 ::VlachosGK02 
::383 ::top 
::Govindarajan ::331 
::Antony ::VenkataramanLN95 
::23 ::1082 
::4497427 ::ZhangPW08 
::87 ::Thomsen 
::KiferKS92 ::Hull 
::Davey ::Rimma 
::FaradjianGB02 ::Fan 
::Habich ::348 
::CampenXRGFSPL08 ::GoldinK95 
::22850578abs ::Clustering 
::AhmadN08 ::Agrawal 
::15310331 ::DaiKSTV08 
::1328 ::Xinqiang 
::22850754abs ::e 
::Monotonicity ::Krithi 
::Internet ::816 
::15310663abs ::Mei 
::Snapshots ::X06 
::4497626 ::Palios 
::Seshadri ::UchiyamaOH05 
::15310268 ::Spatscheck 
::176 ::Stephanie 
::Abbadi ::77 
::TangYOCW08 ::Longxing 
::SuleimanCF98 ::Nodira 
::Compiled ::Zuzarte 
::Ippokratis ::Fishman 
::CabibboPT06 ::DengSXL06 
::Tight ::22850583abs 
::Sayed ::M 
::Enhanced ::Grahne 
::LiuP95 ::1139 
::osdi ::Martin05 
::Ullas ::BertinoK89 
::Mehmet ::MorishimaNISK08 
::Lo ::Interpretation 
::Koudas ::Miah 
::3 ::Record 
::Jure ::Jaffar 
::1134 ::Sets 
::YangSRG06 ::P174 
::Yuni ::DeWittKLPY94 
::JoshiJ06 ::22851036abs 
::KellerB96 ::Buccafurri 
::Shahan ::22850285abs 
::Atallah ::Ad 
::Agma ::ICDE 
::Xiaoxin ::GhandeharizadehHJ96 
::Bootstrapping ::Balaji 
::Gmach ::551 
::Search ::ManolescuP05 
::Kollios ::Carson 
::1432 ::GangerK97 
::Parallelism ::rtdb 
::1381 ::Road 
::Theory ::Pseudo 
::GraefeL01 ::Hetal 
::122 ::1603 
::Boulakia ::Balmin 
::4497619 ::Security 
::Reducing ::551 
::SilberschatzKS97 ::Effect 
::Rinderle ::4497409 
::P600 ::LiLL08 
::Liadan ::Johnson98 
::P252 ::Hubert 
::163 ::LiLHC06 
::HOPI ::Etoh 
::Features ::Faloutsos 
::QiaoIAA06 ::Graphs 
::Lan ::Rosy 
::4497554 ::Heerde 
::Recycling ::SistlaYH94 
::ReSF06 ::Lorenzo 
::299 ::Roitman 
::Knuth73a ::Alejandro 
::YiuJHL08 ::Blocking 
::Ambuj ::660 
::ContinuouslyMoving ::StockerKBK01 
::Spiekermann ::HuWLZX05 
::Imperatives ::245 
::4497555 ::309 
::15310473abs ::Dewri 
::Subhash ::LOCUST 
::Filho ::Okcan 
::172 ::Malaika 
::914827 ::10010473abs 
::Available ::DewriRRW08 
::Classification ::ICDE98 
::Sequences ::Simoudis98 
::Diversity ::HarrisonD92 
::Segmentation ::958 
::Valduriez93 ::Goldstein 
::FAST ::LiuSYR98 
::Chung ::ORDBMS 
::22850742abs ::654 
::153 ::1170 
::Telle ::Gaurav 
::Masato ::339 
::Latency ::ChangM88 
::ShrivastavaMR08 ::Andrey 
::1378 ::SchroederHIN06 
::4497422 ::Whang 
::914848 ::Providing 
::dl ::Partitions 
::Wloka ::Nasi 
::AlonsoAAKGM96 ::22850155abs 
::Marzouk ::Billing 
::Felipe ::KriegelKKRS08 
::4497583 ::Ranked 
::Mikhail ::avi 
::P094 ::KatayamaS97 
::914872 ::GareyJ79 
::Clustering ::10010131abs 
::Haslam ::B 
::AhmadPCR08 ::4497558 
::HowardKMNSSW88 ::Yip 
::FischerK05 ::Density 
::Sellentin ::FlicknerSAHDGHLPSY95 
::LanOT02 ::Changqing 
::Laks ::Roussopoulos 
::Friedman ::Ivan 
::Laurent ::Shuyu 
::Stop ::Signature 
::Durmaz ::Sessions 
::RooholaminiC95 ::Policies 
::With ::Maintenance 
::Prakash ::RAIDs 
::SpinCircuit ::Schwarzkopf 
::Leung01 ::15310617abs 
::Procopiuc ::914812 
::Pajarola ::Mengzhi 
::SemCast ::BernsteinGWRR81 
::1095 ::Bosworth01 
::Osman ::their 
::EsterKX95 ::4497460 
::Shuigeng ::471 
::IndexFabric ::295 
::Videos ::Reachability 
::Mehmet ::High 
::Ramanath ::Aggarwal02 
::Yibin ::BakalovT08 
::Lp ::499 
::Complete ::Different 
::enough ::Souripriya 
::Telecommunications ::Samet 
::280 ::Qiao 
::Finding ::HernandezPVMNH02 
::Molina08 ::Mumick 
::Clark ::4497502 
::Molina ::Zoupanos 
::4497495 ::Khuzaima 
::4497598 ::ZukowskiHNB06 
::Resources ::GuptaHQ95 
::Guarantees ::Thomas 
::Dissemination ::Weining 
::4497596 ::SaveRF 
::914872 ::4497489 
::Earth ::Jaideep 
::Integrating ::Bitmap 
::Browser ::Badillos 
::283 ::MohanHLPS92 
::MAFIA ::Erich 
::Jeung ::383 
::intensive ::1476 
::Terabyte ::LakshmananRS08 
::Glimcher ::Hjaltason 
::DaiKSTV08 ::SavasereON98 
::KumaranCH06 ::ChenJKKMNS01 
::Jean ::ChiuehP05 
::Chaudhary ::914824 
::Imperatives ::Schlatter 
::Kumar05 ::Error 
::Heterogeneous ::188 
::s ::Terracina 
::Edoardo ::Jimeng 
::KeijzerK08 ::usenix 
::Louiqa ::1409 
::Mor ::525 
::Utilization ::914843 
::Ordering ::ReSF06 
::Equi ::Quasi 
::dblp ::Galpin 
::Trasarti ::22850355abs 
::Blocks ::78 
::Rys ::Harwood 
::1426 ::HanMWS01 
::Marcel ::PermJoin 
::Papotti ::Ohler 
::4497594 ::er 
::914837 ::Guang 
::GrayR93 ::Curt 
::Automatically ::507 
::Facet ::Ihab 
::Multivariate ::Chuan 
::Naga ::Fishman 
::support ::616 
::Fei ::ShivakumarG95 
::Chung ::Sndor 
::Valduriez87 ::Shixi 
::Berchtold ::Moustafa 
::Lomet92 ::HuWLZX05 
::Henrich94 ::578 
::OptRR ::535 
::HanFWCGKLLRSXZ96 ::Fung 
::Hambrusch ::icde2002 
::Galindo ::Shinn 
::Wisam ::KonigN06 
::GuptaMS93 ::604 
::Kleene ::Publish 
::Bhowmick ::Alberto 
::Conditional ::OSS 
::AtallahCK08 ::IshikawaKOYKK98 
::LowTLL02 ::Hara 
::Till ::Sedmidubsk 
::WhiteDJ96 ::Huiming 
::Santos ::StonebrakerADNR93 
::Takegawa ::domain 
::Bianca ::154 
::Block ::Sarawagi95 
::P108 ::1179 
::Davey ::Salzberg86 
::Condensed ::Athitsos 
::Thaden ::GruberKP01 
::Sunbir ::Privacy 
::22850791abs ::4497504 
::401 ::VBI 
::366 ::LudascherGM01 
::designed ::EROCS 
::Fastest ::Categorical 
::Maarten ::Statistics 
::514 ::23 
::Load ::1296 
::Private ::Column 
::Maarten ::Shiyan 
::22850298abs ::20 
::BouazizKPW97 ::Allen83 
::LindsayMP87 ::4497441 
::Store ::Annotation 
::Multimedia ::Pietzuch 
::Akrivi ::Banu 
::Regnier85 ::Nikolaus 
::Sundaresan ::Flattening 
::7 ::LometT95 
::LoR96 ::Qixiang 
::164 ::Alexey 
::Balaporia ::4497596 
::1627 ::Shishir 
::Yanif ::22850502abs 
::BhowmickP06 ::Stonebraker94 
::Davood ::Yangjun 
::Limited ::ChanFGR02 
::Takashi ::Mirette 
::Defined ::Harwood 
::BeckerHF93 ::YanZHY06 
::DelcambreMBDWGALL01 ::Services 
::Seidel90 ::GyllstromADI08 
::Jia ::Unifying 
::Workflows ::Big 
::914809 ::SinghKG02 
::Mengchi ::1328 
::Hon ::Against 
::GruenwaldBP06 ::Smriti 
::ebXML ::Vehicle 
::YanZH05 ::1607 
::Chita ::MullerDEF01 
::Souripriya ::93 
::Kantarcioglu ::Discriminant 
::Lewis ::Brzsnyi 
::Mylopoulos ::Stphane 
::BabuMWM05 ::Protecting 
::Yasin ::Synthesizing 
::1113 ::AbiteboulMB08 
::LiuYGS98 ::Roitman 
::4497476 ::osdi 
::Leymann97 ::Decayed 
::ChengCMC08 ::Provide 
::23 ::Gail 
::4497398 ::Meyerson 
::tree ::35 
::ZhugeG98 ::1591 
::Arai ::dx 
::LimB08 ::Kundu 
::Xuqing ::PageChaser 
::1144 ::313 
::4497602 ::Region 
::dood ::Lai 
::Confidence ::Hanan 
::Ailamaki ::ZhaoDN97 
::Kun ::Phan 
::Fosca ::ZhangDH08 
::CabibboPT06 ::WangM05 
::Immerman87 ::Kotagiri 
::Suchanek ::LoR96 
::Exactly ::icde98 
::Sideways ::1488 
::496 ::Mehmet 
::Uwe ::MONDRIAN 
::Pratik ::Through 
::4497616 ::ChangM88 
::Jenkin ::Dohnal 
::YiuMK08 ::BerchtoldEKKS98 
::Lapped ::Gerald 
::15310345abs ::Gubanov 
::471 ::Mix 
::Tsukamoto ::1360 
::Vasilis ::Generalized 
::once ::Ke 
::Mannila ::Shaft 
::deSign ::1084 
::Myoung ::Idreos 
::Negative ::Members 
::1361 ::StoumposDKD08 
::AgesenBPT01 ::Henry 
::Fukuda ::AbiteboulV97 
::651 ::Marcelo 
::198 ::297 
::Exploiting ::Correctness 
::Stephen ::Gertz 
::262 ::Characterizing 
::EderL95 ::Tsotras 
::Aggregation ::Donahoo 
::Facet ::Wisnesky 
::Nick ::22850490abs 
::PrabhakarAAA98 ::Shahabi 
::PuHK06 ::15310492 
::4497621 ::XGRIND 
::22850865abs ::Cordova 
::HinterbergerMG94 ::22850174abs 
::Naidu ::Gang 
::Robert ::716 
::Cranston ::Columns 
::Chen ::NN 
::Skew ::229 
::320 ::Shyam 
::1137 ::DeshpandeH08 
::Jacobsen ::Storing 
::1616 ::Andreas 
::el ::Yokota 
::Graham ::EstanN06 
::support ::Christos 
::Computation ::Cloaked 
::dke ::Jianlin 
::Chun ::Kolovski 
::Jayant ::Kemper 
::html ::35 
::KhaitanRJC08 ::NguyenS96 
::Tape ::ZhangLXKW06 
::1306 ::Freire 
::Curves ::M 
::BonczQK96 ::Operations 
::pldi ::1387 
::Luc ::Cormode 
::Rahm ::972 
::ChuDHH06 ::Kaname 
::42 ::4497426 
::1373 ::Sheu 
::Spreadsheets ::Decade 
::Ammar ::ShivakumarG96 
::Yoji ::Hash 
::zden ::Liu 
::Riedewald ::Shim 
::135 ::Xingdong 
::Gting ::toWeb 
::nato ::BrakatsoulasPT05 
::Detect ::1555 
::Kalogeraki ::4497531 
::Rudra ::Oriented 
::1081 ::Persistent 
::using ::Dalvi 
::1530 ::MogiK95 
::KuwabaraT05 ::HoutsmaS95 
::Tape ::Zaki 
::914808 ::Cha 
::Id ::QShuffler 
::Gawlick ::Peery 
::Filippo ::KuskinOHHSGCNBHGRH94 
::261 ::1189 
::AbiteboulMZ08 ::Calisto 
::421 ::SubrahmanianJ96 
::Versus ::Ramamurthy 
::FaloutsosRM94 ::4497437 
::StonebrakerC05 ::Torsten 
::Rinku ::We 
::475 ::LieuwenD91 
::processing ::BonczQK96 
::4497542 ::Stonebraker91 
::Asynchronous ::79 
::JainMTC95 ::Nagesh 
::support ::Machanavajjhala 
::4497608 ::Mixing 
::Kuwabara ::inproceedings 
::Kien ::BentleyF79 
::Elmasri ::914872 
::Bajpai ::Tightly 
::Interesting ::Roger 
::4497421 ::Brett 
::Anna ::ChangM88 
::376 ::Employing 
::Volker ::Prasanna 
::VLEI ::Incomplete 
::Hakan ::An 
::PapadimitriouRR94 ::FlicknerSAHDGHLPSY95 
::Tears ::Suciu96 
::4497493 ::Yoshikawa 
::668 ::AlonsoBC08 
::Hans ::WilschutFA95 
::ChaudhuriDMN01 ::Lisa 
::1248 ::OrfaliHE96 
::Stonebraker ::SrivastavaHMKT06 
::Automating ::15310498 
::Yalamanchi ::1483 
::Lup ::Intersection 
::LambLOW91 ::BarbaraI94 
::KappelS91 ::Powerful 
::Spatial ::Author 
::Ouri ::Oxley 
::Corpus ::Dragut 
::Mirette ::Rishi 
::Crowley ::ParkCY95 
::Kanoulas ::Murat 
::Bertram ::Semistructured 
::Grosky ::22850446abs 
::Ghafoor ::15310333 
::Fukuda ::BlottRS96 
::Frank ::Semantic 
::Dennis ::529 
::Charu ::ChristophidesCM96 
::Aameek ::Checkpoint 
::369 ::Timos 
::Understanding ::Timothy 
::767 ::331 
::DHT ::Marts 
::1135 ::DeRoseCGSDBZ08 
::P402 ::4497428 
::Selecting ::Hilda 
::KapitskaiaTV97 ::2285 
::521 ::302 
::YiuMK08 ::Bohannon 
::KoudasS97 ::ATM 
::Kahveci ::Felipe 
::Leymann98 ::Katsumi 
::Malakasiotis ::329 
::1495 ::15310393abs 
::Parallel ::View 
::Logging ::Draper01 
::BrunoGM02 ::LiSR92 
::4497583 ::Feher 
::Verify ::Multidimensional 
::1358 ::1467 
::Ferri ::WolskiB98 
::Nogayama ::Snapshots 
::mta ::15310441abs 
::GeorgakopoulosHKM94 ::1998 
::Gummadi ::NN 
::EderL95 ::Passing 
::6 ::SPOT 
::Telle ::Aritsugi 
::Connected ::Neighbors 
::22850968abs ::Leutenegger 
::Highly ::Fudos 
::4497421 ::AmzaCZ05 
::4497546 ::SellentinM98 
::Wiederhold93 ::KeijzerK08 
::Yihong ::ChaudhuriW06 
::Okcan ::BargaL01 
::Seung ::485 
::Wilschut ::ImielinskiVA96 
::GuptaHQ95 ::Rimma 
::CarterBZ91 ::Abstract 
::Assurance ::Directly 
::DaWaII ::Constructs 
::Encoded ::1228 
::Ip ::Goldstein 
::BrinkhoffKS96 ::Habich 
::Jeffery ::HollandG92 
::BernsteinGW93 ::AfanasievGMRT08 
::209 ::498 
::Khaled ::528 
::Shaull ::Shapes 
::Alkis ::Estimating 
::AxPRE ::SametA95 
::Mema ::SiL96 
::Egemen ::Surface 
::Extension ::Shahabi 
::Guided ::YangW01 
::Latency ::Sengupta 
::Erhard ::PopivanovM02 
::Flood ::Kihong 
::Jayant ::22850230abs 
::1229 ::AgrawalJKL06 
::Xiaohong ::Campen 
::Lot ::CherniackZ96 
::Shouxu ::What 
::AxPRE ::Visualizing 
::Exploration ::P302 
::Narasayya ::Reviewers 
::Sensitive ::365 
::GutingZC89 ::Lan 
::Reiss ::DescribeX 
::Cordova ::1219 
::Zilio ::Graph 
::HwangCZ08 ::Teoh 
::155 ::Reza 
::Radwan ::IshikawaSKMMIAY93 
::User ::Hierarchies 
::2 ::Verify 
::Raman ::H 
::NET96 ::AkindeCJK01 
::Amarnath ::Primitive 
::Yip ::Nina 
::Davood ::4497423 
::Wenliang ::Mass 
::525 ::Duplicate 
::Auditing ::RiTE 
::Mohamed ::ZEBRA 
::AlonsoBC08 ::Provisioning 
::Niels ::ChaudhuriNR08 
::WeissDG95 ::Bugra 
::Querying ::EggersOS81 
::667 ::BhalotiaHNCS02 
::ChakravarthyL98 ::Moshe 
::MobiQual ::Davulcu 
::TheodoridisS96 ::Jing 
::IshikawaKOYKK96 ::LeongS97 
::1471 ::4497425 
::204 ::Gnther 
::ZhouOT05 ::Managed 
::ChaudhuriNS02 ::Ono 
::DayalHL91 ::Georges 
::Abbadi ::154 
::25 ::Energy 
::Outlier ::4497399 
::1327 ::Joachim 
::Sengar ::CormodeKMW08 
::Mukesh ::Raman 
::Authorization ::Monitoring 
::Kshitij ::MunakataJ94 
::550 ::tm 
::html ::22850459abs 
::Nicola ::Goethals 
::Sen ::Ramamohanarao 
::LiuHXS06 ::FranklinCL93 
::Publication ::1627 
::Vlachos ::BryCDFOS05 
::4497554 ::GuPYC08 
::1169 ::Bloom 
::ChengYHY08 ::Revision 
::be ::434 
::Generato ::Underprovisioned 
::128 ::883 
::Oliver ::989 
::Hyong ::File 
::106 ::to 
::Panella ::Duality 
::Barker ::Qian96 
::Brantner ::PGM 
::Fernandez ::Knowledge 
::22850159 ::Phantom 
::Curtis ::er 
::Sreenivas ::Nabar 
::833 ::Extract 
::Gone ::M 
::Lizhu ::Toivonen96 
::Overcoming ::Gignere 
::biased ::MUSE 
::Intermittently ::Ma 
::Xiong ::Bloom70 
::Bounded ::Roussopoulos 
::Style ::Naumann 
::SmythG91 ::AbiteboulK89 
::BertinoK89 ::EROCS 
::Interfaces ::Compliance 
::15310341 ::Khatchadourian 
::De ::Lychagin 
::Autonomy ::Fast 
::Ruddy ::LindsayMP87 
::15310041abs ::views 
::Kanne ::Asymmetric 
::45 ::JagadishMM95 
::Proactive ::Guy 
::1114 ::LiC98 
::ChaudhuriW06 ::Milind 
::Grabs ::794 
::Evaluation ::ChenRDEGS06 
::22851024abs ::Chiu 
::Multiresolution ::P268 
::MeoPC96 ::15310093abs 
::Galt ::4497619 
::ChanSL98 ::914837 
::icde2001 ::4497442 
::Dense ::AgrawalFS93 
::Kumaran ::Extra 
::Tarik ::Coupling 
::4497530 ::Topsakal 
::295 ::Tan 
::324 ::Magesh 
::NguGBCDB02 ::WangBTD08 
::LiaoLL01 ::RoschGL08 
::Filling ::Walid 
::AnYS01 ::WangL08 
::Increasing ::544 
::KuZWW06 ::Sheng 
::Containing ::GongYQZ05 
::Junyi ::SAN 
::27 ::Vladislav 
::Biased ::Prefetching 
::Elena ::HarrisonD92 
::Future ::PanZW08 
::LSD ::22851146 
::AgrawalS94 ::Mingzhe 
::SavageW96 ::FaloutsosK94 
::Declarative ::Pryakhin 
::1145 ::KornSFSP96 
::Li ::Computing 
::1521 ::Milind 
::HershbergerSS06 ::Vikas 
::1372 ::Ullman97 
::148 ::jcss 
::Karras ::Fast 
::Latent ::Feng 
::914823 ::Xu 
::1580 ::4497413 
::PolyviouSE05 ::PDM 
::507 ::Xiaokui 
::Privately ::4497520 
::Yoshizawa ::4497582 
::CasatiDS01 ::306 
::66 ::Filippo 
::Tata ::Preaggregation 
::mm ::60 
