::AbulBN08 ::Wolf ::Vazirgiannis ::302 
::Annotation ::Seluk ::Luc ::989 
::Maskey ::through ::Entity ::Multiple 
::ZhangLRB08 ::Mohan ::Production ::Leonidas 
::22850968abs ::Ln ::Sakurai ::HwangPS98 
::SilbersteinHYY05 ::1296 ::Hwanjo ::McWherter 
::ebXML ::Cooper ::15310269 ::Shrivastava 
::1441 ::Lawrence ::15310492 ::Ari 
::326 ::506 ::Heinlein01 ::Persistent 
::Popivanov ::Meichun ::Schema ::cacm 
::AfanasievGMRT08 ::Siva ::326 ::Jignesh 
::15310265 ::186 ::Neville ::Howe 
::EvdokimovFG06 ::BittonMT89 ::Shoshani ::Bhattacharjee 
::4497483 ::HernandezPVMNH02 ::Acyclic ::1364 
::Grust ::Christina ::Algebra ::Symbolic 
::4497570 ::Lars ::Maryann ::ZhangPW08 
::22851140 ::SarawagiS94 ::247 ::Hsiung 
::Wenning ::Sequencing ::Gokey ::EROCS 
::Marlon ::Division ::Stahl98 ::Rainer 
::4497571 ::OntoWebber ::914835 ::Minh 
::Naughton ::RAM ::Phrase ::Salem 
::Winslett ::Donahoo ::BuccafurriRPS02 ::LeuteneggerEL97 
::Suleiman ::PapakonstantinouGW95 ::Andrzej ::Eenjun 
::DeFazio01 ::Squicciarini ::Top ::Xiaowei 
::Sanjoy ::Generation ::DREAM ::4497410 
::LanOT02 ::Whang ::WangBTD08 ::Locality 
::Soloviev93 ::Sales ::Peters ::Scene 
::Redmond ::mms ::Outliers ::Automating 
::Bonifati ::1451 ::Vagelis ::debu 
::Pull ::Programming ::Imprecise ::SarawagiS94 
::1124 ::Gamper ::697 ::LeuteneggerL98 
::4497554 ::484 ::mms ::691 
::Hutchison ::Larson ::KornSFSP96 ::Energy 
::ZhangLXKW06 ::4497490 ::426 ::558 
::Checkpoint ::636 ::KreveldO91 ::Multidimensional 
::4497575 ::ArefCEFGHIMPRTTTVZ02 ::GeorgakopoulosHM96 ::4497507 
::Hakan ::1053 ::Eun ::375 
::Goldin06 ::Sponsored ::IoannidisP95 ::W 
::1460 ::Dependencies ::KahveciS01 ::Nikos 
::Pan ::Synthesizing ::Torben ::Serializability 
::643 ::Efficient ::TataP08 ::Environmental 
::1595 ::Qingchun ::Aggregates ::Uri 
::Song ::1379 ::Simmen ::Tape 
::1498 ::Brent ::SteenhagenABB94 ::Skippy 
::Utilization ::1572 ::Powerful ::Ash 
::102 ::scheme ::Zuzarte ::Make 
::Jazayeri ::Davey ::Neel ::Changing 
::BlumrichLADFS94 ::linear ::SakuraiPF05 ::P503 
::Ajay ::Pei ::SelingerACLP79 ::180 
::Expressive ::views ::1053 ::Development 
::NgH94 ::Library ::FlajoletGPR93 ::HTML 
::Cattell91 ::stoc ::Korn ::4497579 
::Arumugam ::459 ::MalikBC05 ::4497423 
::Leymann97 ::AmmannJR97 ::Tania ::aaai 
::Neeraj ::Tat ::Woong ::140 
::Malin ::Maximum ::1059 ::Atzeni06 
::FilhoTTF01 ::AyadNWS06 ::261 ::RDF 
::Gong ::Butterfly ::Sardar ::4497454 
::1229 ::55 ::2002 ::Lam 
::Behzad ::Constant ::Oracle8 ::166 
::Rafiei ::4497614 ::Ghinita ::Frdric 
::Communication ::HamakawaR94 ::Yang ::Nakamura 
::Assent ::Merging ::PetkovicZBJAWK02 ::Haojun 
::internet ::Ipeirotis ::cj ::Lun 
::Source ::PoosalaIHS96 ::Garofalakis ::914828 
::Siberski ::Random ::Lindsay ::15310103abs 
::OSS ::22850754abs ::15310176abs ::Hse 
::External ::Extending ::Farfn ::Maryann 
::Your ::1461 ::Nuwee ::Anurag 
::Graphitti ::ZhaoRTN98 ::Longxing ::Schmidt 
::Control ::db ::Renner01 ::CandanPS96 
::ElghandourAZCBBZ08 ::ChengYDYW08 ::Buccafurri ::BravoFGM08 
::574 ::Whose ::4497443 ::Sellis 
::Stonebraker96 ::Pathak01 ::Platforms ::Community 
::Locality ::270 ::Ertem ::Bach 
::AutoLag ::1317 ::Shekita ::Ivanova 
::Planning ::Galpin ::Ihab ::PanZW08 
::MoDB ::large ::Andrzej ::Third 
::1435 ::nwosuTB96 ::Ash ::SunAA02 
::Reachability ::NaumannHTHM02 ::Substructures ::1608 
::Quality ::Bird ::IvesT08 ::Liao 
::Wombacher ::Preemptive ::CasatiDS01 ::Blok 
::Brakatsoulas ::Brenninkmeijer ::Nimrod ::Rabindra 
::Rost ::HiWaRPP ::Bill ::1048 
::FegarasM95 ::Ramamurthy ::KeijzerK08 ::Information 
::Hang ::146 ::533 ::Dehne 
::Indexing ::Richard ::AssfalgKKKPR06 ::312 
::Gustavo ::Shifting ::Lomet98 ::4497531 
::Djafri ::4497526 ::Kam ::Migrating 
::AutoGlobe ::4497559 ::Abdel ::Serap 
::Rules ::WolskiB98 ::Gunopulos ::Loading 
::Multiple ::Achieving ::integration ::Systematic 
::Sarawagi95 ::Astoria ::Bonchi ::Kristin 
::Zou ::Rajagopalan ::WilkesGSS96 ::Chon 
::Constraint ::Evdokimov ::606 ::Long 
::P2P ::HSI ::Finding ::Long 
::SistlaWCD97 ::Davide ::BohmK01 ::year 
::Fegaras08 ::SizovSTW02 ::1400 ::Eberhardt 
::GuptaM95 ::Zeldin ::Workflow ::Logic 
::Ken ::Norman ::22850927abs ::Economically 
::JinXDW02 ::Dunn ::Papaemmanouil ::Obermair 
::4497421 ::Jonathan ::Structural ::Tilo 
::proceedings ::RoussopoulosKV95 ::Vakali ::Zhengli 
::852 ::4497425 ::426 ::Autonomous 
::Teoh ::Shyu ::Imprecise ::Mamoulis 
::Mor ::Salka ::Krkkinen ::4497593 
::Murthy ::2007 ::Consens ::Dong 
::Co ::Roger ::Wombacher ::Ln 
::Ang ::http ::Xiaofang ::Yanlei 
::Anup ::Relational ::ZhouZVQ08 ::Prasad 
::Baxter ::Roland ::Spatial ::1092 
::Elements ::Greedy ::widomC96 ::based 
::ChenC08 ::4497524 ::Hendrik ::Bulut 
::AcharyaGJKST08 ::Fan ::617 ::Jiawei 
::Mitch ::LevyMSS95 ::Peery ::Offs 
::1432 ::Manuel ::HillyerS96 ::Hiraoka 
::TomasicRV96 ::Ponnekanti ::790 ::ChaAHS05 
::HSI ::903 ::Operators ::Portal 
::1527 ::Electronic ::Barbara ::Jigyasu 
::BargaL01 ::Korolova ::Relation ::1391 
::Parallelizing ::22850521abs ::Malin ::tree 
::Jansen ::Imprecision ::54 ::Gawlick98 
::Vectors ::Trade ::XPlainer ::1564 
::Toivonen ::Uemura ::Kha ::Norm 
::10010131abs ::Hnle ::Bill ::NFMi 
::Gsta ::Out ::Stanley ::914856 
::GeZ08 ::15310005abs ::4497568 ::Coverage 
::1587 ::BrunoC08 ::Tung ::Guestrin 
::15310503 ::LivnyRBCDLMW97 ::Fits ::AbererH02 
::EsterKSX96 ::IdreosTK06 ::4497591 ::Jr 
::Harchol ::Souripriya ::Subrahmanian ::Russakovsky 
::Eberhardt ::Riccardo ::623 ::100 
::JeungLSZ08 ::663 ::FungWY05 ::22850533abs 
::32 ::Kambhampati ::LeFevreDR06 ::Deductive 
::Bhide ::Loosely ::Warping ::892 
::Bayardo ::Christian ::AlexeCMT08 ::ICDE 
::4497485 ::Grandison ::ONeilG95 ::Privately 
::Jigsaw ::Souripriya ::MunakataJ94 ::Diagnosis 
::EllisGR91 ::ArefS94 ::914854 ::Varadarajan 
::HoutsmaS95 ::KlemettinenMRTV94 ::15310274 ::LiuHXS06 
::XPath ::BlaumBBM94 ::Riedewald ::Subhash 
::FranklinZTCD92 ::Cichocki ::Loreto ::CASTLE 
::Kersten ::P220 ::Hristidis ::J 
::Fudos ::HoutsmaS95 ::623 ::Logging 
::Marx ::Using ::4497482 ::KrauthgamerMRR08 
::Megiddo ::Shi ::v8 ::Callaghan 
::Skew ::Differential ::Video ::Yang 
::MeoPC98 ::KapitskaiaTV97 ::LiZBSZN06 ::Consistent 
::Producing ::PapakonstantinouGGU95 ::zsu ::Michle 
::Crawler ::Daxin ::Spatscheck ::Inventing 
::Captivity ::4497447 ::22851120 ::Comparative 
::CopelandK85 ::Representing ::Ferrari ::Ansorge 
::Sashikanth ::534 ::1228 ::Karras 
::Weiyi ::275 ::Itemset ::Yokota 
::SmithC96 ::Ryan ::972 ::OLAP 
::P014 ::a ::Sven ::Dictionary 
::CareyL91 ::MolinaS87 ::4497537 ::Yasin 
::Ann ::655 ::Aware ::Moshe 
::Jeffrey ::Energy ::Intermittently ::Specialization 
::Hou ::Martinenghi ::Chee ::LowTLL02 
::Isoline ::Khoussainova ::Communication ::Wisnesky 
::4497436 ::Hsiao ::379 ::249 
::4497591 ::Materialization ::Chris ::765 
::Item ::Amza ::Naga ::Papakonstantinou 
::Roland ::McWherter ::1 ::22850386abs 
::JayapandianJ06 ::Shyam ::Range ::7 
::SchroederHIN06 ::HanFWCGKLLRSXZ96 ::Propagation ::Saenz 
::BernsteinGW93 ::Moshe ::Knig ::FAST 
::1488 ::DozierSF94 ::BrinkhoffKS93 ::Volatile 
::98 ::Repairable ::Govindarajan ::3 
::LangOS97 ::284 ::ChenC92 ::Biased 
::ChongDES06 ::552 ::Common ::22850355abs 
::ShivakumarG95 ::Bourhis ::Bernhardt ::Inseok 
::22851140 ::Constructs ::Memory ::Information 
::15310278 ::BohlenBJ98 ::79 ::Novak 
::NgH94 ::598 ::Herlihy90 ::RabinovichBGLMM98 
::WangBTD08 ::Archival ::HarrisonD92 ::AttieSSR93 
::JiangLWY02 ::20 ::261 ::Fischer 
::66 ::Phan ::1385 ::Goethals 
::Joon ::Relationships ::UchiyamaOH05 ::Jindan 
::Acceleration ::Rimma ::Yuqing ::Jenkin 
::4497629 ::4497546 ::Si ::COSTA 
::Shurug ::331 ::1568 ::Hilda 
::Cattell94 ::15310064abs ::Raffio ::15310498 
::P220 ::AgesenBPT01 ::TsangarisN91 ::EllisG89 
::P297 ::Miyuki ::Guo ::Enderle 
::Overview ::Borkar ::LeymannR97 ::276 
::4497412 ::Domenico ::Flow ::Mingzhe 
::MohanPL92 ::Taming ::4497428 ::533 
::Periklis ::Dou ::60 ::Marko 
::1592 ::Norm ::Ravishankar ::Cranston 
::Consens ::Simplicity ::Next ::Thuraisingham 
::Dissemination ::22850717abs ::1417 ::Jacobsen 
::ChengYDYW08 ::Roberto ::Function ::mit 
::22851024abs ::SolworthO91 ::QiaoIAA06 ::22851061abs 
::JagadishOVZZ06 ::ChenH01 ::Scott ::Bar 
::BirdCDLZ06 ::Quantitative ::Schlesinger ::Loosely 
::Zhu ::Gehrke06 ::LindsayMP87 ::Simplicity 
::Kantarcioglu ::SAN ::1297 ::ChaudhuriNS02 
::22851048abs ::1324 ::BenatallahSND02 ::Vectorizing 
::Baral ::Z ::Maps ::anonymizing 
::DeFazio01 ::Madden ::275 ::Liuba 
::Ntoulas ::Olga ::Bitmap ::SaltonG83 
::Kunath ::Boulakia ::15310187 ::Vijayshankar 
::BoberC92 ::ChenDKLRS95 ::Scheme ::Makoto 
::P209 ::Enforce ::Unified ::Ben 
::PeiroASW98 ::Ono ::Be ::Jazayeri 
::Bursty ::ZhangRL96 ::Kien ::Alps 
::Haslam ::4497592 ::Ferhatosmanoglu ::Leymann97 
::20 ::rtdb ::Kasneci ::BohmPS06 
::P154 ::Vikram ::Answers ::593 
::258 ::Quadtree ::Sevcik ::IpeirotisNCG05 
::FLAME ::Ramez ::Arnold ::Mema 
::Zhang ::Features ::Jagadish91 ::22850779abs 
::Martin ::sigir ::Teaching ::4497458 
::Yasin ::Markov ::WangPY05 ::4497482 
::418 ::P276 ::LiaoLL01 ::456 
::ZhouOTY06 ::NaackeGT98 ::Attribute ::Tetsuya 
::Parallel ::GabowT89 ::Simplicity ::AilamakiGM06 
::Cal ::ZhouYGCD08 ::Tiong ::GravanoG95 
::388 ::660 ::Terzis ::XQSE 
::Simmen ::Gardarin ::68 ::Background 
::Angel ::Gunther93 ::Performance ::Microsoft 
::Jrme ::LometS89 ::Refresh ::hpts 
::379 ::JermaineO02 ::Cranston ::1366 
::Baihua ::Quanqing ::462 ::FernandezFKLS97 
::Coupled ::Georgiana ::BhalotiaHNCS02 ::HernandezPVMNH02 
::299 ::Growth ::AbiteboulV97 ::Mengzhi 
::Olteanu ::387 ::Knowledge ::R 
::Joachim ::Cui ::Zoupanos ::GuptaHR98 
::Rogers ::4497471 ::pe ::Ling 
::4497418 ::GovindarajanMV06 ::Media ::Mumick 
::Gonzalez ::Ramy ::P466 ::Mei 
::Triggers ::575 ::Peers ::Parallel 
::Roberto ::P598 ::GubanovBM08 ::OntoWebber 
::AITVS ::Compiled ::Joon ::Caches 
::Chamberlain ::Mingzhe ::Authority ::JohnsonS97 
::4497590 ::1111 ::Velegrakis ::914871 
::Schenkel ::P412 ::Alexander ::PanZW08 
::LiuP95 ::BreitenederGT92 ::CQ ::Intelligence 
::NussbaumerPSS95 ::journals ::4497449 ::4497627 
::Navathe ::Column ::Mengchi ::Toon 
::Ngai ::BunemanDS95 ::Stream ::DahlinWAP94 
::Pratik ::Akinde ::BestPeer ::Brzsnyi 
::1950 ::SeshadriLR96 ::ZhangS06 ::ChiuehP05 
::GoldingBSSW95 ::PalopoliTU01 ::PfahringerK95 ::Connected 
::X05r ::525 ::513 ::535 
::Strategies ::Amer ::Stabbing ::SIPPER 
::Jinping ::1509 ::4497418 ::Inan 
::UchiyamaOH05 ::AugstenBDG08 ::754 ::22850459abs 
::Volumes ::Knowledge ::Heinz ::Satkin 
::Sihem ::Balmin ::Enforce ::Catlin 
::Equi ::Past ::Estimation ::Format 
::Sujata ::Citizens ::Guha ::Heinlein 
::1100 ::Manish ::94 ::Storage 
::Accuracy ::FernandezS98 ::4497415 ::Spatial 
::Casati ::Gignere01 ::283 ::Luca 
::Preaggregation ::4497624 ::734 ::Angel 
::Avigdor ::Cai ::Subbarao ::ZivL77 
::165 ::Giuseppe ::Emerging ::QoSMig 
::4497538 ::Chiticariu ::914845 ::Containing 
::XPaths ::466 ::Algorithm ::Chaum85 
::Constructing ::4497561 ::Ferri ::Omar 
::914849 ::Zilio ::Cobena ::Columns 
::157 ::OSSM ::Janine ::Class 
::914834 ::Timely ::1555 ::Xin 
::Anti ::993 ::Nicoleta ::DasCWAS08 
::324 ::Ada ::Soo91 ::157 
::Alexandros ::Disease ::15310490 ::Utilization 
::Khaitan ::WeisN06 ::277 ::Methodical 
::Seidel90 ::Kha ::Visibility ::Pattern 
::Verma ::SellentinM98 ::Choreographies ::Amlie 
::15310277 ::cdrom ::GrayR93 ::Zadrozny 
::HirataHTK96 ::Xianghong ::Synopses ::Schneider 
::Rajasekar ::4497590 ::147 ::Anonymity 
::ZhangYST06 ::Zhiming ::Stabbing ::Attacks 
::Songting ::Wiwatwattana ::Developing ::Biton 
::WuDY06 ::Understanding ::Platform ::1349 
::MannilaT97 ::Sander ::Va ::Garcia 
::625 ::ChenDN02 ::meets ::Computation 
::Marios ::jsac ::Iyengar ::Reordering 
::Publish ::Bry ::Kobayashi ::Heinz 
::Mortazavi ::Kedar ::Antijoin ::1564 
::1470 ::Mapping ::22850927abs ::IshikawaSKMMIAY93 
::933 ::Lupu ::914853 ::1098 
::Serializability ::Hamid ::Xin ::59 
::263 ::Ozcan ::Widmayer ::Aoying 
::Le ::914844 ::Lehner ::Motion 
::Data ::4497412 ::Sugimoto ::Display 
::Amza ::1462 ::Torp ::Represented 
::Extending ::Oguchi ::Mylopoulos ::ConsensLO06 
::Kornel ::Queuing ::Dominance ::Compiled 
::Bradley ::integration ::295 ::Jianjun 
::Checker ::TheodoridisP95 ::GalpinBJFP08 ::icml 
::1504 ::889 ::Industrial ::XParent 
::BrinDG95 ::Ramakrishna ::Naomi ::Hammer 
::Marlon ::Malin ::FranklinZTCD92 ::Soo91 
::Change ::1378 ::Synopses ::1583 
::btw ::DohertyHR96 ::Andrzej ::Wikipedias 
::Delis ::WuEDCKAS08 ::PhotoSpread ::P104 
::Service ::606 ::Diagnosing ::LuoNE02 
::Toon ::TataFS06 ::Sam ::Exploring 
::Chang82 ::Jeff ::YiLKS08 ::How 
::15310041abs ::4497448 ::IHE ::WangM05 
::Sergei ::Dunham ::Uwe ::Parties 
::Luca ::Supply ::Paradigm ::HouleS05 
::Paolo ::Arocena ::Ramez ::WiwatwattanaJ08 
::KlemettinenMRTV94 ::Traina ::1616 ::Ling 
::Failure ::Vijay ::Ikeda ::Christos 
::Ivan ::OntoWebber ::4497513 ::Triage 
::AilamakiGM06 ::Omar ::PinarTF05 ::1130 
::Join ::334 ::iBOM ::LiedesW06 
::MohanPL92 ::Behr ::Joachim ::475 
::Systematic ::Latanya ::column ::Graefe 
::Prefetching ::Larson02 ::P458 ::LiLH06 
::Annotation ::Vries ::Selinger05 ::Process 
::CarminatiFB05 ::Yap ::MansuriS06 ::337 
::Batched ::Arocena ::BeckleyER85 ::Dialect 
::Keith ::Surna ::Naumann ::LeeE01 
::LevandoskiKM08 ::Panagiotis ::GriffinL95 ::Ken 
::Fen ::Franois ::Javeed ::1024 
::Larson ::Ariel ::Prefetching ::389 
::433 ::2000 ::SenR05 ::Laks 
::MONDRIAN ::Correction ::Yoshizawa ::Cristian 
::Cochinwala01 ::MehrotraG93 ::Mathew ::445 
::BlockeelCFGP08 ::integration ::SismanisR05 ::Fits 
::DesphandeGMH05 ::307 ::Bry ::FayyadPS96 
::Jaffar ::Fernandes ::SchroederHINW06 ::Compression 
::947 ::ChakravarthyL98 ::Zhewei ::Stratis 
::Nakano ::Officers ::PermJoin ::ChoR02 
::Dhamdhere ::SuWL06 ::Mitch ::RantzauM06 
::Lohman ::Silberstein ::Commerce ::294 
::Distributed ::Sakuma ::466 ::Haifeng 
::Jia ::pldi ::Erik ::Opportunities 
::Regulation ::Thu ::15310277 ::XuLXM06 
::Zhe ::WangZZ06 ::359 ::Relation 
::Discriminative ::Yin ::Fetching ::PiatetskyF91 
::1488 ::Stack ::Building ::Edoardo 
::Munagala ::Geoinformation ::Specification ::ChakrabartiM98 
::22850459abs ::Greene89 ::Franois ::d 
::NetzCFB01 ::Tat ::Their ::KrishnamurthyI91 
::Arif ::Weiyi ::YanZHY06 ::DaudjeeS06 
::Xiaowei ::CandanHS98 ::Hashing ::Tolerant 
::521 ::22851109abs ::22851102abs ::264 
::KoudasS97 ::HeinemanK97 ::Morse ::841 
::452 ::4497499 ::Gil ::4497610 
::QuLM06 ::22850717abs ::Avoiding ::Bounded 
::WangRL08 ::Fabio ::Aaron ::Willy 
::McWherterSAH05 ::rules ::Minghua ::Dirty 
::Sotiris ::BunemanDFS97 ::Keim ::KlemettinenMRTV94 
::books ::Stefano ::Casati ::KaufmanR90 
::Regulation ::Floris ::Corpus ::YuHC05 
::Shirani ::4497526 ::1429 ::10010173abs 
::Ester ::SalzbergT96 ::22850631abs ::WeisN06 
::Materialization ::4497450 ::Beng ::Nigel 
::Complete ::Lookups ::Sequencing ::Editor 
::22850668abs ::ROL ::Leo ::70 
::AliZTK08 ::7 ::Jensen ::Giuseppe 
::Failure ::4497417 ::4497633 ::Burns 
::JoshiJ06 ::Wiederhold93 ::Elizabeth ::pods 
::P074 ::Manish ::Dirty ::Aidong 
::Knowledge ::Effect ::Generalizing ::Christophides 
::1381 ::Frdric ::557 ::Operator 
::Stefano ::NgOT02 ::Simple ::101 
::1497 ::DesphandeGMH05 ::576 ::Mover 
::Aliekber ::4497531 ::24 ::X06c 
::Match ::GutingAABDHHST05 ::Adam ::Theobald 
::Lutz ::1042 ::Jacobsen ::Henrich94 
::4497464 ::Nagendra ::Fekete ::rtdb 
::Mitschang ::Chita ::Decoupled ::Mamoulis 
::P276 ::1433 ::Tata ::Path 
::Seltzsam ::KashyapRRS08 ::452 ::4497579 
::Subset ::TheodoridisSS98 ::Microsoft ::Function 
::BunemanNTW95 ::Anne ::Kishan ::Houtan 
::Wynne ::Fei ::Future ::Shim 
::Morzy93 ::Nambiar ::JagadishOVZZ06 ::Ravada 
::676 ::GeorgakopoulosHM96 ::Effect ::Zadrozny 
::SametA95 ::FaloutsosL95 ::Cleaning ::Muhammad 
::Ugur ::Sotiris ::Woong ::Zhewei 
::1337 ::Annita ::Meichun ::Peer 
::494 ::ZhangLKW06 ::Jiying ::Sanjeet 
::Unstructured ::Idreos ::BernsteinGWRR81 ::Lakshmanan 
::Bossi ::15310266 ::Prefetching ::Proactive 
::Rank ::Mix ::Managed ::DeWittNS91 
::Lynch83 ::Alexe ::Centric ::Krithi 
::Ester ::Markus ::914832 ::Functional 
::DeWittG92 ::Suel ::WuCL08 ::KoudasS05 
::Queues ::ShrivastavaMR08 ::Threshold ::Gionis 
::22850804abs ::Nodira ::Xuqing ::1492 
::Federations ::Nicklas ::4497426 ::StonebrakerADNR93 
::654 ::IWill ::309 ::NagarajNRS08 
::1083 ::DIPBench ::PageRank ::Autonomic 
::MolinaLV84 ::Rights ::Interval ::691 
::Bilke ::Krauthgamer ::Dual ::Tolani 
::Wrapper ::4497539 ::InstantDB ::Renz 
::Yifeng ::Devarakonda ::636 ::Xia 
::GuptaMS93 ::1587 ::Meaningful ::LinYWL05 
::Olston ::22850518abs ::Very ::Mukesh 
::TheodoridisP95 ::Editor ::Speed ::Uchiyama 
::BhideDD93 ::Jonas ::SayalCDS02 ::CeriW91 
::Mohan94 ::Zwaenepoel ::Luk ::ShimSA97 
::Mathew ::Reasoning ::Publishing ::Ifrim 
::Juchang ::1385 ::Maher ::Latency 
::22850533abs ::LiaoLL01 ::Anastassia ::Modeling 
::60 ::Constraints ::Sen ::KatayamaS01 
::AilamakiGM06 ::635 ::Chiang ::P284 
::Milan ::Directory ::Zwaenepoel ::DBLP 
::Networking ::Sen ::Meyerson ::Hyun 
::Thalhammer ::15310176abs ::N ::116 
::Ad ::Subarna ::Committees ::EvdokimovFG06 
::Simultaneous ::Hailong ::Pekka ::Ouri 
::Shweta ::4497541 ::168 ::Eunus 
::Schenkel ::1513 ::Prediction ::Bianca 
::Microsoft ::Bypass ::Specification ::Bayardo 
::Dunn ::JoshiJ06 ::KeCN06 ::Lim 
::TrombettaB06 ::Prefiltering ::4497470 ::Gryz98 
::Reducers ::Bentley80 ::Mukherjee ::without 
::15310297abs ::YuC84 ::Bar ::4497465 
::Surna ::15310129abs ::Sacc ::Ioannis 
::Larson02 ::Variable ::1568 ::Rotem91 
::Musicant ::Goethals ::Pilania ::1468 
::Makoto ::IP ::van ::DuKS92 
::4497637 ::133 ::Vladimir ::991 
::MorsePG06 ::Abbadi ::KashyapRRS08 ::Declarative 
::at ::Schemas ::81 ::Kim 
::Resilient ::LiOW08 ::Platforms ::416 
::Sharad ::Degradation ::KumarLMT08 ::WolskiKP96 
::Wook ::Savasere ::22850069abs ::ConsensRV08 
::596 ::LiuSYR98 ::666 ::tc 
::Aoki98 ::1485 ::Panayiotis ::97 
::Autonomic ::RaffioBCPH08 ::Norm ::Mohan90 
::BlakeleyCERW05 ::Ting ::261 ::Balachander 
::Elizabeth ::Warren ::MannilaT97 ::Harold 
::Mengsheng ::AbiteboulMP05 ::coopis ::4497527 
::OwickiG76 ::Perego ::Andrs ::Vrhovnik 
::135 ::Stocker ::Replication ::Development 
::140 ::Was ::872 ::Management 
::873 ::Ahmed ::147 ::Agarwal 
::HamakawaR94 ::22851141 ::KeCN06 ::Stephanie 
::Sensitive ::FayyadPS96 ::Markov ::Giannotti 
::440 ::CasatiDS01 ::260 ::Transparent 
::Tier ::Air ::Juliana ::Antova 
::368 ::130 ::152 ::VaradarajanHR08 
::RaoM06 ::Sandeep ::Lindsay ::Mihai 
::Graefe ::GabberK98 ::46 ::Meisen 
::Loh ::Sreenivas ::Himanshu ::TokOLAB02 
::DayalHL91 ::65 ::119 ::Morzy93 
::Wang ::4497417 ::RoitmanGR08a ::Felipe 
::VaradarajanHR08 ::STAG ::Optimization ::MelnikGR02 
::YuPK05 ::hpts ::Rahul ::22851048abs 
::4497578 ::Timos ::AbiteboulMPPS08 ::Legaria 
::FaloutsosL95 ::462 ::463 ::Martinenghi 
::972 ::914824 ::SavasereON95 ::Barker 
::4497403 ::BitonBDH08 ::Places ::AgrawalAKL06 
::15310431abs ::4497587 ::Naga ::Spatio 
::Your ::Dessloch ::DengSXL06 ::Naga 
::processing ::Graphitti ::Halevy ::Haslam 
::Tadashi ::Pinar ::Uncertain ::Data 
::Heng ::1556 ::442 ::designed 
::716 ::Pilania ::Interesting ::Production 
::Apurva ::Fatih ::PapakonstantinouGGU95 ::SinghMSPHNC08 
::532 ::22850717abs ::Reverse ::778 
::Sensitive ::Bhalotia ::Interesting ::WangZZ06 
::Spatial ::Hoyoung ::15310529abs ::Reference 
::GruberKP01 ::RAIDs ::JagadishMM95 ::Farnoush 
::Punctuation ::22851131abs ::Ariel ::Scalar 
::LanOT02 ::HasanM94 ::XGRIND ::336 
::Fang ::XinSHL06 ::Edoardo ::Wichterich 
::Assessment ::Patel ::Stonebraker ::696 
::ONeilQ97 ::Honishi ::PapakonstantinouGGU95 ::Jost 
::Queues ::903 ::546 ::Huabei 
::Sergej ::NgH94 ::Deletes ::Systematic 
::Shishir ::In ::AHYDS ::98 
::NgH94 ::JohnsonS97 ::Orenstein91 ::Shim 
::Sumit ::Hierarchies ::Shipra ::Strategies 
::Interfaces ::Arumugam ::Lupu ::ConQueSt 
::Bassiouni85 ::Haiyan ::Kunath ::P220 
::BernsteinHG87 ::Marlow ::cker ::Naacke 
::Trasarti ::Gill ::240 ::485 
::Kenneth ::BalkeNST05 ::cdrom ::Disclosure 
::Aggregationin ::BakalovHHT08 ::Object ::N 
::Lehner ::Mappings ::Hasan ::1248 
::WangYM01 ::22851013abs ::Sujata ::Mingzhe 
::157 ::Qixiang ::1118 ::Shouxu 
::Elmagarmid ::1459 ::HellersteinKP97 ::popl 
::Subhash ::1319 ::DalkilicGR97 ::Inderpal 
::Dependent ::4497577 ::mm ::Daxin 
::EvangelidisLS95 ::22850717abs ::Mangold ::2002 
::421 ::Imperatives ::209 ::Nuwee 
::4497490 ::PetkovicZBJAWK02 ::Terlecki ::Barbara 
::Push ::Aoki ::1599 ::Transcoding 
::Quang ::Muntz ::Environment ::Mitchell 
::DB2 ::Product ::sup ::151 
::speak ::Sujeet ::Shouke ::486 
::Grel ::Dohnal ::Hang ::RDBMSs 
::1504 ::Ouzzani ::22851147 ::DaWaII 
::Rimma ::Rights ::OLE ::Authorization 
::Rule ::1522 ::Allen83 ::Verifiers 
::LiC98 ::MolinaKS98 ::Markos ::MarianAKS05 
::GawlickK85 ::Ramasamy ::Ammar ::Evolution 
::HolsheimerKMT95 ::KeidlKKK02 ::Atluri ::Extracting 
::Attacks ::Widmayer ::Hidden ::Spyros 
::Native ::Kanaya ::BunemanNTW95 ::Werner 
::ChandelNS06 ::purpose ::Aboulnaga ::Ravada 
::Jaffar ::Redo ::Lu ::Young 
::NguGBCDB02 ::69 ::Making ::Synopsis 
::Dongwon ::LawrenceB02 ::Integrate ::Akinde 
::Jason ::158 ::4497590 ::1334 
::Sketch ::Quadtree ::GuPYC08 ::Nicolas 
::Saikat ::Terminological ::BorkarCELWW08 ::Taming 
::Dasgupta ::Hubert ::ElghandourAZCBBZ08 ::1141 
::LivnyRBCDLMW97 ::Deshpande ::Information ::Product 
::Role ::Sellentin ::MogiK96 ::SkytJP02 
::dl ::CastroN08 ::249 ::Manolescu 
::4497594 ::22851024abs ::GravanoGT94 ::Anh 
::4497460 ::Hierarchical ::Serializability ::HenrichSW89 
::Sihem ::1357 ::1052 ::Folding 
::Shaped ::Berners ::Memoriam ::Pseudo 
::15310617abs ::Brent ::Decade ::4497618 
::Deb ::Antti ::Client ::Koustuv 
::Indexes ::1267 ::sigmod ::481 
::Zhou ::Practice ::Networks ::X05o 
::Barton ::Andrea ::Mu ::Dai 
